loop,iteration,qd_score,max_fitness,coverage,time
1,1,609.03735,-0.092532955,8.21,1.2270464897155762
2,11,2238.398,-0.04202284,28.34,0.011774539947509766
3,21,3285.9392,-0.04202284,40.07,0.011991024017333984
4,31,4099.2803,-0.04202284,48.76,0.011714935302734375
5,41,4761.082,-0.033033736,55.57,0.01156473159790039
6,51,5237.328,-0.024994737,60.23,0.01128530502319336
7,61,5636.109,-0.024994737,63.989998,0.01336050033569336
8,71,5952.603,-0.024994737,66.909996,0.011933565139770508
9,81,6176.5728,-0.024994737,68.82,0.013182640075683594
10,91,6380.5205,-0.024994737,70.55,0.012245893478393555
11,101,6542.943,-0.024994737,71.91,0.012299060821533203
12,111,6543.0674,-0.024994737,71.91,0.09305620193481445
13,121,6543.1396,-0.024994737,71.91,0.08349609375
14,131,6543.9775,-0.024994737,71.92,0.08683443069458008
15,141,6544.1885,-0.024994737,71.92,0.08148050308227539
16,151,6545.0166,-0.024994737,71.93,0.08966231346130371
17,161,6545.09,-0.024994737,71.93,0.08126521110534668
18,171,6545.2114,-0.024994737,71.93,0.08288812637329102
19,181,6545.3286,-0.024994737,71.93,0.08789348602294922
20,191,6545.3774,-0.024994737,71.93,0.08226823806762695
21,201,6545.3853,-0.024994737,71.93,0.07871437072753906
22,211,6549.552,-0.024994737,71.96,0.030773401260375977
23,221,6553.1846,-0.024994737,71.99,0.0331730842590332
24,231,6556.1304,-0.024994737,72.02,0.0320286750793457
25,241,6558.3525,-0.024994737,72.04,0.031665802001953125
26,251,6560.5967,-0.024994737,72.06,0.03156733512878418
27,261,6563.3965,-0.024994737,72.09,0.032979726791381836
28,271,6565.497,-0.024994737,72.11,0.0320742130279541
29,281,6573.368,-0.024994737,72.2,0.030916213989257812
30,291,6578.0386,-0.024994737,72.25,0.03171730041503906
31,301,6582.5327,-0.024994737,72.299995,0.0372776985168457
32,311,6619.0127,-0.024994737,72.63,0.02991032600402832
33,321,6653.046,-0.024994737,72.95999,0.02976512908935547
34,331,6677.743,-0.024994737,73.2,0.03032374382019043
35,341,6703.625,-0.024994737,73.46,0.03942251205444336
36,351,6724.829,-0.011968963,73.67,0.03024005889892578
37,361,6748.124,-0.011968963,73.899994,0.03293323516845703
38,371,6768.9033,-0.011968963,74.10999,0.03110527992248535
39,381,6786.811,-0.011968963,74.28999,0.029828786849975586
40,391,6810.362,-0.011968963,74.53999,0.029889583587646484
41,401,6841.563,-0.0010347292,74.869995,0.03092336654663086
42,411,6856.112,-0.0010347292,75.0,0.032784461975097656
43,421,6879.5645,-0.0010347292,75.24,0.03219962120056152
44,431,6902.6724,-0.00059869885,75.47,0.03094482421875
45,441,6917.4907,-0.00059869885,75.61,0.034900665283203125
46,451,6940.8335,-0.00059869885,75.85,0.03239154815673828
47,461,6955.02,-0.00059869885,75.99,0.03076791763305664
48,471,6969.1836,-0.00059869885,76.13,0.036528825759887695
49,481,6991.1133,-0.00059869885,76.36,0.03200721740722656
50,491,7007.758,-0.00059869885,76.53,0.035103797912597656
51,501,7024.183,-0.00059869885,76.7,0.030965328216552734
52,511,7028.9683,0.012480512,76.73,0.03227949142456055
53,521,7033.8706,0.012480512,76.77,0.03259778022766113
54,531,7038.0767,0.012480512,76.8,0.03917431831359863
55,541,7043.342,0.012480512,76.84,0.03240799903869629
56,551,7052.0176,0.039338194,76.92,0.030595064163208008
57,561,7055.999,0.039338194,76.95,0.03156399726867676
58,571,7060.7617,0.039338194,76.99,0.03168177604675293
59,581,7068.709,0.039338194,77.07,0.031864166259765625
60,591,7075.186,0.039338194,77.13,0.03582167625427246
61,601,7080.4717,0.039338194,77.18,0.03479337692260742
62,611,7086.465,0.039338194,77.23,0.03145408630371094
63,621,7092.37,0.039338194,77.28,0.03140139579772949
64,631,7094.479,0.039338194,77.29,0.030660629272460938
65,641,7099.9985,0.039338194,77.340004,0.03529477119445801
66,651,7101.8613,0.039338194,77.35,0.030740976333618164
67,661,7103.691,0.039338194,77.36,0.03667187690734863
68,671,7106.163,0.039338194,77.38,0.03247809410095215
69,681,7107.0474,0.039338194,77.38,0.034586429595947266
70,691,7109.406,0.039338194,77.4,0.03112316131591797
71,701,7111.829,0.039338194,77.42,0.03172802925109863
72,711,7113.8486,0.039338194,77.43,0.03391909599304199
73,721,7114.8076,0.039338194,77.43,0.03554415702819824
74,731,7117.2104,0.039338194,77.45,0.03480172157287598
75,741,7119.8467,0.039338194,77.47,0.033332109451293945
76,751,7121.2593,0.039338194,77.48,0.034918785095214844
77,761,7123.7095,0.039338194,77.5,0.03687143325805664
78,771,7124.134,0.039338194,77.5,0.03459763526916504
79,781,7125.629,0.039338194,77.51,0.03647255897521973
80,791,7126.2534,0.039338194,77.51,0.03245806694030762
81,801,7126.6084,0.039338194,77.51,0.03098320960998535
82,811,7127.568,0.039338194,77.51,0.032155752182006836
83,821,7128.323,0.039338194,77.51,0.031072139739990234
84,831,7130.067,0.039338194,77.520004,0.03604865074157715
85,841,7131.8955,0.039338194,77.53,0.03047633171081543
86,851,7133.28,0.039338194,77.54,0.038931846618652344
87,861,7134.8657,0.039338194,77.55,0.03882884979248047
88,871,7136.3965,0.039338194,77.56,0.03290057182312012
89,881,7137.1465,0.039338194,77.56,0.03148460388183594
90,891,7138.4224,0.039338194,77.57,0.0314478874206543
91,901,7138.7905,0.039338194,77.57,0.032955169677734375
92,911,7140.272,0.039338194,77.58,0.03152060508728027
93,921,7141.536,0.039338194,77.590004,0.032175302505493164
94,931,7142.036,0.039338194,77.590004,0.032494544982910156
95,941,7142.4805,0.039338194,77.590004,0.03321409225463867
96,951,7142.8535,0.039338194,77.590004,0.031235694885253906
97,961,7144.1475,0.039338194,77.6,0.0334925651550293
98,971,7145.3496,0.039338194,77.61,0.03338193893432617
99,981,7145.58,0.039338194,77.61,0.03170204162597656
100,991,7145.8145,0.039338194,77.61,0.03212857246398926
101,1001,7147.5737,0.039338194,77.63,0.032798051834106445
102,1011,7148.125,0.039338194,77.63,0.035268306732177734
103,1021,7149.4614,0.039338194,77.64,0.03273797035217285
104,1031,7149.9355,0.039338194,77.64,0.0331878662109375
105,1041,7152.099,0.039338194,77.66,0.03049612045288086
106,1051,7155.0405,0.039338194,77.69,0.03132295608520508
107,1061,7155.4033,0.039338194,77.69,0.031456947326660156
108,1071,7155.67,0.039338194,77.69,0.03126692771911621
109,1081,7156.032,0.039338194,77.69,0.03183341026306152
110,1091,7156.256,0.039338194,77.69,0.035871028900146484
111,1101,7157.5024,0.039338194,77.700005,0.03181648254394531
112,1111,7158.1,0.039338194,77.700005,0.033962249755859375
113,1121,7160.417,0.039338194,77.72,0.030605792999267578
114,1131,7163.549,0.039338194,77.75,0.038231849670410156
115,1141,7164.8555,0.039338194,77.76,0.04039955139160156
116,1151,7166.008,0.039338194,77.770004,0.03660273551940918
117,1161,7166.511,0.039338194,77.770004,0.03266096115112305
118,1171,7168.7373,0.039338194,77.79,0.03143715858459473
119,1181,7169.221,0.039338194,77.79,0.030482053756713867
120,1191,7169.4824,0.039338194,77.79,0.03258061408996582
121,1201,7169.7017,0.039338194,77.79,0.03247690200805664
122,1211,7170.4727,0.039338194,77.79,0.031355857849121094
123,1221,7171.983,0.039338194,77.8,0.03057718276977539
124,1231,7172.813,0.039338194,77.8,0.03050518035888672
125,1241,7174.1797,0.039338194,77.81,0.030460357666015625
126,1251,7176.667,0.039338194,77.83,0.03024125099182129
127,1261,7178.888,0.039338194,77.85,0.03347897529602051
128,1271,7181.05,0.039338194,77.87,0.030542612075805664
129,1281,7181.3525,0.039338194,77.87,0.038687705993652344
130,1291,7182.5547,0.039338194,77.88,0.03493142127990723
131,1301,7182.925,0.039338194,77.88,0.03885912895202637
132,1311,7183.789,0.039338194,77.88,0.036600589752197266
133,1321,7185.856,0.039338194,77.89,0.029979944229125977
134,1331,7186.712,0.04174178,77.89,0.03032207489013672
135,1341,7187.541,0.046958953,77.89,0.030550241470336914
136,1351,7188.114,0.05615802,77.89,0.030421018600463867
137,1361,7188.539,0.05615802,77.89,0.03068089485168457
138,1371,7190.1074,0.05615802,77.9,0.030010700225830078
139,1381,7190.5327,0.05615802,77.9,0.03804588317871094
140,1391,7190.9966,0.05615802,77.9,0.03351020812988281
141,1401,7192.193,0.05615802,77.91,0.14208412170410156
142,1411,7192.6763,0.05615802,77.91,0.03081035614013672
143,1421,7193.123,0.05615802,77.91,0.030367612838745117
144,1431,7193.358,0.05615802,77.91,0.030875205993652344
145,1441,7193.6245,0.05615802,77.91,0.030681133270263672
146,1451,7195.838,0.05615802,77.93,0.030118703842163086
147,1461,7197.0186,0.05615802,77.94,0.02971029281616211
148,1471,7200.0923,0.05615802,77.97,0.02985835075378418
149,1481,7201.1357,0.05615802,77.98,0.029961824417114258
150,1491,7202.0854,0.05615802,77.99,0.03085494041442871
151,1501,7202.1914,0.05615802,77.99,0.030414819717407227
152,1511,7202.9346,0.05615802,77.99,0.04736900329589844
153,1521,7203.66,0.05615802,77.99,0.03614544868469238
154,1531,7204.37,0.05615802,77.99,0.03144359588623047
155,1541,7204.6733,0.05615802,77.99,0.03112506866455078
156,1551,7205.1997,0.05615802,77.99,0.030325651168823242
157,1561,7205.505,0.05615802,77.99,0.03673982620239258
158,1571,7205.83,0.05615802,77.99,0.03134894371032715
159,1581,7206.241,0.05615802,77.99,0.030179262161254883
160,1591,7206.4883,0.05615802,77.99,0.03275561332702637
161,1601,7206.8237,0.05615802,77.99,0.032128095626831055
162,1611,7207.332,0.05615802,77.99,0.03545856475830078
163,1621,7209.4893,0.05615802,78.01,0.031116247177124023
164,1631,7210.7217,0.05615802,78.020004,0.030262231826782227
165,1641,7211.0273,0.05615802,78.020004,0.030837297439575195
166,1651,7211.1533,0.05615802,78.020004,0.030566930770874023
167,1661,7212.3296,0.05615802,78.03,0.030424833297729492
168,1671,7213.373,0.05615802,78.04,0.030551910400390625
169,1681,7213.549,0.05615802,78.04,0.0309598445892334
170,1691,7213.748,0.05615802,78.04,0.03180646896362305
171,1701,7213.91,0.05615802,78.04,0.03490185737609863
172,1711,7214.496,0.05615802,78.04,0.03473687171936035
173,1721,7215.72,0.05615802,78.05,0.030190229415893555
174,1731,7216.3296,0.05615802,78.05,0.03140425682067871
175,1741,7217.564,0.05615802,78.06,0.0323488712310791
176,1751,7217.6973,0.05615802,78.06,0.03466343879699707
177,1761,7218.006,0.05615802,78.06,0.034832000732421875
178,1771,7218.2236,0.05615802,78.06,0.0336155891418457
179,1781,7219.416,0.05615802,78.07,0.03283071517944336
180,1791,7220.4507,0.05615802,78.08,0.030523061752319336
181,1801,7220.565,0.05615802,78.08,0.032587528228759766
182,1811,7221.7393,0.05615802,78.09,0.034133195877075195
183,1821,7222.183,0.05615802,78.09,0.0311434268951416
184,1831,7222.4375,0.05615802,78.09,0.03113079071044922
185,1841,7223.6123,0.05615802,78.1,0.03241610527038574
186,1851,7223.8467,0.05615802,78.1,0.03372621536254883
187,1861,7224.0913,0.05615802,78.1,0.03251910209655762
188,1871,7224.3525,0.05615802,78.1,0.030427217483520508
189,1881,7224.6055,0.05615802,78.1,0.030054569244384766
190,1891,7224.784,0.05615802,78.1,0.030283451080322266
191,1901,7224.9927,0.05615802,78.1,0.03599262237548828
192,1911,7225.47,0.05615802,78.1,0.030774593353271484
193,1921,7225.875,0.05615802,78.1,0.03213667869567871
194,1931,7226.2427,0.05615802,78.1,0.03107166290283203
195,1941,7226.502,0.05615802,78.1,0.030811309814453125
196,1951,7226.671,0.05615802,78.1,0.03024911880493164
197,1961,7226.8604,0.05615802,78.1,0.03039407730102539
198,1971,7227.085,0.05615802,78.1,0.030792951583862305
199,1981,7227.3843,0.05615802,78.1,0.02991962432861328
200,1991,7227.543,0.05615802,78.1,0.03044724464416504
201,2001,7227.7227,0.05615802,78.1,0.030768632888793945
202,2011,7228.003,0.05615802,78.1,0.03579854965209961
203,2021,7229.1807,0.05615802,78.11,0.03394889831542969
204,2031,7230.357,0.05615802,78.12,0.03350090980529785
205,2041,7231.442,0.05615802,78.13,0.03217887878417969
206,2051,7233.407,0.05615802,78.15,0.03012394905090332
207,2061,7234.444,0.05615802,78.16,0.0310516357421875
