loop,iteration,qd_score,max_fitness,coverage,time
1,1,88.673256,-0.118388355,1.1899999,1.0369422435760498
2,11,483.12982,-0.108283624,6.46,0.0005331039428710938
3,21,818.7446,-0.09107004,10.79,0.0005011558532714844
4,31,1099.5911,-0.09107004,14.349999,0.0004906654357910156
5,41,1356.5521,-0.08970383,17.51,0.0005090236663818359
6,51,1588.1425,-0.081963465,20.34,0.0005125999450683594
7,61,1805.0828,-0.07114111,22.96,0.0005831718444824219
8,71,2004.3315,-0.07114111,25.33,0.0004773139953613281
9,81,2200.271,-0.07114111,27.64,0.0004820823669433594
10,91,2375.2622,-0.047672637,29.689999,0.0005154609680175781
11,101,2532.0635,-0.047672637,31.48,0.0004944801330566406
12,111,2592.145,-0.004130116,32.16,0.0026335716247558594
13,121,2639.7744,0.0046312064,32.719997,0.002671957015991211
14,131,2681.1326,0.0046312064,33.2,0.003123044967651367
15,141,2711.7073,0.0046312064,33.559998,0.0035135746002197266
16,151,2747.9053,0.0046312064,33.989998,0.002711772918701172
17,161,2786.68,0.0046312064,34.42,0.002742767333984375
18,171,2812.9963,0.01620157,34.71,0.002701282501220703
19,181,2841.8164,0.01620157,35.05,0.002671957015991211
20,191,2868.9392,0.01620157,35.39,0.0026731491088867188
21,201,2884.953,0.01620157,35.57,0.0026922225952148438
22,211,2912.1592,0.01620157,35.86,0.002734661102294922
23,221,2927.8018,0.01620157,36.02,0.0027124881744384766
24,231,2952.617,0.01620157,36.29,0.0026869773864746094
25,241,2968.794,0.01620157,36.45,0.0027265548706054688
26,251,2986.1577,0.01620157,36.64,0.0037393569946289062
27,261,3000.272,0.01620157,36.79,0.003735065460205078
28,271,3009.2883,0.01620157,36.89,0.004050016403198242
29,281,3020.1562,0.01620157,37.0,0.003009319305419922
30,291,3029.233,0.01620157,37.09,0.002870798110961914
31,301,3040.4575,0.01620157,37.21,0.002736330032348633
32,311,3048.7622,0.01620157,37.26,0.002704620361328125
33,321,3057.0496,0.01620157,37.329998,0.002871274948120117
34,331,3068.4463,0.01620157,37.43,0.0026826858520507812
35,341,3076.7085,0.01620157,37.5,0.0027191638946533203
36,351,3083.438,0.01620157,37.55,0.0027146339416503906
37,361,3089.6804,0.01620157,37.6,0.0027303695678710938
38,371,3096.8938,0.01620157,37.67,0.0038793087005615234
39,381,3103.2788,0.01620157,37.739998,0.0027120113372802734
40,391,3110.4963,0.01620157,37.809998,0.002730846405029297
41,401,3114.913,0.01620157,37.85,0.0027310848236083984
42,411,3120.561,0.01620157,37.899998,0.0028235912322998047
43,421,3124.1538,0.01620157,37.93,0.0031211376190185547
44,431,3127.837,0.01620157,37.96,0.0030422210693359375
45,441,3132.742,0.01620157,38.0,0.0034377574920654297
46,451,3134.9612,0.01620157,38.02,0.002857208251953125
47,461,3136.5085,0.037050664,38.03,0.002960681915283203
48,471,3141.428,0.037050664,38.079998,0.0031099319458007812
49,481,3143.585,0.037050664,38.1,0.003435850143432617
50,491,3144.9458,0.04224129,38.11,0.0027823448181152344
51,501,3148.6108,0.04224129,38.149998,0.002771615982055664
52,511,3153.4497,0.04224129,38.2,0.002652883529663086
53,521,3157.3716,0.04224129,38.239998,0.0026388168334960938
54,531,3159.529,0.04224129,38.27,0.0032613277435302734
55,541,3163.0469,0.04224129,38.309998,0.0026445388793945312
56,551,3166.3135,0.04224129,38.34,0.002649545669555664
57,561,3171.0308,0.04224129,38.399998,0.003785848617553711
58,571,3176.8887,0.04224129,38.469997,0.002640247344970703
59,581,3178.1504,0.04224129,38.48,0.0034995079040527344
60,591,3179.9321,0.04224129,38.5,0.0026443004608154297
61,601,3183.4895,0.04224129,38.54,0.0037076473236083984
62,611,3187.0767,0.04224129,38.57,0.002704143524169922
63,621,3191.2258,0.04224129,38.61,0.003727436065673828
64,631,3193.4045,0.04224129,38.629997,0.003456592559814453
65,641,3195.6567,0.04224129,38.649998,0.0029251575469970703
66,651,3198.8313,0.04224129,38.68,0.0027260780334472656
67,661,3200.5913,0.04224129,38.69,0.002633810043334961
68,671,3202.0535,0.04224129,38.7,0.002643585205078125
69,681,3202.6238,0.04224129,38.7,0.002634286880493164
70,691,3203.3389,0.04224129,38.7,0.002656221389770508
71,701,3203.9897,0.04224129,38.7,0.002636432647705078
72,711,3205.5264,0.04224129,38.71,0.0026998519897460938
73,721,3206.7434,0.04224129,38.719997,0.0036325454711914062
74,731,3207.4578,0.04224129,38.719997,0.003556489944458008
75,741,3207.8691,0.04224129,38.719997,0.0037751197814941406
76,751,3212.2964,0.04224129,38.77,0.002791166305541992
77,761,3216.6133,0.04224129,38.82,0.002713918685913086
78,771,3219.689,0.04224129,38.86,0.002698659896850586
79,781,3228.541,0.04224129,38.969997,0.002710580825805664
80,791,3232.791,0.04224129,39.02,0.003641366958618164
81,801,3236.0684,0.04224129,39.059998,0.0029838085174560547
82,811,3236.2886,0.04224129,39.059998,0.0036246776580810547
83,821,3238.2676,0.04224129,39.079998,0.0027816295623779297
84,831,3238.5833,0.04224129,39.079998,0.0026504993438720703
85,841,3239.2703,0.04224129,39.079998,0.002910614013671875
86,851,3239.4,0.04224129,39.079998,0.0034644603729248047
87,861,3239.5518,0.04224129,39.079998,0.003069639205932617
88,871,3241.8242,0.04224129,39.11,0.003248453140258789
89,881,3243.8813,0.04224129,39.14,0.002683401107788086
90,891,3243.9214,0.04224129,39.14,0.002654552459716797
91,901,3243.9392,0.04224129,39.14,0.003499746322631836
