loop,iteration,qd_score,max_fitness,coverage,time
1,1,85.66262,-0.12261717,1.15,0.8999767303466797
2,11,422.15778,-0.110700235,5.6,0.0003333091735839844
3,21,690.7744,-0.094325766,9.0199995,0.0003333091735839844
4,31,897.5727,-0.093423195,11.599999,0.00039696693420410156
5,41,1077.5049,-0.09031447,13.74,0.00029850006103515625
6,51,1247.398,-0.08089931,15.799999,0.0003452301025390625
7,61,1307.1715,-0.08225158,16.5,0.00026679039001464844
8,71,1328.9138,-0.075361356,16.74,0.0003528594970703125
9,81,1370.1064,-0.08144077,17.24,0.00026917457580566406
10,91,1394.8534,-0.0810091,17.56,0.0002658367156982422
11,101,1424.9525,-0.08059449,17.93,0.0003342628479003906
12,111,1421.6575,-0.071933106,17.87,0.0002810955047607422
13,121,1420.9146,-0.07187563,17.880001,0.00026798248291015625
14,131,1433.3436,-0.07112229,18.039999,0.0003666877746582031
15,141,1413.9202,-0.07210409,17.76,0.00036644935607910156
16,151,1433.1062,-0.072031334,17.99,0.00028204917907714844
17,161,1425.2406,-0.07242844,17.89,0.0002651214599609375
18,171,1427.2373,-0.0707185,17.9,0.00035858154296875
19,181,1457.4392,-0.071313426,18.329998,0.0002682209014892578
20,191,1437.5735,-0.070927486,18.07,0.0002715587615966797
21,201,1426.2532,-0.07220082,17.91,0.00040984153747558594
22,211,1460.1775,-0.07213387,18.339998,0.0003070831298828125
23,221,1467.8599,-0.071145944,18.439999,0.00036263465881347656
24,231,1474.4614,-0.071884796,18.529999,0.0002894401550292969
25,241,1472.8967,-0.071705535,18.47,0.0003609657287597656
26,251,1442.4135,-0.07092495,18.09,0.00031256675720214844
27,261,1464.1624,-0.080331266,18.38,0.0003643035888671875
28,271,1449.6677,-0.08120355,18.199999,0.00026607513427734375
29,281,1465.5527,-0.0796604,18.38,0.00027179718017578125
30,291,1469.5366,-0.08039113,18.439999,0.00037169456481933594
31,301,1462.2722,-0.08146959,18.339998,0.0003025531768798828
32,311,1460.911,-0.08040565,18.349998,0.00026798248291015625
33,321,1470.3844,-0.08005493,18.47,0.0002732276916503906
