loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,91.38718,-0.12298663,1.23,0.0,2.488494e-06,1.2719151973724365
2,11,484.1448,-0.103889406,6.45,0.0,1.2889504e-05,0.0008561611175537109
3,21,796.12195,-0.08121072,10.5,0.0,2.0973384e-05,0.0008018016815185547
4,31,1068.1803,-0.08121072,13.96,0.0,2.8006732e-05,0.0008304119110107422
5,41,1316.1354,-0.07754869,17.02,0.0,3.4317374e-05,0.0007874965667724609
6,51,1545.696,-0.050354447,19.85,0.0,3.9748847e-05,0.0008184909820556641
7,61,1733.9655,-0.050354447,22.1,0.0,4.4591725e-05,0.0009100437164306641
8,71,1921.1113,-0.050354447,24.32,0.0,4.9076974e-05,0.0008585453033447266
9,81,2110.1387,-0.050354447,26.55,0.0,5.3681433e-05,0.0008828639984130859
10,91,2284.7974,-0.050354447,28.599998,0.0,5.7175756e-05,0.0007958412170410156
11,101,2431.9634,-0.050354447,30.269999,0.0,6.107986e-05,0.0009174346923828125
12,111,2588.8555,-0.04033916,32.059998,0.0,6.48126e-05,0.0008380413055419922
13,121,2731.7705,-0.04033916,33.67,0.0,6.831437e-05,0.0008497238159179688
14,131,2874.1152,-0.04033916,35.27,0.0,7.1428716e-05,0.0007946491241455078
15,141,3016.0952,-0.04033916,36.87,0.0,7.592887e-05,0.0008721351623535156
16,151,3142.8628,-0.04033916,38.28,0.0,7.968396e-05,0.0007960796356201172
17,161,3272.0728,-0.04033916,39.71,0.0,8.2306564e-05,0.0007946491241455078
18,171,3410.8743,-0.04033916,41.25,0.0,8.611381e-05,0.0008692741394042969
19,181,3514.2832,-0.03430713,42.379997,0.0,8.8490546e-05,0.0008521080017089844
20,191,3622.2007,-0.03430713,43.53,0.0,9.050965e-05,0.000820159912109375
21,201,3729.708,-0.03430713,44.68,0.0,9.23723e-05,0.0008285045623779297
22,211,3834.018,-0.03430713,45.8,0.0,9.504706e-05,0.0008635520935058594
23,221,3940.2354,-0.03430713,46.95,0.0,9.678304e-05,0.0008382797241210938
24,231,4048.7983,-0.03430713,48.11,0.0,0.0001000613,0.0009202957153320312
25,241,4142.6133,-0.03430713,49.1,0.0,0.00010226667,0.0008516311645507812
26,251,4229.0522,-0.03430713,50.0,0.0,0.00010450184,0.0008120536804199219
27,261,4305.6973,-0.03430713,50.78,0.0,0.000106833875,0.0009562969207763672
28,271,4391.964,-0.03430713,51.649998,0.0,0.00010960549,0.0007913112640380859
29,281,4475.6323,-0.027149498,52.5,0.0,0.00011192262,0.0007951259613037109
30,291,4550.542,-0.027149498,53.26,0.0,0.00011359155,0.0008323192596435547
31,301,4635.8574,-0.027149498,54.12,0.0,0.00011573732,0.0008454322814941406
32,311,4716.4556,-0.027149498,54.94,0.0,0.00011757016,0.0008647441864013672
33,321,4792.066,-0.027149498,55.71,0.0,0.0001193881,0.0011894702911376953
34,331,4863.2275,-0.027149498,56.42,0.0,0.000119529665,0.0008699893951416016
35,341,4938.983,-0.027149498,57.199997,0.0,0.000121071935,0.0009229183197021484
36,351,5006.3623,-0.027149498,57.87,0.0,0.00012212992,0.0008177757263183594
37,361,5083.115,-0.027149498,58.66,0.0,0.0001239106,0.001291513442993164
38,371,5155.8735,-0.027149498,59.399998,0.0,0.00012554228,0.0008344650268554688
39,381,5222.7817,-0.027149498,60.07,0.0,0.00012723356,0.0008227825164794922
40,391,5271.811,-0.027149498,60.539997,0.0,0.00012808293,0.00084686279296875
41,401,5334.5347,-0.027149498,61.17,0.0,0.00012945384,0.0008132457733154297
42,411,5395.7637,0.0,61.77,0.0,0.0001309067,0.0008928775787353516
43,421,5451.904,0.0,62.32,0.0,0.0001321435,0.0008866786956787109
44,431,5520.2964,0.0,63.0,0.0,0.00013378263,0.0007996559143066406
45,441,5576.6025,0.0,63.55,0.0,0.00013487786,0.000804901123046875
46,451,5634.4546,0.0,64.1,0.0,0.00013573468,0.0008504390716552734
47,461,5679.429,0.0,64.53,0.0,0.00013773143,0.0009546279907226562
48,471,5726.0063,0.0,64.97,0.0,0.00013875961,0.0008199214935302734
49,481,5769.552,0.0,65.38,0.0,0.00013968349,0.0008628368377685547
50,491,5811.6816,0.0,65.76,0.0,0.00014070421,0.0009162425994873047
51,501,5849.602,0.0,66.1,0.0,0.00014144927,0.0013287067413330078
52,511,5877.4634,0.0,66.33,0.0,0.00014185905,0.001222372055053711
53,521,5910.25,0.0,66.619995,0.0,0.00014223158,0.0009105205535888672
54,531,5945.2256,0.0,66.93,0.0,0.00014274567,0.0008189678192138672
55,541,5975.438,0.0,67.18,0.0,0.00014326721,0.0008897781372070312
56,551,6011.9316,0.0,67.52,0.0,0.00014495105,0.0009539127349853516
57,561,6046.511,0.0,67.83,0.0,0.0001462251,0.0008180141448974609
58,571,6076.6377,0.0,68.09,0.0,0.00014714152,0.0008373260498046875
59,581,6108.0664,0.0,68.36,0.0,0.00014769286,0.0008101463317871094
60,591,6134.763,0.0,68.59,0.0,0.000148803,0.0009524822235107422
61,601,6165.437,0.0,68.86,0.0,0.00014945865,0.0008249282836914062
62,611,6191.593,0.0,69.08,0.0,0.00014991313,0.0008180141448974609
63,621,6215.9854,0.0,69.29,0.0,0.0001501292,0.0012619495391845703
64,631,6244.2607,0.0,69.54,0.0,0.00015155971,0.0006546974182128906
65,641,6271.865,0.0,69.78,0.0,0.00015161932,0.0006198883056640625
66,651,6291.625,0.0,69.939995,0.0,0.00015196949,0.0006062984466552734
67,661,6314.8374,0.0,70.14,0.0,0.00015223771,0.000591278076171875
68,671,6339.6357,0.0,70.35,0.0,0.00015278906,0.0006017684936523438
69,681,6370.1406,0.0,70.64,0.0,0.00015348941,0.0005953311920166016
70,691,6394.112,0.0,70.85,0.0,0.00015444309,0.0005950927734375
71,701,6415.0586,0.0,71.02,0.0,0.00015493482,0.0006427764892578125
72,711,6431.6914,0.0,71.15,0.0,0.00015514344,0.0006139278411865234
73,721,6446.4824,0.0,71.26,0.0,0.00015556067,0.0006175041198730469
74,731,6460.7705,0.0,71.36,0.0,0.00015515089,0.0006096363067626953
75,741,6479.8467,0.0,71.52,0.0,0.00015515834,0.0006000995635986328
76,751,6500.435,0.0,71.689995,0.0,0.00015524775,0.0006263256072998047
77,761,6518.356,0.0,71.84,0.0,0.00015523285,0.0005984306335449219
78,771,6535.8164,0.0,71.979996,0.0,0.00015518069,0.0005955696105957031
79,781,6554.991,0.0,72.14,0.0,0.00015557557,0.0006220340728759766
80,791,6566.97,0.0,72.229996,0.0,0.00015575439,0.0006012916564941406
