loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,88.673256,-0.118388355,1.1899999,1.1157871,5.302722,1.4994206428527832
2,11,483.12982,-0.108283624,6.46,5.923526,29.102432,0.0008871555328369141
3,21,818.7446,-0.09107004,10.79,9.817253,48.614212,0.0008363723754882812
4,31,1099.5911,-0.09107004,14.349999,13.019599,64.5676,0.0009241104125976562
5,41,1356.5521,-0.08970383,17.51,15.867153,78.89956,0.0009140968322753906
6,51,1588.1425,-0.081963465,20.34,18.400492,91.65815,0.0009098052978515625
7,61,1805.0828,-0.07114111,22.96,20.75721,103.64418,0.0009353160858154297
8,71,2004.3315,-0.07114111,25.33,23.023712,113.77642,0.0010547637939453125
9,81,2200.271,-0.07114111,27.64,25.17442,123.9705,0.0009987354278564453
10,91,2375.2622,-0.047672637,29.689999,26.883623,133.34152,0.0008640289306640625
11,101,2532.0635,-0.047672637,31.48,28.522411,141.39691,0.0009145736694335938
12,111,2695.406,-0.047672637,33.329998,30.082787,149.87418,0.0009019374847412109
13,121,2851.5298,-0.047672637,35.11,31.583006,157.89719,0.0009636878967285156
14,131,3005.47,-0.047672637,36.84,33.12013,165.54858,0.0008432865142822266
15,141,3124.7554,-0.045642324,38.149998,34.385708,171.52155,0.0013546943664550781
16,151,3241.8,-0.045642324,39.44,35.457687,177.25113,0.0008881092071533203
17,161,3382.4146,-0.045642324,40.98,36.95601,184.44756,0.0009737014770507812
18,171,3495.2178,-0.045642324,42.2,38.051334,189.89969,0.0009076595306396484
19,181,3614.087,-0.045642324,43.489998,39.163094,195.45923,0.0009903907775878906
20,191,3725.7856,-0.045642324,44.68,40.26404,200.55992,0.0009596347808837891
21,201,3844.2163,-0.042743046,45.96,41.264847,206.5213,0.0008842945098876953
22,211,3955.6196,-0.04230941,47.149998,42.38743,211.54037,0.0008957386016845703
23,221,4057.1633,-0.04230941,48.23,43.443024,216.50487,0.001026153564453125
24,231,4151.235,-0.04230941,49.21,44.359055,220.73114,0.0010151863098144531
25,241,4236.2324,-0.04230941,50.079998,45.17441,225.01062,0.0008900165557861328
26,251,4322.3354,-0.04230941,50.98,46.046375,229.52133,0.0009286403656005859
27,261,4415.9463,-0.04230941,51.969997,46.90083,234.10976,0.0009205341339111328
28,271,4498.1426,-0.04230941,52.829998,47.65155,237.9646,0.0008893013000488281
29,281,4589.647,-0.04230941,53.77,48.498863,242.31763,0.0009429454803466797
30,291,4681.1235,-0.04230941,54.739998,49.439407,246.60487,0.0009884834289550781
31,301,4753.92,-0.04230941,55.48,50.103737,249.54858,0.0009005069732666016
32,311,4831.747,-0.04230941,56.28,50.85118,253.26022,0.0008897781372070312
33,321,4898.005,-0.042079084,56.94,51.470505,256.42896,0.0008666515350341797
34,331,4976.3496,-0.03623002,57.75,52.19394,260.21106,0.0009143352508544922
35,341,5032.573,-0.03623002,58.289997,52.73684,263.05054,0.0009303092956542969
36,351,5100.463,-0.034644894,58.98,53.358887,266.45532,0.0008816719055175781
37,361,5161.921,-0.034644894,59.59,53.87755,269.07718,0.0009808540344238281
38,371,5225.324,-0.034644894,60.21,54.325554,271.69946,0.0009768009185791016
39,381,5284.774,-0.034644894,60.8,54.879864,274.58365,0.000888824462890625
40,391,5339.7944,-0.034644894,61.34,55.40618,277.12878,0.001398324966430664
41,401,5402.163,-0.025630947,61.969997,55.937607,279.86005,0.0008797645568847656
42,411,5462.5537,-0.025630947,62.579998,56.448906,282.61023,0.0014495849609375
43,421,5512.489,-0.025630947,63.05,56.883427,284.6816,0.0008819103240966797
44,431,5579.143,-0.025630947,63.71,57.47337,287.7137,0.000850677490234375
45,441,5622.8965,-0.025630947,64.13,57.901512,289.8926,0.0008804798126220703
46,451,5663.873,-0.025630947,64.5,58.279335,291.62347,0.0008673667907714844
47,461,5718.726,-0.025630947,65.03,58.599876,294.26337,0.0009260177612304688
48,471,5775.2505,-0.025630947,65.57,59.0791,297.20337,0.000989675521850586
49,481,5823.5073,-0.025630947,66.02,59.508636,299.2082,0.0009112358093261719
50,491,5865.6895,-0.025630947,66.4,59.810745,301.19003,0.001024007797241211
51,501,5905.9814,-0.025630947,66.77,60.223145,302.9153,0.0009927749633789062
52,511,5952.052,-0.025630947,67.22,60.557182,305.12482,0.00091552734375
53,521,5990.5796,-0.024798896,67.58,60.83907,306.97415,0.0009195804595947266
54,531,6027.7725,-0.024798896,67.909996,61.128693,308.86133,0.0009944438934326172
55,541,6060.876,-0.024798896,68.2,61.409817,310.18506,0.0008754730224609375
56,551,6095.0645,-0.024798896,68.5,61.694725,311.62756,0.0009777545928955078
57,561,6132.657,-0.024798896,68.83,61.96881,313.24142,0.0010068416595458984
58,571,6166.38,-0.024798896,69.13,62.401375,314.5073,0.0009086132049560547
59,581,6204.294,-0.024798896,69.479996,62.67349,315.85364,0.0009768009185791016
60,591,6236.335,-0.024798896,69.76,62.977665,317.34668,0.0008845329284667969
61,601,6268.217,-0.024798896,70.049995,63.25242,318.4016,0.0008573532104492188
62,611,6296.4575,-0.024798896,70.29,63.631233,319.24573,0.0010683536529541016
63,621,6322.938,-0.024798896,70.51,63.819992,320.01703,0.0008871555328369141
64,631,6353.3174,-0.024798896,70.77,64.066864,321.0536,0.0006694793701171875
65,641,6375.344,-0.024798896,70.95,64.22215,321.8339,0.0006513595581054688
66,651,6399.3145,-0.024798896,71.159996,64.350914,322.8369,0.0006518363952636719
67,661,6426.6553,-0.024798896,71.4,64.64618,324.02692,0.0006442070007324219
68,671,6459.5474,-0.019378062,71.7,64.869354,325.29507,0.0006515979766845703
69,681,6482.7534,-0.019378062,71.89,65.082596,326.11108,0.0006589889526367188
70,691,6503.7056,-0.019378062,72.06,65.20848,326.72195,0.0006372928619384766
71,701,6521.7764,-0.019378062,72.2,65.35431,327.24863,0.0006439685821533203
72,711,6551.302,-0.019378062,72.479996,65.603485,328.70618,0.0006480216979980469
73,721,6574.6704,-0.019378062,72.68,65.738846,329.45093,0.0006413459777832031
74,731,6594.1875,-0.019378062,72.83,65.86886,330.0675,0.00064849853515625
75,741,6614.7744,-0.019378062,73.0,66.00932,330.70166,0.0006473064422607422
76,751,6634.1274,-0.019378062,73.159996,66.131714,331.37253,0.0006694793701171875
77,761,6654.919,-0.019378062,73.33,66.2569,332.11908,0.0006620883941650391
78,771,6670.396,-0.019378062,73.439995,66.26548,332.46823,0.0006403923034667969
79,781,6695.9995,-0.019378062,73.67,66.4067,333.64304,0.0006928443908691406
80,791,6719.038,-0.019378062,73.869995,66.455025,334.2913,0.0006489753723144531
81,801,6739.7812,-0.019378062,74.049995,66.58255,335.04364,0.000659942626953125
82,811,6758.1,-0.019378062,74.2,66.75603,335.85626,0.0006592273712158203
83,821,6774.5654,-0.019378062,74.33,66.94472,336.26776,0.0006663799285888672
84,831,6789.2397,-0.019378062,74.45,67.13776,336.76117,0.0006463527679443359
85,841,6805.295,-0.019378062,74.58,67.22662,337.38898,0.0006668567657470703
86,851,6823.2007,-0.019378062,74.729996,67.34096,338.0879,0.0006661415100097656
87,861,6842.801,-0.019378062,74.909996,67.52861,338.9618,0.0006589889526367188
88,871,6865.92,-0.019378062,75.119995,67.59175,339.83917,0.000640869140625
89,881,6879.0728,-0.019378062,75.22,67.719635,340.16483,0.0006434917449951172
90,891,6894.2583,-0.019378062,75.34,67.83931,340.94662,0.0006823539733886719
91,901,6914.357,-0.013812551,75.52,67.96878,341.69876,0.0006434917449951172
92,911,6929.1143,-0.0132280905,75.64,68.00787,342.0924,0.0006792545318603516
93,921,6942.7344,-0.0132280905,75.75,68.06494,342.6207,0.0006544589996337891
94,931,6958.819,-0.0132280905,75.89,68.20067,342.73996,0.0010590553283691406
95,941,6971.3613,-0.0132280905,75.979996,68.29169,343.17078,0.0006546974182128906
96,951,6988.493,-0.0132280905,76.13,68.462494,344.0602,0.0006923675537109375
97,961,6999.127,-0.0132280905,76.21,68.51641,344.08838,0.0006506443023681641
98,971,7018.6133,-0.0132280905,76.38,68.70202,345.0155,0.0006439685821533203
99,981,7032.3896,-0.0132280905,76.49,68.84529,345.52502,0.0006616115570068359
100,991,7043.3,-0.0132280905,76.57,68.88405,345.90802,0.0006585121154785156
101,1001,7055.6143,-0.0132280905,76.67,68.98579,346.51105,0.0006468296051025391
102,1011,7059.2217,-0.0132280905,76.7,68.88941,346.62424,0.004009723663330078
103,1021,7062.8315,-0.0132280905,76.729996,68.78717,346.492,0.003862619400024414
104,1031,7066.0205,-0.0132280905,76.759995,68.757706,346.73257,0.004018306732177734
105,1041,7066.7,-0.0132280905,76.759995,68.79775,346.6899,0.003961086273193359
106,1051,7069.868,-0.0132280905,76.79,68.815834,346.6364,0.003970623016357422
107,1061,7072.3257,-0.0132280905,76.81,68.697876,346.4659,0.004008769989013672
108,1071,7073.738,-0.0132280905,76.82,68.767456,346.46298,0.0039365291595458984
109,1081,7076.0283,-0.0132280905,76.84,68.76312,346.4912,0.0038499832153320312
110,1091,7081.8677,-0.0132280905,76.9,68.76544,346.6801,0.003941535949707031
111,1101,7087.433,-0.0132280905,76.96,68.735985,346.78107,0.003941059112548828
112,1111,7088.628,-0.0132280905,76.97,68.72003,346.75543,0.0039179325103759766
113,1121,7088.9365,-0.0132280905,76.97,68.6913,346.73364,0.003843069076538086
114,1131,7091.078,-0.0132280905,76.99,68.76131,346.8642,0.00408172607421875
115,1141,7093.2695,-0.0132280905,77.009995,68.75171,346.9383,0.004088401794433594
116,1151,7096.249,-0.0132280905,77.04,68.72561,347.07422,0.004077434539794922
117,1161,7098.432,-0.0132280905,77.06,68.72906,347.24878,0.004117488861083984
118,1171,7102.1406,-0.0132280905,77.1,68.721344,347.40143,0.003992795944213867
119,1181,7105.9565,-0.0132280905,77.14,68.709305,347.485,0.003989458084106445
120,1191,7107.1504,-0.0132280905,77.15,68.67094,347.3868,0.0038471221923828125
121,1201,7109.331,0.0062155277,77.17,68.70918,347.58853,0.004014253616333008
122,1211,7109.7793,0.0062155277,77.17,68.68415,347.48938,0.004006147384643555
123,1221,7109.9897,0.0062155277,77.17,68.6552,347.44092,0.0038704872131347656
124,1231,7111.998,0.0062155277,77.189995,68.600464,347.47778,0.0039064884185791016
125,1241,7114.2246,0.0062155277,77.21,68.50508,347.3548,0.003938198089599609
126,1251,7118.158,0.0062155277,77.25,68.55722,347.62366,0.004123687744140625
127,1261,7121.7065,0.0062155277,77.29,68.59024,347.74814,0.003945589065551758
128,1271,7122.7915,0.0062155277,77.299995,68.525085,347.67944,0.003975391387939453
129,1281,7124.7104,0.0062155277,77.32,68.53706,347.75864,0.004007816314697266
130,1291,7127.4756,0.0062155277,77.35,68.516335,347.9505,0.004006624221801758
131,1301,7128.578,0.0062155277,77.36,68.518555,347.9952,0.003856182098388672
132,1311,7130.7026,0.0062155277,77.38,68.55513,348.05252,0.004012346267700195
133,1321,7130.853,0.0062155277,77.38,68.50482,348.0188,0.003949880599975586
134,1331,7132.668,0.0062155277,77.4,68.51952,348.01154,0.004133462905883789
135,1341,7136.542,0.0062155277,77.439995,68.48801,348.20428,0.004164457321166992
136,1351,7141.1084,0.0062155277,77.49,68.486664,348.38464,0.0038137435913085938
137,1361,7143.1123,0.0062155277,77.509995,68.43605,348.328,0.003829479217529297
138,1371,7146.0684,0.0062155277,77.54,68.429245,348.37756,0.003829479217529297
139,1381,7148.2734,0.0062155277,77.56,68.46028,348.57153,0.003972768783569336
140,1391,7151.0273,0.0062155277,77.59,68.50955,348.71527,0.003935098648071289
141,1401,7154.697,0.0062155277,77.63,68.58897,348.92886,0.003938913345336914
142,1411,7160.8604,0.0062155277,77.7,68.6626,349.297,0.0040509700775146484
143,1421,7163.5205,0.0062155277,77.729996,68.74384,349.55936,0.0037927627563476562
144,1431,7166.4683,0.0062155277,77.759995,68.744,349.73224,0.0038559436798095703
145,1441,7169.337,0.0062155277,77.79,68.75674,349.90875,0.0038602352142333984
146,1451,7171.3184,0.0062155277,77.81,68.758026,349.99426,0.0040361881256103516
147,1461,7171.5713,0.0062155277,77.81,68.70491,349.91257,0.00392913818359375
148,1471,7172.5986,0.0062155277,77.82,68.68706,349.9173,0.0039179325103759766
149,1481,7175.3784,0.0062155277,77.85,68.707794,350.06454,0.0038993358612060547
150,1491,7178.05,0.0062155277,77.88,68.70569,350.16916,0.003979682922363281
151,1501,7181.0176,0.0062155277,77.909996,68.69556,350.22513,0.004058837890625
152,1511,7187.1562,0.0062155277,77.96,68.77023,350.59802,0.004102945327758789
153,1521,7192.3203,0.0062155277,78.0,68.90157,350.99307,0.004996538162231445
154,1531,7196.298,0.0062155277,78.03,69.07311,351.4057,0.003880739212036133
155,1541,7199.414,0.0062155277,78.049995,69.227,351.54004,0.0040950775146484375
156,1551,7204.1265,0.0062155277,78.09,69.35535,351.8872,0.0039823055267333984
157,1561,7207.8755,0.0062155277,78.119995,69.6486,352.07574,0.003958940505981445
158,1571,7211.2773,0.0062155277,78.15,69.65942,352.31824,0.003997325897216797
159,1581,7214.123,0.0062155277,78.17,69.75054,352.30505,0.0041103363037109375
160,1591,7217.5317,0.0062155277,78.2,69.77063,352.6031,0.003905773162841797
161,1601,7220.133,0.0062155277,78.22,69.9581,352.93094,0.0038046836853027344
162,1611,7223.506,0.0062155277,78.25,70.00772,353.15414,0.005192279815673828
163,1621,7225.798,0.0062155277,78.27,70.0706,353.27408,0.003904581069946289
164,1631,7231.9165,0.0062155277,78.33,70.31713,353.54785,0.0038912296295166016
165,1641,7236.141,0.0062155277,78.369995,70.402664,353.76218,0.003997325897216797
166,1651,7238.4697,0.0062155277,78.39,70.4965,353.97888,0.004122495651245117
167,1661,7242.0977,0.0062155277,78.42,70.62559,354.2505,0.004080533981323242
168,1671,7247.383,0.0062155277,78.47,70.73747,354.29944,0.0038285255432128906
169,1681,7248.812,0.0062155277,78.479996,70.79225,354.45312,0.003810405731201172
170,1691,7253.8,0.0062155277,78.53,70.9875,354.82608,0.003823995590209961
171,1701,7260.6543,0.0062155277,78.6,71.11375,355.31183,0.004132986068725586
172,1711,7262.923,0.0062155277,78.619995,71.186264,355.548,0.004210710525512695
173,1721,7267.902,0.0062155277,78.67,71.173325,355.8504,0.003907918930053711
174,1731,7271.0474,0.0062155277,78.7,71.41634,356.20438,0.003952741622924805
175,1741,7273.1616,0.0062155277,78.72,71.561676,356.37723,0.0039403438568115234
176,1751,7275.572,0.0062155277,78.74,71.604836,356.6689,0.004424095153808594
177,1761,7276.824,0.0062155277,78.75,71.68701,356.74442,0.006613492965698242
178,1771,7279.1597,0.0062155277,78.77,71.82892,356.92014,0.0041351318359375
179,1781,7284.9834,0.0062155277,78.83,71.9227,357.21606,0.004224538803100586
180,1791,7288.392,0.013543248,78.86,71.98474,357.34088,0.0040645599365234375
181,1801,7292.217,0.013543248,78.9,71.9187,357.46085,0.004141092300415039
182,1811,7293.4277,0.013543248,78.909996,71.98744,357.67624,0.0042879581451416016
183,1821,7297.5854,0.013543248,78.95,71.968254,357.93225,0.004064083099365234
184,1831,7298.8726,0.013543248,78.96,72.053665,357.98248,0.004097461700439453
185,1841,7300.8916,0.013543248,78.979996,72.12286,358.17413,0.0068395137786865234
186,1851,7301.1973,0.013543248,78.979996,72.11912,358.17203,0.004184246063232422
187,1861,7302.5586,0.013543248,78.99,72.28377,358.46158,0.004197835922241211
188,1871,7304.8696,0.013543248,79.009995,72.36218,358.53424,0.004003763198852539
189,1881,7306.8726,0.013543248,79.03,72.44382,358.58978,0.005827903747558594
190,1891,7308.075,0.013543248,79.04,72.54329,358.6076,0.004367828369140625
191,1901,7311.117,0.013543248,79.07,72.5535,358.64133,0.004189252853393555
192,1911,7314.0894,0.013543248,79.1,72.47484,358.83386,0.004143953323364258
193,1921,7314.378,0.013543248,79.1,72.47409,358.73837,0.004282474517822266
194,1931,7315.5547,0.013543248,79.11,72.49988,358.7973,0.004163503646850586
195,1941,7317.658,0.013543248,79.13,72.4418,358.8385,0.004085540771484375
196,1951,7318.684,0.013543248,79.14,72.479324,359.0279,0.004996299743652344
197,1961,7320.7427,0.013543248,79.159996,72.48918,359.19757,0.0041141510009765625
198,1971,7322.0063,0.013543248,79.17,72.559875,359.18353,0.005326986312866211
199,1981,7325.85,0.013543248,79.21,72.46663,359.2658,0.004199981689453125
200,1991,7331.507,0.013543248,79.27,72.38449,359.59308,0.004334926605224609
201,2001,7333.733,0.013543248,79.29,72.374985,359.68652,0.004015207290649414
202,2011,7336.867,0.013543248,79.32,72.43642,359.83826,0.004296541213989258
203,2021,7338.9326,0.013543248,79.34,72.61818,359.8346,0.004137754440307617
204,2031,7340.246,0.013543248,79.35,72.63556,359.87634,0.005202531814575195
205,2041,7341.423,0.013543248,79.36,72.64521,359.86798,0.004139423370361328
206,2051,7341.9004,0.013543248,79.36,72.709915,359.96527,0.00409698486328125
207,2061,7344.7983,0.013543248,79.39,72.75276,360.01392,0.004277229309082031
208,2071,7346.0063,0.013543248,79.4,72.87607,359.9331,0.004273414611816406
209,2081,7352.6045,0.013543248,79.47,73.07696,360.10864,0.004952907562255859
210,2091,7353.8135,0.013543248,79.479996,73.23485,360.2422,0.0039026737213134766
