loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,91.38718,-0.12298662,1.23,1.065433e-06,2.488494e-06,1.178575038909912
2,11,484.1448,-0.103889406,6.45,6.504357e-06,1.2889504e-05,0.0006251335144042969
3,21,796.12195,-0.081210725,10.5,1.0021031e-05,2.0973384e-05,0.0006136894226074219
4,31,1068.1803,-0.081210725,13.959999,1.2934208e-05,2.8006732e-05,0.000637054443359375
5,41,1316.1354,-0.07754869,17.019999,1.54078e-05,3.4317374e-05,0.0005695819854736328
6,51,1545.696,-0.050354447,19.849998,1.7374754e-05,3.9748847e-05,0.0005996227264404297
7,61,1733.9655,-0.050354447,22.1,1.8961728e-05,4.4591725e-05,0.0005726814270019531
8,71,1921.1113,-0.050354447,24.32,2.0213425e-05,4.9076974e-05,0.0006110668182373047
9,81,2110.1387,-0.050354447,26.549997,2.156198e-05,5.3681433e-05,0.0006206035614013672
10,91,2284.7974,-0.050354447,28.599998,2.3022294e-05,5.7175756e-05,0.0008213520050048828
11,101,2431.9634,-0.050354447,30.269999,2.3499131e-05,6.107986e-05,0.0006024837493896484
12,111,2588.8555,-0.04033916,32.06,2.4482608e-05,6.48126e-05,0.0005924701690673828
13,121,2731.7705,-0.04033916,33.67,2.4840236e-05,6.831437e-05,0.0005950927734375
14,131,2874.1152,-0.04033916,35.27,2.5235116e-05,7.1428716e-05,0.0005927085876464844
15,141,3016.0952,-0.04033916,36.87,2.5812536e-05,7.592887e-05,0.0006022453308105469
16,151,3142.8628,-0.04033916,38.28,2.6147813e-05,7.968396e-05,0.0006105899810791016
17,161,3272.0728,-0.04033916,39.71,2.6661903e-05,8.2306564e-05,0.00058746337890625
18,171,3410.8743,-0.04033916,41.25,2.7339906e-05,8.611381e-05,0.0006253719329833984
19,181,3514.2832,-0.034307126,42.379997,2.771616e-05,8.8490546e-05,0.0005841255187988281
20,191,3622.2007,-0.034307126,43.53,2.772361e-05,9.050965e-05,0.0006852149963378906
