loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,609.03735,-0.09253296,8.21,-inf,-inf,2.0940728187561035
2,11,2238.398,-0.04202284,28.34,-inf,-inf,0.020456314086914062
3,21,3285.9395,-0.04202284,40.07,-inf,-inf,0.020626306533813477
4,31,4099.2803,-0.04202284,48.76,-inf,-inf,0.022423505783081055
5,41,4761.082,-0.03303373,55.57,-inf,-inf,0.02055835723876953
6,51,5237.3574,-0.024994714,60.23,-inf,-inf,0.0320124626159668
7,61,5636.0967,-0.024994714,63.989998,-inf,-inf,0.02041006088256836
8,71,5961.077,-0.024994714,67.0,-inf,-inf,0.020993471145629883
9,81,6215.7676,-0.024994714,69.26,-inf,-inf,0.027617454528808594
10,91,6392.7803,-0.014945238,70.72,-inf,-inf,0.021342992782592773
11,101,6551.699,-0.014945238,72.04,-inf,-inf,0.02027416229248047
12,111,6662.143,-0.014945238,72.869995,-inf,-inf,0.02075505256652832
13,121,6770.148,-0.014945238,73.71,-inf,-inf,0.037282705307006836
14,131,6856.51,-0.014945238,74.35,-inf,-inf,0.03466439247131348
15,141,6932.212,-0.014945238,74.92,-inf,-inf,0.020502328872680664
16,151,6995.5527,-0.014945238,75.39,-inf,-inf,0.020502090454101562
17,161,7049.199,-0.014945238,75.79,-inf,-inf,0.021210432052612305
18,171,7091.716,-0.014945238,76.09,-inf,-inf,0.020985126495361328
19,181,7126.0786,-0.014153851,76.31,-inf,-inf,0.02081608772277832
20,191,7156.0093,-0.014153851,76.49,-inf,-inf,0.02035689353942871
21,201,7184.8867,-0.014153851,76.689995,-inf,-inf,0.022070884704589844
22,211,7209.455,-0.013405737,76.84,-inf,-inf,0.02123856544494629
23,221,7236.392,-0.013405737,77.03,-inf,-inf,0.023564815521240234
24,231,7248.1973,-0.012931706,77.06,-inf,-inf,0.02178645133972168
25,241,7263.6543,-0.012931706,77.14,-inf,-inf,0.02202153205871582
26,251,7277.311,-0.012931706,77.21,-inf,-inf,0.03483247756958008
27,261,7291.0283,-0.012931706,77.29,-inf,-inf,0.02078700065612793
28,271,7304.5396,-0.012931706,77.369995,-inf,-inf,0.020635128021240234
29,281,7319.3325,-0.012931706,77.47,-inf,-inf,0.03518795967102051
30,291,7334.292,-0.012931706,77.58,-inf,-inf,0.03493762016296387
31,301,7343.458,-0.0065567,77.63,-inf,-inf,0.022466659545898438
32,311,7355.9126,-0.0065567,77.72,-inf,-inf,0.0212705135345459
33,321,7367.498,-0.0065567,77.799995,-inf,-inf,0.03470349311828613
34,331,7374.5605,-0.0065567,77.84,-inf,-inf,0.021219968795776367
35,341,7381.001,-0.0065567,77.869995,-inf,-inf,0.020956993103027344
36,351,7385.807,-0.0065567,77.89,-inf,-inf,0.020691394805908203
37,361,7394.0996,-0.0065567,77.95,-inf,-inf,0.03471565246582031
38,371,7402.534,-0.0065567,78.009995,-inf,-inf,0.02120375633239746
39,381,7409.699,-0.0065567,78.06,-inf,-inf,0.020540714263916016
40,391,7418.7773,-0.0065567,78.13,-inf,-inf,0.02066493034362793
41,401,7424.567,-0.0065567,78.17,-inf,-inf,0.02066636085510254
42,411,7433.837,-0.0065567,78.25,-inf,-inf,0.022620201110839844
43,421,7438.024,-0.0065567,78.27,-inf,-inf,0.022080183029174805
44,431,7442.902,-0.0065567,78.299995,-inf,-inf,0.023301362991333008
45,441,7446.0283,-0.0065567,78.31,-inf,-inf,0.021747112274169922
46,451,7449.8213,-0.0065567,78.33,-inf,-inf,0.02059483528137207
47,461,7455.1772,-0.0065567,78.369995,-inf,-inf,0.022928714752197266
48,471,7459.5645,-0.0065567,78.4,-inf,-inf,0.021094322204589844
49,481,7465.62,-0.0065567,78.45,-inf,-inf,0.03452563285827637
50,491,7468.172,-0.0065567,78.46,-inf,-inf,0.037384033203125
51,501,7469.71,-0.0065567,78.46,-inf,-inf,0.020289897918701172
52,511,7553.8594,-0.0065567,79.33,-inf,-inf,0.03359389305114746
53,521,7610.2266,-0.0019930527,79.92,-inf,-inf,0.04381251335144043
54,531,7654.9883,0.010952525,80.38,-inf,-inf,0.03273177146911621
55,541,7690.3145,0.010952525,80.74,-inf,-inf,0.04317283630371094
56,551,7717.403,0.010952525,81.009995,-inf,-inf,0.029453516006469727
57,561,7744.576,0.010952525,81.29,-inf,-inf,0.03451967239379883
58,571,7776.021,0.010952525,81.61,-inf,-inf,0.04331374168395996
59,581,7800.4634,0.010952525,81.86,-inf,-inf,0.05651569366455078
60,591,7823.93,0.010952525,82.1,-inf,-inf,0.03124070167541504
61,601,7834.6626,0.010952525,82.2,-inf,-inf,0.029518842697143555
62,611,7853.659,0.010952525,82.39,-inf,-inf,0.04330563545227051
63,621,7869.5415,0.010952525,82.549995,-inf,-inf,0.03270292282104492
64,631,7888.581,0.010952525,82.75,-inf,-inf,0.04148149490356445
65,641,7903.148,0.010952525,82.9,-inf,-inf,0.0322415828704834
66,651,7917.852,0.010952525,83.049995,-inf,-inf,0.03145623207092285
67,661,7934.6787,0.010952525,83.22,-inf,-inf,0.044919490814208984
68,671,7955.301,0.010952525,83.43,-inf,-inf,0.028865814208984375
69,681,7967.0957,0.018746607,83.549995,-inf,-inf,0.027371644973754883
70,691,7982.4243,0.018746607,83.71,-inf,-inf,0.03341960906982422
71,701,7994.209,0.018746607,83.83,-inf,-inf,0.027293920516967773
72,711,8010.7773,0.018746607,84.0,-inf,-inf,0.03529071807861328
73,721,8026.6943,0.018746607,84.17,-inf,-inf,0.033265113830566406
74,731,8035.8584,0.018746607,84.259995,-inf,-inf,0.03221750259399414
75,741,8052.0166,0.018746607,84.43,-inf,-inf,0.030939579010009766
76,751,8066.6978,0.018746607,84.58,-inf,-inf,0.02839350700378418
77,761,8094.2607,0.018746607,84.85,-inf,-inf,0.028832197189331055
78,771,8119.863,0.018746607,85.1,-inf,-inf,0.03207755088806152
79,781,8144.5156,0.018746607,85.34,-inf,-inf,0.03303670883178711
80,791,8171.915,0.018746607,85.61,-inf,-inf,0.029016733169555664
81,801,8186.588,0.018746607,85.75,-inf,-inf,0.035544395446777344
82,811,8207.824,0.018746607,85.96,-inf,-inf,0.033931732177734375
83,821,8229.711,0.018746607,86.18,-inf,-inf,0.03221273422241211
84,831,8249.502,0.018746607,86.38,-inf,-inf,0.029498815536499023
85,841,8265.925,0.018746607,86.54,-inf,-inf,0.02829885482788086
86,851,8279.979,0.018746607,86.68,-inf,-inf,0.03435111045837402
87,861,8299.468,0.018746607,86.88,-inf,-inf,0.03408455848693848
88,871,8314.854,0.018746607,87.03,-inf,-inf,0.030172109603881836
89,881,8333.647,0.018746607,87.22,-inf,-inf,0.02813410758972168
90,891,8352.42,0.018746607,87.409996,-inf,-inf,0.033277034759521484
91,901,8365.694,0.018746607,87.54,-inf,-inf,0.02852654457092285
92,911,8380.783,0.018746607,87.689995,-inf,-inf,0.028123855590820312
93,921,8401.264,0.018746607,87.9,-inf,-inf,0.04309654235839844
94,931,8415.172,0.018746607,88.04,-inf,-inf,0.031847238540649414
95,941,8429.243,0.018746607,88.18,-inf,-inf,0.0294344425201416
96,951,8442.307,0.018746607,88.31,-inf,-inf,0.03207659721374512
97,961,8452.353,0.018746607,88.409996,-inf,-inf,0.02869391441345215
98,971,8464.397,0.018746607,88.53,-inf,-inf,0.02806687355041504
99,981,8482.603,0.018746607,88.72,-inf,-inf,0.02685713768005371
100,991,8491.835,0.018746607,88.81,-inf,-inf,0.032654523849487305
101,1001,8502.501,0.018746607,88.92,-inf,-inf,0.03527188301086426
102,1011,8514.403,0.018746607,89.04,-inf,-inf,0.027910232543945312
103,1021,8521.494,0.018746607,89.11,-inf,-inf,0.031110048294067383
104,1031,8535.317,0.018746607,89.25,-inf,-inf,0.028755903244018555
105,1041,8540.575,0.018746607,89.299995,-inf,-inf,0.0279843807220459
106,1051,8549.493,0.0502043,89.39,-inf,-inf,0.029357194900512695
107,1061,8557.675,0.0502043,89.47,-inf,-inf,0.028179168701171875
108,1071,8570.235,0.0502043,89.6,-inf,-inf,0.031562089920043945
109,1081,8580.389,0.0502043,89.7,-inf,-inf,0.027896642684936523
110,1091,8591.208,0.0502043,89.81,-inf,-inf,0.02909541130065918
111,1101,8599.457,0.0502043,89.89,-inf,-inf,0.027698516845703125
112,1111,8608.308,0.0502043,89.979996,-inf,-inf,0.04314470291137695
113,1121,8611.616,0.0502043,90.009995,-inf,-inf,0.028918743133544922
114,1131,8615.808,0.0502043,90.049995,-inf,-inf,0.029997587203979492
115,1141,8622.773,0.0502043,90.119995,-inf,-inf,0.04158425331115723
116,1151,8626.185,0.0502043,90.15,-inf,-inf,0.0290219783782959
117,1161,8633.404,0.0502043,90.22,-inf,-inf,0.03146672248840332
118,1171,8640.214,0.0502043,90.29,-inf,-inf,0.03937339782714844
119,1181,8642.306,0.0502043,90.31,-inf,-inf,0.031485557556152344
120,1191,8652.702,0.0502043,90.42,-inf,-inf,0.02973318099975586
121,1201,8660.133,0.0502043,90.5,-inf,-inf,0.03218722343444824
122,1211,8666.158,0.0502043,90.56,-inf,-inf,0.031540870666503906
123,1221,8674.067,0.0502043,90.64,-inf,-inf,0.029360055923461914
124,1231,8677.121,0.0502043,90.67,-inf,-inf,0.030455350875854492
125,1241,8684.757,0.0502043,90.75,-inf,-inf,0.028203964233398438
126,1251,8690.777,0.0502043,90.81,-inf,-inf,0.04468393325805664
127,1261,8697.927,0.0502043,90.88,-inf,-inf,0.04436540603637695
128,1271,8704.811,0.0502043,90.95,-inf,-inf,0.04399538040161133
129,1281,8715.548,0.0502043,91.06,-inf,-inf,0.041881561279296875
130,1291,8724.419,0.0502043,91.15,-inf,-inf,0.04302239418029785
131,1301,8726.787,0.0502043,91.17,-inf,-inf,0.032663822174072266
132,1311,8732.648,0.0502043,91.229996,-inf,-inf,0.02884840965270996
133,1321,8742.592,0.0502043,91.329994,-inf,-inf,0.02839040756225586
134,1331,8744.955,0.0502043,91.35,-inf,-inf,0.04319334030151367
