loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,609.03735,-0.09253296,8.21,0.0,6.1210245e-05,2.021855592727661
2,11,2238.398,-0.04202284,28.34,0.0,0.00021962076,0.799182653427124
3,21,3285.9395,-0.04202284,40.07,0.0,0.00031618774,0.7894408702850342
4,31,4099.2803,-0.04202284,48.76,0.0,0.0003891643,0.7807557582855225
5,41,4761.082,-0.03303373,55.57,0.0,0.0004470218,0.8674919605255127
6,51,5236.4736,-0.024994714,60.219997,0.0,0.00048376247,0.8421194553375244
7,61,5635.213,-0.024994714,63.98,0.0,0.00051511824,0.860837459564209
8,71,5960.1934,-0.024994714,66.99,0.0,0.00053696986,0.8323512077331543
9,81,6214.879,-0.024994714,69.25,0.0,0.0005536815,0.7945833206176758
10,91,6391.8545,-0.014945238,70.71,0.0,0.00056634564,0.8293986320495605
11,101,6550.773,-0.014945238,72.03,0.0,0.00057665166,0.7865140438079834
12,111,6662.143,-0.014945238,72.869995,0.0,0.0005826913,0.7960469722747803
13,121,6770.148,-0.014945238,73.71,0.0,0.00058588665,0.7888498306274414
14,131,6856.51,-0.014945238,74.35,0.0,0.0005858885,1.3291032314300537
15,141,6932.212,-0.014945238,74.92,0.0,0.000586628,0.8167753219604492
16,151,6995.5527,-0.014945238,75.39,0.0,0.00059218705,0.9640011787414551
17,161,7049.199,-0.014945238,75.79,0.0,0.0005939631,0.8089790344238281
18,171,7091.716,-0.014945238,76.09,0.0,0.00059602037,0.7924389839172363
19,181,7126.0786,-0.014153851,76.31,0.0,0.00059504807,0.7888679504394531
20,191,7156.0093,-0.014153851,76.49,0.0,0.0006003529,0.7884852886199951
21,201,7184.8867,-0.014153851,76.69,0.0,0.0006036069,0.7922165393829346
22,211,7209.455,-0.013405737,76.84,0.0,0.0006052898,0.8257246017456055
23,221,7236.392,-0.013405737,77.03,0.0,0.00060799345,0.7914233207702637
24,231,7248.1973,-0.012931706,77.06,0.0,0.0006052004,0.7964134216308594
25,241,7263.6543,-0.012931706,77.14,0.0,0.00060629845,0.8009016513824463
26,251,7277.311,-0.012931706,77.21,0.0,0.0006054053,0.7997028827667236
27,261,7291.0283,-0.012931706,77.29,0.0,0.0006065117,0.7978017330169678
28,271,7304.5396,-0.012931706,77.37,0.0,0.00060703047,0.7893092632293701
29,281,7319.3325,-0.012931706,77.47,0.0,0.00060898345,0.8564591407775879
30,291,7334.292,-0.012931706,77.58,0.0,0.00061009265,0.7969644069671631
31,301,7343.458,-0.0065567,77.63,0.0,0.0006096922,0.7960476875305176
32,311,7355.9126,-0.0065567,77.72,0.0,0.000610007,0.796222448348999
33,321,7367.498,-0.0065567,77.8,0.0,0.00061050616,0.8632214069366455
34,331,7374.5605,-0.0065567,77.840004,0.0,0.00061009545,0.7927889823913574
35,341,7381.001,-0.0065567,77.87,0.0,0.0006113341,0.794769287109375
36,351,7385.807,-0.0065567,77.89,0.0,0.0006105071,0.7952671051025391
37,361,7394.0996,-0.0065567,77.95,0.0,0.00061142724,0.8276171684265137
38,371,7402.534,-0.0065567,78.01,0.0,0.0006112484,0.7979083061218262
39,381,7409.699,-0.0065567,78.06,0.0,0.0006130552,0.7868552207946777
40,391,7418.7773,-0.0065567,78.13,0.0,0.00061259326,0.7854287624359131
41,401,7424.567,-0.0065567,78.17,0.0,0.0006116638,0.8156716823577881
42,411,7433.837,-0.0065567,78.25,0.0,0.0006128885,0.7874577045440674
43,421,7438.024,-0.0065567,78.27,0.0,0.00061257,0.7891738414764404
44,431,7442.902,-0.0065567,78.3,0.0,0.0006136112,0.7975978851318359
45,441,7446.0283,-0.0065567,78.31,0.0,0.0006134305,0.7897248268127441
46,451,7449.8213,-0.0065567,78.33,0.0,0.0006154422,0.7927320003509521
47,461,7455.1772,-0.0065567,78.369995,0.0,0.00061595254,0.8001165390014648
48,471,7459.5645,-0.0065567,78.4,0.0,0.00061677955,1.0692386627197266
49,481,7465.62,-0.0065567,78.45,0.0,0.00061484054,1.1691067218780518
50,491,7468.172,-0.0065567,78.46,0.0,0.0006160792,0.7918105125427246
51,501,7469.71,-0.0065567,78.46,0.0,0.0006161472,0.8028934001922607
52,511,7244.9556,-0.0065567,76.02,0.0,0.00059425086,0.8278357982635498
53,521,7106.9897,-0.0065567,74.53999,0.0,0.000581298,0.8262290954589844
54,531,7004.7466,-0.0065567,73.439995,0.0,0.0005718656,0.7916316986083984
55,541,6931.5894,-0.0065567,72.649994,0.0,0.00056627113,0.8690717220306396
56,551,6866.5957,-0.0065567,71.95,0.0,0.00056060683,0.7924594879150391
57,561,6799.571,-0.0065567,71.23,0.0,0.0005543241,0.78725266456604
58,571,6723.2007,-0.0065567,70.409996,0.0,0.00054866634,1.1199984550476074
