loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,544.582,-0.08502316,7.2799997,7.2752824,36.326576,4.137640953063965
2,11,1680.9856,-0.06355996,21.02,20.979778,104.81636,1.5286140441894531
3,21,2308.811,-0.06399071,27.919998,27.864117,139.07687,1.5988192558288574
4,31,2871.809,-0.04235391,33.98,33.855576,169.36363,1.519352674484253
5,41,3277.5776,-0.041394558,38.1,37.973606,189.94348,1.687293529510498
6,51,3556.6055,-0.020038474,40.77,40.68988,203.25363,1.5773165225982666
7,61,3801.719,-0.020388026,43.12,43.025375,214.90312,1.5083062648773193
8,71,4012.9558,-0.020952998,45.09,45.00891,224.71062,1.510484218597412
9,81,4137.0674,-0.012925113,46.12,46.06135,229.82376,1.5418689250946045
10,91,4264.5176,-0.006558563,47.239998,47.077557,235.52231,1.5215399265289307
11,101,4390.79,-0.007854025,48.38,48.25527,240.96017,1.5546984672546387
12,111,4413.0205,-0.0065261163,48.38,48.25773,241.12134,1.5476818084716797
13,121,4474.913,0.00038958367,48.859997,48.702637,243.53308,1.516533613204956
14,131,4542.7363,-0.00016643741,49.399998,49.232513,246.22597,1.5633578300476074
15,141,4537.855,0.0005125729,49.17,49.04834,245.20184,1.6280202865600586
16,151,4597.9927,0.0005261622,49.69,49.560883,247.7442,1.506934642791748
17,161,4611.016,0.0012504751,49.71,49.606987,247.90071,1.8750269412994385
18,171,4580.405,0.0020047703,49.289997,49.148327,245.80426,2.101956367492676
19,181,4631.9663,0.0005211271,49.749996,49.59811,248.02332,1.6165602207183838
20,191,4651.616,0.0007175884,49.87,49.696,248.62164,1.5291268825531006
21,201,4609.1104,0.00084602874,49.339996,49.207684,245.8629,1.5544390678405762
22,211,4618.422,0.001748901,49.379997,49.200294,246.23082,1.5738799571990967
23,221,4602.723,0.0012272336,49.149998,49.019955,245.3045,1.8141989707946777
24,231,4578.044,0.0013337912,48.829998,48.65373,243.55957,1.5578012466430664
25,241,4617.978,0.0018308247,49.219997,49.094467,245.15117,1.5749914646148682
26,251,4579.469,0.0016734179,48.769997,48.64265,243.20169,1.5728909969329834
27,261,4577.5444,0.0014622393,48.71,48.559418,242.74202,1.5615785121917725
28,271,4595.006,0.001293267,48.85,48.615273,243.41612,1.517528772354126
29,281,4570.6675,0.0014708565,48.559998,48.429344,242.1915,1.5452027320861816
30,291,4605.828,0.0015130378,48.89,48.762268,243.69855,1.579498052597046
31,301,4541.9497,0.0015334738,48.18,48.011936,240.29697,1.6622810363769531
32,311,4522.2515,0.0017976275,47.94,47.8036,238.97882,1.5438106060028076
33,321,4570.9814,0.0015648181,48.46,48.295677,241.34705,1.6024329662322998
34,331,4568.4614,0.0012843362,48.39,48.16025,241.24219,1.5654566287994385
35,341,4512.062,0.0014534488,47.75,47.59999,238.08934,1.5404398441314697
36,351,4570.243,0.0013993175,48.36,48.20561,241.11887,1.5525636672973633
37,361,4558.298,0.0017485885,48.2,48.015728,240.24286,1.538468360900879
38,371,4535.558,0.0012815256,47.94,47.82051,238.96666,1.590238332748413
39,381,4498.702,0.0017908306,47.53,47.373947,236.9143,1.5783655643463135
40,391,4517.1133,0.0014688952,47.72,47.544434,238.00955,1.653442144393921
41,401,4496.85,0.0014511889,47.48,47.298035,236.68427,1.8654470443725586
42,411,4513.2876,0.0016816311,47.66,47.528202,237.655,1.5957298278808594
43,421,4494.705,0.0013617228,47.45,47.340866,236.49493,1.6232075691223145
44,431,4500.5864,0.0013563386,47.48,47.296417,236.64035,1.5797441005706787
45,441,4482.679,0.0016991107,47.28,47.16829,235.712,1.5579075813293457
46,451,4490.6304,0.0017903689,47.36,47.23861,236.0352,1.5665452480316162
47,461,4494.5396,0.00169246,47.39,47.3068,236.28253,1.5417606830596924
48,471,4492.825,0.0021480438,47.36,47.210976,236.06078,1.5254020690917969
49,481,4502.4346,0.0015907466,47.46,47.285244,236.71648,1.597050428390503
50,491,4453.43,0.001431119,46.93,46.797718,234.04181,1.5450763702392578
51,501,4467.791,0.0012974527,47.059998,46.916306,234.5133,1.5547425746917725
52,511,4462.4346,0.0012946745,47.0,46.84883,234.29443,1.5539302825927734
53,521,4442.3516,0.0023409992,46.789997,46.643524,233.31113,1.5451467037200928
54,531,4430.378,0.0018213505,46.66,46.51821,232.46353,1.5916404724121094
55,541,4467.851,0.0016573017,47.059998,46.972137,234.6397,1.5646932125091553
56,551,4436.2637,0.0018092511,46.719997,46.61759,232.97928,1.517775297164917
57,561,4445.162,0.0017821082,46.84,46.70042,233.41884,1.5104224681854248
58,571,4427.445,0.0020200307,46.629997,46.50226,232.49066,1.5581116676330566
59,581,4423.0137,0.0016853645,46.589996,46.46251,232.1279,1.533402442932129
60,591,4393.794,0.0018051385,46.269997,46.133736,230.46613,1.5078935623168945
61,601,4435.988,0.0016902366,46.719997,46.551792,233.04784,1.534531593322754
62,611,4410.7026,0.0015390405,46.449997,46.277496,231.536,1.5974552631378174
63,621,4372.867,0.0020783027,46.05,45.93148,229.5296,1.533616304397583
64,631,4410.4707,0.002030687,46.449997,46.30104,231.61137,2.0306389331817627
65,641,4434.177,0.001587345,46.71,46.585922,232.83197,2.247685670852661
66,651,4403.263,0.0020352127,46.379997,46.210217,231.17273,1.622265100479126
67,661,4375.0195,0.0015811524,46.079998,45.938435,229.63322,1.5532498359680176
68,671,4413.2134,0.0017148838,46.48,46.329987,231.59727,1.6402029991149902
69,681,4438.4907,0.0016096187,46.76,46.60382,233.04254,1.600104570388794
70,691,4382.157,0.0014087864,46.149998,46.004726,230.12483,1.5438494682312012
71,701,4391.585,0.0016005521,46.26,46.14256,230.51187,1.5524671077728271
72,711,4376.63,0.0014445735,46.1,45.970505,229.95454,1.5452969074249268
73,721,4379.9917,0.001920637,46.14,46.022385,229.9986,1.5248517990112305
74,731,4394.5703,0.0013863818,46.289997,46.157104,230.65375,1.5832126140594482
