loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,85.66262,-0.12261717,1.15,1.1372635,5.7403507,4.452382326126099
2,11,422.15778,-0.11070024,5.6,5.5729237,27.860752,1.5960659980773926
3,21,690.7744,-0.094325766,9.0199995,9.000964,44.971825,1.8051199913024902
4,31,897.5727,-0.09342319,11.599999,11.559681,57.791084,1.540511131286621
5,41,1077.5049,-0.090314485,13.74,13.68796,68.52747,1.5615065097808838
6,51,1244.534,-0.08189446,15.75,15.67578,78.59203,1.5664663314819336
7,61,1377.58,-0.0729368,17.31,17.240833,86.341385,1.5448272228240967
8,71,1519.5105,-0.071743324,18.96,18.890411,94.6174,1.5459721088409424
9,81,1636.768,-0.07240341,20.32,20.23783,101.19283,1.5203850269317627
10,91,1763.3269,-0.07184404,21.789999,21.741262,108.61252,1.5580198764801025
11,101,1855.226,-0.072138056,22.8,22.75659,113.65553,1.4869043827056885
12,111,1953.04,-0.073437944,23.9,23.834732,119.11634,1.5254342555999756
13,121,2075.5059,-0.0665745,25.259998,25.178238,125.99719,1.5654468536376953
14,131,2136.4226,-0.0571373,25.88,25.865845,128.91461,1.5412981510162354
15,141,2245.5525,-0.05888893,27.109999,27.067345,135.21408,1.5674247741699219
16,151,2306.2378,-0.05760432,27.71,27.62345,138.15245,1.5064170360565186
17,161,2371.014,-0.053827662,28.380001,28.305426,141.5738,1.544431447982788
18,171,2438.8135,-0.05331549,29.13,29.021168,145.36491,1.553276777267456
19,181,2537.559,-0.045960415,30.19,30.079449,150.44315,1.5346448421478271
20,191,2553.4453,-0.04532585,30.249998,30.16861,150.80869,1.547074794769287
21,201,2684.3179,-0.046233002,31.77,31.664616,158.37067,1.52852201461792
22,211,2717.2966,-0.04599119,32.05,31.96688,159.78534,1.644967794418335
23,221,2767.7515,-0.042825688,32.54,32.424606,162.32913,1.5668730735778809
24,231,2822.618,-0.04366362,33.1,33.007694,165.03647,1.5291051864624023
25,241,2891.3984,-0.040650547,33.84,33.783,168.75902,1.6418585777282715
26,251,2947.2847,-0.04000356,34.39,34.253723,171.49248,1.6621887683868408
27,261,3000.4543,-0.041212633,34.93,34.840622,174.15755,1.860701322555542
28,271,3058.47,-0.0395424,35.53,35.412346,176.89021,1.5813426971435547
29,281,3101.2207,-0.039481685,35.95,35.82236,179.31921,1.5361263751983643
30,291,3159.0747,-0.0398512,36.539997,36.42126,182.1082,1.6194877624511719
31,301,3148.341,-0.040566172,36.35,36.23647,181.27164,1.5361764430999756
32,311,3217.5496,-0.038680688,37.059998,36.99411,184.76857,1.5409367084503174
33,321,3332.6086,-0.0388169,38.34,38.23129,191.12143,1.5594725608825684
34,331,3379.571,-0.037165098,38.83,38.723705,193.56415,1.5748469829559326
35,341,3330.2559,-0.038670413,38.17,38.061905,190.12067,1.5941996574401855
36,351,3425.4058,-0.037631586,39.23,39.122055,195.58005,1.5888116359710693
37,361,3491.0269,-0.0370603,39.859997,39.78008,198.81241,1.58103346824646
38,371,3503.5198,-0.03789796,39.96,39.81466,199.25069,1.5729568004608154
39,381,3568.4062,-0.036868267,40.649998,40.523884,202.50937,1.5373692512512207
40,391,3587.598,-0.037405107,40.78,40.697372,203.29639,1.599863052368164
41,401,3571.5374,-0.037064463,40.52,40.420586,202.01384,1.55405855178833
42,411,3629.594,-0.03660544,41.149998,41.02612,205.21062,1.5323278903961182
43,421,3659.6282,-0.036535498,41.42,41.31185,206.46448,1.6198711395263672
44,431,3730.902,-0.036576714,42.17,42.033108,210.19907,1.5583252906799316
45,441,3719.9087,-0.03314561,42.0,41.880207,209.44943,1.589679479598999
46,451,3726.7886,-0.03469557,42.02,41.895607,209.51874,1.561814785003662
47,461,3820.1384,-0.034171674,43.019997,42.91458,214.51326,1.5889651775360107
48,471,3836.8962,-0.028446406,43.159996,43.029778,215.24289,1.56862473487854
49,481,3823.689,-0.03005347,42.94,42.842567,213.93137,1.5768580436706543
50,491,3866.643,-0.028525714,43.35,43.257458,215.91159,1.5026133060455322
51,501,3901.1074,-0.028875144,43.71,43.590218,218.0231,1.5870869159698486
52,511,3910.0142,-0.028946014,43.78,43.66489,218.15176,1.8517343997955322
53,521,3968.7163,-0.030417833,44.36,44.230476,221.08769,1.881554126739502
54,531,3959.7139,-0.029353708,44.2,44.139217,220.27763,1.5791339874267578
55,541,3987.5999,-0.028654695,44.46,44.297455,221.62679,1.5763523578643799
56,551,3971.6375,-0.029775016,44.28,44.149345,220.62473,1.5352380275726318
57,561,4022.6775,-0.028529303,44.77,44.658813,223.16588,1.5688433647155762
58,571,4024.6943,-0.028638104,44.77,44.6672,223.09163,1.5766816139221191
59,581,4085.5652,-0.02876958,45.4,45.26589,226.53026,1.5636205673217773
60,591,4074.2886,-0.022663733,45.21,45.065033,225.64246,1.5513343811035156
61,601,4093.6562,-0.02297428,45.4,45.26481,226.29755,1.5840656757354736
62,611,4124.3916,-0.022537934,45.699997,45.557945,227.74133,1.549370527267456
63,621,4135.1665,-0.022772469,45.8,45.6699,228.28307,1.5514791011810303
64,631,4189.7593,-0.023104502,46.35,46.20924,231.02414,1.529447078704834
65,641,4197.355,-0.022165168,46.399998,46.261284,231.2348,1.5361549854278564
66,651,4184.7124,-0.022442456,46.23,46.08245,230.57327,1.4842216968536377
67,661,4219.915,-0.022232844,46.589996,46.478825,232.17389,1.580636978149414
68,671,4216.3184,-0.022689661,46.51,46.36486,232.04977,1.5542263984680176
69,681,4200.8213,-0.023631237,46.3,46.16012,230.78104,1.5790953636169434
70,691,4269.3164,-0.023172101,47.02,46.898895,234.27196,1.5959115028381348
71,701,4260.24,-0.023203382,46.89,46.79348,233.53557,1.5319361686706543
72,711,4262.96,-0.022973267,46.89,46.733063,233.84291,1.5807175636291504
73,721,4282.3887,-0.02202221,47.059998,46.916,234.58331,1.5761570930480957
74,731,4287.496,-0.02198208,47.09,46.936466,234.72932,1.5383806228637695
75,741,4305.118,-0.022001766,47.25,47.136402,235.56566,1.556882619857788
76,751,4321.4653,-0.022469636,47.41,47.285828,236.32199,1.5793161392211914
77,761,4326.1216,-0.023127127,47.41,47.20175,236.4263,1.5230567455291748
78,771,4360.851,-0.022897098,47.78,47.63338,238.23718,1.6082563400268555
79,781,4328.441,-0.02226381,47.379997,47.26036,236.29768,1.712754249572754
80,791,4374.9893,-0.022512214,47.86,47.727406,238.70209,1.5685954093933105
81,801,4336.418,-0.020487146,47.39,47.209923,236.1702,1.8828306198120117
82,811,4354.47,-0.020539021,47.57,47.440598,237.0325,1.6116485595703125
83,821,4407.615,-0.02188676,48.16,48.010086,240.33018,1.6540307998657227
84,831,4380.382,-0.02064384,47.81,47.703884,238.4775,1.5898265838623047
85,841,4419.225,-0.021610256,48.2,48.05272,240.35507,1.56080961227417
86,851,4450.65,-0.021492554,48.52,48.35401,241.86311,1.5555739402770996
