loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,88.673256,-0.118388355,1.1899999,1.115787,5.3027225,3.279134511947632
2,11,483.12982,-0.10828363,6.46,5.923526,29.102434,0.003743886947631836
3,21,818.7446,-0.09107004,10.79,9.817253,48.614212,0.0056574344635009766
4,31,1099.5911,-0.09107004,14.349999,13.019599,64.5676,0.003705263137817383
5,41,1356.5521,-0.089703836,17.51,15.867153,78.89956,0.0035772323608398438
6,51,1588.1425,-0.081963465,20.34,18.400492,91.65815,0.0035202503204345703
7,61,1805.0828,-0.07114111,22.96,20.75721,103.64418,0.003373384475708008
8,71,2004.3315,-0.07114111,25.33,23.02371,113.77641,0.003623485565185547
9,81,2192.2812,-0.07114111,27.58,25.043243,123.70618,0.0034339427947998047
10,91,2352.7742,-0.07114111,29.439999,26.62204,132.26541,0.0036089420318603516
11,101,2521.8792,-0.07114111,31.369999,28.335712,140.99536,0.0035715103149414062
12,111,2664.2322,-0.07114111,32.989998,29.771673,148.5076,0.003599882125854492
13,121,2822.2866,-0.065895595,34.739998,31.264091,156.43652,0.003638029098510742
14,131,2964.044,-0.06406176,36.32,32.686954,163.53584,0.003654003143310547
15,141,3095.6562,-0.059493765,37.78,34.04882,170.16992,0.0035691261291503906
16,151,3227.3062,-0.059493765,39.239998,35.30281,176.65405,0.003640413284301758
17,161,3335.3484,-0.04898273,40.399998,36.42086,181.92627,0.0035228729248046875
18,171,3452.31,-0.04898273,41.69,37.551727,187.56992,0.0056915283203125
19,181,3561.2202,-0.0447689,42.829998,38.54834,192.43481,0.0035631656646728516
20,191,3673.1523,-0.0447689,44.01,39.596966,197.73984,0.005357265472412109
21,201,3791.3145,-0.0447689,45.289997,40.81446,203.13011,0.007431745529174805
22,211,3889.1152,-0.0447689,46.34,41.74823,207.84607,0.0036826133728027344
23,221,4001.1719,-0.04313878,47.55,42.882103,213.36945,0.00810694694519043
24,231,4090.8035,-0.04313878,48.489998,43.61835,217.80185,0.0035295486450195312
25,241,4188.0874,-0.039519977,49.51,44.556313,222.60715,0.00347900390625
26,251,4277.3213,-0.03878072,50.42,45.368347,226.7929,0.0037055015563964844
27,261,4362.7163,-0.03878072,51.309998,46.193275,230.80544,0.005472421646118164
28,271,4443.0747,-0.037529454,52.149998,46.951904,234.52924,0.004141569137573242
29,281,4523.779,-0.037529454,52.969997,47.735893,238.13318,0.0035436153411865234
30,291,4605.6875,-0.037529454,53.82,48.5205,241.89177,0.006653785705566406
31,301,4692.068,-0.037529454,54.71,49.25586,245.96576,0.003587484359741211
32,311,4782.5527,-0.03713167,55.67,50.1636,250.4139,0.0036890506744384766
33,321,4845.6685,-0.036664043,56.289997,50.726875,253.14879,0.003469705581665039
34,331,4935.1777,-0.036664043,57.21,51.606445,257.42102,0.003523111343383789
35,341,5006.794,-0.036664043,57.93,52.348175,260.86603,0.005548238754272461
36,351,5080.178,-0.036664043,58.67,53.06295,264.5127,0.0036041736602783203
37,361,5155.4375,-0.036664043,59.41,53.696594,267.5795,0.003641843795776367
38,371,5209.2627,-0.036664043,59.93,54.12808,269.91245,0.004021883010864258
39,381,5270.4497,-0.036205735,60.52,54.62532,272.51544,0.0036182403564453125
40,391,5326.654,-0.036205735,61.059998,55.07887,275.03925,0.003525257110595703
41,401,5387.796,-0.036205735,61.66,55.59046,277.58704,0.0035195350646972656
42,411,5450.1016,-0.036205735,62.28,56.150024,280.5845,0.005346536636352539
43,421,5508.9556,-0.036205735,62.859997,56.73905,282.77588,0.005471229553222656
44,431,5563.45,-0.036205735,63.379997,57.24942,285.12268,0.0035676956176757812
