loop,iteration,qd_score,max_fitness,coverage,time
1,1,91.38718,-0.12298663,1.23,2.300633192062378
2,11,484.1448,-0.10388941,6.45,0.002918720245361328
3,21,796.12195,-0.081210725,10.5,0.002881288528442383
4,31,1068.1802,-0.081210725,13.96,0.0029404163360595703
5,41,1316.1354,-0.07754871,17.02,0.0028924942016601562
6,51,1545.696,-0.050354447,19.85,0.0029022693634033203
7,61,1733.9655,-0.050354447,22.1,0.0028982162475585938
8,71,1921.1113,-0.050354447,24.32,0.002939939498901367
9,81,2110.1387,-0.050354447,26.55,0.0029120445251464844
10,91,2284.7974,-0.050354447,28.599998,0.002931356430053711
11,101,2431.9634,-0.050354447,30.269999,0.002962350845336914
12,111,2588.8555,-0.040339153,32.059998,0.0028810501098632812
13,121,2731.7705,-0.040339153,33.67,0.002961874008178711
14,131,2874.1152,-0.040339153,35.27,0.0029785633087158203
15,141,3016.0952,-0.040339153,36.87,0.002889394760131836
16,151,3142.8628,-0.040339153,38.28,0.0029137134552001953
17,161,3272.0728,-0.040339153,39.71,0.002976655960083008
18,171,3410.8743,-0.040339153,41.25,0.0029916763305664062
19,181,3514.2832,-0.03430713,42.379997,0.002866983413696289
20,191,3622.2007,-0.03430713,43.53,0.0029611587524414062
21,201,3729.708,-0.03430713,44.68,0.0029463768005371094
22,211,3834.018,-0.03430713,45.8,0.002959012985229492
23,221,3940.2354,-0.03430713,46.95,0.0029287338256835938
24,231,4048.7983,-0.03430713,48.11,0.0029990673065185547
25,241,4142.6133,-0.03430713,49.1,0.0029685497283935547
26,251,4229.0522,-0.03430713,50.0,0.0029680728912353516
27,261,4305.6973,-0.03430713,50.78,0.002931833267211914
28,271,4391.964,-0.03430713,51.649998,0.0029649734497070312
29,281,4475.6323,-0.027149497,52.5,0.004383087158203125
30,291,4550.542,-0.027149497,53.26,0.002998828887939453
31,301,4635.857,-0.027149497,54.12,0.0029227733612060547
32,311,4716.456,-0.027149497,54.94,0.002909421920776367
33,321,4792.066,-0.027149497,55.71,0.002948284149169922
34,331,4863.2275,-0.027149497,56.42,0.0029022693634033203
35,341,4938.983,-0.027149497,57.199997,0.0030088424682617188
36,351,5006.3623,-0.027149497,57.87,0.004836082458496094
37,361,5083.1147,-0.027149497,58.66,0.0029151439666748047
38,371,5155.8735,-0.027149497,59.399998,0.003020048141479492
39,381,5222.7817,-0.027149497,60.07,0.002954244613647461
40,391,5271.811,-0.027149497,60.539997,0.0029447078704833984
41,401,5334.5347,-0.027149497,61.17,0.004587888717651367
42,411,5395.7407,0.0,61.77,0.002979278564453125
43,421,5451.881,0.0,62.32,0.003055572509765625
44,431,5520.2734,0.0,63.0,0.0031948089599609375
45,441,5576.5796,0.0,63.55,0.0029375553131103516
46,451,5634.4316,0.0,64.1,0.002954244613647461
