loop,iteration,qd_score,max_fitness,coverage,time
1,1,88.673256,-0.118388355,1.1899999,3.0099494457244873
2,11,483.12982,-0.10828363,6.46,0.005444526672363281
3,21,818.7446,-0.09107004,10.79,0.0035812854766845703
4,31,1099.5911,-0.09107004,14.349999,0.003529787063598633
5,41,1356.5521,-0.089703836,17.51,0.0055043697357177734
6,51,1588.1425,-0.081963465,20.34,0.003492593765258789
7,61,1805.0828,-0.07114111,22.96,0.003469228744506836
8,71,2004.3315,-0.07114111,25.33,0.0036163330078125
9,81,2192.2812,-0.07114111,27.58,0.0035784244537353516
10,91,2352.7742,-0.07114111,29.439999,0.003443479537963867
11,101,2521.8792,-0.07114111,31.369999,0.003506898880004883
12,111,2664.2322,-0.07114111,32.989998,0.0035543441772460938
13,121,2822.2866,-0.065895595,34.739998,0.003506183624267578
14,131,2964.044,-0.06406176,36.32,0.0035071372985839844
15,141,3095.6562,-0.059493765,37.78,0.0034961700439453125
16,151,3227.3062,-0.059493765,39.239998,0.0034711360931396484
17,161,3335.3484,-0.04898273,40.399998,0.0033974647521972656
18,171,3452.31,-0.04898273,41.69,0.009056806564331055
19,181,3561.2202,-0.0447689,42.829998,0.003326416015625
20,191,3673.1523,-0.0447689,44.01,0.003488779067993164
21,201,3791.3145,-0.0447689,45.289997,0.0033762454986572266
22,211,3889.1152,-0.0447689,46.34,0.00556635856628418
23,221,4001.1719,-0.04313878,47.55,0.0035047531127929688
24,231,4090.8035,-0.04313878,48.489998,0.0034704208374023438
25,241,4188.0874,-0.039519977,49.51,0.0033833980560302734
26,251,4277.3213,-0.03878072,50.42,0.003394603729248047
27,261,4362.7163,-0.03878072,51.309998,0.003407716751098633
28,271,4443.0747,-0.037529454,52.149998,0.003550291061401367
29,281,4523.779,-0.037529454,52.969997,0.00347900390625
30,291,4605.6875,-0.037529454,53.82,0.0036187171936035156
31,301,4692.068,-0.037529454,54.71,0.00551295280456543
32,311,4782.5527,-0.03713167,55.67,0.007305145263671875
33,321,4845.6685,-0.036664043,56.289997,0.003507852554321289
34,331,4935.1777,-0.036664043,57.21,0.0035195350646972656
35,341,5006.794,-0.036664043,57.93,0.003568887710571289
36,351,5080.178,-0.036664043,58.67,0.0034246444702148438
37,361,5155.4375,-0.036664043,59.41,0.008291482925415039
38,371,5209.2627,-0.036664043,59.93,0.0033190250396728516
39,381,5270.4497,-0.036205735,60.52,0.0034575462341308594
40,391,5326.654,-0.036205735,61.059998,0.0034837722778320312
41,401,5387.796,-0.036205735,61.66,0.0034875869750976562
42,411,5450.1016,-0.036205735,62.28,0.003462553024291992
43,421,5508.9556,-0.036205735,62.859997,0.008500099182128906
44,431,5563.45,-0.036205735,63.379997,0.005585908889770508
45,441,5622.9946,-0.036205735,63.969997,0.00357818603515625
46,451,5664.848,-0.036205735,64.36,0.0034737586975097656
47,461,5719.473,-0.036205735,64.9,0.0034027099609375
48,471,5762.758,-0.025153378,65.31,0.0034329891204833984
49,481,5817.266,-0.025153378,65.84,0.003298521041870117
50,491,5856.4336,-0.025153378,66.2,0.007081270217895508
51,501,5906.3843,-0.025153378,66.68,0.0034165382385253906
52,511,5947.9688,-0.025153378,67.07,0.0034532546997070312
53,521,5997.377,-0.025153378,67.54,0.003509521484375
54,531,6030.3623,-0.025153378,67.84,0.003523588180541992
55,541,6073.036,-0.025153378,68.229996,0.0035822391510009766
56,551,6123.0947,-0.025153378,68.72,0.003406524658203125
57,561,6165.7734,-0.025153378,69.13,0.008432865142822266
58,571,6211.6255,-0.025153378,69.57,0.005466938018798828
59,581,6240.784,-0.025153378,69.83,0.0035507678985595703
60,591,6269.5156,-0.018067472,70.08,0.0035445690155029297
61,601,6304.036,-0.018067472,70.4,0.004805088043212891
62,611,6333.976,-0.018067472,70.67,0.0036110877990722656
63,621,6361.0205,-0.018067472,70.9,0.0035600662231445312
64,631,6390.072,-0.018067472,71.15,0.005509376525878906
65,641,6422.421,-0.018067472,71.45,0.0045928955078125
66,651,6452.392,-0.018067472,71.72,0.00545811653137207
67,661,6485.6035,-0.018067472,72.04,0.0055124759674072266
68,671,6515.0127,-0.018067472,72.31,0.003607511520385742
69,681,6547.588,-0.018067472,72.61,0.0036287307739257812
70,691,6568.921,-0.018067472,72.79,0.0035126209259033203
71,701,6595.1,-0.018067472,73.02,0.0035669803619384766
