loop,iteration,qd_score,max_fitness,coverage,time
1,1,85.66262,-0.12261717,1.15,4.1446123123168945
2,11,422.15778,-0.11070024,5.6,1.564549446105957
3,21,690.7744,-0.094325766,9.0199995,1.5597264766693115
4,31,897.5727,-0.09342319,11.599999,1.6666674613952637
5,41,1077.5049,-0.090314485,13.74,1.6085433959960938
6,51,1244.534,-0.08189446,15.75,1.5814058780670166
7,61,1377.58,-0.0729368,17.31,1.726135015487671
8,71,1519.5105,-0.071743324,18.96,1.6428325176239014
9,81,1636.768,-0.07240341,20.32,1.5640621185302734
10,91,1763.3269,-0.07184404,21.789999,1.5577905178070068
11,101,1855.226,-0.072138056,22.8,1.5183346271514893
12,111,1953.04,-0.073437944,23.9,1.5853347778320312
13,121,2075.5059,-0.0665745,25.259998,1.5622239112854004
14,131,2136.4226,-0.0571373,25.88,1.636406421661377
15,141,2245.5525,-0.05888893,27.109999,1.6683166027069092
16,151,2306.2378,-0.05760432,27.71,1.5968151092529297
17,161,2371.014,-0.053827662,28.380001,1.5555880069732666
18,171,2438.8135,-0.05331549,29.13,1.572678804397583
19,181,2537.559,-0.045960415,30.19,1.566314458847046
20,191,2553.4453,-0.04532585,30.249998,1.5579538345336914
21,201,2684.3179,-0.046233002,31.77,1.8664426803588867
22,211,2717.2966,-0.04599119,32.05,1.6914820671081543
23,221,2767.7515,-0.042825688,32.54,1.6923308372497559
24,231,2822.618,-0.04366362,33.1,1.590721607208252
25,241,2891.3984,-0.040650547,33.84,1.6532747745513916
26,251,2947.2847,-0.04000356,34.39,1.569075584411621
27,261,3000.4543,-0.041212633,34.93,1.5583114624023438
28,271,3058.47,-0.0395424,35.53,1.5952680110931396
29,281,3101.2207,-0.039481685,35.95,1.6138808727264404
30,291,3159.0747,-0.0398512,36.539997,1.6282587051391602
31,301,3148.341,-0.040566172,36.35,1.5865697860717773
32,311,3217.5496,-0.038680688,37.059998,1.5364611148834229
33,321,3332.6086,-0.0388169,38.34,1.6004371643066406
34,331,3379.571,-0.037165098,38.83,1.5646674633026123
35,341,3330.2559,-0.038670413,38.17,1.5732228755950928
36,351,3425.4058,-0.037631586,39.23,1.6123762130737305
37,361,3491.0269,-0.0370603,39.859997,1.6039142608642578
38,371,3503.5198,-0.03789796,39.96,1.5839831829071045
39,381,3568.4062,-0.036868267,40.649998,1.5811550617218018
40,391,3587.598,-0.037405107,40.78,1.5401461124420166
41,401,3571.5374,-0.037064463,40.52,1.6647100448608398
42,411,3629.594,-0.03660544,41.149998,1.5889265537261963
43,421,3659.6282,-0.036535498,41.42,1.576490879058838
44,431,3730.902,-0.036576714,42.17,1.6645240783691406
45,441,3719.9087,-0.03314561,42.0,1.8024728298187256
46,451,3726.7886,-0.03469557,42.02,1.5923631191253662
47,461,3820.1384,-0.034171674,43.019997,1.5580472946166992
48,471,3836.8962,-0.028446406,43.159996,1.623511552810669
49,481,3823.689,-0.03005347,42.94,1.9118316173553467
50,491,3866.643,-0.028525714,43.35,2.0201311111450195
51,501,3901.1074,-0.028875144,43.71,1.561687707901001
52,511,3910.0142,-0.028946014,43.78,1.6079950332641602
53,521,3968.7163,-0.030417833,44.36,1.5370652675628662
54,531,3959.7139,-0.029353708,44.2,1.6915569305419922
55,541,3987.5999,-0.028654695,44.46,1.553088903427124
56,551,3971.6375,-0.029775016,44.28,1.5871620178222656
57,561,4022.6775,-0.028529303,44.77,1.617433786392212
58,571,4024.6943,-0.028638104,44.77,1.5669872760772705
59,581,4085.5652,-0.02876958,45.4,1.5559749603271484
60,591,4074.2886,-0.022663733,45.21,1.574751615524292
61,601,4093.6562,-0.02297428,45.4,1.5873644351959229
62,611,4124.3916,-0.022537934,45.699997,1.5732519626617432
63,621,4135.1665,-0.022772469,45.8,1.58717942237854
64,631,4189.7593,-0.023104502,46.35,1.5854382514953613
65,641,4197.355,-0.022165168,46.399998,1.5853674411773682
66,651,4184.7124,-0.022442456,46.23,1.5820953845977783
67,661,4219.915,-0.022232844,46.589996,1.5758440494537354
68,671,4216.3184,-0.022689661,46.51,1.6062655448913574
69,681,4200.8213,-0.023631237,46.3,1.5830767154693604
70,691,4269.3164,-0.023172101,47.02,1.5647192001342773
71,701,4260.24,-0.023203382,46.89,1.5479505062103271
72,711,4262.96,-0.022973267,46.89,1.593766689300537
73,721,4282.3887,-0.02202221,47.059998,1.5761089324951172
