loop,iteration,qd_score,max_fitness,coverage,time
1,1,609.03735,-0.09253296,8.21,1.8681273460388184
2,11,2238.398,-0.04202284,28.34,0.01944446563720703
3,21,3285.9395,-0.04202284,40.07,0.019410133361816406
4,31,4099.2803,-0.04202284,48.76,0.02105855941772461
5,41,4761.082,-0.03303373,55.57,0.021631717681884766
6,51,5237.3574,-0.024994714,60.23,0.02024078369140625
7,61,5636.0967,-0.024994714,63.989998,0.020345687866210938
8,71,5961.077,-0.024994714,67.0,0.019997119903564453
9,81,6215.7676,-0.024994714,69.26,0.01978015899658203
10,91,6392.7803,-0.014945238,70.72,0.020045757293701172
11,101,6551.699,-0.014945238,72.04,0.02607417106628418
12,111,6662.143,-0.014945238,72.869995,0.0206601619720459
13,121,6770.148,-0.014945238,73.71,0.02030801773071289
14,131,6856.51,-0.014945238,74.35,0.020377159118652344
15,141,6932.212,-0.014945238,74.92,0.019563674926757812
16,151,6995.5527,-0.014945238,75.39,0.02734661102294922
17,161,7049.199,-0.014945238,75.79,0.02013373374938965
18,171,7091.716,-0.014945238,76.09,0.02008533477783203
19,181,7126.0786,-0.014153851,76.31,0.02748250961303711
20,191,7156.0093,-0.014153851,76.49,0.019911527633666992
21,201,7184.8867,-0.014153851,76.689995,0.02040863037109375
22,211,7209.455,-0.013405737,76.84,0.0215146541595459
23,221,7236.392,-0.013405737,77.03,0.02688765525817871
24,231,7248.1973,-0.012931706,77.06,0.02007269859313965
25,241,7263.6543,-0.012931706,77.14,0.025455474853515625
26,251,7277.311,-0.012931706,77.21,0.024012088775634766
27,261,7291.0283,-0.012931706,77.29,0.02042388916015625
28,271,7304.5396,-0.012931706,77.369995,0.02499532699584961
29,281,7319.3325,-0.012931706,77.47,0.02015852928161621
30,291,7334.292,-0.012931706,77.58,0.021006345748901367
31,301,7343.458,-0.0065567,77.63,0.02038860321044922
32,311,7355.9126,-0.0065567,77.72,0.020706892013549805
33,321,7367.498,-0.0065567,77.799995,0.022546052932739258
34,331,7374.5605,-0.0065567,77.84,0.02071213722229004
35,341,7381.001,-0.0065567,77.869995,0.01998615264892578
36,351,7385.807,-0.0065567,77.89,0.023709535598754883
37,361,7394.0996,-0.0065567,77.95,0.020588159561157227
38,371,7402.534,-0.0065567,78.009995,0.020531892776489258
39,381,7409.699,-0.0065567,78.06,0.020468711853027344
40,391,7418.7773,-0.0065567,78.13,0.02064204216003418
41,401,7424.567,-0.0065567,78.17,0.021249771118164062
42,411,7433.837,-0.0065567,78.25,0.020470619201660156
43,421,7438.024,-0.0065567,78.27,0.021712779998779297
44,431,7442.902,-0.0065567,78.299995,0.020694732666015625
45,441,7446.0283,-0.0065567,78.31,0.020386695861816406
46,451,7449.8213,-0.0065567,78.33,0.021145105361938477
47,461,7455.1772,-0.0065567,78.369995,0.021073341369628906
48,471,7459.5645,-0.0065567,78.4,0.021111488342285156
49,481,7465.62,-0.0065567,78.45,0.020429611206054688
50,491,7468.172,-0.0065567,78.46,0.020172119140625
51,501,7469.71,-0.0065567,78.46,0.030423641204833984
52,511,7470.9795,-0.0065567,78.46,0.0482180118560791
53,521,7475.4175,-0.0065567,78.5,0.046161651611328125
54,531,7478.7246,-0.0065567,78.53,0.045438289642333984
55,541,7481.0386,-0.0065567,78.549995,0.04110074043273926
56,551,7486.6636,-0.0065567,78.61,0.04019761085510254
57,561,7488.73,-0.0065567,78.63,0.039780378341674805
58,571,7490.822,-0.0065567,78.65,0.04084610939025879
59,581,7494.423,-0.0065567,78.689995,0.0409541130065918
60,591,7499.125,-0.0065567,78.74,0.043627262115478516
61,601,7504.465,-0.0065567,78.799995,0.03951406478881836
62,611,7508.2324,-0.0065567,78.84,0.03935527801513672
63,621,7513.6123,-0.0065567,78.9,0.03828024864196777
64,631,7519.144,-0.0065567,78.96,0.03972220420837402
65,641,7526.945,-0.004719667,79.049995,0.04459810256958008
66,651,7534.299,-0.004719667,79.13,0.04146599769592285
67,661,7541.4336,-0.004719667,79.21,0.045920610427856445
68,671,7547.0854,-0.004719667,79.27,0.04046773910522461
