loop,iteration,qd_score,max_fitness,coverage,time
1,1,627.0328,-0.08887873,8.44,2.2651896476745605
2,11,2327.5913,-0.059681434,29.56,0.02053093910217285
3,21,3396.9553,-0.047101352,41.629997,0.022202730178833008
4,31,4252.6216,-0.0322975,50.85,0.026098012924194336
5,41,4944.6265,-0.0322975,57.989998,0.023296594619750977
6,51,5503.483,-0.022975793,63.59,0.02210688591003418
7,61,5996.991,-0.015144531,68.5,0.021049976348876953
8,71,6414.3877,-0.015144531,72.52,0.021317720413208008
9,81,6730.106,-0.00030802088,75.43,0.022546768188476562
10,91,7018.732,-0.00030802088,78.09,0.021087169647216797
11,101,7252.4854,-0.00030802088,80.22,0.02722907066345215
12,111,7440.971,-0.00030802088,81.85,0.02103424072265625
13,121,7595.3467,0.0058174,83.15,0.021214008331298828
14,131,7730.3013,0.011405465,84.259995,0.02158188819885254
15,141,7837.941,0.011405465,85.09,0.02095794677734375
16,151,7936.607,0.011405465,85.86,0.021765947341918945
17,161,8021.0596,0.025682474,86.509995,0.02153182029724121
18,171,8089.84,0.025682474,87.03,0.021788358688354492
19,181,8153.8125,0.025682474,87.509995,0.021006345748901367
20,191,8212.703,0.025682474,87.95,0.02202630043029785
21,201,8268.887,0.028450815,88.36,0.021904706954956055
22,211,8319.443,0.028450815,88.74,0.021855592727661133
23,221,8364.563,0.028450815,89.07,0.02613544464111328
24,231,8398.502,0.028450815,89.299995,0.022197961807250977
25,241,8434.089,0.028450815,89.549995,0.022678613662719727
26,251,8466.725,0.028450815,89.78,0.023265838623046875
27,261,8503.223,0.028450815,90.06,0.02206587791442871
28,271,8532.025,0.028450815,90.27,0.022667884826660156
29,281,8558.05,0.028450815,90.45,0.023515939712524414
30,291,8582.29,0.028450815,90.61,0.021421432495117188
31,301,8605.58,0.028450815,90.77,0.022530078887939453
32,311,8628.8545,0.028450815,90.939995,0.02334451675415039
33,321,8648.227,0.028450815,91.07,0.022712230682373047
34,331,8670.613,0.028450815,91.24,0.02268838882446289
35,341,8682.293,0.028450815,91.29,0.023355960845947266
36,351,8700.258,0.028450815,91.42,0.032814979553222656
37,361,8718.973,0.028450815,91.56,0.022174835205078125
38,371,8734.561,0.028450815,91.67,0.023378610610961914
39,381,8754.733,0.028450815,91.829994,0.023563861846923828
40,391,8771.21,0.028450815,91.95,0.02247452735900879
41,401,8788.043,0.028450815,92.079994,0.0262451171875
42,411,8805.066,0.028450815,92.21,0.022930622100830078
43,421,8813.282,0.028450815,92.25,0.026525497436523438
44,431,8828.702,0.028450815,92.369995,0.026169300079345703
45,441,8842.058,0.028450815,92.47,0.021416425704956055
46,451,8857.957,0.028450815,92.6,0.026134729385375977
