loop,iteration,qd_score,max_fitness,coverage,time
1,1,609.03735,-0.09253296,8.21,1.801459789276123
2,11,2238.398,-0.04202284,28.34,0.7689483165740967
3,21,3285.9395,-0.04202284,40.07,0.755577802658081
4,31,4099.2803,-0.04202284,48.76,0.7749075889587402
5,41,4761.082,-0.03303373,55.57,0.7565224170684814
6,51,5236.4736,-0.024994714,60.219997,0.7856020927429199
7,61,5635.213,-0.024994714,63.98,0.7660090923309326
8,71,5960.1934,-0.024994714,66.99,0.7685604095458984
9,81,6214.879,-0.024994714,69.25,0.7690651416778564
10,91,6391.8545,-0.014945238,70.71,0.785954475402832
11,101,6550.773,-0.014945238,72.03,0.7710239887237549
12,111,6662.143,-0.014945238,72.869995,0.7992238998413086
13,121,6770.148,-0.014945238,73.71,0.7568180561065674
14,131,6856.51,-0.014945238,74.35,0.7715954780578613
15,141,6932.212,-0.014945238,74.92,0.7763271331787109
16,151,6995.5527,-0.014945238,75.39,0.7666125297546387
17,161,7049.199,-0.014945238,75.79,0.7567505836486816
18,171,7091.716,-0.014945238,76.09,0.7659316062927246
19,181,7126.0786,-0.014153851,76.31,0.7648544311523438
20,191,7156.0093,-0.014153851,76.49,0.7687373161315918
21,201,7184.8867,-0.014153851,76.69,0.807379961013794
22,211,7209.455,-0.013405737,76.84,0.7696964740753174
23,221,7236.392,-0.013405737,77.03,0.7822389602661133
24,231,7248.1973,-0.012931706,77.06,0.7593202590942383
25,241,7263.6543,-0.012931706,77.14,0.8198866844177246
26,251,7277.311,-0.012931706,77.21,0.7882144451141357
27,261,7291.0283,-0.012931706,77.29,0.8090312480926514
28,271,7304.5396,-0.012931706,77.37,0.7558996677398682
29,281,7319.3325,-0.012931706,77.47,0.7642948627471924
30,291,7334.292,-0.012931706,77.58,0.7809054851531982
31,301,7343.458,-0.0065567,77.63,0.7778325080871582
32,311,7355.9126,-0.0065567,77.72,0.7601056098937988
33,321,7367.498,-0.0065567,77.8,0.7502133846282959
