loop,iteration,qd_score,max_fitness,coverage,time
1,1,88.673256,-0.118388355,1.1899999,1.0170319080352783
2,11,483.12982,-0.108283624,6.46,0.001081228256225586
3,21,818.7446,-0.09107004,10.79,0.0004901885986328125
4,31,1099.5911,-0.09107004,14.349999,0.000518798828125
5,41,1356.5521,-0.08970383,17.51,0.0004885196685791016
6,51,1588.1425,-0.081963465,20.34,0.0006437301635742188
7,61,1658.7788,-0.081963465,21.16,0.003378629684448242
8,71,1697.1993,-0.081963465,21.6,0.0027408599853515625
9,81,1734.7446,-0.081963465,22.01,0.0038166046142578125
10,91,1767.0938,-0.081963465,22.369999,0.0029981136322021484
11,101,1793.6604,-0.081963465,22.67,0.002691507339477539
12,111,1814.3829,-0.081963465,22.89,0.002686023712158203
13,121,1836.9242,-0.081963465,23.15,0.0026895999908447266
14,131,1860.0825,-0.081963465,23.42,0.002688169479370117
15,141,1883.3157,-0.06849236,23.689999,0.0026390552520751953
16,151,1909.6616,-0.06849236,23.99,0.002885103225708008
17,161,1927.8862,-0.06849236,24.199999,0.0026345252990722656
18,171,1941.9519,-0.06849236,24.359999,0.002657175064086914
19,181,1960.865,-0.06849236,24.59,0.0028047561645507812
20,191,1976.1321,-0.06849236,24.76,0.003078937530517578
21,201,1986.8735,-0.06849236,24.89,0.0028264522552490234
22,211,2005.6951,-0.06849236,25.109999,0.002693653106689453
23,221,2024.6155,-0.06849236,25.34,0.0026924610137939453
24,231,2036.3816,-0.06849236,25.47,0.0027208328247070312
25,241,2055.189,-0.06849236,25.689999,0.002646207809448242
26,251,2076.0308,-0.06849236,25.939999,0.0029087066650390625
27,261,2098.4116,-0.06849236,26.21,0.0026617050170898438
28,271,2120.1184,-0.06849236,26.47,0.0027375221252441406
29,281,2136.6052,-0.06849236,26.66,0.0026907920837402344
30,291,2159.3977,-0.06849236,26.939999,0.003641843795776367
31,301,2179.0754,-0.06849236,27.17,0.002948760986328125
32,311,2195.2246,-0.06849236,27.38,0.0026443004608154297
33,321,2208.5874,-0.06849236,27.55,0.002826690673828125
34,331,2227.624,-0.06849236,27.779999,0.002755403518676758
35,341,2241.7866,-0.06849236,27.949999,0.0034601688385009766
36,351,2260.9363,-0.06849236,28.189999,0.002721548080444336
37,361,2267.5815,-0.06849236,28.26,0.0026748180389404297
38,371,2281.064,-0.06849236,28.42,0.002685546875
39,381,2288.8604,-0.06849236,28.51,0.002709627151489258
40,391,2295.267,-0.06849236,28.58,0.0027506351470947266
41,401,2304.9849,-0.06849236,28.699999,0.002703428268432617
42,411,2316.6821,-0.06849236,28.84,0.0027201175689697266
43,421,2329.4014,-0.06849236,28.99,0.0026578903198242188
44,431,2346.5583,-0.06849236,29.199999,0.002670764923095703
45,441,2359.4197,-0.06849236,29.359999,0.002645730972290039
46,451,2370.7607,-0.06849236,29.49,0.0028274059295654297
47,461,2384.6782,-0.06849236,29.66,0.002645730972290039
48,471,2390.9253,-0.06849236,29.73,0.0026655197143554688
49,481,2398.3596,-0.06849236,29.82,0.0026743412017822266
50,491,2405.3364,-0.06849236,29.9,0.00263214111328125
51,501,2414.0168,-0.06849236,30.0,0.002950906753540039
52,511,2426.1792,-0.06849236,30.14,0.0026960372924804688
53,521,2434.9565,-0.06849236,30.24,0.0026683807373046875
54,531,2445.957,-0.06849236,30.369999,0.002660989761352539
55,541,2453.3716,-0.06849236,30.46,0.003149271011352539
56,551,2459.2732,-0.06849236,30.529999,0.002885580062866211
57,561,2468.712,-0.06849236,30.64,0.004273414611816406
58,571,2475.6504,-0.06849236,30.72,0.0030841827392578125
59,581,2483.9956,-0.06849236,30.82,0.00356292724609375
60,591,2495.1304,-0.06849236,30.949999,0.0032045841217041016
61,601,2502.8936,-0.06849236,31.039999,0.003503084182739258
62,611,2508.6052,-0.06849236,31.109999,0.0027582645416259766
63,621,2513.5605,-0.06849236,31.16,0.0027511119842529297
64,631,2523.4116,-0.06849236,31.279999,0.0028154850006103516
65,641,2531.5933,-0.06849236,31.38,0.0026869773864746094
66,651,2536.994,-0.06849236,31.449999,0.0026810169219970703
67,661,2544.835,-0.06849236,31.55,0.0026748180389404297
68,671,2551.1558,-0.06849236,31.619999,0.002731800079345703
69,681,2558.7053,-0.06849236,31.71,0.0027298927307128906
70,691,2567.8018,-0.06849236,31.82,0.0026793479919433594
71,701,2573.8677,-0.06849236,31.89,0.0026488304138183594
72,711,2583.954,-0.06849236,32.01,0.0031919479370117188
73,721,2592.3838,-0.06849236,32.11,0.002677440643310547
74,731,2601.3398,-0.06849236,32.219997,0.0036649703979492188
75,741,2606.1873,-0.06849236,32.27,0.003521442413330078
76,751,2616.5305,-0.06849236,32.399998,0.002849102020263672
77,761,2624.6738,-0.06849236,32.5,0.0034716129302978516
78,771,2631.398,-0.06849236,32.579998,0.0035479068756103516
79,781,2636.58,-0.06849236,32.64,0.0026907920837402344
80,791,2641.277,-0.06849236,32.69,0.0029833316802978516
81,801,2648.3367,-0.06849236,32.77,0.0037729740142822266
82,811,2652.9685,-0.06849236,32.82,0.0027768611907958984
83,821,2664.1443,-0.06849236,32.95,0.003076314926147461
84,831,2667.2905,-0.06849236,32.98,0.0026564598083496094
85,841,2674.2124,-0.06849236,33.059998,0.0026607513427734375
86,851,2678.8772,-0.06849236,33.11,0.002833127975463867
87,861,2684.8706,-0.06849236,33.18,0.0034317970275878906
88,871,2694.6982,-0.06849236,33.3,0.0032868385314941406
89,881,2702.2134,-0.06849236,33.39,0.002769947052001953
90,891,2710.494,-0.06849236,33.489998,0.0026726722717285156
91,901,2715.6855,-0.06849236,33.55,0.002835512161254883
92,911,2718.6733,-0.06849236,33.579998,0.002925395965576172
93,921,2726.0537,-0.06849236,33.67,0.0026226043701171875
94,931,2728.8071,-0.06849236,33.7,0.002754688262939453
