loop,iteration,qd_score,max_fitness,coverage,time
1,1,85.66262,-0.12261717,1.15,0.9064593315124512
2,11,422.15778,-0.110700235,5.6,0.00046539306640625
3,21,690.7744,-0.094325766,9.0199995,0.00032401084899902344
4,31,897.5727,-0.093423195,11.599999,0.00033664703369140625
5,41,1077.5049,-0.09031447,13.74,0.00033283233642578125
6,51,1247.398,-0.08089931,15.799999,0.0003380775451660156
7,61,1297.5769,-0.08225158,16.37,0.0002560615539550781
8,71,1312.9016,-0.08150166,16.529999,0.0002579689025878906
9,81,1358.5427,-0.08144077,17.09,0.000278472900390625
10,91,1370.4678,-0.08218615,17.24,0.0003495216369628906
11,101,1385.0618,-0.08178905,17.42,0.0002701282501220703
12,111,1386.6444,-0.08147633,17.43,0.00035262107849121094
13,121,1383.1682,-0.08260285,17.39,0.0002593994140625
14,131,1398.7915,-0.08228682,17.6,0.0002593994140625
15,141,1398.7063,-0.08197804,17.59,0.00025844573974609375
16,151,1405.875,-0.0823334,17.67,0.000270843505859375
17,161,1407.9745,-0.082193494,17.7,0.0002727508544921875
18,171,1411.6027,-0.08270638,17.74,0.0002608299255371094
19,181,1420.905,-0.08236347,17.9,0.00026154518127441406
20,191,1416.7877,-0.08135182,17.82,0.0002586841583251953
21,201,1401.8345,-0.08172872,17.6,0.0002722740173339844
22,211,1426.55,-0.07757783,17.93,0.0002601146697998047
23,221,1421.1224,-0.07692933,17.85,0.0002601146697998047
24,231,1441.1357,-0.07776747,18.13,0.00026535987854003906
25,241,1443.8525,-0.078258455,18.16,0.00026226043701171875
26,251,1439.4768,-0.07756531,18.09,0.0002720355987548828
27,261,1436.5029,-0.082567535,18.039999,0.00026226043701171875
28,271,1454.9597,-0.08197426,18.3,0.00026535987854003906
29,281,1455.2273,-0.081563756,18.3,0.00026297569274902344
30,291,1464.6375,-0.08185783,18.41,0.0002665519714355469
31,301,1472.9675,-0.082333006,18.539999,0.0002722740173339844
32,311,1454.3042,-0.082591504,18.3,0.0002613067626953125
33,321,1478.8893,-0.08209009,18.599998,0.00026917457580566406
34,331,1455.6536,-0.082033694,18.3,0.00026869773864746094
35,341,1444.1204,-0.0821821,18.15,0.0002593994140625
36,351,1453.8411,-0.082228355,18.259998,0.0002892017364501953
37,361,1465.4485,-0.081198506,18.41,0.00026988983154296875
38,371,1473.283,-0.08211091,18.519999,0.00025725364685058594
39,381,1480.1339,-0.081632525,18.609999,0.000293731689453125
40,391,1473.8142,-0.08305863,18.529999,0.00026035308837890625
41,401,1463.3582,-0.081482194,18.39,0.0002715587615966797
42,411,1472.748,-0.08187666,18.48,0.0002613067626953125
43,421,1488.7836,-0.08144563,18.71,0.0003497600555419922
44,431,1488.1543,-0.0812719,18.72,0.0003554821014404297
