loop,iteration,qd_score,max_fitness,coverage,time
1,1,441.037,-0.10317088,5.85,0.9812662601470947
2,11,773.6396,-0.09432696,10.12,0.7587697505950928
3,21,1034.7368,-0.08293522,13.41,0.7631573677062988
4,31,1286.6653,-0.08293522,16.51,0.7406489849090576
5,41,1502.3081,-0.06789175,19.119999,0.7452974319458008
6,51,1708.104,-0.06789175,21.6,0.7916617393493652
7,61,1878.7639,-0.06789175,23.6,0.754220724105835
8,71,2084.584,-0.06789175,26.06,0.7448320388793945
9,81,2265.6562,-0.05553365,28.18,0.7376773357391357
10,91,2410.245,-0.05553365,29.83,0.7434029579162598
11,101,2571.8818,-0.05553365,31.699999,0.7725768089294434
12,111,2737.2734,-0.05553365,33.61,0.7417826652526855
13,121,2881.9675,-0.05553365,35.25,0.8577375411987305
14,131,3018.7742,-0.021984952,36.78,0.789679765701294
15,141,3158.041,-0.021984952,38.36,0.761054515838623
16,151,3283.6418,-0.021984952,39.78,0.7418079376220703
17,161,3392.275,-0.021984952,40.96,0.7446327209472656
18,171,3505.6904,-0.021984952,42.19,0.7733111381530762
19,181,3614.9094,-0.021984952,43.379997,0.8991169929504395
20,191,3714.8694,-0.021984952,44.469997,0.765434741973877
21,201,3821.0205,-0.021984952,45.6,0.761573314666748
22,211,3940.0793,-0.021984952,46.92,0.7653863430023193
23,221,4035.7808,-0.021984952,47.93,0.7822844982147217
24,231,4123.753,-0.021984952,48.84,0.7457854747772217
25,241,4217.6367,-0.021984952,49.829998,0.8229067325592041
26,251,4297.129,-0.021984952,50.64,0.7496993541717529
27,261,4377.307,-0.021984952,51.46,0.7686643600463867
28,271,4458.7314,-0.021984952,52.309998,0.7450282573699951
29,281,4535.63,-0.021984952,53.09,0.7549223899841309
30,291,4600.6953,-0.021984952,53.73,0.7575430870056152
31,301,4675.125,-0.021984952,54.469997,0.7876338958740234
32,311,4739.3257,-0.021984952,55.11,0.7507598400115967
33,321,4810.3286,-0.021984952,55.82,0.7581064701080322
34,331,4867.8257,-0.021984952,56.39,0.7503373622894287
35,341,4933.319,-0.021984952,57.039997,0.7546861171722412
36,351,4988.239,-0.021613436,57.559998,0.7515830993652344
37,361,5058.8457,-0.021613436,58.27,0.7496800422668457
38,371,5123.364,-0.021613436,58.92,0.7480030059814453
39,381,5180.1377,-0.021613436,59.48,0.7445313930511475
40,391,5234.3867,-0.021613436,60.0,0.7525467872619629
41,401,5295.617,-0.021613436,60.59,0.7689647674560547
42,411,5342.904,-0.011339924,61.01,0.7621853351593018
43,421,5388.4883,-0.011339924,61.44,0.8100545406341553
44,431,5449.1104,-0.011339924,62.03,0.8992834091186523
45,441,5496.076,-0.011339924,62.469997,0.8655908107757568
46,451,5544.2393,-0.011339924,62.92,0.7676718235015869
47,461,5581.1006,-0.011339924,63.239998,0.7598569393157959
48,471,5633.328,-0.011339924,63.739998,0.7635436058044434
49,481,5674.1323,-0.011339924,64.11,0.7501604557037354
50,491,5719.035,-0.011339924,64.54,0.7648189067840576
51,501,5758.563,-0.011339924,64.92,0.8009281158447266
52,511,5797.0615,-0.011339924,65.27,0.764336347579956
53,521,5840.0,-0.011339924,65.68,0.7491815090179443
54,531,5881.0103,-0.010291983,66.07,0.7446918487548828
55,541,5913.4,-0.010291983,66.369995,0.7488322257995605
56,551,5947.1953,-0.010291983,66.68,0.7415411472320557
57,561,5974.8066,-0.010291983,66.909996,0.7443583011627197
58,571,6009.9,-0.010291983,67.24,0.7516844272613525
59,581,6044.521,-0.010291983,67.549995,0.7791366577148438
60,591,6071.3438,-0.010291983,67.78,0.7570538520812988
61,601,6107.8037,-0.010291983,68.119995,0.7654423713684082
62,611,6133.681,-0.010291983,68.33,0.7352759838104248
63,621,6158.289,-0.010291983,68.54,0.7893846035003662
64,631,6176.438,-0.010291983,68.67,0.7479839324951172
65,641,6203.3516,-0.010291983,68.9,0.765568733215332
66,651,6235.207,-0.010291983,69.21,0.7506215572357178
67,661,6263.0234,-0.0006747549,69.46,0.7570109367370605
68,671,6289.378,-0.0006747549,69.7,0.7481667995452881
69,681,6306.287,-0.0006747549,69.82,0.7647323608398438
70,691,6330.2305,-0.0006747549,70.02,0.7547547817230225
71,701,6350.37,-0.0006747549,70.18,0.771320104598999
72,711,6372.86,-0.0006747549,70.369995,0.780458927154541
73,721,6390.764,-0.0006747549,70.52,0.749553918838501
74,731,6407.1904,-0.0006747549,70.65,0.7497544288635254
75,741,6428.0527,-0.0006747549,70.82,0.7489931583404541
76,751,6452.0386,-0.0006747549,71.04,0.7583506107330322
77,761,6470.133,-0.0006747549,71.189995,0.7577841281890869
78,771,6494.7295,-0.0006747549,71.4,0.7387673854827881
79,781,6517.2954,-0.0006747549,71.6,0.739703893661499
80,791,6533.235,-0.0006747549,71.72,0.7474114894866943
81,801,6552.8115,-0.0006747549,71.89,0.7554175853729248
82,811,6567.535,-0.0006747549,72.01,0.7507846355438232
83,821,6580.5225,-0.0006747549,72.11,0.7612359523773193
84,831,6591.0986,-0.0006747549,72.18,0.752246618270874
85,841,6610.571,-0.0006747549,72.36,0.7547214031219482
86,851,6626.54,-0.0006747549,72.49,0.7483859062194824
87,861,6640.0957,-0.0006747549,72.59,0.7341678142547607
88,871,6654.67,-0.0006747549,72.7,0.7455193996429443
89,881,6669.1924,-0.0006747549,72.82,0.7666378021240234
90,891,6684.427,0.0,72.95,0.7415556907653809
91,901,6698.9272,0.0,73.07,0.7441890239715576
92,911,6706.541,0.0,73.119995,0.7750954627990723
93,921,6717.8535,0.0,73.2,0.7476789951324463
94,931,6729.186,0.0,73.28,0.80265212059021
95,941,6740.9106,0.0,73.369995,0.763660192489624
96,951,6753.6973,0.0,73.47,0.7425096035003662
97,961,6762.586,0.0,73.53,0.7398040294647217
98,971,6774.048,0.0,73.619995,0.7424602508544922
99,981,6787.232,0.0,73.729996,0.748924732208252
100,991,6795.7754,0.0,73.78,0.7652122974395752
101,1001,6804.2993,0.0,73.83,0.7430896759033203
102,1011,6811.781,0.0,73.88,0.741551399230957
103,1021,6824.7275,0.0,73.99,0.7484452724456787
104,1031,6835.9937,0.0,74.08,0.7526588439941406
105,1041,6842.594,0.0,74.119995,0.7617981433868408
106,1051,6856.117,0.0,74.24,0.7704927921295166
107,1061,6866.7803,0.0,74.33,0.7504382133483887
108,1071,6875.784,0.0,74.4,0.7604696750640869
109,1081,6883.268,0.0,74.45,0.7485711574554443
110,1091,6888.6113,0.0,74.479996,0.7664432525634766
111,1101,6897.881,0.0,74.549995,0.7560291290283203
112,1111,6901.252,0.0,74.56,0.7672736644744873
113,1121,6910.1753,0.0,74.63,0.7584919929504395
114,1131,6918.16,0.0,74.689995,0.7486090660095215
115,1141,6925.19,0.0,74.74,0.7553987503051758
116,1151,6935.987,0.0,74.83,0.750971794128418
117,1161,6944.6846,0.0,74.9,0.8196291923522949
118,1171,6954.105,0.0,74.97,0.758908748626709
119,1181,6961.281,0.0,75.02,0.7447934150695801
120,1191,6969.1084,0.0,75.08,0.7402608394622803
121,1201,6980.4697,0.0,75.18,0.7488820552825928
122,1211,6985.2954,0.0,75.21,0.7337393760681152
123,1221,6990.829,0.0,75.25,0.7538957595825195
124,1231,6994.582,0.0,75.27,0.756171464920044
125,1241,6999.3623,0.0,75.299995,0.7511463165283203
126,1251,7003.0215,0.0,75.32,0.7641472816467285
127,1261,7012.4414,0.0,75.4,0.7352526187896729
128,1271,7018.2363,0.0,75.439995,0.7441473007202148
129,1281,7022.9585,0.0,75.47,0.7564389705657959
130,1291,7029.673,0.0,75.52,0.7697033882141113
131,1301,7033.6064,0.0,75.54,0.7395164966583252
132,1311,7039.302,0.0,75.58,0.7393312454223633
133,1321,7044.0947,0.0,75.61,0.758568286895752
134,1331,7050.3057,0.0,75.659996,0.744957685470581
135,1341,7054.743,0.0,75.689995,0.7505269050598145
136,1351,7059.537,0.0,75.72,0.7679555416107178
137,1361,7064.1235,0.0,75.75,0.7428321838378906
138,1371,7069.7646,0.0,75.79,0.74495530128479
139,1381,7073.276,0.0,75.81,0.7425205707550049
140,1391,7079.4985,0.0,75.86,0.8005614280700684
141,1401,7086.8755,0.0,75.92,0.7513847351074219
142,1411,7091.301,0.0,75.95,0.7430591583251953
143,1421,7096.6665,0.0,75.99,0.7754719257354736
144,1431,7101.865,0.0,76.03,0.7537331581115723
145,1441,7108.698,0.0,76.09,0.7554545402526855
146,1451,7113.9272,0.0,76.13,0.7356469631195068
147,1461,7117.7485,0.0,76.15,0.7784342765808105
148,1471,7124.006,0.0,76.2,0.7427499294281006
149,1481,7128.2363,0.0,76.229996,0.7525060176849365
150,1491,7133.1504,0.0,76.27,0.7786355018615723
151,1501,7143.2236,0.0,76.36,0.7613043785095215
152,1511,7144.9854,0.0,76.36,0.7498102188110352
153,1521,7148.336,0.0,76.38,0.7521133422851562
154,1531,7150.081,0.0,76.38,0.7559800148010254
155,1541,7155.36,0.0,76.42,0.7384326457977295
156,1551,7161.382,0.0,76.47,0.7340853214263916
157,1561,7165.0654,0.0,76.49,0.7414312362670898
158,1571,7166.3267,0.0,76.49,0.7588164806365967
159,1581,7169.6836,0.0,76.509995,0.7453742027282715
160,1591,7175.445,0.0,76.56,0.7422587871551514
161,1601,7176.902,0.0,76.56,0.7398777008056641
162,1611,7179.386,0.0,76.57,0.7397747039794922
163,1621,7185.1924,0.0,76.619995,0.7452206611633301
164,1631,7187.6177,0.0,76.63,0.832939863204956
165,1641,7190.8965,0.0,76.65,0.7510619163513184
166,1651,7195.642,0.0,76.689995,0.7565059661865234
167,1661,7199.3096,0.0,76.72,0.743004560470581
168,1671,7201.9243,0.0,76.729996,0.7611701488494873
169,1681,7203.9565,0.0,76.74,0.7477943897247314
170,1691,7208.0254,0.0,76.77,0.7586348056793213
171,1701,7210.2295,0.0,76.78,0.7562911510467529
172,1711,7211.3677,0.0,76.78,0.740666389465332
173,1721,7213.824,0.0,76.79,0.7555224895477295
174,1731,7217.5615,0.0,76.82,0.7466440200805664
175,1741,7223.0005,0.0,76.869995,0.7613115310668945
