loop,iteration,qd_score,max_fitness,coverage,time
1,1,448.66733,-0.11210721,5.98,0.9898219108581543
2,11,766.8895,-0.08258258,10.04,0.8979413509368896
3,21,1035.1211,-0.076152496,13.4,0.8911771774291992
4,31,1293.199,-0.076152496,16.57,0.9258346557617188
5,41,1510.0835,-0.06545352,19.18,0.9021964073181152
6,51,1717.7012,-0.06545352,21.66,0.9185152053833008
7,61,1910.3201,-0.064808816,23.949999,0.9105851650238037
8,71,2090.599,-0.0648038,26.05,0.903374195098877
9,81,2288.4546,-0.059382394,28.349998,0.9107229709625244
10,91,2441.831,-0.059382394,30.099998,0.9075591564178467
11,101,2579.0469,-0.059382394,31.63,0.9163413047790527
12,111,2734.8828,-0.059382394,33.42,0.8889045715332031
13,121,2877.6562,-0.059382394,35.05,0.9013686180114746
14,131,3008.5547,-0.05800964,36.48,0.9076197147369385
15,141,3139.2043,-0.05800964,37.93,0.9008581638336182
16,151,3257.8306,-0.05800964,39.23,0.9221987724304199
17,161,3360.8179,-0.05443675,40.309998,0.9281301498413086
18,171,3485.5393,-0.043893702,41.66,0.9126369953155518
19,181,3602.7437,-0.04030507,42.94,0.9060831069946289
20,191,3722.7183,-0.04030507,44.239998,0.9136805534362793
21,201,3832.4966,-0.04030507,45.43,0.9093220233917236
22,211,3936.9927,-0.04030507,46.539997,0.9113216400146484
23,221,4035.707,-0.04030507,47.579998,0.8973956108093262
24,231,4137.376,-0.04030507,48.649998,0.9016203880310059
25,241,4239.6523,-0.04030507,49.739998,0.9408612251281738
26,251,4334.545,-0.04030507,50.75,0.8864235877990723
27,261,4431.9844,-0.04030507,51.78,0.924208402633667
28,271,4531.418,-0.04030507,52.86,0.9427661895751953
29,281,4612.67,-0.04030507,53.69,0.8941733837127686
30,291,4687.5977,-0.04030507,54.449997,0.9144043922424316
31,301,4760.4526,-0.04030507,55.18,0.901869535446167
32,311,4845.2715,-0.04030507,56.07,0.896843433380127
33,321,4913.512,-0.04030507,56.75,0.9173197746276855
34,331,4984.6343,-0.04030507,57.469997,0.9005224704742432
35,341,5051.452,-0.04030507,58.129997,0.9202346801757812
36,351,5121.557,-0.03615381,58.84,0.9259190559387207
37,361,5186.9097,-0.03615381,59.48,0.9139113426208496
38,371,5246.833,-0.03615381,60.079998,0.9178781509399414
39,381,5305.623,-0.029361011,60.64,0.9172537326812744
40,391,5359.044,-0.029361011,61.16,0.8933031558990479
41,401,5414.6914,-0.029361011,61.719997,0.9030647277832031
42,411,5474.531,-0.029361011,62.309998,0.8972153663635254
43,421,5521.2847,-0.029361011,62.76,0.9087169170379639
44,431,5577.1577,-0.026840243,63.309998,0.9155232906341553
45,441,5636.161,-0.026840243,63.89,0.9209246635437012
46,451,5690.992,-0.026840243,64.439995,0.9158439636230469
47,461,5746.3486,-0.026840243,64.979996,0.9055321216583252
48,471,5790.071,-0.026840243,65.39,0.9170105457305908
49,481,5845.083,-0.026840243,65.93,0.904771089553833
50,491,5892.5356,-0.026840243,66.38,0.9010829925537109
51,501,5931.706,-0.026840243,66.75,0.914125919342041
52,511,5969.4937,-0.026840243,67.11,0.9131906032562256
53,521,6015.0083,-0.01616548,67.549995,0.9243125915527344
54,531,6048.415,-0.01616548,67.85,0.8968544006347656
55,541,6095.4287,-0.01616548,68.299995,0.9295370578765869
56,551,6132.992,-0.01616548,68.65,0.9176723957061768
57,561,6161.224,-0.01616548,68.89,0.9282410144805908
58,571,6205.715,-0.01616548,69.32,0.9005417823791504
59,581,6236.0996,-0.01616548,69.6,0.912217378616333
60,591,6262.609,-0.016083023,69.83,0.917621374130249
61,601,6298.7188,-0.016083023,70.18,0.8914613723754883
62,611,6338.46,-0.016083023,70.56,0.9048328399658203
63,621,6365.5454,-0.016083023,70.799995,0.889446496963501
64,631,6394.566,-0.016083023,71.06,0.9419362545013428
65,641,6429.1357,-0.016083023,71.39,0.921858549118042
66,651,6456.454,-0.016083023,71.63,0.9345545768737793
67,661,6478.93,-0.016083023,71.81,0.9048404693603516
68,671,6501.845,-0.016083023,72.01,0.9210479259490967
