loop,iteration,qd_score,max_fitness,coverage,time
1,1,441.037,-0.10317088,5.85,0.7119369506835938
2,11,773.6396,-0.094326966,10.12,0.00023746490478515625
3,21,1034.7368,-0.08293522,13.409999,0.00022721290588378906
4,31,1286.6653,-0.08293522,16.51,0.0002338886260986328
5,41,1502.3081,-0.06789175,19.119999,0.00023746490478515625
6,51,1708.104,-0.06789175,21.599998,0.00023293495178222656
7,61,1878.7639,-0.06789175,23.6,0.0003345012664794922
8,71,2084.584,-0.06789175,26.06,0.00023484230041503906
9,81,2265.6562,-0.05553365,28.18,0.00023603439331054688
10,91,2410.245,-0.05553365,29.83,0.00023746490478515625
11,101,2571.8818,-0.05553365,31.7,0.00024175643920898438
12,111,2737.2734,-0.05553365,33.609997,0.00023651123046875
13,121,2881.9675,-0.05553365,35.25,0.0002505779266357422
14,131,3018.7742,-0.021984952,36.78,0.00028443336486816406
15,141,3158.041,-0.021984952,38.36,0.00023674964904785156
16,151,3283.6418,-0.021984952,39.78,0.0002429485321044922
17,161,3392.275,-0.021984952,40.96,0.0002789497375488281
18,171,3505.6904,-0.021984952,42.19,0.00029349327087402344
19,181,3614.9094,-0.021984952,43.379997,0.00026106834411621094
20,191,3714.8694,-0.021984952,44.47,0.00023794174194335938
21,201,3821.0205,-0.021984952,45.6,0.00023865699768066406
22,211,3940.0793,-0.021984952,46.92,0.00023627281188964844
23,221,4035.7808,-0.021984952,47.93,0.00028586387634277344
24,231,4123.753,-0.021984952,48.839996,0.0002353191375732422
25,241,4217.6367,-0.021984952,49.829998,0.00023889541625976562
26,251,4297.129,-0.021984952,50.64,0.0002377033233642578
27,261,4377.307,-0.021984952,51.46,0.0002357959747314453
28,271,4458.7314,-0.021984952,52.309998,0.0002357959747314453
29,281,4535.63,-0.021984952,53.09,0.0002415180206298828
30,291,4600.6953,-0.021984952,53.73,0.000255584716796875
31,301,4675.125,-0.021984952,54.469997,0.00023865699768066406
32,311,4739.3257,-0.021984952,55.11,0.0003228187561035156
33,321,4810.3286,-0.021984952,55.82,0.0002410411834716797
34,331,4867.8257,-0.021984952,56.39,0.00023794174194335938
35,341,4933.319,-0.021984952,57.04,0.00024056434631347656
36,351,4988.239,-0.021613436,57.559998,0.00023484230041503906
37,361,5058.8457,-0.021613436,58.27,0.0002732276916503906
38,371,5123.364,-0.021613436,58.919994,0.00024247169494628906
39,381,5180.1377,-0.021613436,59.48,0.00023889541625976562
40,391,5234.3867,-0.021613436,59.999996,0.0002410411834716797
41,401,5295.617,-0.021613436,60.59,0.00023746490478515625
42,411,5342.904,-0.011339924,61.01,0.00023603439331054688
43,421,5388.4883,-0.011339924,61.44,0.00023603439331054688
44,431,5449.1104,-0.011339924,62.03,0.00023698806762695312
45,441,5496.076,-0.011339924,62.47,0.0002384185791015625
46,451,5544.2393,-0.011339924,62.92,0.00024247169494628906
47,461,5581.1006,-0.011339924,63.239998,0.00023627281188964844
48,471,5633.328,-0.011339924,63.739998,0.0002372264862060547
49,481,5674.1323,-0.011339924,64.11,0.00028443336486816406
50,491,5719.035,-0.011339924,64.54,0.00023818016052246094
51,501,5758.563,-0.011339924,64.92,0.0002396106719970703
52,511,5797.0615,-0.011339924,65.270004,0.0002777576446533203
53,521,5840.0,-0.011339924,65.68,0.0002338886260986328
54,531,5881.0103,-0.010291983,66.07,0.00023651123046875
55,541,5913.4,-0.010291983,66.369995,0.00023651123046875
56,551,5947.1953,-0.010291983,66.67999,0.00023555755615234375
57,561,5974.8066,-0.010291983,66.909996,0.0003619194030761719
58,571,6009.9,-0.010291983,67.24,0.00024247169494628906
59,581,6044.521,-0.010291983,67.549995,0.00026869773864746094
60,591,6071.3438,-0.010291983,67.78,0.00023865699768066406
61,601,6107.8037,-0.010291983,68.119995,0.00024008750915527344
62,611,6133.681,-0.010291983,68.329994,0.0002384185791015625
63,621,6158.289,-0.010291983,68.54,0.00024008750915527344
64,631,6176.438,-0.010291983,68.67,0.0002377033233642578
65,641,6203.3516,-0.010291983,68.9,0.00024080276489257812
66,651,6235.207,-0.010291983,69.21,0.00023484230041503906
67,661,6263.0234,-0.0006747549,69.46,0.00028252601623535156
68,671,6289.378,-0.0006747549,69.7,0.00024127960205078125
69,681,6306.287,-0.0006747549,69.82,0.0002372264862060547
70,691,6330.2305,-0.0006747549,70.02,0.0002391338348388672
71,701,6350.37,-0.0006747549,70.18,0.00023698806762695312
72,711,6372.86,-0.0006747549,70.37,0.0002410411834716797
73,721,6390.764,-0.0006747549,70.52,0.000244140625
74,731,6407.1904,-0.0006747549,70.65,0.00024580955505371094
75,741,6428.0527,-0.0006747549,70.82,0.0002319812774658203
76,751,6452.0386,-0.0006747549,71.04,0.000240325927734375
77,761,6470.133,-0.0006747549,71.19,0.00024175643920898438
78,771,6494.7295,-0.0006747549,71.4,0.00024008750915527344
79,781,6517.2954,-0.0006747549,71.6,0.0002391338348388672
80,791,6533.235,-0.0006747549,71.72,0.0002396106719970703
81,801,6552.8115,-0.0006747549,71.89,0.00023508071899414062
82,811,6567.535,-0.0006747549,72.01,0.0002353191375732422
83,821,6580.5225,-0.0006747549,72.11,0.00023984909057617188
84,831,6591.0986,-0.0006747549,72.18,0.000274658203125
85,841,6610.571,-0.0006747549,72.36,0.00024271011352539062
86,851,6626.54,-0.0006747549,72.49,0.0002357959747314453
87,861,6640.0957,-0.0006747549,72.59,0.0002574920654296875
88,871,6654.67,-0.0006747549,72.7,0.00023651123046875
89,881,6669.1924,-0.0006747549,72.81999,0.00023603439331054688
90,891,6684.427,0.0,72.95,0.0002396106719970703
91,901,6698.9272,0.0,73.06999,0.0002353191375732422
92,911,6706.541,0.0,73.119995,0.0002384185791015625
93,921,6717.8535,0.0,73.2,0.00023937225341796875
94,931,6729.186,0.0,73.28,0.00023818016052246094
95,941,6740.9106,0.0,73.369995,0.0002384185791015625
96,951,6753.6973,0.0,73.46999,0.00023937225341796875
97,961,6762.586,0.0,73.53,0.0002429485321044922
98,971,6774.048,0.0,73.619995,0.00023818016052246094
99,981,6787.232,0.0,73.729996,0.0002422332763671875
100,991,6795.7754,0.0,73.78,0.00025153160095214844
101,1001,6804.2993,0.0,73.829994,0.0002410411834716797
102,1011,6811.781,0.0,73.88,0.0002357959747314453
103,1021,6824.727,0.0,73.99,0.000240325927734375
104,1031,6835.9937,0.0,74.079994,0.00025725364685058594
105,1041,6842.594,0.0,74.119995,0.00025844573974609375
106,1051,6856.117,0.0,74.24,0.00023674964904785156
107,1061,6866.781,0.0,74.329994,0.00023651123046875
108,1071,6875.784,0.0,74.399994,0.00023937225341796875
109,1081,6883.268,0.0,74.45,0.0002815723419189453
110,1091,6888.6113,0.0,74.479996,0.0002396106719970703
111,1101,6897.881,0.0,74.549995,0.00023555755615234375
112,1111,6901.252,0.0,74.56,0.0002429485321044922
113,1121,6910.1753,0.0,74.63,0.0002391338348388672
114,1131,6918.16,0.0,74.689995,0.0002758502960205078
115,1141,6925.19,0.0,74.74,0.00024008750915527344
116,1151,6935.987,0.0,74.829994,0.00023627281188964844
117,1161,6944.6846,0.0,74.899994,0.0002391338348388672
118,1171,6954.105,0.0,74.97,0.00023603439331054688
119,1181,6961.281,0.0,75.02,0.00024008750915527344
120,1191,6969.1084,0.0,75.079994,0.0002384185791015625
121,1201,6980.469,0.0,75.18,0.0002384185791015625
122,1211,6985.2954,0.0,75.21,0.00023984909057617188
123,1221,6990.829,0.0,75.25,0.0002391338348388672
124,1231,6994.582,0.0,75.27,0.00024056434631347656
125,1241,6999.3623,0.0,75.299995,0.00023627281188964844
126,1251,7003.0215,0.0,75.32,0.00023937225341796875
127,1261,7012.4414,0.0,75.4,0.0002372264862060547
128,1271,7018.2363,0.0,75.439995,0.00023889541625976562
129,1281,7022.9585,0.0,75.47,0.0002396106719970703
130,1291,7029.673,0.0,75.52,0.00023865699768066406
131,1301,7033.6064,0.0,75.54,0.00023651123046875
132,1311,7039.302,0.0,75.58,0.00023651123046875
133,1321,7044.0947,0.0,75.61,0.00023794174194335938
134,1331,7050.3057,0.0,75.659996,0.0002372264862060547
135,1341,7054.743,0.0,75.689995,0.00023603439331054688
136,1351,7059.537,0.0,75.72,0.00024056434631347656
137,1361,7064.1235,0.0,75.75,0.00024056434631347656
138,1371,7069.7646,0.0,75.79,0.00024199485778808594
139,1381,7073.276,0.0,75.81,0.00023794174194335938
140,1391,7079.4985,0.0,75.86,0.0002357959747314453
141,1401,7086.8755,0.0,75.92,0.00023674964904785156
142,1411,7091.301,0.0,75.95,0.0002384185791015625
143,1421,7096.6665,0.0,75.99,0.00023603439331054688
144,1431,7101.865,0.0,76.03,0.00024080276489257812
145,1441,7108.698,0.0,76.09,0.00024080276489257812
146,1451,7113.9272,0.0,76.13,0.00023984909057617188
147,1461,7117.7485,0.0,76.15,0.00023794174194335938
148,1471,7124.006,0.0,76.2,0.0002422332763671875
149,1481,7128.2363,0.0,76.229996,0.000240325927734375
150,1491,7133.1504,0.0,76.27,0.00024056434631347656
151,1501,7143.2236,0.0,76.36,0.0002682209014892578
152,1511,7144.9854,0.0,76.36,0.0002334117889404297
153,1521,7148.336,0.0,76.38,0.00023674964904785156
154,1531,7150.081,0.0,76.38,0.0002593994140625
155,1541,7155.36,0.0,76.42,0.00023794174194335938
156,1551,7161.382,0.0,76.47,0.00024008750915527344
157,1561,7165.0654,0.0,76.49,0.0002384185791015625
158,1571,7166.3267,0.0,76.49,0.00024271011352539062
159,1581,7169.6836,0.0,76.51,0.0002377033233642578
160,1591,7175.445,0.0,76.56,0.00023937225341796875
161,1601,7176.902,0.0,76.56,0.00023698806762695312
162,1611,7179.386,0.0,76.57,0.0002396106719970703
163,1621,7185.1924,0.0,76.62,0.0002415180206298828
164,1631,7187.6177,0.0,76.63,0.00023746490478515625
165,1641,7190.8965,0.0,76.65,0.00024127960205078125
166,1651,7195.642,0.0,76.69,0.0002396106719970703
167,1661,7199.3096,0.0,76.72,0.00024008750915527344
168,1671,7201.9243,0.0,76.73,0.00023484230041503906
169,1681,7203.9565,0.0,76.74,0.00023674964904785156
170,1691,7208.0254,0.0,76.77,0.0002396106719970703
171,1701,7210.2295,0.0,76.78,0.00023865699768066406
172,1711,7211.3677,0.0,76.78,0.0002770423889160156
173,1721,7213.824,0.0,76.79,0.00023674964904785156
174,1731,7217.5615,0.0,76.82,0.0002372264862060547
175,1741,7223.0005,0.0,76.87,0.00023794174194335938
176,1751,7227.7954,0.0,76.909996,0.0002357959747314453
177,1761,7229.8975,0.0,76.92,0.00023818016052246094
178,1771,7232.167,0.0,76.93,0.00032019615173339844
179,1781,7234.1226,0.0,76.94,0.00024271011352539062
180,1791,7236.1177,0.0,76.95,0.00023746490478515625
181,1801,7239.0557,0.0,76.97,0.00023508071899414062
182,1811,7240.245,0.0,76.97,0.00024247169494628906
183,1821,7241.3467,0.0,76.97,0.00023627281188964844
184,1831,7246.5654,0.0,77.02,0.00027751922607421875
185,1841,7248.4214,0.0,77.03,0.00023937225341796875
186,1851,7253.753,0.0,77.08,0.00023865699768066406
187,1861,7254.62,0.0,77.08,0.00024056434631347656
188,1871,7258.1167,0.0,77.11,0.0002384185791015625
189,1881,7259.8853,0.0,77.12,0.00027108192443847656
190,1891,7262.1084,0.0,77.13,0.00023937225341796875
191,1901,7266.493,0.0,77.17,0.00023889541625976562
192,1911,7268.3706,0.0,77.18,0.00024771690368652344
193,1921,7270.125,0.0,77.19,0.00023818016052246094
194,1931,7272.5933,0.0,77.21,0.0002357959747314453
195,1941,7275.333,0.0,77.23,0.00023627281188964844
196,1951,7277.111,0.0,77.24,0.0002384185791015625
197,1961,7279.7686,0.0,77.26,0.00024056434631347656
198,1971,7281.679,0.0,77.27,0.00024127960205078125
199,1981,7282.507,0.0,77.27,0.0002410411834716797
200,1991,7286.989,0.0,77.31,0.00024247169494628906
201,2001,7288.562,0.0,77.32,0.0002377033233642578
202,2011,7290.3896,0.0,77.33,0.00023865699768066406
203,2021,7291.1567,0.0,77.33,0.0002522468566894531
204,2031,7294.7134,0.0,77.36,0.00023627281188964844
205,2041,7295.579,0.0,77.36,0.00023555755615234375
206,2051,7297.955,0.0,77.38,0.0002377033233642578
207,2061,7299.6885,0.0,77.39,0.0002338886260986328
208,2071,7302.3843,0.0,77.41,0.0002391338348388672
209,2081,7303.1533,0.0,77.41,0.00024127960205078125
210,2091,7303.9673,0.0,77.41,0.00023818016052246094
211,2101,7305.7266,0.0,77.42,0.00027871131896972656
212,2111,7306.477,0.0,77.42,0.00023603439331054688
213,2121,7309.8867,0.0,77.45,0.00024199485778808594
214,2131,7311.5776,0.0,77.46,0.0002410411834716797
215,2141,7313.213,0.0,77.47,0.0004143714904785156
216,2151,7314.787,0.0,77.48,0.00023627281188964844
217,2161,7317.4277,0.0,77.5,0.00024175643920898438
218,2171,7318.879,0.0,77.51,0.00024080276489257812
219,2181,7322.299,0.0,77.54,0.0003192424774169922
220,2191,7322.9663,0.0,77.54,0.00024366378784179688
221,2201,7325.455,0.0,77.56,0.0002396106719970703
222,2211,7326.934,0.0,77.57,0.0002503395080566406
223,2221,7327.609,0.0,77.57,0.00023674964904785156
224,2231,7328.11,0.0,77.57,0.0002377033233642578
225,2241,7328.8184,0.0,77.57,0.00023889541625976562
226,2251,7329.7114,0.0,77.57,0.00023627281188964844
227,2261,7330.435,0.0,77.57,0.0002353191375732422
