loop,iteration,qd_score,max_fitness,coverage,time
1,1,397.82443,-0.114582464,5.27,0.8400473594665527
2,11,640.11646,-0.08510632,8.32,0.0002532005310058594
3,21,830.7794,-0.07512216,10.65,0.00025963783264160156
4,31,1013.3774,-0.07662085,12.83,0.0002589225769042969
5,41,1152.6821,-0.068832844,14.469999,0.0002593994140625
6,51,1318.737,-0.06402787,16.45,0.00026226043701171875
7,61,1465.3516,-0.06264296,18.169998,0.0002644062042236328
8,71,1558.6077,-0.06438942,19.18,0.0003046989440917969
9,81,1713.0608,-0.06291358,20.98,0.00025963783264160156
10,91,1791.3896,-0.06210093,21.83,0.00026297569274902344
11,101,1865.7726,-0.063819215,22.6,0.0002651214599609375
12,111,1999.2412,-0.06153766,24.15,0.0002818107604980469
13,121,2081.271,-0.059846207,25.079998,0.0002644062042236328
14,131,2175.287,-0.06060191,26.1,0.0002613067626953125
15,141,2271.023,-0.061147705,27.15,0.00026226043701171875
16,151,2311.1475,-0.060092784,27.55,0.000270843505859375
17,161,2391.0876,-0.058116652,28.380001,0.00026416778564453125
18,171,2488.6145,-0.04749211,29.459997,0.00026702880859375
19,181,2560.4126,-0.04238835,30.249998,0.00026345252990722656
20,191,2639.8174,-0.041811954,31.09,0.0002684593200683594
21,201,2698.7021,-0.04264073,31.7,0.0002658367156982422
22,211,2786.2412,-0.04191517,32.64,0.00026702880859375
23,221,2823.0686,-0.042522088,32.96,0.0002684593200683594
24,231,2885.3972,-0.042035222,33.589996,0.00029087066650390625
25,241,2965.5193,-0.04208907,34.45,0.0003695487976074219
26,251,3013.2756,-0.042459667,34.96,0.0002701282501220703
27,261,3065.3271,-0.042737924,35.49,0.00026488304138183594
28,271,3095.167,-0.04195308,35.74,0.0002639293670654297
29,281,3154.8628,-0.039715916,36.379997,0.00026702880859375
30,291,3206.992,-0.038456094,36.879997,0.00026345252990722656
31,301,3261.2993,-0.039448142,37.46,0.0002636909484863281
32,311,3305.5344,-0.039435316,37.899998,0.0002799034118652344
33,321,3362.323,-0.04016102,38.49,0.00026488304138183594
34,331,3374.1992,-0.039595522,38.54,0.0002663135528564453
35,341,3475.2449,-0.039585754,39.649998,0.00026726722717285156
