loop,iteration,qd_score,max_fitness,coverage,time
1,1,2234.4082,-0.020020183,28.119999,3.5504424571990967
2,11,3329.7097,-0.020020183,40.48,1.3368654251098633
3,21,4173.321,-0.0055539287,49.57,1.3470282554626465
4,31,4812.0757,-0.0055539287,56.129997,1.3495385646820068
5,41,5321.21,-0.0055539287,61.21,1.3749268054962158
6,51,5703.749,-0.005237689,64.840004,1.3187425136566162
7,61,5983.255,-0.0029933753,67.35999,1.3776350021362305
8,71,6230.769,-0.0029933753,69.56,1.3524887561798096
9,81,6408.1177,-0.0029933753,71.04,1.3895032405853271
10,91,6547.2026,-0.0029933753,72.15,1.4156701564788818
11,101,6660.1016,0.0,72.979996,1.1020548343658447
12,111,6753.5645,0.0,73.64,1.1102242469787598
13,121,6834.399,0.0,74.229996,0.7835724353790283
14,131,6896.59,0.0,74.63,0.7855937480926514
15,141,6957.2783,0.0,75.049995,1.346177101135254
16,151,7007.0283,0.0,75.4,1.0877430438995361
17,161,7049.8184,0.0,75.689995,0.8047354221343994
18,171,7086.2446,0.0,75.909996,1.3536500930786133
19,181,7125.9355,0.0,76.2,1.351414442062378
20,191,7155.4175,0.0,76.39,1.3579328060150146
21,201,7185.0083,0.0,76.59,1.3637471199035645
22,211,7205.882,0.0,76.71,1.3719289302825928
23,221,7223.4136,0.0,76.81,1.3353111743927002
24,231,7242.508,0.0,76.94,1.3312928676605225
25,241,7268.529,0.0,77.14,1.3303468227386475
26,251,7288.515,0.0,77.29,1.3592143058776855
27,261,7301.7593,0.0,77.37,1.364891529083252
28,271,7313.855,0.0,77.44,0.7831401824951172
29,281,7327.0957,0.0,77.53,0.8050587177276611
30,291,7336.697,0.0,77.58,0.7856428623199463
31,301,7344.424,0.0,77.61,0.7969472408294678
32,311,7354.7803,0.0,77.68,0.7901010513305664
33,321,7364.0938,0.0,77.74,0.7881820201873779
34,331,7372.4756,0.0,77.79,1.369516134262085
35,341,7379.595,0.0,77.83,1.3574652671813965
36,351,7385.4473,0.0,77.86,1.371000051498413
37,361,7392.976,0.0,77.91,1.3556981086730957
38,371,7397.808,0.0,77.93,1.3471391201019287
39,381,7405.0947,0.0,77.98,1.3624839782714844
40,391,7411.392,0.0,78.020004,1.3438196182250977
41,401,7416.5,0.0,78.05,1.3201067447662354
42,411,7420.612,0.0,78.07,1.3653206825256348
43,421,7423.9375,0.0,78.08,1.3160638809204102
44,431,7429.4873,0.0,78.12,1.3134479522705078
45,441,7434.1846,0.0,78.15,1.3320741653442383
46,451,7436.186,0.0,78.15,1.333711862564087
47,461,7440.5493,0.0,78.18,1.3820116519927979
48,471,7445.0566,0.0,78.21,1.3734595775604248
49,481,7448.665,0.0,78.229996,1.365983247756958
50,491,7451.041,0.0,78.24,1.3670539855957031
51,501,7455.278,0.0,78.27,1.341841697692871
52,511,7459.3887,0.0,78.3,1.396423578262329
53,521,7460.8486,0.0,78.3,1.3827567100524902
54,531,7463.1455,0.0,78.31,1.4062995910644531
55,541,7466.2026,0.0,78.33,1.4032511711120605
56,551,7469.319,0.0,78.35,1.4394450187683105
57,561,7471.301,0.0,78.36,1.404210090637207
58,571,7475.1367,0.0,78.39,1.3889555931091309
59,581,7479.0044,0.0,78.42,1.3787617683410645
60,591,7480.9995,0.0,78.43,1.4144632816314697
61,601,7482.24,0.0,78.43,1.4118282794952393
62,611,7485.0747,0.0,78.45,1.3823356628417969
63,621,7487.0244,0.0,78.46,1.2870986461639404
64,631,7488.874,0.0,78.47,1.3151862621307373
65,641,7491.571,0.0,78.49,1.3179068565368652
66,651,7492.299,0.0,78.49,1.3924353122711182
67,661,7493.901,0.0,78.5,1.340979814529419
68,671,7497.337,0.0,78.53,1.3115570545196533
69,681,7498.999,0.0,78.54,1.0598595142364502
70,691,7502.474,0.0,78.57,1.2459158897399902
71,701,7503.255,0.0,78.57,1.3384339809417725
72,711,7504.949,0.0,78.58,1.3470044136047363
73,721,7506.596,0.0,78.59,1.359703540802002
74,731,7508.9697,0.0,78.61,1.2847707271575928
75,741,7512.3984,0.0,78.64,1.3659288883209229
76,751,7513.9517,0.0,78.649994,1.3617148399353027
77,761,7515.4746,0.0,78.659996,1.3720386028289795
78,771,7516.1123,0.0,78.659996,1.3661715984344482
79,781,7519.464,0.0,78.689995,1.350088119506836
80,791,7520.023,0.0,78.689995,1.3705270290374756
81,801,7520.63,0.0,78.689995,1.3454749584197998
82,811,7522.8594,0.0,78.71,1.3028881549835205
83,821,7525.3003,0.0,78.729996,1.3627173900604248
84,831,7525.8296,0.0,78.729996,1.3707728385925293
85,841,7528.0244,0.0,78.75,0.9965519905090332
86,851,7530.473,0.0,78.77,0.7909376621246338
87,861,7531.016,0.0,78.77,1.343782663345337
88,871,7531.5566,0.0,78.77,1.3421597480773926
89,881,7532.9224,0.0,78.78,1.3415544033050537
90,891,7533.472,0.0,78.78,1.333970069885254
91,901,7534.845,0.0,78.78999,1.3511698246002197
92,911,7536.1304,0.0,78.799995,1.3459851741790771
93,921,7537.412,0.0,78.81,1.335947036743164
94,931,7537.857,0.0,78.81,1.331193208694458
95,941,7538.2563,0.0,78.81,1.3623151779174805
96,951,7539.5776,0.0,78.82,1.3515033721923828
97,961,7540.043,0.0,78.82,1.3441798686981201
98,971,7541.355,0.0,78.829994,1.3986403942108154
99,981,7542.615,0.0,78.84,1.3955676555633545
100,991,7543.0186,0.0,78.84,1.419731616973877
101,1001,7544.3765,0.0,78.85,1.4123730659484863
102,1011,7546.5938,0.0,78.869995,1.3991894721984863
103,1021,7547.0527,0.0,78.869995,1.3577344417572021
104,1031,7548.321,0.0,78.88,1.4100465774536133
105,1041,7549.47,0.0,78.89,1.414668083190918
106,1051,7549.8496,0.0,78.89,1.4245200157165527
107,1061,7552.951,0.0,78.92,1.4225339889526367
108,1071,7554.175,0.0,78.92999,1.3891301155090332
109,1081,7556.306,0.0,78.95,1.383997917175293
110,1091,7556.7124,0.0,78.95,1.3623104095458984
111,1101,7557.061,0.0,78.95,1.359560251235962
112,1111,7557.384,0.0,78.95,1.3500168323516846
113,1121,7557.7456,0.0,78.95,1.3821778297424316
114,1131,7559.8296,0.0,78.96999,1.1690590381622314
115,1141,7561.1514,0.0,78.979996,1.3644201755523682
116,1151,7561.4956,0.0,78.979996,1.3928923606872559
117,1161,7561.837,0.0,78.979996,1.3852272033691406
118,1171,7562.1313,0.0,78.979996,1.3889431953430176
119,1181,7562.4365,0.0,78.979996,1.4078912734985352
120,1191,7562.786,0.0,78.979996,1.3820383548736572
121,1201,7563.1025,0.0,78.979996,1.3752312660217285
122,1211,7565.092,0.0,79.0,1.3791954517364502
123,1221,7565.3447,0.0,79.0,1.1984450817108154
124,1231,7566.523,0.0,79.009995,1.2343847751617432
125,1241,7566.824,0.0,79.009995,0.9426438808441162
126,1251,7567.1455,0.0,79.009995,0.8848671913146973
127,1261,7567.4,0.0,79.009995,0.9487104415893555
128,1271,7567.723,0.0,79.009995,0.7460811138153076
129,1281,7567.9487,0.0,79.009995,0.8508474826812744
130,1291,7568.2573,0.0,79.009995,0.7810020446777344
131,1301,7568.5273,0.0,79.009995,0.7937512397766113
132,1311,7568.7515,0.0,79.009995,0.7919886112213135
133,1321,7569.868,0.0,79.02,0.7951364517211914
134,1331,7571.1064,0.0,79.03,0.798473596572876
135,1341,7572.3496,0.0,79.03999,1.3458526134490967
136,1351,7572.5835,0.0,79.03999,1.3109173774719238
137,1361,7572.827,0.0,79.03999,1.2910311222076416
138,1371,7573.023,0.0,79.03999,1.315974235534668
139,1381,7573.2393,0.0,79.03999,1.279710292816162
140,1391,7574.3477,0.0,79.049995,1.3477766513824463
141,1401,7574.557,0.0,79.049995,1.3516755104064941
142,1411,7574.7935,0.0,79.049995,1.380495309829712
143,1421,7575.002,0.0,79.049995,1.3747873306274414
144,1431,7575.2534,0.0,79.049995,1.3727424144744873
145,1441,7576.3223,0.0,79.06,1.3695650100708008
146,1451,7576.5723,0.0,79.06,1.2975869178771973
147,1461,7577.8286,0.0,79.06999,1.3560559749603271
148,1471,7578.893,0.0,79.079994,1.3496298789978027
149,1481,7579.9536,0.0,79.09,1.3428142070770264
150,1491,7580.129,0.0,79.09,1.3582358360290527
151,1501,7580.345,0.0,79.09,1.3918168544769287
152,1511,7580.52,0.0,79.09,1.3487911224365234
153,1521,7580.64,0.0,79.09,1.3581669330596924
154,1531,7580.81,0.0,79.09,1.381026029586792
155,1541,7580.9985,0.0,79.09,1.3896923065185547
156,1551,7581.206,0.0,79.09,0.7840731143951416
157,1561,7581.3633,0.0,79.09,0.7944345474243164
158,1571,7582.4,0.0,79.1,0.7949059009552002
159,1581,7583.482,0.0,79.10999,0.789130449295044
160,1591,7584.576,0.0,79.119995,0.8257327079772949
161,1601,7586.598,0.0,79.14,0.7746334075927734
162,1611,7586.8257,0.0,79.14,1.3321447372436523
163,1621,7586.9756,0.0,79.14,1.3210766315460205
164,1631,7587.9834,0.0,79.149994,1.315796136856079
165,1641,7588.1797,0.0,79.149994,1.3326678276062012
166,1651,7588.333,0.0,79.149994,1.4177913665771484
167,1661,7589.46,0.0,79.159996,1.4258065223693848
168,1671,7590.5054,0.0,79.17,1.4230961799621582
169,1681,7590.628,0.0,79.17,1.3448944091796875
170,1691,7590.796,0.0,79.17,1.4359586238861084
171,1701,7590.9556,0.0,79.17,1.3792994022369385
172,1711,7591.1426,0.0,79.17,1.4134140014648438
173,1721,7591.265,0.0,79.17,1.4321293830871582
174,1731,7592.286,0.0,79.17999,1.3276515007019043
175,1741,7593.321,0.0,79.189995,1.3298287391662598
176,1751,7593.453,0.0,79.189995,1.3048067092895508
177,1761,7594.55,0.0,79.2,1.3014538288116455
178,1771,7594.6763,0.0,79.2,1.274263858795166
179,1781,7595.7124,0.0,79.20999,1.3142263889312744
180,1791,7596.8257,0.0,79.21999,1.4301962852478027
181,1801,7596.967,0.0,79.21999,1.3232982158660889
182,1811,7597.157,0.0,79.21999,1.3043489456176758
183,1821,7598.2764,0.0,79.229996,1.3752715587615967
184,1831,7598.4062,0.0,79.229996,1.3142766952514648
185,1841,7598.511,0.0,79.229996,1.3113458156585693
186,1851,7598.622,0.0,79.229996,1.262166976928711
187,1861,7598.7686,0.0,79.229996,1.0610084533691406
188,1871,7598.9404,0.0,79.229996,1.2920434474945068
189,1881,7599.968,0.0,79.24,1.288780927658081
190,1891,7600.1626,0.0,79.24,1.2948694229125977
191,1901,7600.267,0.0,79.24,1.2874865531921387
192,1911,7600.372,0.0,79.24,1.3340919017791748
193,1921,7600.516,0.0,79.24,1.3325777053833008
194,1931,7600.717,0.0,79.24,1.3240368366241455
195,1941,7601.8257,0.0,79.24999,1.3239729404449463
196,1951,7601.9717,0.0,79.24999,1.3596506118774414
197,1961,7602.1187,0.0,79.24999,1.399460792541504
198,1971,7602.245,0.0,79.24999,1.4252865314483643
199,1981,7602.363,0.0,79.24999,1.4701716899871826
200,1991,7602.5303,0.0,79.24999,1.3518357276916504
201,2001,7603.575,0.0,79.259995,1.4081850051879883
202,2011,7603.7354,0.0,79.259995,1.3474886417388916
203,2021,7603.843,0.0,79.259995,1.439819097518921
204,2031,7603.966,0.0,79.259995,1.4349844455718994
205,2041,7605.016,0.0,79.27,1.3210973739624023
206,2051,7605.151,0.0,79.27,1.4172086715698242
207,2061,7605.3154,0.0,79.27,1.4313042163848877
208,2071,7605.434,0.0,79.27,1.3943772315979004
209,2081,7605.5425,0.0,79.27,1.4099290370941162
210,2091,7605.6475,0.0,79.27,1.424677848815918
211,2101,7605.8022,0.0,79.27,1.4255223274230957
212,2111,7606.901,0.0,79.28,1.4369332790374756
213,2121,7607.0166,0.0,79.28,1.410524606704712
214,2131,7607.121,0.0,79.28,1.4029815196990967
215,2141,7607.206,0.0,79.28,1.4247052669525146
216,2151,7607.3237,0.0,79.28,1.4264030456542969
217,2161,7607.459,0.0,79.28,1.4244437217712402
218,2171,7607.532,0.0,79.28,1.4213039875030518
219,2181,7607.634,0.0,79.28,1.084320306777954
220,2191,7607.7363,0.0,79.28,1.2731223106384277
221,2201,7607.879,0.0,79.28,1.0720853805541992
222,2211,7608.0107,0.0,79.28,1.3251359462738037
223,2221,7608.117,0.0,79.28,1.3298866748809814
224,2231,7608.2217,0.0,79.28,1.3420734405517578
225,2241,7608.311,0.0,79.28,1.2931151390075684
226,2251,7608.439,0.0,79.28,1.3267877101898193
227,2261,7608.5117,0.0,79.28,1.3474516868591309
228,2271,7608.633,0.0,79.28,1.358670949935913
229,2281,7609.618,0.0,79.28999,1.3739433288574219
230,2291,7609.727,0.0,79.28999,1.3245506286621094
231,2301,7609.799,0.0,79.28999,1.3253822326660156
