loop,iteration,qd_score,max_fitness,coverage,time
1,1,2213.1772,-0.05692971,27.98,5.4278724193573
2,11,3303.593,-0.036934044,40.26,5.150163650512695
3,21,4100.157,-0.036934044,48.739998,5.2114646434783936
4,31,4735.873,-0.036934044,55.289997,5.10269832611084
5,41,5218.993,-0.029392345,60.0,5.14037561416626
6,51,5618.427,-0.029392345,63.82,4.949555158615112
7,61,5913.1694,-0.01663669,66.47,5.310819864273071
8,71,6159.9985,-0.01663669,68.68,5.001589298248291
9,81,6338.6235,-0.01663669,70.159996,5.113343954086304
10,91,6493.83,-0.01663669,71.439995,5.356535196304321
11,101,6621.1626,-0.01663669,72.439995,5.207611083984375
12,111,6717.654,-0.01663669,73.159996,5.142670631408691
13,121,6811.2275,-0.01663669,73.89,5.114911079406738
14,131,6876.1567,-0.01663669,74.35,5.124853610992432
15,141,6943.3535,-0.01663669,74.86,5.315315246582031
16,151,6995.738,-0.01663669,75.229996,5.1716859340667725
17,161,7044.269,-0.01663669,75.58,5.185663461685181
18,171,7089.6826,-0.01663669,75.92,5.322434902191162
19,181,7124.03,-0.01663669,76.15,5.010000228881836
20,191,7157.0986,-0.01663669,76.39,5.318305015563965
21,201,7191.335,-0.01596247,76.65,4.830673456192017
22,211,7218.127,-0.010158761,76.84,4.631710767745972
23,221,7237.068,-0.010158761,76.95,4.576333522796631
24,231,7256.6855,-0.010158761,77.08,5.020950794219971
25,241,7269.8975,-0.010158761,77.15,5.05169415473938
26,251,7289.6235,-0.010158761,77.29,5.0732152462005615
27,261,7303.0254,-0.010158761,77.369995,5.55515193939209
28,271,7318.1616,-0.010158761,77.47,5.521617889404297
29,281,7329.4233,-0.010158761,77.54,5.39618444442749
30,291,7336.9927,-0.010158761,77.57,5.8635969161987305
31,301,7348.78,-0.010158761,77.65,5.9143407344818115
32,311,7361.653,-0.010158761,77.75,5.043387413024902
33,321,7372.698,-0.010158761,77.83,4.823869705200195
34,331,7378.0957,-0.010158761,77.85,5.1377739906311035
35,341,7386.757,-0.010158761,77.909996,4.948057413101196
36,351,7394.105,-0.010158761,77.95,4.94504714012146
37,361,7404.1606,-0.010158761,78.03,4.959554433822632
38,371,7411.3735,-0.010158761,78.08,4.966100454330444
39,381,7414.997,-0.010158761,78.09,4.858062505722046
40,391,7418.333,-0.010158761,78.1,4.938598871231079
41,401,7426.926,-0.0,78.17,4.947873115539551
42,411,7432.4697,-0.0,78.21,4.871733903884888
43,421,7436.536,-0.0,78.229996,4.955670356750488
44,431,7438.5723,-0.0,78.229996,4.825769901275635
45,441,7441.591,-0.0,78.24,5.113181114196777
46,451,7445.409,-0.0,78.259995,4.840651750564575
47,461,7448.891,-0.0,78.28,5.00897741317749
48,471,7450.602,-0.0,78.28,4.8057568073272705
49,481,7454.853,-0.0,78.31,4.097607612609863
50,491,7458.2534,-0.0,78.33,5.473084926605225
51,501,7466.0527,-0.0,78.4,5.500083684921265
52,511,7468.3564,-0.0,78.409996,5.5127551555633545
53,521,7469.742,-0.0,78.409996,5.400610685348511
54,531,7475.8115,-0.0,78.46,5.439567565917969
55,541,7478.0415,-0.0,78.47,5.6284706592559814
56,551,7480.0293,-0.0,78.479996,5.6423773765563965
57,561,7484.092,-0.0,78.509995,5.584739923477173
58,571,7485.3037,-0.0,78.509995,5.600583791732788
59,581,7488.127,-0.0,78.53,5.628758907318115
60,591,7491.011,-0.0,78.549995,5.685589075088501
61,601,7493.926,-0.0,78.57,5.936545133590698
