loop,iteration,qd_score,max_fitness,coverage,time
1,1,1604.5623,-0.061831303,20.15,5.786027669906616
2,11,2268.524,-0.043421987,27.4,1.4089927673339844
3,21,2860.1045,-0.03670635,33.76,1.7541389465332031
4,31,3218.8333,-0.030579569,37.34,1.7440192699432373
5,41,3567.3232,-0.029785296,40.82,1.7900640964508057
6,51,3808.5435,-0.030795552,43.069996,1.8280720710754395
7,61,3991.8884,-0.029758828,44.73,1.8197381496429443
8,71,4128.0107,-0.022105673,45.909996,1.8518998622894287
9,81,4236.941,-0.022083344,46.82,1.515404224395752
10,91,4341.5493,-0.02314001,47.7,1.8810746669769287
11,101,4378.9272,-0.021337705,47.9,1.2130115032196045
12,111,4421.1367,-0.021078315,48.17,1.8233740329742432
13,121,4507.4116,-0.020295175,48.929996,1.8835375308990479
14,131,4527.754,-0.0035593368,49.01,1.9281389713287354
15,141,4564.0815,-0.003452188,49.289997,1.8374950885772705
16,151,4550.209,-0.0029314905,49.03,1.887545108795166
17,161,4609.1226,0.00066625595,49.559998,1.4983973503112793
18,171,4630.57,-4.2242493e-05,49.719997,1.874589204788208
19,181,4653.0723,0.0004918541,49.89,1.8871490955352783
20,191,4661.5923,0.00033775409,49.879997,1.861053705215454
21,201,4656.698,6.127199e-05,49.769997,1.791153907775879
22,211,4675.739,0.0012201978,49.91,1.8701698780059814
23,221,4642.321,0.0013172079,49.48,1.8985772132873535
24,231,4687.45,0.0006111627,49.92,1.8391010761260986
25,241,4672.2676,0.0010098455,49.73,1.8714425563812256
26,251,4704.8057,0.0011855739,50.04,1.879162073135376
27,261,4661.4556,0.001397526,49.53,1.7874243259429932
28,271,4684.757,0.0015665896,49.749996,1.7946372032165527
29,281,4679.4214,0.001509877,49.629997,1.9003539085388184
30,291,4690.369,0.0012270184,49.73,1.6217236518859863
31,301,4683.178,0.0007737798,49.62,1.6888515949249268
32,311,4663.2734,0.0013941713,49.39,1.8791985511779785
33,321,4657.076,0.001965025,49.3,1.9468333721160889
34,331,4630.629,0.0016499034,48.999996,1.345635175704956
35,341,4609.3735,0.0014865219,48.76,1.8085353374481201
36,351,4571.794,0.001989779,48.33,1.852515697479248
37,361,4589.392,0.0014047968,48.5,1.5398738384246826
38,371,4593.075,0.0014034545,48.53,1.7651448249816895
39,381,4552.6396,0.0014918705,48.09,1.8872957229614258
40,391,4580.233,0.0014251806,48.37,1.6823172569274902
41,401,4545.4727,0.001927796,47.96,1.5603904724121094
42,411,4554.265,0.0012693828,48.06,1.4805357456207275
43,421,4520.8506,0.0017750954,47.68,1.7351007461547852
44,431,4575.7026,0.0017976799,48.25,1.7680139541625977
45,441,4549.2983,0.0018885022,47.96,1.8223085403442383
46,451,4503.125,0.0014042582,47.46,1.769758939743042
47,461,4501.261,0.0018745316,47.44,1.7703852653503418
48,471,4515.7524,0.0013844378,47.579998,1.8231098651885986
49,481,4469.127,0.0015667219,47.07,1.8193416595458984
50,491,4470.2295,0.0014388569,47.079998,1.2184293270111084
51,501,4489.39,0.0016373731,47.26,1.8342363834381104
52,511,4524.3833,0.0013420713,47.62,1.822197675704956
53,521,4503.2437,0.0014958355,47.399998,1.7699415683746338
54,531,4471.603,0.0021350982,47.05,1.2109296321868896
55,541,4488.2354,0.001752111,47.21,1.7455427646636963
56,551,4445.703,0.0013769598,46.76,1.4642324447631836
57,561,4476.5312,0.00158505,47.09,1.4134066104888916
58,571,4482.156,0.0014943106,47.14,1.7768330574035645
59,581,4437.88,0.0017371279,46.67,1.8081724643707275
60,591,4445.0464,0.0020147488,46.73,1.7481427192687988
61,601,4492.8,0.0017059336,47.23,1.7841134071350098
62,611,4459.0376,0.0013548662,46.87,1.9046220779418945
63,621,4441.757,0.0016703587,46.679996,1.8428528308868408
64,631,4441.2886,0.0018225175,46.67,1.8094356060028076
