loop,iteration,qd_score,max_fitness,coverage,time
1,1,2220.0598,-0.037778843,28.23,7.055368900299072
2,11,3326.724,-0.02959439,40.76,6.68619704246521
3,21,4189.1,-0.027010832,50.039997,7.294935703277588
4,31,4898.91,-0.027010832,57.44,6.843864440917969
5,41,5509.4785,-0.024248429,63.64,6.037823677062988
6,51,5963.3525,-0.014609613,68.08,7.4844114780426025
7,61,6365.9155,-0.014609613,71.92,6.958231210708618
8,71,6696.532,-0.014609613,75.0,8.23875117301941
9,81,6952.546,-0.014609613,77.28,7.431600093841553
10,91,7165.7476,-0.013248888,79.18,8.052753448486328
11,101,7346.4834,0.004833231,80.74,5.562336206436157
12,111,7495.806,0.0062874244,81.979996,6.267407417297363
13,121,7636.688,0.011560814,83.17,7.196943044662476
14,131,7753.574,0.011560814,84.119995,8.43717908859253
15,141,7844.154,0.011560814,84.83,5.7574622631073
16,151,7936.1104,0.029987644,85.58,7.909259796142578
17,161,8024.2417,0.029987644,86.299995,5.593854904174805
18,171,8096.8096,0.029987644,86.869995,4.909098148345947
19,181,8165.787,0.029987644,87.409996,7.628821849822998
20,191,8214.086,0.029987644,87.75,7.752214431762695
21,201,8271.792,0.029987644,88.21,8.06761360168457
22,211,8323.24,0.029987644,88.61,9.193063259124756
23,221,8365.566,0.029987644,88.92,6.665579795837402
24,231,8415.97,0.029987644,89.34,4.732771635055542
25,241,8446.085,0.029987644,89.549995,7.495694875717163
26,251,8480.45,0.029987644,89.81,4.723939657211304
27,261,8507.253,0.029987644,89.979996,6.725893974304199
28,271,8542.508,0.029987644,90.25,7.8695127964019775
29,281,8565.23,0.033547595,90.4,7.729889392852783
30,291,8590.407,0.033547595,90.59,8.969130516052246
31,301,8614.8955,0.033547595,90.77,6.5367820262908936
32,311,8641.085,0.033547595,90.97,7.156416177749634
33,321,8663.915,0.033547595,91.15,6.993658542633057
34,331,8686.276,0.033547595,91.32,7.097621440887451
35,341,8698.785,0.033547595,91.39,5.399554014205933
36,351,8720.96,0.033547595,91.57,7.214742183685303
37,361,8733.494,0.033547595,91.64,6.939891576766968
38,371,8751.358,0.033547595,91.78,6.09323263168335
39,381,8767.601,0.033547595,91.89,5.71060037612915
40,391,8784.019,0.033547595,92.02,6.227787494659424
41,401,8795.768,0.033547595,92.09,4.757535696029663
42,411,8811.207,0.033547595,92.21,4.9983508586883545
43,421,8823.86,0.033547595,92.299995,4.907734155654907
44,431,8838.604,0.033547595,92.409996,4.822232484817505
45,441,8848.633,0.033547595,92.479996,4.9712231159210205
46,451,8858.602,0.033547595,92.54,6.718347072601318
47,461,8864.348,0.033547595,92.56,7.098594665527344
48,471,8883.31,0.033547595,92.729996,5.047524452209473
49,481,8892.096,0.033547595,92.79,7.286635398864746
