loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,606.0801,-0.082711816,8.19,-inf,-inf,2.909170389175415
2,11,2243.8604,-0.07239156,28.33,-inf,-inf,0.022083520889282227
3,21,3272.2515,-0.054399874,39.879997,-inf,-inf,0.026293516159057617
4,31,4083.8813,-0.031988863,48.57,-inf,-inf,0.020648479461669922
5,41,4722.201,-0.02143139,55.149998,-inf,-inf,0.025740385055541992
6,51,5250.0806,-0.02143139,60.469997,-inf,-inf,0.0208895206451416
7,61,5621.49,-0.02143139,64.01,-inf,-inf,0.025064706802368164
8,71,5905.9688,-0.01917138,66.549995,-inf,-inf,0.01996445655822754
9,81,6129.6064,-0.01917138,68.479996,-inf,-inf,0.01834845542907715
10,91,6319.2065,-0.014424398,70.1,-inf,-inf,0.02739405632019043
11,101,6452.2427,-0.0044518053,71.15,-inf,-inf,0.024225234985351562
12,111,6583.984,-0.0,72.22,-inf,-inf,0.025667190551757812
13,121,6691.549,-0.0,73.049995,-inf,-inf,0.019500732421875
14,131,6783.6006,-0.0,73.76,-inf,-inf,0.02323150634765625
15,141,6855.0273,-0.0,74.27,-inf,-inf,0.02504444122314453
16,151,6921.792,-0.0,74.76,-inf,-inf,0.01743292808532715
17,161,6982.0723,-0.0,75.189995,-inf,-inf,0.01871323585510254
18,171,7028.257,-0.0,75.5,-inf,-inf,0.0182647705078125
19,181,7068.827,-0.0,75.78,-inf,-inf,0.01774454116821289
20,191,7099.7866,-0.0,75.97,-inf,-inf,0.01795649528503418
21,201,7132.9805,-0.0,76.189995,-inf,-inf,0.018374919891357422
22,211,7163.0684,-0.0,76.39,-inf,-inf,0.01811671257019043
23,221,7192.7544,-0.0,76.6,-inf,-inf,0.01818990707397461
24,231,7217.6274,-0.0,76.77,-inf,-inf,0.017397165298461914
25,241,7239.793,-0.0,76.92,-inf,-inf,0.018024921417236328
26,251,7261.061,-0.0,77.07,-inf,-inf,0.017181873321533203
27,261,7276.6357,-0.0,77.17,-inf,-inf,0.016773700714111328
28,271,7290.4893,-0.0,77.25,-inf,-inf,0.017207860946655273
29,281,7303.807,-0.0,77.33,-inf,-inf,0.02481532096862793
30,291,7315.3823,-0.0,77.4,-inf,-inf,0.024869680404663086
