loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,525.58716,-0.08325512,7.0599995,7.045889,35.24416,5.756648778915405
2,11,1640.1985,-0.058098093,20.61,20.595934,102.7746,1.0932235717773438
3,21,2336.7935,-0.045952886,28.349998,28.313137,141.43988,1.2239298820495605
4,31,2894.6494,-0.046199575,34.34,34.249165,171.2125,1.1160612106323242
5,41,3291.1934,-0.043823507,38.39,38.27388,191.45078,1.3493149280548096
6,51,3559.5632,-0.034768526,40.95,40.823692,204.18384,1.1029465198516846
7,61,3841.9355,-0.030026628,43.73,43.6158,218.09776,1.3768181800842285
8,71,4039.224,-0.015757639,45.54,45.389122,227.1421,1.1873838901519775
9,81,4101.137,-0.017189316,45.85,45.717697,228.72873,1.4109280109405518
10,91,4232.517,-0.014028025,47.01,46.885376,234.34618,1.4692480564117432
11,101,4344.1445,-0.013800449,47.98,47.83891,239.1785,1.7050929069519043
12,111,4409.175,-0.013653271,48.44,48.312172,241.5039,1.3927206993103027
13,121,4418.368,-0.012291716,48.31,48.14195,240.85675,1.6102440357208252
14,131,4501.458,-0.00854275,49.019997,48.865147,244.49657,1.3956000804901123
15,141,4511.4336,-4.0793064e-05,48.96,48.815407,244.01678,1.5022385120391846
16,151,4552.062,0.00035661896,49.269997,49.063652,245.5329,1.4607975482940674
17,161,4618.446,-0.00013809284,49.879997,49.721184,248.74951,1.6606523990631104
18,171,4594.2812,0.0014802341,49.489998,49.354454,246.67282,1.1453826427459717
19,181,4636.174,0.0011978392,49.859997,49.719795,248.28304,1.1288974285125732
20,191,4612.424,0.0012497896,49.519997,49.368126,246.85419,1.348262071609497
21,201,4596.958,0.0007586928,49.249996,49.086685,245.4279,1.152146816253662
22,211,4651.1636,0.0020025023,49.789997,49.670982,248.27783,1.2979223728179932
23,221,4678.036,0.001199349,50.010002,49.881943,249.28836,1.2151710987091064
24,231,4614.8374,0.0012828873,49.28,49.190235,245.79016,1.2527127265930176
25,241,4625.293,0.0013811982,49.319996,49.155968,245.8906,1.7110373973846436
26,251,4605.4004,0.0012137388,49.079998,48.928867,244.51639,1.3434391021728516
27,261,4633.907,0.0018266755,49.329998,49.189198,245.94917,1.5718209743499756
28,271,4599.31,0.0012246578,48.909996,48.831146,243.75696,1.4899017810821533
29,281,4583.771,0.0015196322,48.71,48.52575,242.81705,1.3822383880615234
30,291,4614.739,0.0012003572,49.01,48.89658,244.38635,1.4119164943695068
31,301,4584.3613,0.0015370059,48.649998,48.487244,242.68477,1.3938236236572266
32,311,4580.5107,0.0014715361,48.57,48.430794,242.02467,1.7606534957885742
33,321,4548.462,0.0012944327,48.2,48.08514,240.33441,1.6874597072601318
34,331,4597.9155,0.0023205138,48.71,48.588524,242.93196,1.5454535484313965
35,341,4613.3633,0.0019249133,48.859997,48.74975,243.36955,1.2230455875396729
36,351,4563.5557,0.0014953926,48.3,48.21797,240.8193,1.0721361637115479
37,361,4579.9185,0.0013985327,48.45,48.309116,241.3794,1.1453213691711426
38,371,4562.003,0.0014333519,48.25,48.093895,240.46523,1.217231035232544
39,381,4523.923,0.0011562549,47.829998,47.698364,238.44922,1.2272634506225586
40,391,4534.51,0.0012288834,47.92,47.762997,238.92119,1.3557415008544922
41,401,4515.7236,0.0014862213,47.7,47.599953,237.72241,1.6687121391296387
42,411,4563.185,0.001570086,48.19,48.017235,240.28873,1.7095463275909424
43,421,4511.525,0.0018335423,47.63,47.44089,237.49088,1.4295716285705566
44,431,4456.236,0.0016570915,47.039997,46.950108,234.63632,1.528902292251587
45,441,4513.4624,0.002031601,47.64,47.512707,237.45338,1.3841581344604492
46,451,4504.387,0.0014237388,47.52,47.410175,236.77588,1.8424391746520996
47,461,4522.414,0.0016687268,47.69,47.524837,237.86932,1.4605605602264404
48,471,4467.5044,0.001527786,47.1,46.97914,234.76677,1.218214511871338
49,481,4471.305,0.0015648389,47.129997,46.98774,235.01016,1.3887050151824951
50,491,4487.3916,0.0014708757,47.289997,47.176785,235.60555,1.6537582874298096
51,501,4512.2534,0.0022821554,47.559998,47.432793,237.01883,1.357851266860962
52,511,4432.578,0.0016408457,46.71,46.635162,233.00958,1.0826478004455566
53,521,4458.8296,0.001540491,47.0,46.860535,234.2146,1.274970293045044
54,531,4422.798,0.0018564481,46.62,46.528515,232.33578,1.2226171493530273
55,541,4437.5806,0.0015508458,46.789997,46.66308,233.17656,1.3897230625152588
56,551,4385.68,0.0019613295,46.239998,46.05119,230.58815,1.337928056716919
57,561,4431.397,0.0013500886,46.73,46.58366,232.93417,1.3105685710906982
58,571,4424.908,0.0015804729,46.67,46.526375,232.52034,1.6415348052978516
59,581,4398.065,0.0018761946,46.39,46.248085,231.33998,1.3895471096038818
60,591,4460.5835,0.001767047,47.05,46.89985,234.58147,1.2936623096466064
61,601,4429.4204,0.0017237772,46.719997,46.569496,233.07808,1.5344812870025635
62,611,4453.248,0.002337062,47.0,46.802807,234.41205,1.4524071216583252
63,621,4422.012,0.0016431615,46.649998,46.487347,232.58522,1.1216967105865479
64,631,4404.627,0.0017392507,46.489998,46.34735,231.78996,1.1678357124328613
65,641,4419.1606,0.0016140537,46.64,46.437645,232.44199,1.1002187728881836
66,651,4409.3247,0.0017843023,46.539997,46.379036,232.08669,1.1493425369262695
67,661,4352.905,0.0019102884,45.949997,45.865677,228.98676,1.1984941959381104
68,671,4379.8916,0.0017021766,46.239998,46.076786,230.3479,1.4137539863586426
69,681,4370.766,0.0019245247,46.159996,46.01821,230.03154,1.2957236766815186
70,691,4431.691,0.0023781247,46.82,46.74518,233.5445,1.5813484191894531
71,701,4404.833,0.0018182583,46.51,46.396942,231.98416,1.2332370281219482
72,711,4400.641,0.0017614383,46.489998,46.355766,231.81241,1.2727811336517334
73,721,4404.314,0.0020945263,46.53,46.393867,231.95331,1.335062026977539
74,731,4398.0776,0.0017445447,46.489998,46.35534,231.76703,1.420358657836914
75,741,4406.2734,0.0015555896,46.55,46.406876,232.13345,1.3187856674194336
76,751,4394.2153,0.0014221945,46.409996,46.234974,231.33887,1.1768014430999756
77,761,4387.527,0.0016152342,46.359997,46.184246,231.0484,1.102369785308838
78,771,4379.8794,0.0018474745,46.309998,46.16112,230.76308,1.0393691062927246
79,781,4408.1763,0.0014565855,46.6,46.500465,232.32062,1.0438830852508545
80,791,4439.0513,0.0018361557,46.98,46.90169,234.1918,1.0251891613006592
81,801,4410.1377,0.0013959387,46.66,46.536392,232.68982,1.077038288116455
82,811,4384.7056,0.0015733179,46.409996,46.25747,231.26514,1.2437801361083984
83,821,4421.888,0.0018111614,46.789997,46.659206,233.26468,1.0130598545074463
84,831,4394.8027,0.001590216,46.519997,46.343716,231.84879,1.010178804397583
85,841,4374.564,0.0021820427,46.3,46.18566,230.79466,1.0033719539642334
86,851,4400.757,0.0017770285,46.589996,46.46819,232.19388,1.1078848838806152
87,861,4395.003,0.0023573071,46.55,46.36068,232.1229,1.0247533321380615
88,871,4432.125,0.0024132147,46.949997,46.769764,233.90327,1.0529704093933105
89,881,4406.9136,0.0014048172,46.67,46.607914,232.77287,1.0828685760498047
90,891,4409.083,0.0015016751,46.719997,46.584038,233.05682,1.046576738357544
91,901,4412.496,0.0014893945,46.76,46.614304,233.05229,1.015801191329956
92,911,4445.1836,0.0016114529,47.11,47.006207,234.85931,1.2089776992797852
93,921,4411.2695,0.0021730033,46.76,46.63362,233.06192,1.03476881980896
94,931,4449.248,0.0021060065,47.16,47.003582,234.97427,1.1396734714508057
95,941,4445.356,0.0017945925,47.129997,47.01764,235.02911,1.0660786628723145
