loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,641.0628,-0.08456239,8.639999,-inf,-inf,3.467046022415161
2,11,2327.5698,-0.059003912,29.599998,-inf,-inf,0.020491361618041992
3,21,3444.558,-0.059003912,42.29,-inf,-inf,0.019215106964111328
4,31,4323.182,-0.047101878,51.75,-inf,-inf,0.018936634063720703
5,41,5020.9775,-0.025121015,59.02,-inf,-inf,0.029416561126708984
6,51,5578.6006,-0.025121015,64.6,-inf,-inf,0.037195444107055664
7,61,6067.6724,-0.025121015,69.4,-inf,-inf,0.02181267738342285
8,71,6452.9727,-0.022265892,73.07,-inf,-inf,0.019353866577148438
9,81,6785.3267,-0.021378499,76.14,-inf,-inf,0.022296667098999023
10,91,7055.624,-0.021378499,78.6,-inf,-inf,0.028692960739135742
11,101,7272.94,-0.013633957,80.53,-inf,-inf,0.0308229923248291
12,111,7445.83,-0.013633957,81.97,-inf,-inf,0.028447628021240234
13,121,7595.642,-0.00909867,83.22,-inf,-inf,0.022431373596191406
14,131,7734.4424,-0.00909867,84.369995,-inf,-inf,0.020609378814697266
15,141,7852.3535,-0.0002747088,85.35,-inf,-inf,0.031537771224975586
16,151,7951.302,0.0031336574,86.14,-inf,-inf,0.03069329261779785
17,161,8021.3433,0.0031336574,86.63,-inf,-inf,0.03038501739501953
18,171,8107.945,0.0031336574,87.33,-inf,-inf,0.029323101043701172
19,181,8177.127,0.004252644,87.85,-inf,-inf,0.020717620849609375
20,191,8235.701,0.004252644,88.29,-inf,-inf,0.020308256149291992
21,201,8288.016,0.004252644,88.68,-inf,-inf,0.02036452293395996
22,211,8337.731,0.004252644,89.049995,-inf,-inf,0.020188093185424805
23,221,8376.838,0.004252644,89.32,-inf,-inf,0.030680179595947266
24,231,8423.14,0.004252644,89.689995,-inf,-inf,0.02162909507751465
25,241,8453.714,0.004252644,89.89,-inf,-inf,0.01984882354736328
26,251,8484.89,0.004252644,90.1,-inf,-inf,0.034224510192871094
27,261,8519.251,0.004252644,90.35,-inf,-inf,0.020624637603759766
28,271,8558.396,0.004252644,90.67,-inf,-inf,0.022511959075927734
29,281,8586.886,0.004252644,90.88,-inf,-inf,0.03529071807861328
30,291,8613.226,0.004252644,91.07,-inf,-inf,0.020102739334106445
31,301,8638.587,0.0049791215,91.25,-inf,-inf,0.019315242767333984
32,311,8666.96,0.0049791215,91.479996,-inf,-inf,0.020851612091064453
33,321,8685.908,0.0049791215,91.61,-inf,-inf,0.027251482009887695
34,331,8705.037,0.0049791215,91.75,-inf,-inf,0.020215511322021484
35,341,8721.614,0.0049791215,91.86,-inf,-inf,0.023748397827148438
36,351,8739.708,0.0049791215,91.99,-inf,-inf,0.023109912872314453
37,361,8759.517,0.0049791215,92.14,-inf,-inf,0.03977560997009277
38,371,8777.155,0.0049791215,92.27,-inf,-inf,0.020226478576660156
39,381,8789.2295,0.0049791215,92.34,-inf,-inf,0.024436473846435547
40,391,8805.379,0.0051290113,92.46,-inf,-inf,0.0212252140045166
41,401,8818.741,0.0051290113,92.549995,-inf,-inf,0.029984712600708008
42,411,8832.304,0.00610776,92.65,-inf,-inf,0.02050304412841797
43,421,8845.05,0.00610776,92.74,-inf,-inf,0.035016775131225586
44,431,8857.947,0.00610776,92.829994,-inf,-inf,0.021230220794677734
45,441,8869.132,0.00610776,92.9,-inf,-inf,0.01944708824157715
46,451,8876.971,0.00610776,92.939995,-inf,-inf,0.02045130729675293
47,461,8883.552,0.00610776,92.97,-inf,-inf,0.033077239990234375
48,471,8893.718,0.00610776,93.04,-inf,-inf,0.019521474838256836
49,481,8905.945,0.011852087,93.13,-inf,-inf,0.017575740814208984
50,491,8911.288,0.011852087,93.15,-inf,-inf,0.01983165740966797
51,501,8923.265,0.011852087,93.24,-inf,-inf,0.018616199493408203
52,511,8940.066,0.011852087,93.409996,-inf,-inf,0.11429810523986816
