loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,597.34735,-0.11485017,8.0,-inf,-inf,4.1610636711120605
2,11,2327.8496,-0.06271806,29.4,-inf,-inf,0.03761887550354004
3,21,3358.3257,-0.046074614,40.93,-inf,-inf,0.03771495819091797
4,31,4181.3936,-0.043406267,49.69,-inf,-inf,0.03764939308166504
5,41,4842.721,-0.04253027,56.449997,-inf,-inf,0.037674665451049805
6,51,5325.3706,-0.03850209,61.19,-inf,-inf,0.03727555274963379
7,61,5696.517,-0.03485461,64.64,-inf,-inf,0.03764772415161133
8,71,5967.128,-0.02771354,67.02,-inf,-inf,0.03750753402709961
9,81,6211.0713,-0.02771354,69.15,-inf,-inf,0.037474632263183594
10,91,6383.6426,-0.02771354,70.58,-inf,-inf,0.03734564781188965
11,101,6543.771,-0.023188418,71.92,-inf,-inf,0.03762555122375488
12,111,6654.5757,-0.019459387,72.78,-inf,-inf,0.037490129470825195
13,121,6749.558,-0.019459387,73.49,-inf,-inf,0.03736066818237305
14,131,6830.989,-0.019459387,74.09,-inf,-inf,0.03752779960632324
15,141,6890.408,-0.019459387,74.49,-inf,-inf,0.03727912902832031
16,151,6952.705,-0.019459387,74.95,-inf,-inf,0.037545204162597656
17,161,7002.5293,-0.019459387,75.299995,-inf,-inf,0.037392616271972656
18,171,7043.3076,-0.019459387,75.58,-inf,-inf,0.0375523567199707
19,181,7082.466,-0.019414593,75.85,-inf,-inf,0.03744101524353027
20,191,7117.4336,-0.015907364,76.1,-inf,-inf,0.037442684173583984
21,201,7152.804,-0.015907364,76.36,-inf,-inf,0.03733468055725098
22,211,7175.1353,-0.015907364,76.49,-inf,-inf,0.03730034828186035
23,221,7199.268,-0.015907364,76.65,-inf,-inf,0.03767752647399902
24,231,7221.351,-0.015907364,76.799995,-inf,-inf,0.03780102729797363
25,241,7237.8994,-0.014141735,76.89,-inf,-inf,0.03737616539001465
26,251,7253.4746,-0.014141735,76.979996,-inf,-inf,0.03745245933532715
27,261,7269.0903,-0.013027095,77.08,-inf,-inf,0.03732585906982422
28,271,7287.4683,-0.013027095,77.21,-inf,-inf,0.037316322326660156
29,281,7297.488,-0.013027095,77.259995,-inf,-inf,0.03731274604797363
30,291,7311.4185,-0.013027095,77.36,-inf,-inf,0.03741049766540527
31,301,7324.985,-0.013027095,77.45,-inf,-inf,0.03753471374511719
