loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,531.3927,-0.11537273,7.05,7.0230436,35.10958,4.867229461669922
2,11,1747.2585,-0.02672859,21.75,21.672043,108.54231,1.1079208850860596
3,21,2467.163,-0.025930867,29.749998,29.655832,148.33623,1.1957201957702637
4,31,2960.4028,-0.026854066,34.809998,34.717266,173.51895,1.3854255676269531
5,41,3415.5466,-0.025736168,39.449997,39.261887,196.61914,1.1299006938934326
6,51,3687.0132,-0.026523024,42.05,41.928604,209.6813,1.1685523986816406
7,61,3897.1245,-0.025746897,43.969997,43.811012,219.0816,1.2416739463806152
8,71,4105.761,-0.026526682,45.96,45.798286,229.0805,1.1816999912261963
9,81,4165.518,-0.026573448,46.269997,46.107765,230.66084,2.0284225940704346
10,91,4299.5454,-0.023836045,47.469997,47.350655,236.72565,1.1917686462402344
11,101,4320.0264,-0.023618706,47.42,47.283577,236.29468,1.3140068054199219
12,111,4479.9897,-0.02390644,48.989998,48.85563,244.24512,1.1362638473510742
13,121,4479.995,-0.012986454,48.78,48.713097,243.11934,1.2185537815093994
14,131,4479.5806,-0.013125989,48.59,48.52742,242.3617,1.4008691310882568
15,141,4571.432,-0.012057345,49.46,49.255257,246.6079,1.3972177505493164
16,151,4576.2617,-0.012834485,49.379997,49.238297,246.0922,1.2707505226135254
17,161,4599.04,-0.00019815576,49.51,49.37909,246.88466,1.2970013618469238
18,171,4600.628,0.00040693174,49.44,49.285492,246.54727,1.3325417041778564
19,181,4680.1787,-0.0003788084,50.21,50.082695,250.31552,1.2478477954864502
20,191,4638.0435,-6.601286e-05,49.67,49.46721,247.75427,1.1409273147583008
21,201,4677.271,0.000662436,50.03,49.89994,249.44302,1.319516658782959
22,211,4679.4956,0.0005704303,49.98,49.818336,249.1958,1.2306475639343262
23,221,4650.783,0.0011471909,49.609997,49.424606,247.34839,1.4515442848205566
24,231,4658.4883,0.00036586786,49.629997,49.51017,247.58446,1.2816107273101807
25,241,4663.7344,0.00047601672,49.64,49.437695,247.46097,1.2825806140899658
26,251,4662.219,0.0011768967,49.579998,49.41056,247.32858,1.328136920928955
27,261,4610.6978,0.0016434082,49.01,48.89004,244.31386,1.2603180408477783
28,271,4618.664,0.0008925782,49.039997,48.92735,244.42867,1.3120863437652588
29,281,4663.477,0.0009927065,49.499996,49.380714,246.67639,1.490389347076416
30,291,4617.299,0.0017739295,48.969997,48.829845,243.99481,1.4809138774871826
31,301,4643.0015,0.0018296537,49.21,49.052036,245.43509,1.2470612525939941
32,311,4605.885,0.00092933455,48.789997,48.62297,243.1456,1.2733666896820068
33,321,4610.7812,0.0019644096,48.829998,48.6474,243.38754,1.1964445114135742
34,331,4641.7134,0.0013172621,49.139996,48.985035,244.81836,1.6509509086608887
35,341,4598.135,0.0014423279,48.64,48.496048,242.78853,1.2454087734222412
36,351,4579.162,0.0018546415,48.42,48.316498,241.4202,1.4577255249023438
37,361,4585.3936,0.0010969131,48.46,48.33893,241.59686,1.250884771347046
38,371,4624.1987,0.0018347605,48.879997,48.75627,243.69247,1.1866257190704346
39,381,4622.8926,0.001977406,48.839996,48.729134,243.43878,1.2959256172180176
40,391,4583.715,0.0013289559,48.41,48.298462,241.59587,1.2943646907806396
41,401,4551.8955,0.0014768955,48.05,47.876495,239.55734,1.3882598876953125
42,411,4522.7905,0.0014073658,47.72,47.59213,237.9456,1.1075103282928467
43,421,4557.7363,0.0017762389,48.079998,47.95543,239.60403,1.443821907043457
44,431,4531.8745,0.0013368713,47.79,47.67076,238.36731,1.209383487701416
45,441,4550.305,0.0015076288,47.99,47.847565,239.15671,1.383357286453247
46,451,4526.4707,0.0014653552,47.71,47.54792,237.89343,1.278191089630127
47,461,4503.089,0.0017122502,47.45,47.289295,236.55817,1.0727245807647705
48,471,4490.111,0.0017796052,47.309998,47.168716,235.7727,1.5210511684417725
49,481,4487.3433,0.00124765,47.27,47.15213,235.73535,1.3736522197723389
50,491,4532.194,0.0013226927,47.739998,47.608856,238.11275,1.2697489261627197
51,501,4503.7764,0.0016486896,47.43,47.290615,236.32533,2.0599403381347656
52,511,4328.6177,0.000997422,47.289997,47.140007,235.8088,1.8444492816925049
53,521,4295.593,0.0013836334,47.219997,47.10279,235.66548,1.9721555709838867
54,531,4238.9526,0.0014383649,46.78,46.621956,233.05815,1.8336567878723145
55,541,4136.1636,0.0012995254,45.739998,45.58605,228.21803,1.9220378398895264
56,551,4017.3408,0.0012492817,44.489998,44.378273,221.83665,1.868053674697876
57,561,3962.4932,0.0012762138,43.989998,43.876793,219.22597,1.9650506973266602
58,571,3919.7537,0.001141996,43.59,43.46599,217.3629,1.944422960281372
59,581,3804.1528,0.0014063924,42.35,42.194706,211.17685,1.9030818939208984
60,591,3755.1567,0.0013395776,41.84,41.68215,208.69637,1.9902138710021973
61,601,3681.0627,0.0009536303,41.11,40.979504,204.90805,2.0609209537506104
62,611,3606.351,0.0017565865,40.34,40.17746,201.24174,2.029853343963623
63,621,3618.8271,0.0016049133,40.55,40.44119,202.13187,1.9731347560882568
64,631,3532.8555,0.00072257395,39.609997,39.50733,197.28589,1.9418165683746338
65,641,3470.0046,0.0012164034,38.98,38.868095,194.56824,1.5821750164031982
66,651,3421.7627,0.0008225418,38.52,38.371414,191.98727,1.9544763565063477
67,661,3380.73,0.0013003099,38.1,37.960457,189.73318,1.6570143699645996
68,671,3319.184,0.00080603693,37.41,37.278843,186.58331,1.5781846046447754
69,681,3318.6829,0.0009838374,37.469997,37.342216,186.79225,2.0057783126831055
70,691,3259.6948,0.0007320153,36.82,36.70138,183.5498,1.8617041110992432
71,701,3205.6707,0.0017914751,36.3,36.203346,180.79533,1.5370104312896729
72,711,3197.756,0.0007875439,36.219997,36.106323,180.62427,1.986039638519287
73,721,3124.4275,0.0005350939,35.41,35.29643,176.34886,1.9900462627410889
74,731,3100.8625,0.0010532634,35.16,35.096405,175.3094,1.8145477771759033
75,741,3078.2217,0.0008732807,34.95,34.851063,174.26392,2.0038604736328125
76,751,3039.6357,0.00088173855,34.559998,34.511395,172.32706,1.6394774913787842
77,761,4367.956,0.0014831417,49.229996,49.059593,245.2164,1.6339633464813232
78,771,4384.8936,0.00023392889,49.46,49.292023,246.42145,1.3473899364471436
79,781,4412.842,0.0012433195,49.839996,49.699165,248.53674,1.6307108402252197
80,791,4435.553,0.0007316146,50.07,49.888817,249.6906,1.2731356620788574
81,801,4368.13,0.0010711018,49.289997,49.167747,245.74811,1.6339948177337646
82,811,4389.3037,0.0008041289,49.579998,49.47085,247.16074,1.6457464694976807
83,821,4324.268,0.0008791521,48.899998,48.770164,243.85793,1.3700478076934814
84,831,4322.72,0.0011045815,48.929996,48.735104,243.97705,1.3135921955108643
85,841,4327.493,0.001174765,48.96,48.809494,244.23944,1.0607554912567139
86,851,4352.15,0.0009266656,49.269997,49.064034,245.52786,1.6048989295959473
87,861,4351.904,0.0011915334,49.309998,49.193367,245.85446,1.6471433639526367
88,871,4301.08,0.00079801976,48.769997,48.609127,243.16797,1.2167127132415771
89,881,4288.1675,0.0011558235,48.649998,48.51724,242.42427,1.1110789775848389
90,891,4306.8027,0.0006754394,48.899998,48.806152,243.9176,1.342949628829956
91,901,4329.4126,0.00090059533,49.17,49.06684,245.24963,1.38443922996521
92,911,4294.6875,0.0011315633,48.809998,48.658672,243.15935,1.3048899173736572
93,921,4311.47,0.0009477334,49.019997,48.899403,244.2886,1.3322737216949463
94,931,4309.4824,0.0004573043,49.039997,48.8655,244.45354,1.6174609661102295
95,941,4284.912,0.00072818354,48.75,48.602745,243.02238,1.3550910949707031
96,951,4281.235,0.001499869,48.71,48.55851,242.89603,1.5977351665496826
97,961,4274.04,0.0014109006,48.66,48.48816,242.48576,1.6268622875213623
98,971,4268.2056,0.0011861173,48.649998,48.50758,242.63013,1.026111364364624
99,981,4268.0713,0.0009554404,48.649998,48.526707,242.57426,1.5082502365112305
100,991,4252.918,0.0015628439,48.47,48.284996,241.62993,1.6839890480041504
101,1001,4253.6685,0.00061281543,48.52,48.353394,242.00581,1.545527696609497
102,1011,4073.7815,0.0013621523,46.339996,46.206146,230.82135,1.51857328414917
103,1021,4183.8477,0.0010548928,47.59,47.42031,237.27638,1.4412169456481934
104,1031,4265.1245,0.00154473,48.57,48.41732,242.13882,1.028515100479126
105,1041,4250.1274,0.0010388718,48.39,48.256523,241.28836,1.3918275833129883
106,1051,4251.5327,0.0013095494,48.44,48.255836,241.40552,1.151254653930664
