loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,627.0328,-0.08887873,8.44,-inf,-inf,3.013902425765991
2,11,2327.5913,-0.059681434,29.56,-inf,-inf,0.01900649070739746
3,21,3396.9553,-0.047101352,41.629997,-inf,-inf,0.03217911720275879
4,31,4252.6216,-0.0322975,50.85,-inf,-inf,0.018776655197143555
5,41,4944.6265,-0.0322975,57.989998,-inf,-inf,0.03227114677429199
6,51,5503.483,-0.022975793,63.59,-inf,-inf,0.019034862518310547
7,61,5996.991,-0.015144531,68.5,-inf,-inf,0.032323360443115234
8,71,6414.3877,-0.015144531,72.52,-inf,-inf,0.01951432228088379
9,81,6730.106,-0.00030802088,75.43,-inf,-inf,0.019216299057006836
10,91,7018.732,-0.00030802088,78.09,-inf,-inf,0.0271456241607666
11,101,7252.4854,-0.00030802088,80.22,-inf,-inf,0.019154787063598633
12,111,7440.971,-0.00030802088,81.85,-inf,-inf,0.019112586975097656
13,121,7595.3467,0.0058174,83.15,-inf,-inf,0.019201278686523438
14,131,7730.3013,0.011405465,84.259995,-inf,-inf,0.019187450408935547
15,141,7837.941,0.011405465,85.09,-inf,-inf,0.031116724014282227
16,151,7936.607,0.011405465,85.86,-inf,-inf,0.03282308578491211
17,161,8021.0596,0.025682474,86.509995,-inf,-inf,0.032836198806762695
18,171,8089.84,0.025682474,87.03,-inf,-inf,0.019939184188842773
19,181,8153.8125,0.025682474,87.509995,-inf,-inf,0.019132375717163086
20,191,8212.703,0.025682474,87.95,-inf,-inf,0.019395828247070312
21,201,8268.887,0.028450815,88.36,-inf,-inf,0.019101619720458984
22,211,8319.443,0.028450815,88.74,-inf,-inf,0.01933765411376953
23,221,8364.563,0.028450815,89.07,-inf,-inf,0.03261542320251465
24,231,8398.502,0.028450815,89.299995,-inf,-inf,0.027507305145263672
25,241,8434.089,0.028450815,89.549995,-inf,-inf,0.035830020904541016
26,251,8466.725,0.028450815,89.78,-inf,-inf,0.03221940994262695
27,261,8503.223,0.028450815,90.06,-inf,-inf,0.03514242172241211
28,271,8532.025,0.028450815,90.27,-inf,-inf,0.019057273864746094
29,281,8558.05,0.028450815,90.45,-inf,-inf,0.020707368850708008
30,291,8582.29,0.028450815,90.61,-inf,-inf,0.026106834411621094
31,301,8605.58,0.028450815,90.77,-inf,-inf,0.01962113380432129
32,311,8628.8545,0.028450815,90.939995,-inf,-inf,0.03619074821472168
33,321,8648.227,0.028450815,91.07,-inf,-inf,0.019590139389038086
34,331,8670.613,0.028450815,91.24,-inf,-inf,0.027272939682006836
35,341,8682.293,0.028450815,91.29,-inf,-inf,0.019363880157470703
36,351,8700.258,0.028450815,91.42,-inf,-inf,0.03325986862182617
37,361,8718.973,0.028450815,91.56,-inf,-inf,0.019118547439575195
38,371,8734.561,0.028450815,91.67,-inf,-inf,0.018887758255004883
39,381,8754.733,0.028450815,91.829994,-inf,-inf,0.01880645751953125
40,391,8771.21,0.028450815,91.95,-inf,-inf,0.018955230712890625
41,401,8788.043,0.028450815,92.079994,-inf,-inf,0.025023460388183594
42,411,8805.066,0.028450815,92.21,-inf,-inf,0.03476667404174805
43,421,8813.282,0.028450815,92.25,-inf,-inf,0.03273344039916992
44,431,8828.702,0.028450815,92.369995,-inf,-inf,0.04939842224121094
45,441,8842.058,0.028450815,92.47,-inf,-inf,0.019065380096435547
46,451,8857.957,0.028450815,92.6,-inf,-inf,0.019021987915039062
47,461,8870.125,0.028450815,92.689995,-inf,-inf,0.019170761108398438
48,471,8882.856,0.028450815,92.79,-inf,-inf,0.01904916763305664
49,481,8888.492,0.028450815,92.81,-inf,-inf,0.01946544647216797
50,491,8897.366,0.028450815,92.869995,-inf,-inf,0.0326998233795166
51,501,4444.712,0.05943831,47.789997,-17567.654,-11588.369,0.019249439239501953
52,511,9045.282,0.25791013,95.159996,-35694.004,-23926.957,2.024240732192993
53,521,9383.903,0.4320842,97.68,-36946.254,-25003.803,2.6716740131378174
54,531,9566.114,0.4696186,98.479996,-37805.477,-26147.645,2.0689492225646973
55,541,9730.7705,0.75556123,98.96,-38753.496,-27593.096,1.9122912883758545
56,551,9903.719,0.84247386,99.42,-39870.125,-29151.527,1.8527636528015137
57,561,10021.806,0.84247386,99.579994,-40855.492,-30453.773,2.509699821472168
58,571,10130.537,0.8529457,99.75,-41823.87,-31597.012,2.0445871353149414
59,581,10223.533,0.8529457,99.89,-42625.633,-32675.508,2.1439554691314697
60,591,10289.623,0.8750726,99.939995,-43292.613,-33530.703,2.8930344581604004
61,601,10348.138,0.8750726,99.96,-43894.547,-34262.71,1.8906974792480469
62,611,10395.136,0.8750726,99.97,-44366.406,-34899.805,1.95377779006958
63,621,10437.318,0.8838167,99.99,-44708.4,-35481.555,1.9081146717071533
64,631,10470.705,0.8838167,99.99,-45096.605,-35911.867,2.3793258666992188
65,641,10503.709,0.8838167,100.0,-45382.984,-36307.664,2.4997801780700684
66,651,10531.924,0.8862597,100.0,-45624.1,-36615.496,2.2987656593322754
67,661,10558.695,0.9023731,100.0,-45826.816,-36940.5,2.1563644409179688
68,671,10582.409,0.9023731,100.0,-46045.414,-37253.293,1.9436111450195312
69,681,10604.049,0.9288807,100.0,-46229.973,-37481.285,1.9177627563476562
70,691,10622.662,0.9288807,100.0,-46374.316,-37710.22,2.175020694732666
71,701,10644.428,0.9288807,100.0,-46517.46,-37944.93,3.0429422855377197
72,711,10663.435,0.9288807,100.0,-46632.79,-38123.25,2.0843541622161865
73,721,10681.917,0.9288807,100.0,-46721.727,-38311.53,2.940605640411377
74,731,10699.905,0.93240464,100.0,-46796.37,-38463.92,2.1457481384277344
75,741,10716.777,0.93240464,100.0,-46844.062,-38590.906,2.0475571155548096
76,751,633.73816,0.09692252,7.47,-2454.418,-1773.5188,1.8870267868041992
77,761,9290.419,0.23301168,97.659996,-34738.836,-22397.22,2.5468666553497314
78,771,9514.043,0.23301168,99.18,-35480.0,-22773.855,2.8259174823760986
79,781,9595.701,0.29136986,99.56,-35740.156,-22892.34,3.1222007274627686
80,791,9645.212,0.29136986,99.71,-35874.312,-22934.805,3.0413641929626465
81,801,9684.911,0.29136986,99.82,-35967.65,-22981.912,3.049593687057495
82,811,9717.39,0.2968703,99.9,-36082.74,-23006.188,2.1638269424438477
83,821,9744.737,0.2968703,99.939995,-36207.473,-23051.633,2.3309154510498047
84,831,9766.771,0.2968703,99.97,-36262.9,-23092.99,2.871767520904541
85,841,9785.08,0.34373915,99.97,-36351.516,-23111.291,2.0057590007781982
86,851,9803.6,0.34373915,99.97,-36449.562,-23136.36,2.051158905029297
87,861,9824.359,0.34373915,99.97,-36527.7,-23178.668,2.8060548305511475
88,871,9842.243,0.34373915,99.97,-36637.312,-23219.516,2.7144932746887207
89,881,9862.147,0.34373915,99.97,-36743.65,-23268.426,2.883906126022339
90,891,9881.56,0.34373915,99.97,-36887.01,-23320.598,2.245732307434082
91,901,9901.081,0.34373915,99.979996,-36985.664,-23361.07,2.147505760192871
92,911,9922.245,0.34373915,99.979996,-37097.316,-23385.207,1.8900620937347412
93,921,9940.854,0.34373915,99.979996,-37207.27,-23396.527,1.9038352966308594
94,931,9959.934,0.34373915,99.979996,-37324.73,-23418.523,1.9660072326660156
95,941,9980.278,0.37061727,99.99,-37437.08,-23475.723,2.921327590942383
96,951,10001.175,0.37061727,100.0,-37563.617,-23505.516,3.0042130947113037
97,961,10025.019,0.37061727,100.0,-37709.97,-23533.389,3.3995606899261475
98,971,10047.223,0.37061727,100.0,-37837.656,-23524.781,2.421816110610962
99,981,10069.37,0.37061727,100.0,-37967.53,-23501.45,2.117483615875244
100,991,10090.904,0.37061727,100.0,-38100.383,-23501.004,1.9852943420410156
101,1001,2589.9216,0.01409962,30.67,-9283.186,-6714.8486,1.9755125045776367
102,1011,7243.894,0.19154441,79.729996,-25159.656,-17640.348,2.739908456802368
103,1021,7731.5605,0.20914373,84.56,-26637.281,-18626.25,2.5708820819854736
104,1031,7992.643,0.20914373,87.119995,-27428.16,-19131.107,2.9118897914886475
105,1041,8163.0396,0.20914373,88.72,-27902.695,-19456.926,2.821584701538086
106,1051,8290.322,0.20914373,89.95,-28250.076,-19683.549,2.3051414489746094
107,1061,8380.993,0.20914373,90.79,-28505.46,-19844.39,2.3512332439422607
108,1071,8449.905,0.20914373,91.42,-28685.812,-19962.148,1.9283349514007568
109,1081,8513.64,0.20914373,92.009995,-28849.418,-20066.98,2.395160436630249
110,1091,8569.225,0.20914373,92.509995,-28998.885,-20163.697,1.8997836112976074
111,1101,8616.148,0.20914373,92.95,-29113.295,-20234.23,1.997260332107544
112,1111,8660.181,0.20914373,93.34,-29224.688,-20303.852,2.4992282390594482
113,1121,8700.907,0.20914373,93.729996,-29346.531,-20372.992,2.1060216426849365
114,1131,8731.327,0.20914373,93.99,-29430.477,-20420.643,2.750437021255493
115,1141,8757.701,0.20914373,94.22,-29512.13,-20464.266,2.3847715854644775
116,1151,8784.312,0.20914373,94.45,-29586.174,-20511.062,1.9735491275787354
117,1161,8807.01,0.20914373,94.65,-29647.953,-20542.887,2.344865083694458
118,1171,8832.808,0.20914373,94.88,-29719.953,-20586.414,1.8848459720611572
119,1181,8858.043,0.20914373,95.079994,-29766.857,-20606.377,2.104658365249634
120,1191,8872.468,0.20914373,95.2,-29802.02,-20626.62,1.8290798664093018
121,1201,8894.372,0.20914373,95.39,-29854.137,-20654.84,1.9476792812347412
122,1211,8910.597,0.20914373,95.549995,-29914.875,-20686.945,2.0607619285583496
123,1221,8930.165,0.20914373,95.72,-29966.781,-20724.748,2.2685234546661377
124,1231,8948.465,0.20914373,95.9,-30022.363,-20764.873,2.061155080795288
125,1241,8960.399,0.20914373,96.0,-30049.531,-20792.723,2.255098342895508
126,1251,3157.1682,0.10234994,36.36,-11373.392,-8326.498,2.1519055366516113
127,1261,7342.615,0.2015068,80.4,-26725.426,-19126.123,2.3571197986602783
128,1271,7784.0845,0.21247968,84.7,-28379.652,-20282.242,1.7777373790740967
129,1281,8007.3027,0.24664837,86.82,-29223.943,-20869.121,2.6712582111358643
130,1291,8183.795,0.24664837,88.52,-29879.547,-21315.521,2.085726499557495
131,1301,8303.496,0.27106053,89.619995,-30304.305,-21636.22,2.5351004600524902
132,1311,8416.032,0.40012217,90.71,-30718.574,-21960.377,2.5392990112304688
133,1321,8490.339,0.40012217,91.329994,-30972.965,-22153.807,2.276772975921631
134,1331,8553.9795,0.40012217,91.85,-31170.402,-22326.982,2.054537296295166
135,1341,8617.873,0.40140736,92.38,-31385.5,-22517.143,1.835357666015625
136,1351,8674.923,0.42334157,92.909996,-31614.629,-22688.945,2.130366086959839
137,1361,8736.016,0.5759516,93.39,-31780.125,-22881.223,2.4437508583068848
138,1371,8785.455,0.5759516,93.79,-31954.98,-23049.574,2.1552741527557373
139,1381,8837.138,0.6614558,94.2,-32130.178,-23225.975,1.9870719909667969
140,1391,8883.926,0.6614558,94.57,-32296.682,-23374.76,2.8685262203216553
141,1401,8925.705,0.6614558,94.85,-32390.027,-23503.074,2.266510486602783
142,1411,8961.218,0.6614558,95.1,-32509.93,-23622.385,2.0851399898529053
143,1421,8998.71,0.77298903,95.329994,-32633.1,-23766.006,1.9860401153564453
144,1431,9033.235,0.77298903,95.579994,-32739.84,-23890.934,2.8476903438568115
145,1441,9061.577,0.77298903,95.75,-32849.67,-23991.863,2.015266180038452
146,1451,9084.568,0.77298903,95.869995,-32909.938,-24067.193,1.8760018348693848
147,1461,9102.01,0.78368175,95.95,-32958.266,-24122.975,2.25852370262146
148,1471,9124.397,0.78368175,96.09,-33019.684,-24207.236,1.9830708503723145
149,1481,9146.295,0.78368175,96.24,-33086.68,-24290.887,2.019535779953003
150,1491,9167.638,0.78368175,96.39,-33158.902,-24376.332,1.8386006355285645
151,1501,3375.4211,0.25497076,38.35,-12405.832,-9018.723,2.747680902481079
152,1511,7954.7314,0.27274248,86.64,-29462.578,-21078.379,2.554304599761963
153,1521,8335.179,0.27274248,90.46,-30907.207,-22110.723,2.105404853820801
154,1531,8530.6875,0.27274248,92.34,-31680.701,-22594.766,2.1474549770355225
155,1541,8667.165,0.27274248,93.659996,-32217.592,-22972.312,1.868995189666748
156,1551,8752.276,0.27274248,94.39,-32548.562,-23220.494,1.899066686630249
157,1561,8836.984,0.27274248,95.21,-32873.914,-23453.691,2.7121686935424805
158,1571,8902.447,0.27274248,95.81,-33094.883,-23631.656,2.790013551712036
159,1581,8949.273,0.27274248,96.22,-33284.887,-23785.535,2.7186875343322754
160,1591,8992.073,0.27274248,96.579994,-33453.32,-23912.523,2.1997759342193604
161,1601,9025.869,0.28654635,96.79,-33589.914,-24012.254,2.156527519226074
162,1611,9063.451,0.28654635,97.09,-33763.305,-24125.766,2.1031768321990967
163,1621,9087.14,0.32207826,97.25,-33874.523,-24202.156,1.8769991397857666
164,1631,9111.939,0.32207826,97.43,-33989.5,-24279.98,2.17934250831604
165,1641,9129.417,0.32207826,97.52,-34061.92,-24340.822,1.9920554161071777
166,1651,9150.16,0.32207826,97.68,-34149.266,-24403.44,3.070780038833618
167,1661,9166.353,0.32207826,97.78,-34228.086,-24457.684,2.192866086959839
168,1671,9184.85,0.32207826,97.909996,-34323.47,-24525.805,2.481104850769043
169,1681,9205.519,0.3242416,98.07,-34409.598,-24592.3,2.112515449523926
170,1691,9217.91,0.3242416,98.15,-34462.867,-24640.934,1.8528671264648438
171,1701,9232.843,0.3242416,98.24,-34541.79,-24693.91,2.7417070865631104
172,1711,9246.113,0.3242416,98.35,-34591.78,-24740.457,2.1038877964019775
173,1721,9261.52,0.3242416,98.439995,-34647.305,-24802.508,2.6185710430145264
174,1731,9277.777,0.3242416,98.549995,-34715.883,-24861.453,2.0097947120666504
175,1741,9287.998,0.3242416,98.6,-34762.676,-24903.396,2.0390539169311523
176,1751,3902.31,0.015932843,43.77,-14708.801,-10380.301,2.135242223739624
177,1761,8275.618,0.050638944,89.38,-31311.93,-22046.936,2.8844828605651855
178,1771,8567.753,0.083183184,92.159996,-32360.145,-22808.605,1.935701608657837
179,1781,8716.192,0.083183184,93.54,-32880.4,-23187.766,2.0292208194732666
180,1791,8815.813,0.107170105,94.45,-33200.664,-23419.871,1.8664579391479492
181,1801,8888.301,0.107170105,95.09,-33413.453,-23602.771,2.4777462482452393
182,1811,8930.642,0.107170105,95.409996,-33530.215,-23693.637,2.154794931411743
183,1821,8976.973,0.107170105,95.81,-33654.086,-23816.828,1.9846603870391846
184,1831,9015.762,0.107170105,96.15,-33755.246,-23917.768,1.995330572128296
185,1841,9055.6455,0.107170105,96.509995,-33873.44,-24019.16,1.8136146068572998
186,1851,9086.176,0.107170105,96.77,-33979.945,-24086.547,2.520963668823242
187,1861,9111.357,0.107170105,96.99,-34046.56,-24145.98,2.2519378662109375
188,1871,9129.766,0.107170105,97.13,-34088.156,-24192.104,1.8551902770996094
189,1881,9147.466,0.107170105,97.259995,-34122.8,-24237.611,2.011190891265869
190,1891,9172.2295,0.107170105,97.47,-34188.59,-24300.18,1.8302209377288818
191,1901,9190.432,0.107170105,97.61,-34235.336,-24345.496,1.9620232582092285
192,1911,9207.981,0.15546176,97.74,-34272.53,-24395.246,1.9618549346923828
193,1921,9220.394,0.15546176,97.829994,-34294.906,-24422.324,2.4286670684814453
194,1931,9236.041,0.15546176,97.95,-34329.184,-24463.2,2.827312707901001
195,1941,9247.916,0.15546176,98.03,-34351.805,-24501.363,2.318619728088379
196,1951,9257.035,0.15546176,98.07,-34363.953,-24525.7,1.9373950958251953
197,1961,9266.464,0.15546176,98.119995,-34376.273,-24555.29,1.9290199279785156
198,1971,9280.014,0.15546176,98.229996,-34379.594,-24602.762,2.1791484355926514
199,1981,9292.176,0.15546176,98.31,-34406.66,-24633.31,2.123166561126709
200,1991,9302.277,0.15546176,98.369995,-34419.445,-24668.504,1.9172658920288086
201,2001,3991.0344,0.06734669,44.85,-15144.288,-10715.095,2.0077614784240723
202,2011,8414.088,0.18081944,91.509995,-32018.566,-22702.092,3.1122162342071533
203,2021,8730.49,0.18774186,94.46,-33188.133,-23546.406,2.1538219451904297
