loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,88.66925,-0.15174957,1.2,1.1967665,5.977585,6.862999439239502
2,11,405.97284,-0.12255742,5.3799996,5.3517866,26.792004,1.71173095703125
3,21,648.92554,-0.10353464,8.46,8.422894,42.104263,1.5574378967285156
4,31,841.53015,-0.08070645,10.82,10.783591,53.90538,1.3672881126403809
5,41,1019.1719,-0.08046486,13.03,12.99552,65.01312,1.6200149059295654
6,51,1138.949,-0.080067374,14.43,14.405697,71.90786,1.6778485774993896
7,61,1313.889,-0.06515184,16.52,16.469149,82.44948,1.3680305480957031
8,71,1428.9768,-0.06517045,17.83,17.767513,88.83037,1.7612061500549316
9,81,1538.185,-0.06481335,19.1,19.064148,95.15422,1.777897834777832
10,91,1637.0135,-0.06612341,20.199999,20.152678,100.56583,1.4470760822296143
11,101,1716.2439,-0.06643651,21.06,21.008589,105.08978,1.6790659427642822
12,111,1798.7903,-0.054919288,21.99,21.930939,109.62321,1.6939940452575684
13,121,1874.8684,-0.050641768,22.849998,22.81183,113.95974,1.6915006637573242
14,131,1979.5496,-0.05131272,24.03,24.006868,119.71527,1.7741906642913818
15,141,2040.8959,-0.050287694,24.659998,24.595724,122.865585,1.497087001800537
16,151,2113.59,-0.05087764,25.45,25.404604,126.768166,1.7910399436950684
17,161,2229.2666,-0.051449392,26.769999,26.702429,133.38628,1.1580870151519775
18,171,2289.7263,-0.043353863,27.39,27.306572,136.55368,1.6878807544708252
19,181,2368.5168,-0.04334422,28.25,28.194443,140.75027,1.4294984340667725
20,191,2434.5845,-0.042949215,28.95,28.869019,144.2927,1.6958754062652588
21,201,2471.404,-0.04484556,29.269999,29.162716,145.96547,1.1853537559509277
22,211,2523.7996,-0.042595968,29.799997,29.739159,148.66817,1.6969718933105469
23,221,2621.0947,-0.044920884,30.879997,30.816265,153.96005,1.7734887599945068
24,231,2666.692,-0.04402157,31.32,31.222673,156.09,1.7088117599487305
25,241,2740.8438,-0.04462876,32.11,32.006683,160.11151,1.7883424758911133
26,251,2754.9873,-0.04311052,32.15,32.01912,160.33154,1.4461696147918701
27,261,2801.6404,-0.04385343,32.66,32.607098,162.97244,1.1689307689666748
28,271,2835.3062,-0.04320485,32.94,32.844326,164.18887,1.2099363803863525
29,281,2933.466,-0.042343862,34.03,33.96494,169.59982,1.7352242469787598
30,291,2968.2744,-0.034242027,34.36,34.22236,171.20293,1.5194299221038818
31,301,3000.5515,-0.03414021,34.63,34.494125,172.52036,1.4509875774383545
32,311,3062.7517,-0.033261456,35.31,35.255463,176.11002,1.6021933555603027
