loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,91.54464,-0.085106425,1.23,0.0,8.299947e-06,2.547717332839966
2,11,503.26794,-0.07510235,6.68,0.0,4.9971044e-05,0.7337446212768555
3,21,840.3796,-0.07510235,11.04,0.0,8.367002e-05,0.7328646183013916
4,31,1126.4514,-0.07339136,14.599999,0.0,0.00011213496,0.7363181114196777
5,41,1374.224,-0.07339136,17.65,0.0,0.00013630837,0.7347924709320068
6,51,1614.9875,-0.07339136,20.59,0.0,0.0001613088,0.8974025249481201
7,61,1840.1981,-0.07339136,23.249998,0.0,0.00018456951,0.7365818023681641
8,71,2051.231,-0.052936807,25.77,0.0,0.00020327419,0.7683606147766113
9,81,2240.8296,-0.052936807,28.009998,0.0,0.0002222918,0.7406721115112305
10,91,2420.657,-0.052936807,30.109999,0.0,0.00024049357,1.2536962032318115
11,101,2583.8806,-0.039093524,31.99,0.0,0.0002568066,1.30731201171875
12,111,2734.0093,-0.039093524,33.649998,0.0,0.00027036015,1.2901151180267334
13,121,2895.127,-0.039093524,35.48,0.0,0.0002868632,1.2906262874603271
14,131,3029.1438,-0.039093524,36.969997,0.0,0.0002991939,1.2846791744232178
15,141,3148.9553,-0.033346795,38.26,0.0,0.00030883495,1.2837908267974854
16,151,3269.4102,-0.033346795,39.55,0.0,0.0003201058,1.2822766304016113
17,161,3396.1758,-0.033346795,40.91,0.0,0.00033149775,1.2909088134765625
18,171,3519.6133,-0.024828926,42.23,0.0,0.00034207385,1.2931907176971436
19,181,3620.0085,-0.024828926,43.309998,0.0,0.00035064574,1.2862560749053955
20,191,3717.5554,-0.024828926,44.34,0.0,0.0003593592,1.284430742263794
21,201,3814.7153,-0.024828926,45.37,0.0,0.00036936905,1.2859888076782227
22,211,3909.6956,-0.024828926,46.35,0.0,0.00037795585,1.2915589809417725
23,221,4004.3052,-0.024828926,47.329998,0.0,0.000387677,1.283050298690796
24,231,4102.832,-0.024828926,48.36,0.0,0.000395949,1.277923822402954
25,241,4188.3784,-0.024828926,49.249996,0.0,0.00040291157,1.3980631828308105
26,251,4269.439,-0.024828926,50.089996,0.0,0.0004097512,0.7454385757446289
27,261,4347.8896,-0.024828926,50.89,0.0,0.0004157601,1.1202423572540283
28,271,4432.343,-0.024828926,51.739998,0.0,0.00042308774,1.3510417938232422
29,281,4513.628,-0.024828926,52.579998,0.0,0.00042934064,1.32779860496521
30,291,4589.8066,-0.024828926,53.34,0.0,0.00043583196,1.424027919769287
31,301,4667.9404,-0.024828926,54.140003,0.0,0.00044193212,1.34470534324646
32,311,4735.161,-0.024828926,54.82,0.0,0.00044819806,1.3458404541015625
33,321,4807.28,-0.024828926,55.549995,0.0,0.00045457203,1.3365983963012695
34,331,4860.796,-0.024828926,56.049995,0.0,0.00045891572,1.3562419414520264
35,341,4922.7354,-0.024828926,56.65,0.0,0.00046387408,1.3499267101287842
36,351,4964.379,-0.024828926,57.010002,0.0,0.00046582613,1.346616506576538
37,361,5032.262,0.0,57.690002,0.0,0.00046967994,1.3513643741607666
38,371,5084.1743,0.0,58.18,0.0,0.0004745284,1.3378791809082031
39,381,5143.164,0.0,58.749996,0.0,0.0004782481,1.353698492050171
40,391,5197.09,0.0,59.279995,0.0,0.00048245396,1.3422207832336426
41,401,5246.189,0.0,59.74,0.0,0.000485125,1.350372076034546
42,411,5288.173,0.0,60.12,0.0,0.00048928615,1.3398058414459229
43,421,5347.0527,0.0,60.7,0.0,0.00049172435,1.2261035442352295
44,431,5395.279,0.0,61.14,0.0,0.0004936503,0.7422158718109131
45,441,5438.993,0.0,61.549995,0.0,0.0004973961,0.7475953102111816
46,451,5481.4995,0.0,61.96,0.0,0.00049730856,0.765261173248291
47,461,5522.5356,0.0,62.339996,0.0,0.0005012965,1.3218159675598145
48,471,5561.076,0.0,62.699997,0.0,0.0005042022,1.2948379516601562
49,481,5613.751,0.0,63.22,0.0,0.0005085217,1.291821002960205
50,491,5646.6304,0.0,63.5,0.0,0.0005126549,1.2963151931762695
51,501,5691.001,0.0,63.93,0.0,0.0005169371,1.2996199131011963
52,511,5725.341,0.0,64.25,0.0,0.0005195597,1.2933692932128906
53,521,5764.3906,0.0,64.62,0.0,0.0005222177,1.2913546562194824
54,531,5798.2773,0.0,64.93,0.0,0.00052324403,1.2817425727844238
55,541,5839.323,0.0,65.31,0.0,0.00052703265,1.284712791442871
56,551,5869.966,0.0,65.59,0.0,0.00052928645,1.2902202606201172
57,561,5906.7188,0.0,65.93,0.0,0.0005308641,1.2797138690948486
58,571,5950.952,0.0,66.36,0.0,0.0005338369,1.280867338180542
59,581,5972.617,0.0,66.53999,0.0,0.0005337233,1.2819616794586182
60,591,5994.9404,0.0,66.71999,0.0,0.00053418893,1.2768220901489258
61,601,6019.032,0.0,66.92,0.0,0.0005364688,1.263491153717041
62,611,6044.871,0.0,67.14,0.0,0.0005380763,1.2772746086120605
63,621,6066.856,0.0,67.32,0.0,0.0005398104,1.278311014175415
64,631,6091.023,0.0,67.53,0.0,0.00054244045,1.2786614894866943
65,641,6121.6245,0.0,67.81,0.0,0.00054388586,1.2827627658843994
66,651,6148.129,0.0,68.049995,0.0,0.0005445583,1.280993938446045
67,661,6171.2783,0.0,68.25,0.0,0.0005443236,1.2870821952819824
68,671,6195.5054,0.0,68.46,0.0,0.00054635014,1.2796287536621094
69,681,6228.74,0.0,68.78,0.0,0.0005507739,1.2760579586029053
70,691,6248.457,0.0,68.95,0.0,0.0005507907,1.2759597301483154
71,701,6269.4033,0.0,69.13,0.0,0.00055404287,1.2885675430297852
72,711,6290.7705,0.0,69.31,0.0,0.0005557174,1.276181936264038
73,721,6317.631,0.0,69.56,0.0,0.00055625755,1.2720661163330078
74,731,6338.419,0.0,69.74,0.0,0.0005578445,1.0902624130249023
75,741,6358.4517,0.0,69.92,0.0,0.0005591484,0.7310042381286621
76,751,6381.872,0.0,70.12,0.0,0.00056083966,0.7659034729003906
77,761,6394.085,0.0,70.2,0.0,0.00056096446,0.736236572265625
78,771,6415.6377,0.0,70.38,0.0,0.00056032464,0.7626321315765381
79,781,6428.704,0.0,70.48,0.0,0.00056162104,0.7353024482727051
80,791,6442.849,0.0,70.59,0.0,0.0005606897,0.7382569313049316
81,801,6452.5825,0.0,70.65,0.0,0.0005599689,1.275935411453247
82,811,6469.366,0.0,70.79,0.0,0.0005624369,1.2770366668701172
83,821,6485.9204,0.0,70.92,0.0,0.0005626753,1.2750227451324463
84,831,6503.852,0.0,71.08,0.0,0.00056408346,1.27836012840271
85,841,6516.6465,0.0,71.18,0.0,0.0005649589,1.1118156909942627
86,851,6533.841,0.0,71.32,0.0,0.00056598894,1.2149100303649902
87,861,6548.588,0.0,71.44,0.0,0.0005682949,1.2678806781768799
88,871,6567.795,0.0,71.61,0.0,0.00056948885,1.2685604095458984
89,881,6582.03,0.0,71.73,0.0,0.00056900457,1.2645249366760254
90,891,6596.6694,0.0,71.85,0.0,0.0005684681,1.267134189605713
91,901,6610.8154,0.0,71.97,0.0,0.0005692765,1.267056941986084
92,911,6625.099,0.0,72.09,0.0,0.00057034753,1.2699999809265137
93,921,6639.332,0.0,72.21,0.0,0.00057176687,1.2715232372283936
94,931,6646.543,0.0,72.25,0.0,0.00057196245,1.2687599658966064
95,941,6658.9414,0.0,72.35,0.0,0.00057206117,1.2791111469268799
96,951,6674.437,0.0,72.479996,0.0,0.0005734917,1.2678468227386475
97,961,6688.9,0.0,72.6,0.0,0.0005748775,1.2676262855529785
98,971,6699.691,0.0,72.67999,0.0,0.0005752593,1.2803006172180176
99,981,6709.3115,0.0,72.75,0.0,0.00057496503,1.2833290100097656
100,991,6716.3604,0.0,72.78999,0.0,0.00057514943,1.2755424976348877
101,1001,6726.934,0.0,72.869995,0.0,0.0005762223,1.3027586936950684
102,1011,2634.8745,-0.0028777022,28.57,0.0,0.00022739265,1.2860329151153564
103,1021,2681.438,-0.0028777022,29.09,0.0,0.00023267698,1.285292387008667
104,1031,2724.0232,-0.0028777022,29.56,0.0,0.00023855548,1.2852554321289062
105,1041,2776.5605,-0.0028777022,30.15,0.0,0.0002447879,1.2844724655151367
106,1051,2819.0063,-0.0028777022,30.63,0.0,0.0002477849,1.2894790172576904
107,1061,2853.4626,-0.0028777022,31.02,0.0,0.0002506459,1.2902042865753174
108,1071,2876.2244,-0.0028777022,31.279999,0.0,0.00025389064,1.2900772094726562
109,1081,2918.0217,-0.0028777022,31.75,0.0,0.00025934633,1.2907352447509766
110,1091,2956.484,-0.0028777022,32.18,0.0,0.0002626041,1.2892179489135742
111,1101,2996.4404,-0.0028777022,32.62,0.0,0.0002658395,1.2897260189056396
112,1111,3028.4949,-0.0028777022,32.98,0.0,0.00026958343,1.2886731624603271
113,1121,3047.3423,-0.0028777022,33.19,0.0,0.00027090404,1.2885994911193848
114,1131,3069.9385,-0.0028777022,33.44,0.0,0.0002731001,1.287503957748413
115,1141,3099.8257,-0.0028777022,33.769997,0.0,0.0002762461,1.2886109352111816
116,1151,3124.8809,-0.0028777022,34.05,0.0,0.00027808826,1.2884976863861084
117,1161,3159.1807,-0.0028777022,34.43,0.0,0.0002818359,1.294391393661499
118,1171,3177.4563,-0.0028777022,34.62,0.0,0.00028325897,1.2908029556274414
119,1181,3196.1719,-0.0028777022,34.829998,0.0,0.00028370786,1.3010013103485107
120,1191,3218.4575,-0.0028777022,35.07,0.0,0.0002859393,1.286592721939087
121,1201,3233.4763,-0.0028777022,35.24,0.0,0.00028741267,1.2867248058319092
122,1211,3259.101,-0.0028777022,35.53,0.0,0.00029022712,1.288116455078125
123,1221,3284.5437,-0.0028777022,35.82,0.0,0.00029391516,1.289494276046753
124,1231,3296.0232,-0.0028777022,35.95,0.0,0.00029325392,1.2874000072479248
125,1241,3315.0562,-0.0028777022,36.17,0.0,0.00029517617,1.2861607074737549
126,1251,3332.4163,-0.0028777022,36.37,0.0,0.00029719155,1.2876265048980713
127,1261,3350.5168,-0.0028777022,36.579998,0.0,0.00029862951,1.2871379852294922
128,1271,3360.2917,-0.0028777022,36.69,0.0,0.00029933453,1.2873456478118896
129,1281,3370.6978,-0.0028777022,36.8,0.0,0.00030082464,1.2881996631622314
