loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,88.71073,-0.10495393,1.2,1.1950448,5.95999,4.528605937957764
2,11,426.01474,-0.10627551,5.65,5.6040816,28.198805,0.793466329574585
3,21,683.7849,-0.099415794,8.97,8.95023,44.658203,0.7838084697723389
4,31,896.37976,-0.08677448,11.629999,11.590542,58.009876,0.7917437553405762
5,41,1073.8054,-0.08245646,13.789999,13.744193,68.69873,0.8389511108398438
6,51,1231.5834,-0.07801658,15.689999,15.645576,78.24831,0.8083655834197998
7,61,1387.398,-0.07779696,17.53,17.49293,87.367584,0.8033137321472168
8,71,1514.089,-0.07660471,19.029999,18.94631,94.775345,0.995197057723999
9,81,1664.7593,-0.05937978,20.77,20.694626,103.335175,0.961169958114624
10,91,1807.8073,-0.0572075,22.45,22.387562,112.00959,0.8090579509735107
11,101,1907.6495,-0.05757779,23.529999,23.50124,117.31505,0.8911771774291992
12,111,2008.1736,-0.05919846,24.64,24.581501,122.855896,1.095790147781372
13,121,2131.1384,-0.05786664,26.019999,25.978401,129.58282,0.8640918731689453
14,131,2213.012,-0.057528906,26.88,26.817223,134.16676,1.5030622482299805
15,141,2316.2507,-0.057238486,28.029999,27.993074,139.76115,1.1275582313537598
16,151,2427.1816,-0.057497725,29.24,29.1658,145.72063,0.8031489849090576
17,161,2462.597,-0.057143327,29.56,29.450613,147.189,1.0904159545898438
18,171,2568.9763,-0.053282626,30.739998,30.698269,153.31364,0.9992804527282715
19,181,2645.891,-0.04698248,31.559998,31.503202,157.23401,1.553832769393921
20,191,2709.4717,-0.045081273,32.2,32.11017,160.6287,0.8159546852111816
21,201,2754.857,-0.045306575,32.66,32.613304,162.71619,0.7986972332000732
22,211,2829.583,-0.04565832,33.429996,33.31172,166.733,0.804664134979248
23,221,2904.9653,-0.045607146,34.219997,34.132362,170.68399,0.7942245006561279
24,231,2949.3171,-0.036517862,34.68,34.570976,172.85457,0.8020451068878174
25,241,2982.296,-0.037577692,34.94,34.83725,174.16248,1.1399056911468506
