loop,iteration,qd_score,max_fitness,coverage,time
1,1,91.38718,-0.12298663,1.23,2.21565318107605
2,11,484.1448,-0.10388941,6.45,0.002449512481689453
3,21,796.12195,-0.081210725,10.5,0.0024182796478271484
4,31,1068.1802,-0.081210725,13.96,0.0024034976959228516
5,41,1316.1354,-0.07754871,17.02,0.0025606155395507812
6,51,1545.696,-0.050354447,19.85,0.002499103546142578
7,61,1733.9655,-0.050354447,22.1,0.002398252487182617
8,71,1921.1113,-0.050354447,24.32,0.002552032470703125
9,81,2110.1387,-0.050354447,26.55,0.0024280548095703125
10,91,2284.7974,-0.050354447,28.599998,0.002466440200805664
11,101,2431.9634,-0.050354447,30.269999,0.0024046897888183594
12,111,2588.8555,-0.040339153,32.059998,0.002472400665283203
13,121,2731.7705,-0.040339153,33.67,0.002471923828125
14,131,2874.1152,-0.040339153,35.27,0.002466440200805664
15,141,3016.0952,-0.040339153,36.87,0.002483367919921875
16,151,3142.8628,-0.040339153,38.28,0.002543210983276367
17,161,3272.0728,-0.040339153,39.71,0.00250244140625
18,171,3410.8743,-0.040339153,41.25,0.002460956573486328
19,181,3514.2832,-0.03430713,42.379997,0.0024597644805908203
20,191,3622.2007,-0.03430713,43.53,0.002507925033569336
21,201,3729.708,-0.03430713,44.68,0.002432584762573242
22,211,3834.018,-0.03430713,45.8,0.002440214157104492
23,221,3940.2354,-0.03430713,46.95,0.0024726390838623047
24,231,4048.7983,-0.03430713,48.11,0.0025916099548339844
25,241,4142.6133,-0.03430713,49.1,0.0024611949920654297
26,251,4229.0522,-0.03430713,50.0,0.0024764537811279297
27,261,4305.6973,-0.03430713,50.78,0.0025315284729003906
28,271,4391.964,-0.03430713,51.649998,0.0025110244750976562
29,281,4475.6323,-0.027149497,52.5,0.0024886131286621094
30,291,4550.542,-0.027149497,53.26,0.002551555633544922
31,301,4635.857,-0.027149497,54.12,0.002480030059814453
32,311,4716.456,-0.027149497,54.94,0.002484560012817383
33,321,4792.066,-0.027149497,55.71,0.002530336380004883
34,331,4863.2275,-0.027149497,56.42,0.002593994140625
35,341,4938.983,-0.027149497,57.199997,0.0025177001953125
36,351,5006.3623,-0.027149497,57.87,0.002578258514404297
37,361,5083.1147,-0.027149497,58.66,0.0025801658630371094
38,371,5155.8735,-0.027149497,59.399998,0.0026264190673828125
39,381,5222.7817,-0.027149497,60.07,0.002547740936279297
40,391,5271.811,-0.027149497,60.539997,0.002524852752685547
41,401,5334.5347,-0.027149497,61.17,0.002477884292602539
42,411,5395.7407,0.0,61.77,0.002566814422607422
43,421,5451.881,0.0,62.32,0.0025632381439208984
44,431,5520.2734,0.0,63.0,0.0026192665100097656
45,441,5576.5796,0.0,63.55,0.002533435821533203
46,451,5634.4316,0.0,64.1,0.0025701522827148438
47,461,5679.4062,0.0,64.53,0.002547740936279297
48,471,5725.8867,0.0,64.97,0.0024983882904052734
49,481,5769.4326,0.0,65.38,0.0025420188903808594
50,491,5811.5186,0.0,65.76,0.002590179443359375
51,501,5849.4395,0.0,66.1,0.002572298049926758
52,511,5877.86,0.0,66.34,0.0024890899658203125
53,521,5910.4575,0.0,66.63,0.0025806427001953125
54,531,5945.762,0.0,66.939995,0.0025300979614257812
55,541,5974.1973,0.0,67.18,0.002515554428100586
56,551,6013.0957,0.0,67.54,0.002820253372192383
57,561,6042.275,0.0,67.79,0.0025403499603271484
58,571,6069.681,0.0,68.02,0.002538442611694336
59,581,6100.95,0.0,68.31,0.002607107162475586
60,591,6134.7974,0.0,68.619995,0.002604246139526367
61,601,6158.883,0.0,68.82,0.002674579620361328
62,611,6181.7866,0.0,69.01,0.0025167465209960938
63,621,6214.684,0.0,69.31,0.0026242733001708984
64,631,6244.6157,0.0,69.58,0.0025911331176757812
65,641,6265.4697,0.0,69.75,0.002546548843383789
66,651,6282.913,0.0,69.869995,0.0025358200073242188
67,661,6310.1807,0.0,70.11,0.0024955272674560547
