loop,iteration,qd_score,max_fitness,coverage,time
1,1,89.69989,-0.08559679,1.2,3.396378755569458
2,11,446.6861,-0.07536042,5.8599997,0.9173645973205566
3,21,716.70776,-0.0646989,9.29,0.929079532623291
4,31,951.74646,-0.06390965,12.23,0.943824291229248
5,41,1151.1521,-0.053505503,14.57,0.9115884304046631
6,51,1336.209,-0.0539201,16.769999,0.9236514568328857
7,61,1506.6157,-0.05291799,18.75,0.9187209606170654
8,71,1641.8923,-0.051816847,20.31,0.9041526317596436
9,81,1750.4957,-0.050782617,21.499998,0.8698928356170654
10,91,1875.8542,-0.05013247,22.91,0.9555068016052246
11,101,1991.0731,-0.05089555,24.19,1.0684537887573242
12,111,2074.8289,-0.050511092,25.079998,0.9305586814880371
13,121,2175.4963,-0.0463062,26.15,0.9436643123626709
14,131,2283.3867,-0.045346607,27.359999,0.9489130973815918
15,141,2343.8499,-0.03450517,27.91,0.9392611980438232
16,151,2453.631,-0.03442129,29.15,0.9480001926422119
17,161,2490.1497,-0.036459863,29.47,0.9644107818603516
18,171,2597.146,-0.035076953,30.65,0.9538109302520752
19,181,2673.5461,-0.03528003,31.45,0.9482946395874023
20,191,2671.172,-0.038715627,31.3,0.9447207450866699
21,201,2784.3835,-0.034053143,32.55,0.9332044124603271
22,211,2826.624,-0.03486105,32.94,0.9137961864471436
23,221,2881.9294,-0.03454772,33.51,0.9032464027404785
24,231,2948.689,-0.034213703,34.17,0.9358184337615967
25,241,3023.7136,-0.031791076,34.96,0.9616079330444336
26,251,3068.1323,-0.03274738,35.38,0.9497725963592529
27,261,3118.3845,-0.031113654,35.89,1.035630702972412
28,271,3130.995,-0.032069653,35.96,0.9617531299591064
29,281,3225.0093,-0.03154265,36.949997,1.0828166007995605
30,291,3260.102,-0.031953145,37.309998,1.4230732917785645
31,301,3276.5168,-0.03176846,37.42,0.9391601085662842
32,311,3357.2793,-0.031755567,38.25,0.8929424285888672
33,321,3403.8232,-0.032063857,38.7,0.9490842819213867
34,331,3453.0737,-0.03137613,39.239998,0.9240546226501465
35,341,3509.096,-0.03179787,39.8,0.9039998054504395
36,351,3493.9998,-0.031564593,39.559998,0.912473201751709
37,361,3549.4824,-0.031537183,40.089996,0.9045233726501465
38,371,3620.5083,-0.031574942,40.879997,0.9115762710571289
39,381,3585.904,-0.031248134,40.399998,0.9341189861297607
40,391,3639.864,-0.03238097,40.98,0.9300634860992432
41,401,3691.8716,-0.031593814,41.5,0.9136877059936523
42,411,3685.4377,-0.030951973,41.35,0.9153239727020264
43,421,3720.7224,-0.032376558,41.7,0.9344797134399414
44,431,3784.0532,-0.031455386,42.36,0.9323153495788574
45,441,3794.0002,-0.024327537,42.41,1.457887887954712
46,451,3813.161,-0.02317255,42.579998,0.912968635559082
47,461,3854.2656,-0.023405787,42.989998,0.9082808494567871
48,471,3860.07,-0.023821294,43.019997,0.9097738265991211
49,481,3903.4104,-0.02323685,43.469997,0.9251823425292969
50,491,3912.6829,-0.023593526,43.519997,0.9501087665557861
51,501,3918.8164,-0.02338447,43.53,0.9604315757751465
52,511,3959.076,-0.022864727,43.949997,0.9433348178863525
53,521,3967.878,-0.02508891,43.98,0.9420714378356934
54,531,3988.977,-0.024093052,44.2,0.8843767642974854
55,541,4007.5593,-0.01941292,44.36,0.9037065505981445
56,551,3999.4746,-0.018955545,44.219997,0.9291601181030273
57,561,4020.4377,-0.02008732,44.42,0.8940670490264893
58,571,3979.9548,-0.0187849,43.949997,0.899742841720581
59,581,4072.2815,-0.020193543,44.92,0.911576509475708
60,591,4130.3,-0.017853517,45.54,0.9358065128326416
61,601,4087.4106,-0.01881992,45.02,0.9167649745941162
62,611,4054.091,-0.01949675,44.61,0.96433424949646
63,621,4095.333,-0.018189635,45.03,0.9351010322570801
64,631,4132.1514,-0.018646017,45.42,0.8933899402618408
65,641,4133.981,-0.019293353,45.39,1.0161445140838623
66,651,4144.54,-0.017224826,45.47,1.060981273651123
67,661,4169.555,-0.018413514,45.719997,0.9355454444885254
68,671,4184.5767,-0.01993112,45.87,0.912792444229126
69,681,4162.6235,-0.01866733,45.579998,0.9182045459747314
70,691,4205.7446,-0.018309789,46.01,0.9303958415985107
71,701,4202.1284,-0.018447436,45.96,0.905576229095459
72,711,4250.1733,-0.01839535,46.46,0.9303765296936035
73,721,4266.0454,-0.018937254,46.6,0.8963580131530762
74,731,4253.8257,-0.019122891,46.429996,0.8953001499176025
75,741,4300.2397,-0.01897745,46.93,0.901677131652832
76,751,4271.78,-0.018595932,46.579998,0.9028627872467041
77,761,4324.6167,-0.019001754,47.149998,0.8975651264190674
78,771,4261.148,-0.01790366,46.399998,0.906491756439209
79,781,4317.5576,-0.019405793,47.0,0.9050719738006592
80,791,4356.9883,-0.018080171,47.43,1.464996576309204
81,801,4326.786,-0.019211631,47.059998,0.9334604740142822
82,811,4344.4966,-0.019162664,47.239998,0.9099082946777344
83,821,4352.9917,-0.018575808,47.3,0.9271304607391357
84,831,4421.2637,-0.019378291,48.01,0.9045772552490234
85,841,4351.354,-0.018908788,47.239998,0.9010624885559082
86,851,4377.532,-0.012492545,47.5,0.9145593643188477
87,861,4391.758,-0.01320898,47.63,0.903545618057251
88,871,4359.2886,-0.013272546,47.25,0.9027175903320312
