loop,iteration,qd_score,max_fitness,coverage,time
1,1,92.5523,-0.097040564,1.26,3.192390203475952
2,11,499.49133,-0.08196497,6.72,0.0031976699829101562
3,21,833.28723,-0.06821931,11.09,0.0035963058471679688
4,31,1141.6018,-0.06821931,15.049999,0.003390789031982422
5,41,1421.7646,-0.06821931,18.57,0.0032584667205810547
6,51,1663.2662,-0.060371008,21.5,0.0031621456146240234
7,61,1911.5582,-0.05979204,24.529999,0.0034399032592773438
8,71,2132.6619,-0.05979204,27.17,0.003534555435180664
9,81,2320.248,-0.05979204,29.369999,0.003391742706298828
10,91,2495.3672,-0.044872966,31.38,0.003424406051635742
11,101,2648.9326,-0.044872966,33.11,0.0032792091369628906
12,111,2825.3325,-0.044872966,35.13,0.003208637237548828
13,121,2970.5815,-0.044872966,36.73,0.0031783580780029297
14,131,3122.088,-0.044872966,38.41,0.0032587051391601562
15,141,3270.4102,-0.044872966,40.03,0.0033812522888183594
16,151,3407.2021,-0.044872966,41.53,0.003401517868041992
17,161,3542.9136,-0.044872966,43.0,0.003390789031982422
18,171,3672.5708,-0.039043088,44.41,0.0033545494079589844
19,181,3792.587,-0.039043088,45.69,0.003251791000366211
20,191,3898.244,-0.03487283,46.78,0.003300189971923828
21,201,4012.2742,-0.03487283,47.989998,0.003295421600341797
22,211,4124.3584,-0.03487283,49.19,0.0031549930572509766
23,221,4232.9463,-0.03487283,50.32,0.0031044483184814453
24,231,4331.977,-0.03487283,51.329998,0.003111124038696289
25,241,4431.716,-0.03487283,52.36,0.0032100677490234375
26,251,4527.1655,-0.03487283,53.32,0.002988576889038086
27,261,4617.75,-0.03487283,54.239998,0.003144502639770508
28,271,4700.2324,-0.030185461,55.059998,0.0033097267150878906
29,281,4791.2095,-0.030185461,55.989998,0.0034716129302978516
30,291,4866.3267,-0.030185461,56.73,0.0032188892364501953
31,301,4938.877,-0.030185461,57.46,0.003056049346923828
32,311,5011.084,-0.030185461,58.19,0.003126382827758789
33,321,5077.6006,-0.030185461,58.829998,0.003016948699951172
34,331,5151.0845,-0.03003291,59.55,0.003098011016845703
35,341,5224.1733,-0.03003291,60.27,0.003056049346923828
36,351,5289.996,-0.027311087,60.92,0.0031375885009765625
37,361,5339.046,-0.0258323,61.37,0.0031609535217285156
38,371,5404.867,-0.0258323,62.03,0.0030035972595214844
39,381,5465.584,-0.0258323,62.609997,0.003231525421142578
40,391,5518.9595,-0.0258323,63.12,0.0031585693359375
