loop,iteration,qd_score,max_fitness,coverage,time
1,1,90.31053,-0.1364225,1.23,3.30458927154541
2,11,464.03235,-0.10594143,6.25,0.8696041107177734
3,21,794.2103,-0.096054606,10.559999,0.7479205131530762
4,31,1087.1941,-0.09312857,14.289999,1.3383870124816895
5,41,1344.3475,-0.07263741,17.51,1.1444311141967773
6,51,1585.3787,-0.07263741,20.47,1.314530611038208
7,61,1783.1301,-0.07263741,22.88,1.2127442359924316
8,71,1985.3092,-0.070950754,25.279999,1.2786047458648682
9,81,2184.727,-0.070950754,27.619999,1.2904064655303955
10,91,2379.92,-0.06472453,29.909998,1.2670717239379883
11,101,2550.38,-0.06472453,31.880001,1.2798850536346436
12,111,2716.1,-0.057457905,33.76,1.2680649757385254
13,121,2872.2324,-0.057457905,35.54,1.2704339027404785
14,131,3017.38,-0.057457905,37.17,1.2770817279815674
15,141,3154.134,-0.057457905,38.69,1.3075330257415771
16,151,3285.5913,-0.057457905,40.12,1.234480381011963
17,161,3422.5745,-0.057457905,41.65,1.3908171653747559
18,171,3550.8262,-0.057457905,43.03,1.2868268489837646
19,181,3653.9148,-0.054999884,44.129997,1.2736191749572754
20,191,3755.1943,-0.035512716,45.2,1.1243019104003906
21,201,3861.2192,-0.035512716,46.339996,1.2733533382415771
22,211,3948.287,-0.035512716,47.239998,1.2853403091430664
23,221,4037.8604,-0.035512716,48.18,1.0506179332733154
24,231,4132.793,-0.035461135,49.159996,1.279181718826294
25,241,4225.189,-0.035461135,50.11,1.0103886127471924
26,251,4309.8555,-0.035461135,50.97,1.3057198524475098
27,261,4409.8613,-0.035461135,52.0,1.2668588161468506
28,271,4495.4717,-0.035461135,52.87,1.3266339302062988
29,281,4576.3687,-0.035461135,53.709995,1.2719895839691162
30,291,4646.172,-0.035461135,54.399998,1.3526690006256104
31,301,4725.049,-0.035461135,55.199997,1.2818033695220947
32,311,4801.0615,-0.035461135,55.96,1.309833288192749
33,321,4870.1455,-0.035461135,56.64,1.3054213523864746
34,331,4926.3813,-0.035461135,57.18,1.3289649486541748
35,341,4993.1665,-0.035461135,57.839996,1.18239426612854
36,351,5053.6943,-0.035461135,58.429996,1.2875454425811768
37,361,5104.5195,-0.035461135,58.91,1.262678861618042
38,371,5165.8584,-0.033077776,59.52,1.2406551837921143
39,381,5224.663,-0.033077776,60.079998,1.3415517807006836
40,391,5273.599,-0.03129233,60.539997,0.9420011043548584
41,401,5327.3965,-0.03129233,61.059998,1.2752270698547363
42,411,5374.709,-0.03129233,61.5,1.2890043258666992
43,421,5426.0337,-0.03129233,61.989998,1.2830426692962646
44,431,5467.626,-0.03129233,62.369995,1.2842981815338135
45,441,5512.8096,-0.03129233,62.799995,1.275578498840332
46,451,5553.448,-0.03129233,63.17,1.2606244087219238
47,461,5606.338,-0.03129233,63.699997,1.280442714691162
48,471,5645.1514,-0.03129233,64.05,1.3669700622558594
49,481,5696.544,-0.03129233,64.54,0.7535450458526611
50,491,5741.9116,-0.03129233,64.97,1.3167099952697754
51,501,5785.0024,-0.03129233,65.36,0.9682245254516602
52,511,5820.9805,-0.03129233,65.68,1.080784559249878
53,521,5859.0913,-0.03129233,66.03,0.9318389892578125
54,531,5888.3223,-0.03129233,66.28,1.2751905918121338
55,541,5920.2583,-0.018768003,66.56,1.287233591079712
56,551,5948.576,-0.018768003,66.799995,1.2698915004730225
57,561,5976.1016,-0.018768003,67.03,1.2844862937927246
58,571,6004.4565,-0.018768003,67.28,1.2860383987426758
59,581,6035.8228,-0.018768003,67.549995,1.269993543624878
60,591,6068.317,-0.018768003,67.829994,1.0686416625976562
61,601,6097.8076,-0.018768003,68.09,0.7692670822143555
62,611,6125.717,-0.018768003,68.329994,1.0039703845977783
63,621,6146.37,-0.012537991,68.49,0.837226152420044
64,631,6172.673,-0.012537991,68.72,0.746243953704834
65,641,6204.292,-0.012537991,69.0,0.8056435585021973
66,651,6221.639,-0.012537991,69.13,0.7435898780822754
67,661,6246.918,-0.012537991,69.35,1.0053091049194336
68,671,6273.7627,-0.012537991,69.58,1.2731399536132812
69,681,6296.4365,-0.004905085,69.77,1.0774827003479004
70,691,6317.2236,-0.004905085,69.94,0.7253291606903076
71,701,6339.393,-0.004905085,70.13,1.2703006267547607
72,711,6355.63,-0.004905085,70.25,1.3223962783813477
73,721,6387.3086,-0.004905085,70.54,1.2553901672363281
74,731,6414.442,-0.004905085,70.79,1.2684895992279053
75,741,6432.287,-0.004905085,70.93,1.2547476291656494
76,751,6446.302,-0.004905085,71.03,1.2798550128936768
77,761,6461.2256,-0.004905085,71.15,1.2807762622833252
78,771,6482.381,-0.004905085,71.33,1.2629549503326416
79,781,6496.5615,-0.004905085,71.43,1.260162353515625
80,791,6515.6426,-0.004905085,71.590004,1.3178765773773193
81,801,6532.9097,-0.004905085,71.74,1.171473741531372
82,811,6551.141,-0.004905085,71.89,1.3795342445373535
83,821,6566.326,-0.004905085,72.01,1.2562236785888672
84,831,6577.989,-0.004905085,72.09,1.378249168395996
85,841,6593.4277,-0.004905085,72.21,1.3481435775756836
86,851,6612.198,-0.004905085,72.369995,1.2237117290496826
87,861,6626.2344,-0.004905085,72.479996,1.2790858745574951
88,871,6643.007,-0.004905085,72.61,1.2605011463165283
89,881,6656.7065,-0.004905085,72.71999,1.2999224662780762
90,891,6671.8687,-0.004905085,72.84,1.2743632793426514
91,901,6686.2646,-0.004905085,72.95,1.2372441291809082
92,911,6695.9473,-0.004905085,73.009995,1.2656805515289307
93,921,6709.4434,-0.004905085,73.10999,1.2735354900360107
94,931,6721.174,-0.004905085,73.2,1.2575709819793701
95,941,6730.867,-0.004905085,73.27,1.3450028896331787
96,951,6740.604,-0.004905085,73.34,1.2355148792266846
97,961,6754.376,-0.004905085,73.46,1.32118558883667
98,971,6765.178,-0.004905085,73.53999,1.3272461891174316
99,981,6780.221,-0.004905085,73.659996,1.2357769012451172
100,991,6793.1597,-0.004905085,73.759995,1.2899055480957031
101,1001,6801.468,-0.004905085,73.82,0.9185681343078613
102,1011,2692.8179,-0.012537991,29.249998,0.7430646419525146
103,1021,2708.92,-0.012537991,29.44,0.7592532634735107
104,1031,2741.455,-0.012537991,29.81,0.7376956939697266
105,1041,2767.376,-0.012537991,30.109999,0.7403464317321777
106,1051,2795.9775,-0.012537991,30.429998,0.7448625564575195
107,1061,2824.7798,-0.012537991,30.759998,0.7337429523468018
108,1071,2854.189,-0.012537991,31.099998,1.3939197063446045
109,1081,2875.6174,-0.012537991,31.349998,1.2938244342803955
110,1091,2883.4856,-0.012537991,31.46,1.37455415725708
111,1101,2922.2773,-0.012537991,31.89,1.2994773387908936
112,1111,2941.982,-0.012537991,32.12,1.3025429248809814
113,1121,2962.9207,-0.012537991,32.37,1.2844808101654053
114,1131,2977.2058,-0.012537991,32.53,1.2818431854248047
115,1141,2987.8818,-0.012537991,32.670002,1.2876176834106445
116,1151,3015.3608,-0.012537991,32.989998,1.278151035308838
117,1161,3034.5688,-0.012537991,33.21,1.2850093841552734
118,1171,3064.3428,-0.012537991,33.55,1.2861456871032715
119,1181,3088.4197,-0.012537991,33.829998,1.285369873046875
120,1191,3119.0295,-0.012537991,34.18,1.2769544124603271
121,1201,3138.3267,-0.012537991,34.41,1.3045451641082764
122,1211,3152.2927,-0.012537991,34.579998,1.2996785640716553
123,1221,3154.1108,-0.012537991,34.62,1.2818424701690674
124,1231,3164.7268,-0.02084188,34.75,0.8612139225006104
125,1241,3176.0078,-0.02084188,34.89,1.247162103652954
126,1251,3193.1562,-0.02084188,35.09,1.3756799697875977
127,1261,3207.464,-0.02084188,35.27,1.2787022590637207
128,1271,3220.016,-0.02084188,35.420002,1.2713940143585205
129,1281,3218.934,-0.02084188,35.420002,1.2804582118988037
130,1291,3226.1726,-0.02084188,35.510002,1.2678754329681396
131,1301,3239.9104,-0.02084188,35.68,1.271761178970337
132,1311,3245.777,-0.02084188,35.760002,1.2566423416137695
133,1321,3260.4832,-0.02084188,35.93,1.2780952453613281
134,1331,3281.8237,-0.02084188,36.18,1.2811124324798584
135,1341,3305.0164,-0.02084188,36.46,1.2802002429962158
136,1351,3315.9155,-0.02084188,36.589996,1.2865779399871826
137,1361,3317.792,-0.02084188,36.62,1.2636604309082031
138,1371,3321.1375,-0.02084188,36.67,1.2796666622161865
139,1381,3334.9534,-0.02084188,36.829998,1.2852168083190918
140,1391,3340.8174,-0.02084188,36.899998,1.1980340480804443
141,1401,3362.9648,-0.02084188,37.149998,1.2749381065368652
142,1411,3379.9827,-0.02084188,37.35,1.3867783546447754
143,1421,3388.0078,-0.02084188,37.449997,1.2749571800231934
144,1431,3397.6465,-0.02084188,37.57,1.3618927001953125
145,1441,3406.1372,-0.02084188,37.67,1.27498459815979
146,1451,3418.4631,-0.02084188,37.82,1.3124580383300781
147,1461,3416.7412,-0.02084188,37.809998,1.3736627101898193
148,1471,3416.787,-0.02084188,37.829998,1.2778291702270508
149,1481,3424.0261,-0.02084188,37.92,1.3798470497131348
150,1491,3438.1145,-0.02084188,38.09,1.3789291381835938
151,1501,3461.4058,-0.02084188,38.36,1.3737401962280273
152,1511,2070.8792,-0.02084188,23.06,1.2639386653900146
153,1521,2178.488,-0.02084188,24.27,1.2590692043304443
154,1531,2272.8494,-0.02084188,25.34,1.2768545150756836
155,1541,2352.6975,-0.02084188,26.249998,1.2799386978149414
156,1551,2428.2634,-0.02084188,27.12,1.275650978088379
157,1561,2494.2285,-0.02084188,27.869999,1.288386344909668
158,1571,2555.2456,-0.02084188,28.560001,1.2777247428894043
159,1581,2600.8872,-0.02084188,29.08,1.277966022491455
160,1591,2655.1436,-0.02084188,29.709997,1.2769756317138672
161,1601,2707.4873,-0.02084188,30.31,1.2775874137878418
162,1611,2727.894,-0.02084188,30.55,1.297717809677124
163,1621,2762.837,-0.02084188,30.96,1.2683212757110596
164,1631,2819.6553,-0.02084188,31.61,1.289172649383545
165,1641,2869.4722,-0.02084188,32.18,1.272646188735962
166,1651,2914.032,-0.02084188,32.690002,1.2566802501678467
167,1661,2936.0674,-0.02084188,32.95,1.3824501037597656
168,1671,2951.7068,-0.02084188,33.14,1.3198139667510986
169,1681,2981.9773,-0.02084188,33.499996,1.3607771396636963
170,1691,3002.8018,-0.02084188,33.75,1.4088311195373535
171,1701,3037.1543,-0.02084188,34.149998,1.2386174201965332
172,1711,3064.881,-0.02084188,34.48,1.3604438304901123
173,1721,3093.748,-0.02084188,34.82,1.348632574081421
174,1731,3108.3447,-0.02084188,34.989998,1.3549907207489014
175,1741,3140.7083,-0.02084188,35.37,1.436034917831421
