loop,iteration,qd_score,max_fitness,coverage,time
1,1,91.38718,-0.12298663,1.23,2.995422840118408
2,11,484.1448,-0.10388941,6.45,0.0036644935607910156
3,21,796.12195,-0.081210725,10.5,0.003689289093017578
4,31,1068.1802,-0.081210725,13.96,0.003682374954223633
5,41,1316.1354,-0.07754871,17.02,0.003696441650390625
6,51,1545.696,-0.050354447,19.85,0.003735780715942383
7,61,1733.9655,-0.050354447,22.1,0.0037789344787597656
8,71,1921.1113,-0.050354447,24.32,0.0038373470306396484
9,81,2110.1387,-0.050354447,26.55,0.003761768341064453
10,91,2284.7974,-0.050354447,28.599998,0.0037059783935546875
11,101,2431.9634,-0.050354447,30.269999,0.0038285255432128906
12,111,2588.8555,-0.040339153,32.059998,0.0037746429443359375
13,121,2731.7705,-0.040339153,33.67,0.0038213729858398438
14,131,2874.1152,-0.040339153,35.27,0.003813028335571289
15,141,3016.0952,-0.040339153,36.87,0.0037975311279296875
16,151,3142.8628,-0.040339153,38.28,0.0037622451782226562
17,161,3272.0728,-0.040339153,39.71,0.0037703514099121094
18,171,3410.8743,-0.040339153,41.25,0.003817319869995117
19,181,3514.2832,-0.03430713,42.379997,0.0037713050842285156
20,191,3622.2007,-0.03430713,43.53,0.0037355422973632812
21,201,3729.708,-0.03430713,44.68,0.0038471221923828125
22,211,3834.018,-0.03430713,45.8,0.0038595199584960938
23,221,3940.2354,-0.03430713,46.95,0.0037925243377685547
24,231,4048.7983,-0.03430713,48.11,0.003876209259033203
25,241,4142.6133,-0.03430713,49.1,0.0037364959716796875
26,251,4229.0522,-0.03430713,50.0,0.003846406936645508
27,261,4305.6973,-0.03430713,50.78,0.0037200450897216797
28,271,4391.964,-0.03430713,51.649998,0.0037360191345214844
29,281,4475.6323,-0.027149497,52.5,0.0038442611694335938
30,291,4550.542,-0.027149497,53.26,0.0037724971771240234
31,301,4635.857,-0.027149497,54.12,0.003766298294067383
32,311,4716.456,-0.027149497,54.94,0.003721475601196289
33,321,4792.066,-0.027149497,55.71,0.003747224807739258
34,331,4863.2275,-0.027149497,56.42,0.003795146942138672
35,341,4938.983,-0.027149497,57.199997,0.0037071704864501953
36,351,5006.3623,-0.027149497,57.87,0.003787994384765625
37,361,5083.1147,-0.027149497,58.66,0.0038149356842041016
38,371,5155.8735,-0.027149497,59.399998,0.0037424564361572266
39,381,5222.7817,-0.027149497,60.07,0.0037975311279296875
40,391,5271.811,-0.027149497,60.539997,0.0037336349487304688
41,401,5334.5347,-0.027149497,61.17,0.0036966800689697266
42,411,5395.7407,0.0,61.77,0.0037844181060791016
43,421,5451.881,0.0,62.32,0.003704547882080078
44,431,5520.2734,0.0,63.0,0.0038552284240722656
45,441,5576.5796,0.0,63.55,0.0038242340087890625
46,451,5634.4316,0.0,64.1,0.003705263137817383
47,461,5679.4062,0.0,64.53,0.003839254379272461
48,471,5725.8867,0.0,64.97,0.0037746429443359375
49,481,5769.4326,0.0,65.38,0.0038323402404785156
50,491,5811.5186,0.0,65.76,0.003783702850341797
51,501,5849.4395,0.0,66.1,0.0038487911224365234
52,511,5877.86,0.0,66.34,0.0037755966186523438
53,521,5910.4575,0.0,66.63,0.003784656524658203
54,531,5945.762,0.0,66.939995,0.0037894248962402344
55,541,5974.1973,0.0,67.18,0.0038521289825439453
56,551,6013.0957,0.0,67.54,0.0037496089935302734
57,561,6042.275,0.0,67.79,0.003710031509399414
58,571,6069.681,0.0,68.02,0.0038156509399414062
59,581,6100.95,0.0,68.31,0.003721475601196289
60,591,6134.7974,0.0,68.619995,0.0037260055541992188
61,601,6158.883,0.0,68.82,0.0037186145782470703
62,611,6181.7866,0.0,69.01,0.0037736892700195312
63,621,6214.684,0.0,69.31,0.0037431716918945312
64,631,6244.6157,0.0,69.58,0.0037636756896972656
65,641,6265.4697,0.0,69.75,0.0038635730743408203
66,651,6282.913,0.0,69.869995,0.003766775131225586
67,661,6310.1807,0.0,70.11,0.003900289535522461
68,671,6335.974,0.0,70.34,0.003879070281982422
69,681,6355.674,0.0,70.49,0.003756999969482422
70,691,6387.0107,0.0,70.78,0.003751993179321289
71,701,6406.347,0.0,70.92,0.003823518753051758
72,711,6430.933,0.0,71.14,0.0037996768951416016
73,721,6449.2656,0.0,71.28,0.0038521289825439453
74,731,6473.795,0.0,71.49,0.0037152767181396484
75,741,6491.139,0.0,71.63,0.003762960433959961
76,751,6513.9697,0.0,71.83,0.003828763961791992
77,761,6532.538,0.0,71.979996,0.003794431686401367
78,771,6547.1445,0.0,72.09,0.003831624984741211
79,781,6566.2256,0.0,72.25,0.0038177967071533203
80,791,6582.6206,0.0,72.38,0.003670215606689453
81,801,6599.4604,0.0,72.51,0.003726959228515625
82,811,6615.19,0.0,72.63,0.0037984848022460938
83,821,6629.009,0.0,72.729996,0.003804445266723633
84,831,6646.4575,0.0,72.88,0.003787994384765625
85,841,6662.597,0.0,73.01,0.0037283897399902344
86,851,6676.045,0.0,73.11,0.003689289093017578
87,861,6689.9844,0.0,73.21,0.0038518905639648438
88,871,6702.677,0.0,73.31,0.003728151321411133
89,881,6713.787,0.0,73.39,0.0038030147552490234
90,891,6724.8477,0.0,73.47,0.0037250518798828125
91,901,6736.5645,0.0,73.549995,0.0038166046142578125
92,911,6751.5205,0.0,73.67,0.003814220428466797
93,921,6760.3525,0.0,73.72,0.0037789344787597656
94,931,6771.763,0.0,73.81,0.003811359405517578
95,941,6786.7646,0.0,73.939995,0.003782033920288086
96,951,6796.7197,0.0,74.01,0.003842592239379883
97,961,6812.83,0.0,74.15,0.003715991973876953
98,971,6825.329,0.0,74.25,0.0038089752197265625
99,981,6833.496,0.0,74.299995,0.003766298294067383
100,991,6840.4844,0.0,74.33,0.0038213729858398438
101,1001,2658.287,-0.039154727,29.76,0.003683805465698242
102,1011,2778.1428,-0.039154727,31.09,0.007589101791381836
103,1021,2894.0493,-0.039154727,32.38,0.007655620574951172
104,1031,2988.8887,-0.039154727,33.43,0.0076825618743896484
105,1041,3073.0193,-0.03791984,34.36,0.007720470428466797
106,1051,3159.3538,-0.03791984,35.32,0.00763249397277832
107,1061,3239.0942,-0.03791984,36.2,0.007678031921386719
108,1071,3328.6519,-0.03791984,37.2,0.007674455642700195
109,1081,3408.9614,-0.03791984,38.09,0.0075435638427734375
110,1091,3473.2622,-0.03791984,38.79,0.0076406002044677734
111,1101,3545.4746,-0.03791984,39.59,0.00755620002746582
112,1111,3613.8809,-0.03791984,40.35,0.0076656341552734375
113,1121,3673.0251,-0.019327514,41.0,0.0076444149017333984
114,1131,3732.983,-0.019327514,41.66,0.0077517032623291016
115,1141,3794.786,-0.019327514,42.34,0.0076410770416259766
116,1151,3852.833,-0.019327514,42.98,0.0077342987060546875
117,1161,3895.1687,-0.019327514,43.45,0.00764918327331543
118,1171,3932.4597,-0.019327514,43.86,0.007712125778198242
119,1181,3979.7874,-0.019327514,44.379997,0.007551908493041992
120,1191,4019.5579,-0.019327514,44.82,0.0076334476470947266
121,1201,4059.7336,-0.019327514,45.26,0.0077702999114990234
122,1211,4097.3066,-0.019327514,45.67,0.007623910903930664
123,1221,4132.08,-0.019327514,46.05,0.007644176483154297
124,1231,4167.7773,-0.019327514,46.44,0.007693290710449219
125,1241,4202.5396,-0.019327514,46.82,0.007655143737792969
126,1251,4238.151,-0.019327514,47.21,0.0076677799224853516
127,1261,4267.604,-0.019327514,47.53,0.0075168609619140625
