loop,iteration,qd_score,max_fitness,coverage,time
1,1,90.36169,-0.1002423,1.23,5.782257556915283
2,11,457.07086,-0.08573166,6.1099997,1.7851753234863281
3,21,721.8158,-0.069007054,9.5199995,1.4210779666900635
4,31,929.6755,-0.06794445,12.11,1.704850435256958
5,41,1150.7219,-0.06971626,14.849999,1.725341796875
6,51,1330.9088,-0.06387221,16.99,1.7252728939056396
7,61,1507.0157,-0.06303198,19.08,1.6994199752807617
8,71,1637.5316,-0.05807631,20.56,1.5051331520080566
9,81,1758.6279,-0.057200022,21.939999,1.7680344581604004
10,91,1860.6731,-0.046122786,23.039999,1.5471904277801514
11,101,1967.378,-0.04566135,24.25,1.878655195236206
12,111,2087.3203,-0.046802618,25.59,1.5928192138671875
13,121,2180.4387,-0.046564884,26.56,1.5205817222595215
14,131,2274.4495,-0.04626496,27.609999,1.8220717906951904
15,141,2336.5947,-0.046814755,28.18,1.7997474670410156
16,151,2446.6016,-0.047126167,29.42,1.8564598560333252
17,161,2539.836,-0.04593155,30.41,1.8028805255889893
18,171,2586.2722,-0.040742163,30.84,1.8214774131774902
19,181,2693.4512,-0.041601427,32.02,1.8368608951568604
20,191,2710.6755,-0.03468076,32.07,1.8767626285552979
21,201,2791.0132,-0.034965426,32.95,1.8844101428985596
22,211,2867.075,-0.034899566,33.76,1.8319075107574463
23,221,2939.1553,-0.033784516,34.52,1.8579487800598145
24,231,3020.0588,-0.03401325,35.34,1.836975336074829
25,241,3043.9722,-0.03389355,35.55,1.9422698020935059
26,251,3109.5835,-0.03313737,36.21,1.8964526653289795
27,261,3151.8862,-0.033497885,36.579998,1.8211090564727783
28,271,3270.8152,-0.02996279,37.93,1.899815320968628
29,281,3267.6826,-0.030253934,37.78,1.8751482963562012
30,291,3262.1006,-0.029542824,37.62,1.7815566062927246
31,301,3341.647,-0.030752294,38.48,1.9773063659667969
32,311,3400.2239,-0.030673286,39.1,1.5347659587860107
33,321,3421.3982,-0.030571984,39.239998,1.4181461334228516
34,331,3444.9084,-0.029149259,39.449997,1.8574848175048828
35,341,3504.6843,-0.03001539,40.079998,1.8442270755767822
36,351,3544.6245,-0.023728633,40.44,1.863534927368164
37,361,3548.644,-0.023276698,40.41,1.7571954727172852
38,371,3586.4648,-0.024493536,40.78,1.8004660606384277
39,381,3654.2273,-0.023082452,41.489998,1.8695008754730225
40,391,3635.2988,-0.024149667,41.21,1.7868287563323975
41,401,3717.345,-0.024011083,42.06,1.2527852058410645
42,411,3742.2146,-0.023120916,42.29,1.7593235969543457
43,421,3772.2446,-0.023945082,42.559998,1.8243262767791748
44,431,3775.9443,-0.024213264,42.559998,1.8704373836517334
45,441,3821.8142,-0.02290022,43.03,1.8577687740325928
46,451,3854.2576,-0.022978382,43.339996,1.889458179473877
47,461,3881.5818,-0.023055103,43.59,1.8139994144439697
48,471,3898.7046,-0.023910807,43.719997,1.544990062713623
49,481,3910.319,-0.023500247,43.8,1.8287389278411865
50,491,3926.482,-0.024296958,43.93,1.935147762298584
51,501,3939.9988,-0.024244435,44.039997,1.821622371673584
52,511,3958.938,-0.024050396,44.2,1.86448073387146
53,521,3997.1707,-0.023751128,44.57,1.8357279300689697
54,531,4058.6848,-0.02370057,45.24,1.7816994190216064
55,541,4057.2332,-0.023404894,45.16,1.8459060192108154
56,551,4110.5645,-0.024035446,45.719997,1.8213138580322266
57,561,4072.253,-0.023744091,45.24,1.854491949081421
58,571,4119.0234,-0.023310311,45.739998,1.5318479537963867
59,581,4149.6265,-0.022643643,46.03,1.799274206161499
60,591,4143.73,-0.024047427,45.92,1.759542465209961
61,601,4119.5146,-0.02307193,45.6,1.8370740413665771
62,611,4148.5396,-0.023194293,45.879997,1.8566908836364746
63,621,4144.371,-0.023966534,45.82,1.8191769123077393
64,631,4183.335,-0.023538137,46.19,1.8350152969360352
65,641,4201.872,-0.022824718,46.35,1.796475887298584
66,651,4210.881,-0.024177162,46.42,1.7967679500579834
67,661,4219.3564,-0.02365445,46.489998,1.840771198272705
68,671,4311.0825,-0.024723949,47.48,1.8702583312988281
69,681,4240.545,-0.024181383,46.64,1.8265550136566162
70,691,4264.9673,-0.023899797,46.899998,1.8484504222869873
71,701,4233.2246,-0.02314018,46.499996,1.8584589958190918
72,711,4283.497,-0.019315356,47.01,1.8207900524139404
73,721,4304.9272,-0.019144973,47.219997,1.882371187210083
74,731,4292.875,-0.018856816,47.059998,1.850675106048584
75,741,4308.447,-0.019916594,47.21,1.834120750427246
76,751,4347.657,-0.019144643,47.62,1.849762201309204
77,761,4349.7705,-0.020562654,47.61,1.7929253578186035
78,771,4315.0396,-0.020435398,47.19,1.8074657917022705
79,781,4351.3667,-0.019053936,47.55,1.8110122680664062
80,791,4396.4805,-0.019637655,48.04,1.818005084991455
81,801,4395.5303,-0.020392029,48.0,1.82926344871521
82,811,4376.0454,-0.020566419,47.739998,1.8543415069580078
83,821,4422.164,-0.020259855,48.23,1.8137924671173096
84,831,4406.8115,-0.02025617,48.02,1.8775033950805664
85,841,4446.059,-0.019825919,48.44,1.8592040538787842
86,851,4426.9233,-0.019161036,48.2,1.797518014907837
87,861,4468.9624,-0.019649591,48.629997,1.8441994190216064
88,871,4466.1445,-0.018958107,48.559998,1.8567893505096436
89,881,4456.598,-0.01971038,48.44,1.8577828407287598
90,891,4452.243,-0.01917028,48.37,1.8512539863586426
91,901,4499.756,-0.019325148,48.879997,1.7922031879425049
92,911,4503.81,-0.02089956,48.879997,1.8632466793060303
93,921,4496.887,-0.019510236,48.789997,1.8617360591888428
94,931,4529.4146,-0.02044292,49.129997,1.8927514553070068
95,941,4545.273,-0.019833937,49.269997,1.810333013534546
96,951,4576.1514,-0.019467833,49.57,1.8164525032043457
97,961,4475.7446,-0.019571496,48.45,1.7681572437286377
98,971,4530.7217,-0.018484084,49.039997,1.7718205451965332
99,981,4516.1675,-0.019772282,48.839996,1.865760326385498
100,991,4526.2876,-0.018997803,48.949997,1.8522124290466309
101,1001,4550.6235,-0.019144785,49.199997,1.6591131687164307
