loop,iteration,qd_score,max_fitness,coverage,time
1,1,91.05787,-0.08526536,1.22,5.31255578994751
2,11,494.65155,-0.069913894,6.5499997,0.006660938262939453
3,21,839.19995,-0.0633373,11.0,0.006570100784301758
4,31,1148.4792,-0.0633373,14.91,0.006696224212646484
5,41,1438.2805,-0.046670675,18.449999,0.004494190216064453
6,51,1697.7566,-0.046670675,21.6,0.007465839385986328
7,61,1913.0917,-0.046670675,24.14,0.005903959274291992
8,71,2122.1885,-0.046670675,26.599998,0.009013891220092773
9,81,2312.015,-0.046670675,28.789999,0.007662773132324219
10,91,2497.243,-0.046670675,30.929998,0.005997180938720703
11,101,2667.0986,-0.046670675,32.85,0.0037834644317626953
12,111,2837.9253,-0.046670675,34.77,0.007259368896484375
13,121,2987.3796,-0.046670675,36.43,0.009856462478637695
14,131,3137.1772,-0.04654912,38.07,0.0064580440521240234
15,141,3260.4307,-0.04050854,39.399998,0.007573366165161133
16,151,3407.271,-0.04050854,41.02,0.0073206424713134766
17,161,3539.9155,-0.04050854,42.46,0.007119894027709961
18,171,3664.255,-0.04050854,43.8,0.005856513977050781
19,181,3762.7202,-0.03871036,44.809998,0.0073397159576416016
20,191,3868.6782,-0.036460232,45.93,0.007286548614501953
21,201,3970.0144,-0.036460232,46.98,0.004269838333129883
22,211,4080.7932,-0.036460232,48.149998,0.0068814754486083984
23,221,4199.0225,-0.036460232,49.399998,0.0071446895599365234
24,231,4303.049,-0.036460232,50.48,0.007559776306152344
25,241,4408.7456,-0.031051297,51.57,0.0073320865631103516
26,251,4495.6206,-0.031051297,52.449997,0.005938291549682617
27,261,4584.922,-0.031051297,53.35,0.005669116973876953
28,271,4661.158,-0.031051297,54.12,0.006144046783447266
29,281,4740.979,-0.031051297,54.92,0.006224393844604492
30,291,4813.586,-0.031051297,55.629997,0.006059885025024414
31,301,4900.751,-0.031051297,56.51,0.005690813064575195
32,311,4970.9688,-0.031051297,57.199997,0.005768299102783203
33,321,5048.541,-0.031051297,57.98,0.005881786346435547
34,331,5114.186,-0.031051297,58.629997,0.0073833465576171875
35,341,5177.4854,-0.031051297,59.239998,0.0061168670654296875
36,351,5235.5176,-0.031051297,59.8,0.006403684616088867
37,361,5303.449,-0.031051297,60.48,0.0065495967864990234
38,371,5375.8257,-0.031051297,61.199997,0.006268024444580078
39,381,5425.2144,-0.031051297,61.67,0.007167816162109375
40,391,5477.775,-0.031051297,62.18,0.0068399906158447266
41,401,5533.158,-0.031051297,62.71,0.006097555160522461
42,411,5586.645,-0.031051297,63.21,0.010128974914550781
43,421,5648.0684,-0.031051297,63.82,0.004419803619384766
44,431,5695.148,-0.031051297,64.27,0.0072231292724609375
45,441,5744.632,-0.012078266,64.74,0.006993770599365234
46,451,5795.5137,-0.012078266,65.229996,0.0076596736907958984
47,461,5840.074,-0.012078266,65.65,0.007348060607910156
48,471,5885.8633,-0.012078266,66.09,0.006854057312011719
49,481,5925.419,-0.012078266,66.45,0.006973981857299805
50,491,5969.6577,-0.012078266,66.86,0.007063388824462891
51,501,6002.0435,-0.012078266,67.159996,0.003869771957397461
52,511,6035.2783,-0.012078266,67.46,0.005966663360595703
53,521,6066.2646,-0.012078266,67.729996,0.006003618240356445
54,531,6103.4355,-0.012078266,68.07,0.004186868667602539
55,541,6143.595,-0.012078266,68.45,0.013142824172973633
56,551,6173.7075,-0.012078266,68.72,0.004166126251220703
57,561,6208.8765,-0.012078266,69.04,0.006458282470703125
58,571,6246.1494,-0.012078266,69.4,0.0065042972564697266
59,581,6276.701,-0.012078266,69.68,0.006856203079223633
60,591,6306.5,-0.012078266,69.95,0.007630109786987305
61,601,6336.7344,-0.012078266,70.22,0.007211923599243164
62,611,6361.24,-0.012078266,70.43,0.006506681442260742
63,621,6385.5923,-0.012078266,70.64,0.013926982879638672
64,631,6411.422,-0.012078266,70.86,0.006974458694458008
65,641,6441.7563,-0.012078266,71.14,0.0064640045166015625
66,651,6463.8184,-0.012078266,71.33,0.004067420959472656
67,661,6485.8916,-0.012078266,71.52,0.005808115005493164
68,671,6509.6304,-0.012078266,71.729996,0.007020473480224609
69,681,6528.531,-0.012078266,71.89,0.007329702377319336
70,691,6563.567,-0.012078266,72.22,0.007141828536987305
71,701,6579.319,-0.012078266,72.34,0.005420684814453125
72,711,6598.2783,-0.012078266,72.5,0.004273653030395508
73,721,6629.0864,-0.012078266,72.79,0.0055081844329833984
74,731,6655.3896,-0.012078266,73.04,0.004900932312011719
75,741,6680.1157,-0.012078266,73.26,0.003661632537841797
