loop,iteration,qd_score,max_fitness,coverage,time
1,1,597.34735,-0.11485017,8.0,2.3540048599243164
2,11,2327.8496,-0.06271806,29.4,0.01914048194885254
3,21,3358.3257,-0.046074614,40.93,0.01905536651611328
4,31,4181.3936,-0.043406267,49.69,0.0189359188079834
5,41,4842.721,-0.04253027,56.449997,0.018833637237548828
6,51,5325.3706,-0.03850209,61.19,0.018686532974243164
7,61,5696.517,-0.03485461,64.64,0.018418073654174805
8,71,5967.128,-0.02771354,67.02,0.018621444702148438
9,81,6211.0713,-0.02771354,69.15,0.019007444381713867
10,91,6383.6426,-0.02771354,70.58,0.018963336944580078
11,101,6543.771,-0.023188418,71.92,0.018631458282470703
12,111,6654.5757,-0.019459387,72.78,0.019083261489868164
13,121,6749.558,-0.019459387,73.49,0.018871307373046875
14,131,6830.989,-0.019459387,74.09,0.0189359188079834
15,141,6890.408,-0.019459387,74.49,0.018935203552246094
16,151,6952.705,-0.019459387,74.95,0.01860332489013672
17,161,7002.5293,-0.019459387,75.299995,0.018700122833251953
18,171,7043.3076,-0.019459387,75.58,0.018655776977539062
19,181,7082.466,-0.019414593,75.85,0.01767420768737793
20,191,7117.4336,-0.015907364,76.1,0.018842697143554688
21,201,7152.804,-0.015907364,76.36,0.018512725830078125
22,211,7175.1353,-0.015907364,76.49,0.018563270568847656
23,221,7199.268,-0.015907364,76.65,0.018704891204833984
24,231,7221.351,-0.015907364,76.799995,0.018633365631103516
25,241,7237.8994,-0.014141735,76.89,0.018297433853149414
26,251,7253.4746,-0.014141735,76.979996,0.018473148345947266
27,261,7269.0903,-0.013027095,77.08,0.03177666664123535
28,271,7287.4683,-0.013027095,77.21,0.031418800354003906
29,281,7297.488,-0.013027095,77.259995,0.028343677520751953
30,291,7311.4185,-0.013027095,77.36,0.031745195388793945
31,301,7324.985,-0.013027095,77.45,0.0321650505065918
32,311,7332.92,-0.0078034075,77.49,0.03118729591369629
33,321,7341.892,-0.0078034075,77.54,0.03221631050109863
34,331,7352.8174,-0.0078034075,77.619995,0.0306093692779541
35,341,7361.9424,-0.0078034075,77.68,0.030976057052612305
36,351,7369.8,-0.0078034075,77.729996,0.029854536056518555
37,361,7374.971,-0.0078034075,77.75,0.03188323974609375
38,371,7382.658,-0.0078034075,77.799995,0.03197193145751953
39,381,7390.9736,-0.0078034075,77.86,0.03331494331359863
40,391,7400.0347,-0.0078034075,77.93,0.032193899154663086
41,401,7405.336,-0.0078034075,77.96,0.03176546096801758
42,411,7413.034,-0.0078034075,78.02,0.033349037170410156
43,421,7417.101,-0.0078034075,78.04,0.03250932693481445
44,431,7421.792,-0.0078034075,78.07,0.03200268745422363
45,441,7429.868,-0.0078034075,78.14,0.03196573257446289
46,451,7434.6924,-0.0078034075,78.17,0.023551225662231445
47,461,7439.1714,-0.0078034075,78.2,0.029974937438964844
48,471,7444.824,-0.0078034075,78.24,0.02878093719482422
49,481,7449.244,-0.0070407526,78.27,0.028316974639892578
50,491,7454.23,-0.0070407526,78.31,0.028089046478271484
51,501,7458.4956,-0.0070407526,78.34,0.029993534088134766
52,511,7458.5557,-0.0070407526,78.34,0.06297111511230469
53,521,7458.595,-0.0070407526,78.34,0.06313061714172363
54,531,7458.633,-0.0070407526,78.34,0.06408405303955078
55,541,7458.677,-0.0070407526,78.34,0.06360912322998047
56,551,7460.527,-0.0070407526,78.36,0.06496548652648926
57,561,7462.396,-0.0070407526,78.38,0.06591153144836426
58,571,7463.417,-0.0070407526,78.39,0.06385612487792969
59,581,7464.2627,-0.0070407526,78.4,0.06413054466247559
60,591,7465.253,-0.0070407526,78.409996,0.06239795684814453
61,601,7467.209,-0.0070407526,78.43,0.06270122528076172
62,611,7469.8223,-0.0070407526,78.46,0.061860084533691406
63,621,7475.1934,-0.0070407526,78.52,0.06321430206298828
64,631,7477.007,-0.0070407526,78.54,0.06310796737670898
65,641,7480.6924,-0.0070407526,78.58,0.06320929527282715
66,651,7487.8784,0.024595048,78.659996,0.06385540962219238
67,661,7495.0444,0.024595048,78.74,0.06277799606323242
68,671,7500.4453,0.024595048,78.799995,0.06001114845275879
69,681,7505.738,0.024595048,78.86,0.0653390884399414
70,691,7517.3774,0.024595048,78.99,0.06455183029174805
71,701,7528.419,0.03511349,79.11,0.06468796730041504
72,711,7540.054,0.03511349,79.24,0.06559300422668457
73,721,7545.7,0.03511349,79.299995,0.06636810302734375
74,731,7557.4443,0.03511349,79.43,0.06620049476623535
75,741,7568.873,0.03511349,79.56,0.06668615341186523
76,751,7583.2964,0.03511349,79.72,0.06479573249816895
77,761,7618.5,0.03511349,80.09,0.0639028549194336
78,771,7655.496,0.03511349,80.49,0.06203770637512207
79,781,7697.5703,0.03511349,80.95,0.06354475021362305
80,791,7719.1025,0.03511349,81.18,0.05971336364746094
81,801,7743.208,0.03511349,81.439995,0.06099534034729004
82,811,7761.1396,0.03511349,81.63,0.061064720153808594
83,821,7773.4624,0.03511349,81.759995,0.0646054744720459
84,831,7789.25,0.03511349,81.93,0.06151294708251953
85,841,7806.712,0.03511349,82.119995,0.0610041618347168
86,851,7828.4756,0.03511349,82.36,0.06535911560058594
87,861,7846.836,0.03511349,82.56,0.06000685691833496
88,871,7861.5005,0.03511349,82.72,0.053739309310913086
89,881,7876.9805,0.03511349,82.89,0.0665578842163086
90,891,7892.5454,0.03511349,83.06,0.07205343246459961
91,901,7917.062,0.03511349,83.33,0.059442996978759766
92,911,7937.649,0.03511349,83.56,0.06136751174926758
93,921,7966.3906,0.03511349,83.88,0.05985760688781738
94,931,7983.74,0.03511349,84.07,0.05758213996887207
95,941,8005.092,0.03511349,84.31,0.0574190616607666
96,951,8026.749,0.03511349,84.549995,0.06001400947570801
97,961,8048.4062,0.03511349,84.79,0.05918455123901367
98,971,8070.826,0.03511349,85.04,0.05823326110839844
99,981,8095.4194,0.03511349,85.31,0.05506753921508789
100,991,8116.1177,0.03511349,85.54,0.05984377861022949
101,1001,8132.634,0.03511349,85.72,0.05952906608581543
102,1011,8139.382,0.03511349,85.79,0.07084417343139648
