loop,iteration,qd_score,max_fitness,coverage,time
1,1,525.58716,-0.08325512,7.0599995,3.7443370819091797
2,11,1640.1985,-0.058098093,20.61,1.3397777080535889
3,21,2336.7935,-0.045952886,28.349998,1.430945873260498
4,31,2894.6494,-0.046199575,34.34,1.3780975341796875
5,41,3291.1934,-0.043823507,38.39,1.3489165306091309
6,51,3559.5632,-0.034768526,40.95,1.4064507484436035
7,61,3841.9355,-0.030026628,43.73,1.3952703475952148
8,71,4039.224,-0.015757639,45.54,1.5205588340759277
9,81,4101.137,-0.017189316,45.85,1.105679988861084
10,91,4232.517,-0.014028025,47.01,0.9518566131591797
11,101,4344.1445,-0.013800449,47.98,1.3888170719146729
12,111,4409.175,-0.013653271,48.44,1.263002634048462
13,121,4418.368,-0.012291716,48.31,0.9228296279907227
14,131,4501.458,-0.00854275,49.019997,1.4130918979644775
15,141,4511.4336,-4.0793064e-05,48.96,1.4797630310058594
16,151,4552.062,0.00035661896,49.269997,1.2431988716125488
17,161,4618.446,-0.00013809284,49.879997,1.396052598953247
18,171,4594.2812,0.0014802341,49.489998,1.4242053031921387
19,181,4636.174,0.0011978392,49.859997,1.424067735671997
20,191,4612.424,0.0012497896,49.519997,1.3720953464508057
21,201,4596.958,0.0007586928,49.249996,1.32600736618042
22,211,4651.1636,0.0020025023,49.789997,1.3884930610656738
23,221,4678.036,0.001199349,50.010002,1.3016035556793213
24,231,4614.8374,0.0012828873,49.28,1.3803484439849854
25,241,4625.293,0.0013811982,49.319996,1.389023780822754
26,251,4605.4004,0.0012137388,49.079998,0.9156324863433838
27,261,4633.907,0.0018266755,49.329998,1.3968837261199951
28,271,4599.31,0.0012246578,48.909996,1.4205684661865234
29,281,4583.771,0.0015196322,48.71,1.183048963546753
30,291,4614.739,0.0012003572,49.01,1.4690208435058594
31,301,4584.3613,0.0015370059,48.649998,1.3793599605560303
32,311,4580.5107,0.0014715361,48.57,1.360624074935913
33,321,4548.462,0.0012944327,48.2,1.4068472385406494
34,331,4597.9155,0.0023205138,48.71,1.5113680362701416
35,341,4613.3633,0.0019249133,48.859997,1.3416588306427002
36,351,4563.5557,0.0014953926,48.3,1.365462303161621
37,361,4579.9185,0.0013985327,48.45,1.461709976196289
38,371,4562.003,0.0014333519,48.25,1.3609471321105957
