loop,iteration,qd_score,max_fitness,coverage,time
1,1,626.2865,-0.102502234,8.38,2.8949499130249023
2,11,2433.1643,-0.022658033,30.74,0.01887345314025879
3,21,3540.7764,-0.02195029,43.239998,0.01913166046142578
4,31,4399.027,-0.01456712,52.309998,0.019102096557617188
5,41,5146.7964,-0.01456712,60.03,0.01932978630065918
6,51,5712.304,-0.01456712,65.71,0.019391775131225586
7,61,6183.2764,-0.01456712,70.32,0.019365310668945312
8,71,6593.212,-0.01456712,74.27,0.019925832748413086
9,81,6892.629,-0.01456712,77.009995,0.019012451171875
10,91,7134.633,-0.01456712,79.15,0.01932549476623535
11,101,7340.6055,-0.01456712,80.939995,0.033499956130981445
12,111,7516.254,-0.010724824,82.439995,0.019250869750976562
13,121,7652.036,-0.010724824,83.57,0.01945352554321289
14,131,7788.999,-0.006482142,84.72,0.01930689811706543
15,141,7900.189,-0.006482142,85.65,0.019391775131225586
16,151,7993.8013,0.00041970942,86.4,0.019580364227294922
17,161,8072.044,0.015263481,86.99,0.01961684226989746
18,171,8136.748,0.015263481,87.46,0.01914525032043457
19,181,8195.764,0.015263481,87.89,0.019195079803466797
20,191,8258.707,0.015263481,88.39,0.019243955612182617
21,201,8306.347,0.015263481,88.74,0.019413471221923828
22,211,8346.856,0.015263481,89.02,0.019240140914916992
23,221,8380.221,0.015263481,89.24,0.01961374282836914
24,231,8421.047,0.022383181,89.54,0.01914668083190918
25,241,8461.625,0.022383181,89.85,0.019425392150878906
26,251,8500.504,0.022383181,90.159996,0.019158124923706055
27,261,8533.597,0.022383181,90.4,0.01943826675415039
28,271,8564.348,0.022383181,90.63,0.019418716430664062
29,281,8590.946,0.022383181,90.82,0.01932072639465332
30,291,8620.468,0.022383181,91.049995,0.019187211990356445
31,301,8637.727,0.022383181,91.15,0.032970428466796875
32,311,8659.465,0.022383181,91.299995,0.01899266242980957
33,321,8678.531,0.025930692,91.42,0.03349113464355469
34,331,8692.032,0.025930692,91.49,0.03010249137878418
35,341,8708.609,0.025930692,91.6,0.018735885620117188
36,351,8725.771,0.025930692,91.71,0.03165125846862793
37,361,8740.754,0.026267342,91.81,0.01903843879699707
38,371,8757.057,0.026267342,91.93,0.018957138061523438
39,381,8767.823,0.026267342,91.99,0.03098917007446289
40,391,8780.276,0.026267342,92.07,0.018897533416748047
41,401,8795.283,0.026267342,92.18,0.031153440475463867
42,411,8812.032,0.027960347,92.31,0.03231668472290039
43,421,8824.923,0.027960347,92.4,0.03271627426147461
44,431,8836.525,0.027960347,92.479996,0.03257346153259277
45,441,8849.032,0.027960347,92.57,0.03206324577331543
46,451,8859.766,0.027960347,92.64,0.03450894355773926
47,461,8869.462,0.03262692,92.7,0.02460026741027832
48,471,8879.914,0.03262692,92.77,0.03324270248413086
49,481,8885.901,0.03262692,92.79,0.030458450317382812
50,491,8898.37,0.03262692,92.89,0.018896818161010742
51,501,8906.111,0.03262692,92.939995,0.018164873123168945
52,511,8910.519,0.03262692,92.99,0.12764549255371094
53,521,8912.385,0.03262692,93.009995,0.1267697811126709
54,531,8914.2,0.03262692,93.03,0.1284942626953125
55,541,8917.691,0.03262692,93.07,0.12335634231567383
56,551,8921.196,0.03262692,93.11,0.13203644752502441
57,561,8925.531,0.03262692,93.159996,0.12365579605102539
58,571,8927.291,0.03262692,93.18,0.1305856704711914
59,581,8929.07,0.03262692,93.2,0.12389111518859863
60,591,8929.988,0.03262692,93.21,0.13101506233215332
61,601,8931.802,0.03262692,93.229996,0.13493871688842773
62,611,8931.847,0.03262692,93.229996,0.1304159164428711
63,621,8932.752,0.03262692,93.24,0.1372220516204834
64,631,8937.113,0.03262692,93.29,0.12665963172912598
65,641,8938.016,0.03262692,93.299995,0.13023734092712402
66,651,8938.897,0.03262692,93.31,0.12635040283203125
67,661,8941.477,0.03262692,93.34,0.12829113006591797
68,671,8943.203,0.03262692,93.36,0.13018798828125
69,681,8944.067,0.03262692,93.369995,0.128709077835083
70,691,8945.796,0.03262692,93.39,0.1904594898223877
71,701,8948.374,0.03262692,93.42,0.20865797996520996
72,711,8949.337,0.03262692,93.43,0.1885683536529541
73,721,8950.257,0.03262692,93.439995,0.2043609619140625
74,731,8950.291,0.03262692,93.439995,0.21119332313537598
75,741,8951.171,0.03262692,93.45,0.20575332641601562
76,751,8951.226,0.03262692,93.45,0.2010633945465088
77,761,8958.498,0.03262692,93.52,0.11749529838562012
78,771,8969.464,0.03262692,93.64,0.11637306213378906
79,781,8980.319,0.03262692,93.759995,0.12041854858398438
80,791,8989.388,0.03262692,93.86,0.11574912071228027
81,801,9006.491,0.03262692,94.049995,0.12079310417175293
82,811,9012.916,0.03262692,94.119995,0.11615514755249023
83,821,9029.169,0.03262692,94.299995,0.11528372764587402
84,831,9040.065,0.03262692,94.42,0.11273646354675293
85,841,9049.477,0.03262692,94.52,0.11502814292907715
86,851,9056.21,0.03262692,94.59,0.11106491088867188
87,861,9061.766,0.03262692,94.65,0.12894940376281738
88,871,9070.828,0.03262692,94.75,0.2084660530090332
89,881,9078.235,0.03262692,94.829994,0.1867232322692871
90,891,9081.97,0.03262692,94.869995,0.1995539665222168
91,901,9087.583,0.03262692,94.93,0.18586397171020508
92,911,9094.087,0.03262692,95.0,0.20995473861694336
93,921,9101.436,0.03262692,95.079994,0.20670151710510254
