loop,iteration,qd_score,max_fitness,coverage,time
1,1,609.45325,-0.08423292,8.16,3.6439058780670166
2,11,2218.3843,-0.072517276,28.039997,1.326700210571289
3,21,3255.646,-0.057022303,39.719997,1.3252942562103271
4,31,4023.6514,-0.0321512,47.87,1.3240537643432617
5,41,4666.2144,-0.0321512,54.55,1.317190170288086
6,51,5177.4834,-0.03138607,59.66,1.3251454830169678
7,61,5569.5254,-0.03138607,63.449997,1.3201470375061035
8,71,5876.6123,-0.024138834,66.25,1.3234176635742188
9,81,6136.5615,-0.024138834,68.579994,1.3202178478240967
10,91,6318.7734,-0.019228932,70.11,1.329063892364502
11,101,6500.0645,-0.009244697,71.65,1.295698642730713
12,111,6625.788,-0.009244697,72.64,1.230170488357544
13,121,6715.4966,-0.009244697,73.28999,1.3112478256225586
14,131,6811.4497,-0.009244697,74.03,1.311495304107666
15,141,6888.913,-0.009244697,74.59,1.3207130432128906
16,151,6946.041,-0.009244697,74.97,1.3115792274475098
17,161,6993.7026,-0.009244697,75.259995,1.3219120502471924
18,171,7038.953,0.0,75.57,1.3048834800720215
19,181,7077.2104,0.0,75.83,1.2949316501617432
20,191,7111.52,0.0,76.06,1.3072509765625
21,201,7147.8413,0.0,76.32,1.3191962242126465
22,211,7176.9893,0.0,76.51,1.3410205841064453
23,221,7205.4,0.0,76.71,1.3241961002349854
24,231,7231.079,0.0,76.9,1.325824499130249
25,241,7251.8184,0.0,77.04,1.327120065689087
26,251,7275.963,0.0,77.22,1.3278098106384277
27,261,7293.3984,0.0,77.340004,1.357243537902832
28,271,7308.1787,0.0,77.43,1.3308212757110596
29,281,7320.1055,0.0,77.5,1.323077917098999
30,291,7331.514,0.0,77.57,1.3191003799438477
31,301,7342.2397,0.0,77.64,1.3198318481445312
32,311,7356.9863,0.0,77.75,1.3173940181732178
33,321,7366.87,0.0,77.81,1.3170642852783203
34,331,7374.3765,0.0,77.85,1.3121616840362549
35,341,7382.416,0.0,77.9,1.3053536415100098
36,351,7389.751,0.0,77.94,1.3051207065582275
37,361,7400.352,0.0,78.020004,1.320366382598877
38,371,7405.906,0.0,78.05,1.3259406089782715
39,381,7415.8438,0.0,78.13,1.3115973472595215
40,391,7422.075,0.0,78.17,1.3042213916778564
41,401,7430.783,0.0,78.24,1.2860491275787354
42,411,7438.826,0.0,78.3,1.1946537494659424
43,421,7442.0044,0.0,78.31,1.2910563945770264
44,431,7447.7104,0.0,78.35,1.2726061344146729
45,441,7449.7783,0.0,78.35,1.2706153392791748
46,451,7454.3784,0.0,78.38,1.2929458618164062
47,461,7459.89,0.0,78.42,1.2926785945892334
48,471,7461.637,0.0,78.42,1.0425796508789062
49,481,7463.2554,0.0,78.42,1.3208019733428955
50,491,7465.7983,0.0,78.43,1.3079335689544678
51,501,7468.2344,0.0,78.44,1.0479083061218262
52,511,1274.3191,0.0,13.82,1.3111112117767334
53,521,1422.5552,0.0,15.58,1.3436992168426514
54,531,1481.3916,0.0,16.32,1.3072550296783447
55,541,1518.3827,0.0,16.82,1.3130719661712646
56,551,1557.4697,0.0,17.34,1.29475736618042
57,561,1586.1914,0.0,17.73,1.3090922832489014
58,571,1614.8037,0.0,18.119999,1.3247520923614502
59,581,1630.7817,0.0,18.359999,0.7779078483581543
60,591,1645.001,0.0,18.57,1.3561861515045166
61,601,1647.1354,0.0,18.63,1.361405372619629
62,611,1649.7242,0.0,18.689999,1.332162857055664
63,621,1662.4819,0.0,18.89,1.3428292274475098
64,631,1677.1975,0.0,19.11,1.1927497386932373
65,641,1671.2107,0.0,19.06,0.76969313621521
66,651,1681.425,0.0,19.22,1.3304786682128906
67,661,1690.7446,0.0,19.36,1.3692193031311035
68,671,1700.6252,0.0,19.5,1.3821794986724854
69,681,1702.7559,0.0,19.57,1.3078415393829346
70,691,1705.9679,0.0,19.64,1.3030924797058105
71,701,1709.1017,0.0,19.689999,1.3065447807312012
72,711,1700.5459,0.0,19.61,1.3030812740325928
73,721,1689.3949,0.0,19.48,1.282468557357788
74,731,1694.2671,0.0,19.57,1.3032803535461426
75,741,1702.4001,0.0,19.689999,1.2970757484436035
76,751,1713.8193,0.0,19.849998,0.752349853515625
77,761,774.1916,0.0,9.0,1.0185494422912598
78,771,843.6997,0.0,9.929999,1.289592981338501
79,781,911.2764,0.0,10.86,0.8885164260864258
