loop,iteration,qd_score,max_fitness,coverage,time
1,1,609.45325,-0.08423292,8.16,5.700955152511597
2,11,2218.3843,-0.072517276,28.039999,0.0349278450012207
3,21,3255.646,-0.057022303,39.719997,0.034735918045043945
4,31,4023.6514,-0.0321512,47.87,0.03455400466918945
5,41,4666.2144,-0.0321512,54.55,0.0345916748046875
6,51,5178.306,-0.03138607,59.67,0.03655409812927246
7,61,5570.3477,-0.03138607,63.46,0.036374807357788086
8,71,5877.4756,-0.024138834,66.26,0.03528547286987305
9,81,6136.5615,-0.024138834,68.58,0.034356117248535156
10,91,6318.7734,-0.019228932,70.11,0.03675246238708496
11,101,6500.0645,-0.009244697,71.65,0.036035776138305664
12,111,6626.6904,-0.009244697,72.65,0.033965110778808594
13,121,6715.4966,-0.009244697,73.29,0.033086538314819336
14,131,6811.4497,-0.009244697,74.03,0.034070491790771484
15,141,6888.913,-0.009244697,74.59,0.03402996063232422
16,151,6946.9775,-0.009244697,74.979996,0.03640389442443848
17,161,6993.7026,-0.009244697,75.259995,0.03618621826171875
18,171,7038.953,-0.0,75.57,0.0354456901550293
19,181,7077.2104,-0.0,75.83,0.03598308563232422
20,191,7111.52,-0.0,76.06,0.035840511322021484
21,201,7147.8413,-0.0,76.32,0.0363466739654541
22,211,7176.9893,-0.0,76.509995,0.03653883934020996
23,221,7205.4,-0.0,76.71,0.03452706336975098
24,231,7231.079,-0.0,76.9,0.034279584884643555
25,241,7251.8184,-0.0,77.04,0.034587860107421875
26,251,7275.963,-0.0,77.22,0.03446674346923828
27,261,7293.3984,-0.0,77.34,0.03652501106262207
28,271,7308.1787,-0.0,77.43,0.036920785903930664
29,281,7320.1055,-0.0,77.5,0.034325599670410156
30,291,7331.514,-0.0,77.57,0.034465789794921875
31,301,7342.2397,-0.0,77.64,0.03419852256774902
32,311,7356.9863,-0.0,77.75,0.03433871269226074
33,321,7366.87,-0.0,77.81,0.034620046615600586
34,331,7374.3765,-0.0,77.85,0.03452944755554199
35,341,7382.416,-0.0,77.9,0.03406691551208496
36,351,7389.751,-0.0,77.939995,0.03446197509765625
37,361,7400.352,-0.0,78.02,0.03640437126159668
38,371,7405.906,-0.0,78.049995,0.03627300262451172
39,381,7415.8438,-0.0,78.13,0.03608202934265137
40,391,7422.075,-0.0,78.17,0.035974979400634766
41,401,7430.783,-0.0,78.24,0.034485578536987305
42,411,7438.826,-0.0,78.299995,0.03259396553039551
43,421,7442.0044,-0.0,78.31,0.03277444839477539
44,431,7447.7104,-0.0,78.35,0.03368568420410156
45,441,7449.7783,-0.0,78.35,0.03343653678894043
46,451,7454.3784,-0.0,78.38,0.03345155715942383
47,461,7459.89,-0.0,78.42,0.03614616394042969
48,471,7461.637,-0.0,78.42,0.02073216438293457
49,481,7463.2554,-0.0,78.42,0.03442859649658203
50,491,7465.7983,-0.0,78.43,0.03398418426513672
51,501,941.64185,-0.018933404,10.32,0.03417205810546875
52,511,1892.7404,-0.013904877,20.939999,0.07816028594970703
53,521,2789.205,0.0124178305,30.92,0.08468079566955566
54,531,3302.0808,0.01571694,36.57,0.08804011344909668
55,541,3577.0483,0.022609003,39.53,0.08707952499389648
56,551,3780.812,0.043725856,41.73,0.08455371856689453
57,561,3949.1619,0.043725856,43.55,0.07621550559997559
58,571,4091.4734,0.043725856,45.09,0.0746603012084961
59,581,4219.3086,0.043725856,46.469997,0.06375312805175781
60,591,4306.4116,0.043725856,47.39,0.07516050338745117
61,601,4395.307,0.043725856,48.329998,0.07353544235229492
62,611,4477.942,0.043725856,49.219997,0.07610487937927246
63,621,4547.9917,0.043725856,49.96,0.07403731346130371
64,631,4615.4795,0.043725856,50.68,0.0749051570892334
65,641,4678.2266,0.043725856,51.34,0.05057692527770996
66,651,4739.2046,0.043725856,51.98,0.05181717872619629
67,661,4782.639,0.043725856,52.43,0.08306169509887695
68,671,4826.1626,0.043725856,52.89,0.07434272766113281
69,681,4874.9307,0.043725856,53.41,0.07448816299438477
70,691,4923.083,0.043725856,53.92,0.07347941398620605
71,701,4971.08,0.043725856,54.42,0.08210992813110352
72,711,5003.335,0.043725856,54.75,0.07506680488586426
73,721,5049.9487,0.043725856,55.25,0.07213354110717773
74,731,5095.665,0.043725856,55.739998,0.08138585090637207
75,741,5138.495,0.043725856,56.19,0.07234954833984375
76,751,880.076,-0.03227844,9.73,0.0834817886352539
77,761,1168.8054,-0.03227844,12.889999,0.04932284355163574
78,771,1334.8395,-0.03227844,14.7,0.0735781192779541
79,781,1468.6326,-0.03227844,16.16,0.07248902320861816
80,791,1567.1487,-0.03227844,17.23,0.07191824913024902
81,801,1675.4839,-0.03203356,18.42,0.07239151000976562
82,811,1751.1611,-0.03081588,19.24,0.07178902626037598
83,821,1821.1895,-0.02635225,20.0,0.0742654800415039
84,831,1884.3424,-0.02161552,20.689999,0.07276225090026855
85,841,1943.6428,-0.02161552,21.34,0.07204794883728027
86,851,1982.1423,-0.02161552,21.75,0.0869441032409668
87,861,2023.6338,-0.02161552,22.199999,0.07224822044372559
88,871,2074.5034,-0.017082099,22.75,0.07224154472351074
89,881,2121.2434,-0.017082099,23.26,0.07268118858337402
90,891,2165.2034,-0.014598208,23.74,0.07282257080078125
91,901,2201.9834,-0.014598208,24.14,0.07296490669250488
92,911,2239.8298,-0.011044268,24.55,0.07256531715393066
93,921,2267.3884,-0.011044268,24.85,0.04924488067626953
94,931,2298.476,-0.011044268,25.189999,0.04957270622253418
95,941,2315.3982,-0.011044268,25.369999,0.050061941146850586
96,951,2350.316,-0.011044268,25.75,0.0489649772644043
97,961,2382.6863,-0.011044268,26.099998,0.04909563064575195
98,971,2409.7766,-0.011044268,26.39,0.0494842529296875
99,981,2433.5393,-0.010491432,26.65,0.04853487014770508
100,991,2461.7693,-0.010491432,26.96,0.049228668212890625
101,1001,644.28455,-0.04897969,7.37,0.07280731201171875
102,1011,953.72034,-0.033694662,10.73,0.06001543998718262
103,1021,1135.6464,-0.02976939,12.679999,0.0827019214630127
104,1031,1257.4708,-0.02976939,13.99,0.07740902900695801
105,1041,1334.2678,-0.02368636,14.799999,0.0765233039855957
106,1051,1400.3259,-0.02368636,15.509999,0.07657313346862793
107,1061,1465.347,-0.02368636,16.22,0.07639789581298828
108,1071,1515.5726,-0.02368636,16.76,0.07683944702148438
109,1081,1554.9835,-0.02368636,17.18,0.07689929008483887
110,1091,1582.3464,-0.021695936,17.47,0.07599711418151855
111,1101,1616.8715,-0.021695936,17.85,0.07409811019897461
112,1111,1646.1958,-0.021695936,18.17,0.07441329956054688
113,1121,1665.6459,-0.021695936,18.369999,0.07297921180725098
114,1131,1685.0686,-0.021695936,18.58,0.07330822944641113
115,1141,1704.6113,-0.021695936,18.789999,0.0738990306854248
116,1151,1724.1598,-0.021695936,19.0,0.07325935363769531
117,1161,1744.8108,-0.021695936,19.22,0.07319092750549316
118,1171,1764.0424,-0.021695936,19.43,0.07660794258117676
119,1181,1777.481,-0.021695936,19.57,0.07717299461364746
120,1191,1793.0525,-0.021695936,19.74,0.08546996116638184
121,1201,1799.7554,-0.021695936,19.81,0.08478903770446777
122,1211,1813.9446,-0.021695936,19.96,0.08559656143188477
123,1221,1828.24,-0.021695936,20.119999,0.08398866653442383
124,1231,1844.1787,-0.021695936,20.3,0.08489871025085449
125,1241,1852.555,-0.021695936,20.39,0.07580852508544922
126,1251,820.2203,-0.060190212,9.46,0.09113407135009766
127,1261,1178.4785,-0.051156133,13.41,0.04495596885681152
128,1271,1306.638,-0.051156133,14.79,0.043340206146240234
129,1281,1394.8568,-0.051156133,15.73,0.04935598373413086
130,1291,1464.6382,-0.04808203,16.48,0.04362010955810547
131,1301,1509.0098,-0.04643549,16.949999,0.0454404354095459
132,1311,1542.325,-0.04415485,17.279999,0.04443550109863281
133,1321,1575.7131,-0.04415485,17.63,0.04460334777832031
134,1331,1603.3229,-0.04415485,17.92,0.044245243072509766
135,1341,1630.9268,-0.04415485,18.21,0.027252197265625
136,1351,1652.6166,-0.04415485,18.44,0.027302026748657227
137,1361,1675.6857,-0.04415485,18.68,0.02959918975830078
138,1371,1693.9026,-0.04415485,18.869999,0.043830156326293945
139,1381,1728.8757,-0.04415485,19.25,0.04379916191101074
140,1391,1747.352,-0.043446466,19.439999,0.04336857795715332
141,1401,1759.8444,-0.043446466,19.57,0.04242968559265137
142,1411,1775.7002,-0.043128043,19.73,0.04329824447631836
143,1421,1790.1478,-0.043128043,19.88,0.04361677169799805
144,1431,1800.9548,-0.043128043,19.99,0.043541908264160156
145,1441,1810.6569,-0.043128043,20.09,0.04354095458984375
146,1451,1822.544,-0.043128043,20.21,0.043669939041137695
147,1461,1833.1431,-0.043128043,20.32,0.043070316314697266
148,1471,1846.4923,-0.043128043,20.46,0.043268680572509766
149,1481,1853.3386,-0.043128043,20.529999,0.04298663139343262
150,1491,1864.1045,-0.03672415,20.64,0.04324841499328613
151,1501,738.35645,-0.057284124,8.559999,0.04440474510192871
152,1511,980.3443,-0.054149006,11.23,0.04986119270324707
153,1521,1074.4645,-0.05127722,12.24,0.04844188690185547
154,1531,1128.322,-0.047860563,12.809999,0.04830050468444824
155,1541,1169.9135,-0.047860563,13.259999,0.04850411415100098
156,1551,1207.8649,-0.047860563,13.67,0.04983067512512207
157,1561,1236.0148,-0.047860563,13.969999,0.04886770248413086
158,1571,1264.5026,-0.047860563,14.28,0.047811269760131836
159,1581,1285.2722,-0.047860563,14.5,0.04942822456359863
160,1591,1307.3762,-0.0475426,14.74,0.04842996597290039
161,1601,1326.0818,-0.0475426,14.94,0.048452138900756836
162,1611,1340.714,-0.046352535,15.099999,0.048871755599975586
163,1621,1356.554,-0.043081492,15.2699995,0.04922938346862793
164,1631,1372.5566,-0.043081492,15.44,0.0486600399017334
165,1641,1389.9452,-0.042680413,15.63,0.048586368560791016
166,1651,1402.871,-0.042680413,15.7699995,0.04933285713195801
167,1661,1414.8025,-0.042680413,15.9,0.048171281814575195
168,1671,1419.165,-0.042680413,15.94,0.04892539978027344
169,1681,1430.2251,-0.042680413,16.06,0.04930925369262695
170,1691,1440.4885,-0.042680413,16.17,0.049491167068481445
171,1701,1450.6947,-0.039392173,16.279999,0.048563480377197266
172,1711,1458.2233,-0.039392173,16.359999,0.048293113708496094
173,1721,1469.0917,-0.039392173,16.48,0.04749655723571777
174,1731,1473.9495,-0.039392173,16.529999,0.049430131912231445
175,1741,1481.3022,-0.039392173,16.609999,0.04911494255065918
176,1751,371.66946,-0.053028055,4.43,0.04782843589782715
