loop,iteration,qd_score,max_fitness,coverage,time
1,1,627.39294,-0.0867066,8.5,5.161825180053711
2,11,2315.7407,-0.050404187,29.5,0.036402225494384766
3,21,3388.6616,-0.039630216,41.67,0.034087181091308594
4,31,4261.1094,-0.039630216,51.1,0.03390169143676758
5,41,4980.865,-0.031392016,58.64,0.033505916595458984
6,51,5597.835,-0.02168524,64.93,0.03411746025085449
7,61,6061.2397,-0.017660214,69.45,0.03726005554199219
8,71,6459.161,-0.017520735,73.27,0.020138263702392578
9,81,6771.5576,0.010807698,76.119995,0.03374838829040527
10,91,7023.2407,0.010807698,78.35,0.03380560874938965
11,101,7247.449,0.010807698,80.34,0.03391242027282715
12,111,7434.894,0.010807698,81.96,0.033772945404052734
13,121,7590.408,0.010807698,83.25,0.03404808044433594
14,131,7726.001,0.010807698,84.36,0.03416085243225098
15,141,7853.1904,0.010807698,85.43,0.03404736518859863
16,151,7951.837,0.017721811,86.2,0.034053802490234375
17,161,8035.2896,0.017721811,86.85,0.033823490142822266
18,171,8111.2334,0.017721811,87.43,0.033907413482666016
19,181,8168.801,0.01792912,87.82,0.020208120346069336
20,191,8233.639,0.01792912,88.32,0.03400397300720215
21,201,8285.049,0.01792912,88.7,0.034030914306640625
22,211,8332.5205,0.01792912,89.049995,0.03392839431762695
23,221,8373.309,0.01792912,89.329994,0.03648734092712402
24,231,8414.904,0.01792912,89.63,0.03379559516906738
25,241,8458.431,0.019187761,89.96,0.02182626724243164
26,251,8486.774,0.019187761,90.13,0.03345489501953125
27,261,8516.955,0.019187761,90.329994,0.03573441505432129
28,271,8549.216,0.019187761,90.56,0.034151315689086914
29,281,8575.886,0.022071013,90.74,0.03386735916137695
30,291,8597.903,0.022071013,90.88,0.03385019302368164
31,301,8618.56,0.022071013,91.009995,0.033210039138793945
32,311,8645.478,0.023005372,91.21,0.03493213653564453
33,321,8662.322,0.023005372,91.31,0.03377342224121094
34,331,8678.113,0.023005372,91.4,0.03392744064331055
35,341,8696.847,0.024716303,91.52,0.034638404846191406
36,351,8716.672,0.024716303,91.67,0.034262657165527344
37,361,8737.38,0.024716303,91.829994,0.033952951431274414
38,371,8755.767,0.024716303,91.96,0.03418707847595215
39,381,8780.612,0.024716303,92.17,0.03598976135253906
40,391,8796.538,0.024716303,92.28,0.03448891639709473
41,401,8807.834,0.024716303,92.35,0.03401994705200195
42,411,8825.6,0.024716303,92.49,0.034316301345825195
43,421,8835.323,0.024716303,92.549995,0.03408455848693848
44,431,8845.11,0.024716303,92.61,0.034729957580566406
45,441,8856.451,0.024716303,92.689995,0.03416776657104492
46,451,8867.684,0.024716303,92.77,0.034121036529541016
47,461,8880.694,0.024716303,92.869995,0.0363311767578125
48,471,8892.23,0.024716303,92.96,0.0340120792388916
49,481,8904.297,0.024716303,93.049995,0.03418374061584473
50,491,8914.2705,0.024716303,93.119995,0.020226240158081055
51,501,1101.7085,-0.031851012,12.059999,0.0341191291809082
52,511,4322.4717,0.04029267,47.51,1.102278709411621
53,521,5468.416,0.069351986,59.89,0.8865635395050049
54,531,5890.3457,0.09716676,64.06,1.0651805400848389
55,541,6082.188,0.10329219,65.77,0.8561184406280518
56,551,6210.54,0.10376688,66.869995,1.0941801071166992
57,561,6307.453,0.10376688,67.67,1.0594840049743652
58,571,6388.1064,0.1062124,68.369995,1.060767650604248
59,581,6441.8594,0.10827246,68.79,1.0150947570800781
60,591,6496.14,0.11420493,69.229996,1.0495476722717285
61,601,6542.6113,0.11420493,69.61,0.6311242580413818
62,611,6581.6816,0.11420493,69.909996,1.0585360527038574
63,621,6614.3022,0.12151927,70.15,1.06284499168396
64,631,6646.599,0.12151927,70.4,0.6387031078338623
65,641,6673.957,0.12151927,70.6,0.6346397399902344
66,651,6697.3833,0.12151927,70.77,1.088144302368164
67,661,6725.285,0.12151927,71.0,0.6542034149169922
68,671,6744.515,0.12487281,71.14,1.0663704872131348
69,681,6765.4233,0.12870012,71.29,1.0620803833007812
70,691,6787.571,0.12870012,71.46,1.0596539974212646
71,701,6807.3833,0.12870012,71.619995,1.0627613067626953
72,711,6825.925,0.12881927,71.78,1.0581653118133545
73,721,6846.537,0.12881927,71.96,1.0630443096160889
74,731,6861.7593,0.12881927,72.08,0.6282699108123779
75,741,6884.285,0.12881927,72.28,1.0642211437225342
76,751,645.2303,-0.020745657,7.66,1.0533053874969482
77,761,1895.9595,0.005810678,20.619999,0.6193628311157227
78,771,2242.0305,0.017828226,24.09,1.037081003189087
79,781,2483.73,0.04053311,26.519999,1.0441946983337402
80,791,2675.5747,0.041852653,28.439999,1.03468656539917
81,801,2800.5957,0.051327944,29.689999,1.0442988872528076
82,811,2893.553,0.054571062,30.619999,0.6157341003417969
83,821,2978.8567,0.06588808,31.47,1.054429531097412
84,831,3042.4412,0.06588808,32.079998,0.6192812919616699
85,841,3094.7146,0.067441404,32.57,0.8641486167907715
86,851,3139.9656,0.07011452,33.0,0.617403507232666
87,861,3178.9878,0.07011452,33.37,1.0432870388031006
88,871,3221.735,0.07490182,33.78,1.0365877151489258
89,881,3255.0781,0.075992554,34.1,0.6281270980834961
90,891,3276.6472,0.075992554,34.3,1.0302143096923828
91,901,3303.4656,0.075992554,34.57,0.6162245273590088
92,911,3327.7627,0.075992554,34.809998,0.6167752742767334
93,921,3349.9697,0.07599369,35.03,1.0372366905212402
94,931,3373.8604,0.07599369,35.27,1.015547513961792
95,941,3385.1155,0.07599369,35.37,0.614971399307251
96,951,3395.1318,0.07599369,35.46,1.04067063331604
97,961,3411.9775,0.07599369,35.62,1.034027338027954
98,971,3427.3489,0.07599369,35.77,0.6281049251556396
99,981,3440.9656,0.07599369,35.899998,1.0407485961914062
100,991,3452.5645,0.07599369,36.01,0.86592698097229
101,1001,443.63995,-0.06972733,5.58,1.0359363555908203
102,1011,1791.0352,-0.0074080825,19.43,1.0696327686309814
103,1021,1988.317,0.00022300892,21.38,0.9551851749420166
104,1031,2063.0898,0.00022300892,22.1,0.6323022842407227
105,1041,2127.0986,0.010423243,22.72,1.0672779083251953
106,1051,2175.547,0.010423243,23.199999,1.067859172821045
107,1061,2215.1765,0.010994345,23.6,1.0719482898712158
108,1071,2238.6577,0.010994345,23.82,0.6570236682891846
109,1081,2255.3457,0.011954725,23.98,1.0588386058807373
110,1091,2281.255,0.011954725,24.24,0.638397216796875
