loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,431.005,-0.06608319,5.69,5.6662807,28.402445,6.3319480419158936
2,11,724.9304,-0.06622292,9.4,9.3803215,46.89675,1.96978759765625
3,21,950.70886,-0.061053667,12.139999,12.117693,60.616245,1.9958889484405518
4,31,1140.9015,-0.042556748,14.4,14.359848,71.75656,1.4884133338928223
5,41,1333.654,-0.043160878,16.699999,16.626568,83.25054,1.7470018863677979
6,51,1462.8273,-0.043149035,18.13,18.072214,90.4538,1.2330048084259033
7,61,1611.3447,-0.04407252,19.81,19.753633,98.67018,1.7284963130950928
8,71,1762.9102,-0.042424973,21.56,21.513111,107.58056,1.5236318111419678
9,81,1897.012,-0.043531,23.07,22.991795,115.12163,1.60752534866333
10,91,1983.6602,-0.043398075,23.98,23.915756,119.48148,2.375549554824829
11,101,2081.804,-0.0428352,25.029999,24.969547,124.8301,2.204019546508789
12,111,2202.2676,-0.04244716,26.4,26.323997,131.59479,2.315579414367676
13,121,2284.401,-0.043229647,27.24,27.116306,135.8655,1.926163673400879
14,131,2377.6218,-0.040933087,28.279999,28.18217,141.12814,2.113969564437866
15,141,2484.0352,-0.041588657,29.44,29.328281,146.64807,2.456719398498535
16,151,2531.7246,-0.04159784,29.889997,29.775608,148.94772,2.342193841934204
17,161,2616.2437,-0.033335254,30.8,30.698994,153.56787,2.6703877449035645
18,171,2714.371,-0.02907423,31.869999,31.759974,158.86893,2.414198398590088
19,181,2757.438,-0.018988907,32.25,32.14739,160.77777,1.4312245845794678
20,191,2849.526,-0.019571928,33.23,33.145863,165.66016,1.7992470264434814
21,201,2919.2612,-0.019400224,33.98,33.90811,169.48344,1.9448802471160889
22,211,2943.3374,-0.019021269,34.149998,34.06057,170.24734,1.5192208290100098
23,221,3010.994,-0.019277735,34.82,34.69091,173.70505,1.8995954990386963
24,231,3076.4946,-0.019412884,35.52,35.39482,176.97081,1.8446266651153564
25,241,3116.0059,-0.019256758,35.93,35.825035,179.06381,2.255662679672241
26,251,3180.0635,-0.019346049,36.609997,36.518112,182.67328,2.15744948387146
27,261,3208.07,-0.020214567,36.839996,36.729774,183.67435,2.6317694187164307
28,271,3299.1626,-0.019333247,37.86,37.76316,188.68625,2.0492398738861084
29,281,3346.1777,-0.019184375,38.3,38.16462,191.04272,2.271068811416626
30,291,3339.5588,-0.020258123,38.149998,38.019943,190.27359,1.8112406730651855
31,301,3382.9355,-0.01970898,38.58,38.428185,192.31606,1.6595759391784668
32,311,3448.435,-0.01924708,39.28,39.15563,195.78372,1.658531904220581
33,321,3498.3547,-0.019398255,39.769997,39.65217,198.32278,1.8145503997802734
34,331,3512.7139,-0.019855948,39.879997,39.726738,199.06386,1.9904530048370361
35,341,3556.7275,-0.019403616,40.309998,40.19541,201.06715,1.8894376754760742
36,351,3581.3176,-0.020549532,40.51,40.394196,201.95473,2.4019455909729004
37,361,3635.2812,-0.019445363,41.09,40.959805,204.87056,1.8300023078918457
38,371,3687.0312,-0.02049728,41.6,41.434284,207.33853,1.8838775157928467
39,381,3687.4832,-0.02032042,41.56,41.4584,207.31067,1.5451266765594482
40,391,3716.5625,-0.019536458,41.81,41.698467,208.43282,2.1743335723876953
41,401,3731.2102,-0.019247834,41.920002,41.789425,208.93723,2.158329963684082
42,411,3787.274,-0.01966305,42.51,42.405315,211.96225,1.9317035675048828
43,421,3821.3413,-0.02049657,42.839996,42.67486,213.6128,2.0861451625823975
44,431,3840.4084,-0.018894956,42.98,42.832523,214.16666,2.6436362266540527
45,441,3867.393,-0.020691842,43.23,43.083435,215.54114,2.5104074478149414
46,451,3904.3123,-0.01861775,43.64,43.539597,217.78351,2.143739700317383
47,461,3951.8994,-0.017874904,44.11,44.014015,220.0632,1.5177350044250488
48,471,3967.4956,-0.016386598,44.25,44.150436,220.55618,1.6290888786315918
49,481,3961.4436,-0.017030902,44.12,44.0441,220.0427,1.8099162578582764
50,491,4021.8862,-0.017065343,44.78,44.627472,223.04848,1.9072203636169434
51,501,3978.3977,-0.0029456662,44.26,44.15802,220.59822,2.040884256362915
52,511,4033.1821,-0.0027618585,44.79,44.668232,223.2326,2.569640874862671
53,521,4080.2412,-0.00064070366,45.27,45.144905,225.7655,3.071887254714966
54,531,4055.2344,0.000151025,44.95,44.83644,224.2294,2.452090263366699
55,541,4112.2773,0.00024620237,45.54,45.39161,227.26007,1.894643783569336
56,551,4118.699,0.0011574792,45.55,45.404015,227.13739,1.5403413772583008
57,561,4086.1704,-0.00056714355,45.18,45.02632,225.15396,1.301774263381958
58,571,4113.38,0.00036881794,45.44,45.34433,226.50365,1.8547847270965576
