loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,472.7011,-0.06372931,6.2799997,5.6671944,28.319962,8.749340295791626
2,11,835.02026,-0.06372931,10.92,9.876363,49.033585,6.460165739059448
3,21,1139.7007,-0.05815873,14.73,13.28416,65.80803,13.741185188293457
4,31,1408.6471,-0.046725597,18.01,16.314642,80.79152,8.025478601455688
5,41,1665.4202,-0.046725597,21.109999,19.138205,95.21692,12.106827735900879
6,51,1895.3767,-0.046725597,23.84,21.6851,107.251945,9.467322587966919
7,61,2112.561,-0.046725597,26.38,23.976406,118.24575,8.129505634307861
8,71,2328.8896,-0.04557638,28.88,26.264332,129.66678,8.50896954536438
9,81,2525.235,-0.04557638,31.13,28.402653,139.8888,10.94751524925232
10,91,2698.54,-0.04557638,33.07,30.036674,148.37431,17.128948211669922
11,101,2847.3616,-0.04557638,34.719997,31.498192,155.92387,7.99311637878418
12,111,2994.5786,-0.04557638,36.35,33.013016,163.35403,15.275330781936646
13,121,3149.9646,-0.045237426,38.059998,34.6024,171.28238,8.616715908050537
14,131,3296.9102,-0.044391453,39.69,36.04023,178.64917,8.400922536849976
15,141,3451.004,-0.044391453,41.41,37.54509,186.43253,8.425567150115967
16,151,3575.5808,-0.044391453,42.75,38.664085,192.62619,9.703208446502686
17,161,3687.7598,-0.025788715,43.94,39.71096,197.99173,10.128231287002563
18,171,3816.7593,-0.025788715,45.329998,40.913544,204.20966,8.88828730583191
19,181,3948.1626,-0.021282416,46.73,42.21582,210.84857,8.235862970352173
20,191,4062.2576,-0.021282416,47.94,43.28026,216.40508,8.494770050048828
21,201,4167.443,-0.021282416,49.039997,44.306545,221.33939,9.317930698394775
22,211,4278.7007,-0.021282416,50.21,45.434,226.40277,11.657895803451538
23,221,4390.919,-0.021282416,51.39,46.492798,231.5675,8.772096157073975
24,231,4490.5166,-0.021282416,52.43,47.478874,236.43039,7.127986907958984
25,241,4573.398,-0.021282416,53.28,48.16941,240.35364,14.91489028930664
26,251,4647.5093,-0.021282416,54.03,48.931236,244.0007,8.227341175079346
27,261,4729.4673,-0.021282416,54.879997,49.654457,248.05553,8.514710187911987
28,271,4814.1323,-0.021282416,55.76,50.292274,252.07803,15.022890329360962
29,281,4876.9336,-0.021282416,56.379997,50.881218,254.73813,9.110379219055176
30,291,4947.7363,-0.021282416,57.079998,51.452435,257.9212,8.441002130508423
31,301,5020.8276,-0.021282416,57.809998,52.01238,261.26227,9.521952390670776
32,311,5095.95,-0.021282416,58.559998,52.737114,264.63452,6.884444236755371
33,321,5165.1265,-0.021282416,59.26,53.2656,267.6086,6.71310019493103
34,331,5233.9717,-0.019944163,59.94,53.98575,270.88,7.410993576049805
35,341,5286.881,-0.019944163,60.44,54.473892,273.05713,9.722951173782349
36,351,5346.298,-0.019944163,61.02,55.00049,275.69644,8.079521894454956
37,361,5410.5146,-0.019944163,61.64,55.537144,278.26575,11.584837436676025
38,371,5465.4106,-0.019944163,62.17,55.90731,280.52194,9.67538595199585
39,381,5522.7773,-0.019944163,62.719997,56.448547,283.05234,9.187946081161499
40,391,5592.249,-0.019944163,63.41,57.05348,286.05338,7.394975900650024
41,401,5639.5884,-0.019944163,63.85,57.407974,288.0362,8.564733743667603
42,411,5689.3994,-0.019944163,64.33,57.858063,290.26202,10.49906587600708
43,421,5737.628,-0.019944163,64.799995,58.324974,292.07104,7.915416479110718
44,431,5784.221,-0.019944163,65.24,58.831207,293.86542,8.792217016220093
45,441,5844.841,-0.019944163,65.85,59.436493,296.62775,14.925687074661255
46,451,5897.4717,-0.015938153,66.369995,59.926823,298.98846,7.6910741329193115
47,461,5942.449,-0.015938153,66.799995,60.333706,300.83795,11.556692600250244
48,471,5986.36,-0.01297547,67.22,60.619537,302.95932,7.561031341552734
49,481,6028.842,-0.01297547,67.63,61.09662,304.86646,8.929981470108032
50,491,6074.0547,-0.01297547,68.07,61.55005,307.2193,8.367568492889404
51,501,6115.45,-0.0035838438,68.46,61.891693,309.12494,14.025642395019531
52,511,6153.2417,-0.0035838438,68.799995,62.26613,310.4908,12.193390130996704
53,521,6187.147,0.0005264635,69.1,62.54315,311.99957,20.876673221588135
54,531,6233.825,0.0005264635,69.549995,62.98975,314.0674,15.429020643234253
55,541,6280.663,0.0005264635,70.0,63.372498,315.92767,9.700318098068237
