loop,iteration,qd_score,std_qd_score,max_fitness,std_max_fitness,coverage,std_coverage
1,1,0.0,0.0,-0.12,0.0,0.0,0.0
2,11,2238.398,44.562832086509026,-0.06271806,0.01209172482607724,28.329998,0.5764242784628694
3,21,3272.2515,46.70647552867158,-0.046074614,0.011428537693825128,39.879997,0.6213857803346966
4,31,4083.8813,55.886335742705604,-0.0321512,0.006960366958745799,48.57,0.6925489152399267
5,41,4722.201,64.6872759381441,-0.0321512,0.007332703440741338,55.149998,0.7498897092250323
6,51,5236.4736,51.306022585174155,-0.024994714,0.006071349687412631,60.219997,0.5832812145129996
7,61,5621.49,45.54708486735,-0.024994714,0.004896595965562427,63.98,0.48437177374673657
8,71,5905.0947,35.920043516644085,-0.024138834,0.003486047763451212,66.53999,0.3395883979407991
9,81,6136.5615,39.436912253298836,-0.024138834,0.003486047763451212,68.579994,0.36791362030476943
10,91,6323.614,33.22592511314031,-0.016408762,0.00487916069406483,70.11,0.2907645095261785
11,101,6500.0645,39.215550986311456,-0.014945238,0.006391921196338057,71.65,0.3745610764615025
12,111,6625.788,32.07174849375064,-0.014945238,0.006860686314599362,72.64,0.3124344667350275
13,121,6715.4966,29.10217341365424,-0.014945238,0.006860686314599362,73.28999,0.25811962346942696
14,131,6811.4497,25.214336317024298,-0.014945238,0.006860686314599362,74.03,0.21369331673442515
15,141,6888.913,25.964491802382774,-0.014945238,0.006860686314599362,74.479996,0.23406102282302482
16,151,6946.041,25.306491155875527,-0.014945238,0.00675751915711814,74.939995,0.2339231497821456
17,161,6994.901,23.49603447397871,-0.014945238,0.00675751915711814,75.259995,0.22408966063609548
18,171,7042.3696,22.248286567590014,-0.014945238,0.00830233394701054,75.57,0.2182109071517775
19,181,7078.396,20.44236603511437,-0.014153851,0.008105166454401612,75.83,0.20043951706188193
20,191,7113.8677,19.308425252143,-0.014153851,0.007348357908663415,76.06,0.1851490210722155
21,201,7147.8413,18.067416927231246,-0.013541182,0.007162479077619692,76.32,0.1814386948806669
22,211,7174.1885,16.800731779848125,-0.013405737,0.0070544129395715294,76.479996,0.17118427965955413
23,221,7198.3213,16.704287630378072,-0.013405737,0.0070544129395715294,76.64,0.17211623979160115
24,231,7220.4043,13.496357389962641,-0.0123325195,0.006831461488225051,76.79,0.13807244475274538
25,241,7239.793,12.884409258573118,-0.0123325195,0.006461312274035812,76.92,0.1341044369139231
26,251,7261.061,12.300886156696064,-0.0123325195,0.006461312274035812,77.07,0.1299846144741738
27,261,7276.6357,13.208420481647131,-0.0123325195,0.006257478985991039,77.17,0.14249309317493203
28,271,7290.4893,13.112694522027098,-0.00995795,0.005968121847495421,77.25,0.13965672200077056
29,281,7303.807,12.698762430504681,-0.00995795,0.005968121847495421,77.33,0.131757352736003
30,291,7315.3823,13.37551792947109,-0.00995795,0.005968121847495421,77.4,0.13962807740565697
31,301,7324.0347,13.817167614037233,-0.0065567,0.005240483712454796,77.44,0.14650597257449907
32,311,7334.0527,14.764295862735668,-0.0065567,0.004117539740886419,77.5,0.15781001235663078
33,321,7346.148,14.492041710676817,-0.0065567,0.004117539740886419,77.590004,0.1529703762254636
34,331,7354.448,13.525975571972692,-0.0065567,0.004117539740886419,77.64,0.14402864160492237
35,341,7364.3374,12.611174026299016,-0.0065567,0.004117539740886419,77.71,0.13496666255042547
36,351,7373.007,12.160006950919154,-0.0065567,0.004117539740886419,77.770004,0.1299229925862254
37,361,7380.4023,12.77702489887219,-0.0065567,0.004117539740886419,77.82,0.13632422529602045
38,371,7390.636,12.645295252796403,-0.0065567,0.004058316243544113,77.9,0.13585286158193216
39,381,7397.502,12.989882538898936,-0.0065567,0.004058316243544113,77.94,0.14207040508142238
40,391,7402.151,12.681348954902239,-0.0065567,0.004058316243544113,77.96,0.13879481258317714
