loop,iteration,qd_score,std_qd_score,max_fitness,std_max_fitness,coverage,std_coverage
1,1,0.0,0.0,-0.12,0.0,0.0,0.0
2,11,776.0469,30.58667220585465,-0.08266177,0.014128501410896378,10.12,0.45062628507471714
3,21,1068.0854,48.103466877912254,-0.076274335,0.009966711469789268,13.84,0.7003599297505818
4,31,1315.3674,66.46214376603874,-0.075883985,0.010185254288262936,16.869999,0.9648002508292782
5,41,1546.5571,83.42500251770092,-0.06384706,0.015491260739441686,19.68,1.198682787062599
6,51,1769.991,89.49965547481396,-0.06384706,0.01511972350681663,22.33,1.2990857462080025
7,61,1981.7275,106.53651314456654,-0.06384706,0.011421816795233585,24.839998,1.5097865502121015
8,71,2175.3884,107.26667121083597,-0.056442823,0.009756010214232693,27.08,1.5337581796361
9,81,2346.7913,110.30896638198364,-0.055533655,0.006869927867984777,29.07,1.5793593126328918
10,91,2515.2805,121.25259999764121,-0.055533655,0.006869927867984777,30.989998,1.7137835858710289
11,101,2688.4502,125.64200522969061,-0.0487969,0.007732252036687347,32.95,1.7842129917697611
12,111,2836.2273,119.88698450799399,-0.0487969,0.007732252036687347,34.62,1.7160843314946492
13,121,2980.1404,119.23376904056342,-0.0487969,0.007732252036687347,36.239998,1.7094636021869072
14,131,3127.5425,120.1571287013035,-0.04349089,0.011782393942670125,37.88,1.7267602001440259
15,141,3263.2542,117.63690473892952,-0.035755232,0.01161086446081004,39.399998,1.706325048518435
16,151,3381.3496,113.81023712586504,-0.035755232,0.01161086446081004,40.69,1.663231734185757
17,161,3504.6807,121.86825647229722,-0.035755232,0.006887219330953937,42.03,1.7559998455582613
18,171,3618.4558,126.1349138890197,-0.035755232,0.006887219330953937,43.249996,1.8014593852769918
19,181,3721.5332,131.56909837138207,-0.035755232,0.006887219330953937,44.34,1.8684049695934322
20,191,3845.1123,128.21338694041907,-0.035755232,0.006887219330953937,45.69,1.8217248068801621
21,201,3958.7437,122.33014410812406,-0.035755232,0.006887219330953937,46.91,1.7537006759423446
22,211,4061.9302,119.66348171691475,-0.035755232,0.006887219330953937,48.03,1.7343286885708826
23,221,4162.0625,114.36437163007366,-0.035755232,0.006887219330953937,49.049995,1.6652405255708864
24,231,4252.954,106.81892954970866,-0.035755232,0.006887219330953937,49.859997,1.575175208541273
25,241,4343.8286,105.95987786703796,-0.035755232,0.006887219330953937,50.85,1.554557989913789
26,251,4419.6694,100.57101930489527,-0.03148904,0.006966796918158198,51.64,1.4851738651093482
27,261,4499.9097,102.71469649966555,-0.030181143,0.007650184795481646,52.429996,1.5088866846800133
28,271,4582.6406,100.33476146288295,-0.02516204,0.008127124969398825,53.179996,1.4816883235021332
29,281,4656.8887,98.35725011738397,-0.02516204,0.008127124969398825,53.850002,1.4649423491730458
30,291,4727.8125,94.80584876610516,-0.02516204,0.006621041654192898,54.63,1.4072171033653622
31,301,4796.5044,90.83275820442753,-0.02516204,0.006621041654192898,55.239998,1.373390273739261
32,311,4865.302,91.22587635289447,-0.02516204,0.006621041654192898,56.07,1.3589484631884186
33,321,4939.0176,85.55553128305867,-0.02516204,0.006621041654192898,56.68,1.2927397263177167
34,331,4998.7627,84.77309350503603,-0.02516204,0.006621041654192898,57.14,1.2899540822859397
35,341,5057.4653,80.8776596019593,-0.02516204,0.006621041654192898,57.79,1.2362599092434232
36,351,5108.2515,75.9728273899927,-0.02516204,0.00668753296637735,58.26,1.1811766980437755
37,361,5167.521,75.27245698818663,-0.02516204,0.00668753296637735,58.859997,1.1864124493621935
38,371,5225.6787,71.63751833024358,-0.02516204,0.00668753296637735,59.34,1.1595959561868774
39,381,5277.3022,64.99527907374829,-0.02516204,0.00668753296637735,59.819996,1.0743648691233345
40,391,5335.0493,66.932441753356,-0.022392815,0.007179393546519666,60.499996,1.0750570113268223
41,401,5381.2627,60.91908989882901,-0.022392815,0.007084265618652575,61.059998,0.995159783353489
42,411,5426.981,57.95895602431072,-0.022392815,0.008019880430536221,61.539997,0.9442121770039629
43,421,5475.591,54.16741531063134,-0.021087255,0.008971128164576217,61.969994,0.8777031366067684
44,431,5517.3633,50.57600645375637,-0.021087255,0.008971128164576217,62.39,0.8484949272697854
45,441,5565.217,50.277369231160236,-0.021087255,0.008971128164576217,62.89,0.8320586181303357
46,451,5610.9497,46.028608257100416,-0.021087255,0.00888601144691436,63.239998,0.7926812887930194
47,461,5652.867,47.461996603834365,-0.021087255,0.00888601144691436,63.629997,0.8060139234567593
48,471,5689.671,44.76019863673534,-0.021087255,0.00888601144691436,63.97,0.7890400476532486
49,481,5733.767,41.583794976100926,-0.021087255,0.00888601144691436,64.37,0.7395782581985494
50,491,5765.5947,40.20944300869623,-0.021087255,0.00888601144691436,64.76,0.7116628415197744
51,501,5804.5903,35.985276763065386,-0.021087255,0.008196226379649429,65.04,0.6608358343794631
52,511,5843.575,35.434257058919705,-0.021087255,0.008196226379649429,65.42,0.6234290541854484
53,521,5875.0073,33.1813018084825,-0.021087255,0.00965260319824446,65.75,0.5890438965102691
54,531,5904.4126,32.069454941760476,-0.021087255,0.009338439351747885,66.119995,0.5457984573118543
55,541,5938.1304,30.501975656170035,-0.021087255,0.009338439351747885,66.42,0.5281866488430008
56,551,5965.8794,32.31089483091418,-0.021087255,0.009338439351747885,66.759995,0.5253198073653786
57,561,5990.508,32.09106215427614,-0.021087255,0.009338439351747885,67.03999,0.4609960347119722
58,571,6021.3613,30.086015980385547,-0.021087255,0.009338439351747885,67.31,0.4635256195724223
59,581,6045.8677,28.40471259111745,-0.021087255,0.009338439351747885,67.56,0.44020858965649284
60,591,6076.3237,29.168204305030482,-0.021087255,0.008454221655198236,67.81,0.4628449183121281
61,601,6107.8413,26.36260914694146,-0.020149993,0.008240403895634543,68.03999,0.46804215196497007
62,611,6134.3867,25.158586190722374,-0.020149993,0.008240403895634543,68.329994,0.4545505938843736
63,621,6159.158,23.43482603482251,-0.020149993,0.008240403895634543,68.52,0.4120229605446781
64,631,6181.3286,25.199510637978772,-0.020149993,0.006652943428024564,68.7,0.4103949317425851
65,641,6203.38,25.76162198764677,-0.020149993,0.006652943428024564,68.939995,0.37871374731498336
66,651,6235.207,28.659566734575648,-0.020149993,0.006652943428024564,69.17,0.3915607539099882
67,661,6263.0234,28.964337033697227,-0.019054003,0.00886342950293252,69.4,0.3927849284277616
68,671,6289.3813,27.67367938847333,-0.019054003,0.00886342950293252,69.57,0.38275840944387013
69,681,6305.533,26.85807073157704,-0.019054003,0.00886342950293252,69.72,0.3542673736092571
70,691,6325.1562,25.76444503493915,-0.019054003,0.00886342950293252,69.92,0.3337922647456071
71,701,6346.0522,24.60832862654422,-0.019054003,0.00886342950293252,70.11,0.3309984894225325
72,711,6367.082,22.84506178870172,-0.019054003,0.00886342950293252,70.229996,0.3466062942339012
73,721,6385.0083,21.31836816349672,-0.0070511675,0.008864089374569487,70.38,0.32683941010838985
74,731,6399.699,21.272875689816686,-0.0070511675,0.008864089374569487,70.55,0.3226391172812096
75,741,6422.5205,21.060098931239583,-0.0070511675,0.008864089374569487,70.72,0.3133943203059047
76,751,6434.673,23.44122925425195,-0.0070511675,0.008864089374569487,70.93,0.33242141928582225
77,761,6452.024,24.344167999617426,-0.0070511675,0.009303394738880491,71.1,0.33755592129305
78,771,6472.406,23.30322834287132,-0.0070511675,0.009303394738880491,71.25,0.32401234544381263
79,781,6490.166,21.73979039792238,-0.0070511675,0.009303394738880491,71.38,0.30036049807283327
80,791,6506.885,23.750237695686184,-0.0070511675,0.009303394738880491,71.54,0.2841830396065198
81,801,6533.9883,22.143440008779052,-0.0070511675,0.009303394738880491,71.65,0.2563591231066287
82,811,6546.451,21.752727023194133,-0.0070511675,0.009303394738880491,71.770004,0.25639048968821115
83,821,6559.9927,20.161798976936662,-0.002504064,0.010236453580161124,71.85,0.2552959067435289
84,831,6578.5195,18.032901856040585,-0.002504064,0.010236453580161124,71.92,0.22423068479581618
85,841,6597.93,18.406559359641367,-0.002504064,0.010236453580161124,72.07,0.22274649267721233
86,851,6614.369,20.747447774856443,-0.002504064,0.010236453580161124,72.2,0.22285207651354855
87,861,6622.8726,20.660679737762933,-0.002504064,0.00926826382259342,72.31,0.2424031848094408
88,871,6642.86,21.278424707238045,-0.002504064,0.00926826382259342,72.439995,0.23397314889653292
89,881,6655.864,22.420751106276263,-0.002504064,0.00926826382259342,72.59,0.2493671991261069
90,891,6667.5283,22.863423642630384,-0.002504064,0.009386620270925263,72.67999,0.26768487446249306
91,901,6680.5283,22.866530692520765,-0.002504064,0.007892325916779803,72.78999,0.2746343605851256
92,911,6694.173,18.375023559974018,-0.002504064,0.007892325916779803,72.85999,0.24902710860498853
93,921,6706.615,20.4800834525642,-0.002504064,0.007892325916779803,72.99999,0.2538804994795756
94,931,6715.338,19.988734615017698,-0.002504064,0.007892325916779803,73.079994,0.2553100593681325
95,941,6725.9365,20.104883988464273,-0.002504064,0.007892325916779803,73.2,0.25152302801167054
96,951,6740.245,19.929564594240475,-0.002504064,0.007892325916779803,73.31999,0.23869590701140728
97,961,6750.9746,20.090096929621918,-0.002504064,0.007892325916779803,73.409996,0.2336320149726058
98,971,6761.8535,20.07884788135029,0.0,0.008239685042944799,73.46999,0.2436710176039824
99,981,6777.417,18.95588989611409,0.0,0.008239685042944799,73.52,0.24061503863091885
100,991,6786.991,17.08984950543449,0.0,0.008239685042944799,73.56,0.24124933163845072
101,1001,6796.9834,16.087760688921083,0.0,0.008239685042944799,73.64,0.2312055362658931
102,1011,6803.2583,16.178619263336408,0.0,0.00721201057494659,73.729996,0.22645103667274485
103,1021,6813.781,16.26853824356692,0.0,0.00721201057494659,73.78,0.23812827806340042
104,1031,6821.2646,15.183963418817825,0.0,0.00721201057494659,73.81,0.252795617082258
105,1041,6829.234,16.127778135453095,0.0,0.00721201057494659,73.88,0.24894534344710814
106,1051,6836.9473,16.83895336932782,0.0,0.00721201057494659,73.939995,0.25372373953652866
107,1061,6844.685,14.72815050710726,0.0,0.00721201057494659,74.0,0.24735495144427466
108,1071,6854.1455,15.70721375819406,0.0,0.00721201057494659,74.049995,0.2675543414092917
109,1081,6864.522,17.135920428199842,0.0,0.00721201057494659,74.189995,0.2672507691479279
110,1091,6874.976,15.05174168720664,0.0,0.00721201057494659,74.21,0.2626456441949106
111,1101,6882.528,16.029965254360214,0.0,0.00721201057494659,74.28999,0.27036397100087045
112,1111,6888.0596,14.808403955943351,0.0,0.00721201057494659,74.329994,0.24556771449960638
113,1121,6896.061,15.344435946413853,0.0,0.00721201057494659,74.39,0.2551408082138198
114,1131,6905.8936,15.558380650748896,0.0,0.00721201057494659,74.45,0.2594314090776229
115,1141,6915.331,16.822061685608006,0.0,0.00721201057494659,74.56,0.2606619266605711
116,1151,6918.8726,17.05934818149855,0.0,0.00721201057494659,74.61,0.2566242389175274
117,1161,6927.7207,16.099332774696098,0.0,0.00721201057494659,74.67,0.252587038473794
118,1171,6937.553,17.692489344352044,0.0,0.00721201057494659,74.77,0.2668349452484784
119,1181,6945.8877,15.708357412205745,0.0,0.00721201057494659,74.81,0.24339055036299387
120,1191,6952.848,16.068003242842632,0.0,0.00721201057494659,74.88,0.23610167301397542
121,1201,6958.2783,16.91008124363702,0.0,0.00721201057494659,74.899994,0.24270288669202067
122,1211,6964.355,17.7818967871261,0.0,0.00721201057494659,74.99,0.24405044561319653
123,1221,6971.448,17.968596164375203,0.0,0.00721201057494659,75.049995,0.24290074517102328
124,1231,6978.0415,17.491851397882254,0.0,0.006800063359603338,75.079994,0.24019856120418367
125,1241,6986.914,17.189300157063027,0.0,0.006800063359603338,75.14,0.236423322046199
126,1251,6996.7007,17.458674895260664,0.0,0.006800063359603338,75.2,0.2498790107283155
127,1261,7006.463,17.85915237164411,0.0,0.006800063359603338,75.22,0.26743223440714986
128,1271,7011.2017,18.38272674274389,0.0,0.006800063359603338,75.25,0.2714122620774536
129,1281,7016.5894,17.071769686520607,0.0,0.006800063359603338,75.28,0.25293477420077903
130,1291,7023.6455,18.249330688723905,0.0,0.005800342711215522,75.31,0.26844767833974925
131,1301,7029.804,17.775661184709822,0.0,0.005800342711215522,75.39,0.2531413439246936
132,1311,7033.9404,17.695521562745828,0.0,0.005800342711215522,75.43,0.24832237112269834
133,1321,7038.2764,16.935139763155195,0.0,0.005800342711215522,75.45,0.24071712528559397
134,1331,7042.3438,16.9408466387484,0.0,0.005800342711215522,75.49,0.24011765283993367
135,1341,7046.443,16.068271119943134,0.0,0.005800342711215522,75.52,0.22850820554194615
136,1351,7054.8423,14.893507783138157,0.0,0.005800342711215522,75.54,0.21811923344812956
137,1361,7059.8594,15.242844907089859,0.0,0.005800342711215522,75.59,0.2187784267243908
138,1371,7064.494,15.831960359601647,0.0,0.005800342711215522,75.63,0.22012723593413153
139,1381,7069.1777,14.809763196621532,0.0,0.005800342711215522,75.68,0.21179030196399623
140,1391,7074.52,15.752687548224873,0.0,0.005800342711215522,75.72,0.2251225088811852
141,1401,7079.0767,15.525237960121402,0.0,0.005800342711215522,75.75,0.22583101647594703
142,1411,7085.8057,15.952716748516412,0.0,0.005800342711215522,75.77,0.23472537144501235
143,1421,7090.9985,16.604671380620424,0.0,0.005800342711215522,75.79,0.24202500863538673
144,1431,7095.962,17.09096436939704,0.0,0.005800342711215522,75.86,0.24336081854727445
145,1441,7102.4263,18.36397423620487,0.0,0.005800342711215522,75.9,0.26076698411417193
146,1451,7107.7793,18.312487977814385,0.0,0.005800342711215522,75.92,0.2611976753414171
147,1461,7113.137,18.9370257698932,0.0,0.005800342711215522,75.97,0.2634395262722729
148,1471,7115.739,19.62786003235186,0.0,0.005800342711215522,76.02,0.26507502334999306
149,1481,7118.0557,19.712740540635036,0.0,0.005800342711215522,76.03,0.26728262195660896
150,1491,7120.3413,20.388531618986235,0.0,0.005800342711215522,76.07,0.27036197366227555
151,1501,7124.5664,22.055943810955018,0.0,0.005800342711215522,76.159996,0.2833095014378455
152,1511,7130.69,22.152023929239352,0.0,0.005800342711215522,76.2,0.2826021939051433
153,1521,7134.479,21.902822546658207,0.0,0.005800342711215522,76.25,0.2746925554142303
154,1531,7136.98,22.014344555911634,0.0,0.005182936282812112,76.27,0.2738904890645144
155,1541,7142.3247,20.84199819284128,0.0,0.005182936282812112,76.299995,0.2617924995200584
156,1551,7148.623,21.212387697135835,0.0,0.005182936282812112,76.32,0.2682237871628844
157,1561,7151.1514,21.8577742063917,0.0,0.005182936282812112,76.34,0.27432747730141843
158,1571,7155.469,20.95036183139572,0.0,0.005182936282812112,76.37,0.2625559231907739
159,1581,7158.731,20.173441928079612,0.0,0.005182936282812112,76.39,0.25334561373744147
160,1591,7164.0386,21.35179087820039,0.0,0.005182936282812112,76.409996,0.26910249944019643
161,1601,7168.1377,21.077815113089837,0.0,0.005182936282812112,76.42,0.2663397754823704
