loop,iteration,qd_score,std_qd_score,max_fitness,std_max_fitness,coverage,std_coverage
1,1,0.0,0.0,-0.12,0.0,0.0,0.0
2,11,3194.602,72.79150189805392,-0.039400786,0.012810706195511633,38.94,0.8184277610149832
3,21,4021.507,70.41149930749657,-0.036934044,0.014503848107248828,47.82,0.7658300270952038
4,31,4702.684,75.47877564160663,-0.034560468,0.011949198765886244,54.879997,0.833416798967624
5,41,5203.9707,81.50043428525767,-0.028638963,0.010366328199338802,59.84,0.8948841480347274
6,51,5590.9062,71.99653258210684,-0.02775951,0.013600663008510887,63.510002,0.7648280748001847
7,61,5913.1694,62.33843886124841,-0.01663669,0.012365256159079506,66.46999,0.6368442384319704
8,71,6151.6924,62.66168715310493,-0.01663669,0.011964217730604442,68.6,0.6386700218542923
9,81,6334.2085,51.125421176107615,-0.01663669,0.011790901725460335,70.14,0.5117276150492597
10,91,6467.8,44.991627143653965,-0.014708276,0.008329186151008684,71.19,0.4469630857240921
11,101,6605.034,39.54959653061454,-0.010927742,0.008762587247695602,72.21,0.3651612323412222
12,111,6717.654,31.24676307975602,-0.010927742,0.008762587247695602,73.159996,0.2744740191758766
13,121,6811.2275,31.65715090560118,-0.010927742,0.00875530875778965,73.89,0.28128418372770136
14,131,6876.1567,25.84118984438603,-0.010927742,0.00760554717452187,74.35,0.23584740829612422
15,141,6943.3535,26.611607136480846,0.0,0.006944896019069728,74.86,0.2300074607572528
16,151,6995.738,29.59994335960786,0.0,0.006944896019069728,75.229996,0.25973794794477073
17,161,7044.269,27.238624596407256,0.0,0.006944896019069728,75.56,0.24187486848368436
18,171,7086.2446,28.745490910262802,0.0,0.006944896019069728,75.869995,0.26416607504492556
19,181,7123.5503,26.882826283960505,0.0,0.006944896019069728,76.08,0.24475387147614197
20,191,7155.4175,25.641489506859806,0.0,0.006944896019069728,76.32,0.23082595175586013
21,201,7184.2188,25.087561795630904,0.0,0.006729687388497697,76.5,0.2249094964703814
22,211,7202.313,23.668683071062613,0.0,0.005096230980127216,76.6,0.21367388984749536
23,221,7222.001,21.62709845185905,0.0,0.005096230980127216,76.72,0.1944222209522379
24,231,7239.601,20.7443103297843,0.0,0.005096230980127216,76.83,0.1926032190800538
25,241,7259.3374,18.309053609993253,0.0,0.005096230980127216,76.97,0.16797618878876996
26,251,7278.83,19.07009326045378,0.0,0.005096230980127216,77.12,0.18028865743579364
27,261,7291.27,16.769295207539447,0.0,0.005096230980127216,77.19,0.16326665305566931
28,271,7307.821,17.680567190834065,0.0,0.005096230980127216,77.31,0.16930445948054648
29,281,7320.777,16.697229437412783,0.0,0.005096230980127216,77.4,0.16436544649043588
30,291,7329.0415,15.033320876054082,0.0,0.005096230980127216,77.44,0.14813507349712898
31,301,7339.5806,14.281900722746968,0.0,0.005096230980127216,77.51,0.14119490075778315
32,311,7346.0894,14.945942530145219,0.0,0.005096230980127216,77.54,0.15628179676469175
33,321,7353.5654,14.741649347830869,0.0,0.005096230980127216,77.58,0.15949876489352519
34,331,7364.362,13.599282930860584,0.0,0.005096230980127216,77.66,0.14499655168313455
35,341,7371.2603,13.200996010089606,0.0,0.005096230980127216,77.700005,0.14319208080057724
36,351,7380.4136,13.530024296888499,0.0,0.005096230980127216,77.770004,0.14458223404886156
37,361,7391.671,14.820540056232813,0.0,0.005096230980127216,77.86,0.1571496102445068
38,371,7396.891,14.335621474494763,0.0,0.005096230980127216,77.89,0.15302287410710944
39,381,7402.195,12.817504467812947,0.0,0.005096230980127216,77.92,0.1377530428069012
40,391,7406.36,12.07293119695466,0.0,0.005096230980127216,77.94,0.128063046982958
41,401,7415.191,12.649788210337956,0.0,0.0042549356000000016,78.01,0.1328758819349841
42,411,7420.612,12.499457873747902,0.0,0.0042418008,78.07,0.12921187562511305
43,421,7423.9375,11.259853773899723,0.0,0.0042418008,78.08,0.11443651166721183
44,431,7429.4873,10.368336489022527,0.0,0.0042418008,78.12,0.10248789978607284
45,441,7434.1846,10.655810901212547,0.0,0.0042418008,78.15,0.1040377162502137
46,451,7436.186,9.321215386975936,0.0,0.0042418008,78.15,0.08975335094803018
47,461,7440.5493,8.415467922581668,0.0,0.0031937028000000004,78.18,0.08089499366462574
48,471,7445.0566,8.417071180024452,0.0,0.0031937028000000004,78.21,0.080845531725633
49,481,7448.665,8.249373678674186,0.0,0.0031937028000000004,78.229996,0.08039886567956282
50,491,7451.041,8.032946992878829,0.0,0.0031937028000000004,78.24,0.07771743691090022
51,501,7455.278,8.807139636772114,0.0,0.0031937028000000004,78.27,0.08800000000000258
52,511,7459.3887,7.936165239812041,0.0,0.0031937028000000004,78.3,0.07823001983791242
53,521,7460.8486,7.247217607992747,0.0,0.0031937028000000004,78.3,0.0707096033409925
54,531,7463.1455,8.368362528332499,0.0,0.0031937028000000004,78.31,0.08414273587184966
55,541,7466.2026,8.467966216607278,0.0,0.0031937028000000004,78.33,0.08522848351672085
56,551,7469.319,8.1438236447999,0.0,0.0031937028000000004,78.35,0.08163228774547124
57,561,7471.301,8.597351229302902,0.0,0.0031937028000000004,78.36,0.08708485519308061
58,571,7475.1367,8.338429724450416,0.0,0.0031937028000000004,78.39,0.08352010539984117
59,581,7479.0044,8.383589041550126,0.0,0.0031937028000000004,78.42,0.0830903123113648
60,591,7480.9995,8.510396856786564,0.0,0.0031937028000000004,78.43,0.08555466092504622
61,601,7482.24,8.110393301042832,0.0,0.0031937028000000004,78.43,0.08260750571225257
62,611,7485.0747,7.869907623498609,0.0,0.0031937028000000004,78.45,0.0793977329651122
63,621,7487.0244,7.972165201900822,0.0,0.0031937028000000004,78.46,0.0801506980790565
64,631,7488.874,7.075543579513706,0.0,0.0031937028000000004,78.47,0.0697423830966506
65,641,7491.571,6.860574369657208,0.0,0.0031937028000000004,78.49,0.06793979690873546
66,651,7492.299,7.506859888555251,0.0,0.0031937028000000004,78.49,0.07573530223086378
67,661,7493.901,7.527546767280822,0.0,0.0031937028000000004,78.5,0.07678331071893514
68,671,7497.337,7.963160242014409,0.0,0.0031937028000000004,78.53,0.08114267929123659
