loop,iteration,qd_score,std_qd_score,max_fitness,std_max_fitness,coverage,std_coverage
1,1,0.0,0.0,-0.12,0.0,0.0,0.0
2,11,3194.602,72.79150189805392,-0.039400786,0.012810706195511633,38.94,0.8184277610149832
3,21,4021.507,70.41149930749657,-0.036934044,0.014503848107248828,47.82,0.7658300270952038
4,31,4702.684,75.47877564160663,-0.034560468,0.011949198765886244,54.879997,0.8334158803395585
5,41,5203.9707,81.78438105103935,-0.028638963,0.010366328199338802,59.84,0.8981215133830389
6,51,5590.9062,72.28308928384271,-0.02775951,0.013600663008510887,63.51,0.7681518329089877
7,61,5913.1694,62.59529802264697,-0.01663669,0.012365256159079506,66.47,0.6399859279734199
8,71,6151.6924,62.66168715310492,-0.01663669,0.011964217730604442,68.6,0.638668337090983
9,81,6334.2085,51.17171134721207,-0.01663669,0.011790901725460335,70.14,0.5118369904617713
10,91,6467.8,45.36662580532065,-0.014708276,0.008329186151008684,71.189995,0.45106847108322934
11,101,6605.034,39.54959653061454,-0.010927742,0.008762587247695602,72.21,0.3651612323412222
12,111,6717.654,31.24676307975602,-0.010927742,0.008762587247695602,73.159996,0.2744740191758766
13,121,6811.2275,31.65715090560118,-0.010927742,0.00875530875778965,73.89,0.2812815529012857
14,131,6876.1567,25.84118984438603,-0.010927742,0.00760554717452187,74.35,0.23584740829612422
15,141,6943.3535,26.61160713648085,0.0,0.006944896019069728,74.86,0.2300074607572528
16,151,6995.738,29.599943359607852,0.0,0.006944896019069728,75.229996,0.25973794794477073
17,161,7044.269,27.238624596407256,0.0,0.006944896019069728,75.56,0.24187486848368436
18,171,7086.2446,28.745490910262802,0.0,0.006944896019069728,75.869995,0.26416607504492556
19,181,7123.5503,26.8828262839605,0.0,0.006944896019069728,76.08,0.244753871476142
20,191,7155.4175,25.641489506859806,0.0,0.006944896019069728,76.32,0.23082595175586013
21,201,7184.2188,25.087561795630904,0.0,0.006729687388497697,76.5,0.2249094964703814
22,211,7202.313,23.668683071062613,0.0,0.005096230980127216,76.6,0.21367388984749536
23,221,7222.001,21.627098451859055,0.0,0.005096230980127216,76.72,0.1944222209522379
24,231,7239.601,20.744310329784298,0.0,0.005096230980127216,76.83,0.19260255451057526
25,241,7259.3374,18.309053609993253,0.0,0.005096230980127216,76.97,0.16797729371126582
26,251,7278.83,19.07009326045378,0.0,0.005096230980127216,77.119995,0.18028852432698242
27,261,7291.27,16.769295207539443,0.0,0.005096230980127216,77.189995,0.16326550157335804
28,271,7307.821,17.680567190834065,0.0,0.005096230980127216,77.31,0.16930349082047863
29,281,7320.777,16.697229437412783,0.0,0.005096230980127216,77.4,0.16436544649043588
30,291,7329.0415,15.03332087605408,0.0,0.005096230980127216,77.439995,0.14813491149624317
31,301,7339.5806,14.036482191261449,0.0,0.005096230980127216,77.509995,0.13936982458193714
32,311,7346.0894,14.732054966962497,0.0,0.005096230980127216,77.54,0.15473848907107818
33,321,7353.5654,14.572556597330502,0.0,0.005096230980127216,77.58,0.1584171707865028
34,331,7364.362,13.411063217746591,0.0,0.005096230980127216,77.659996,0.1437498160087855
35,341,7371.2603,13.014392071948627,0.0,0.005096230980127216,77.7,0.14192991793473386
36,351,7380.4136,13.346562118388121,0.0,0.005096230980127216,77.77,0.14330387294138136
37,361,7391.671,14.637855535617412,0.0,0.005096230980127216,77.86,0.15581994738338392
38,371,7396.891,14.160862247758553,0.0,0.005096230980127216,77.89,0.1517893276880842
39,381,7402.195,12.674083337204436,0.0,0.005096230980127216,77.92,0.1369082846381466
40,391,7406.36,11.913515579810989,0.0,0.005096230980127216,77.939995,0.12702925334488668
41,401,7415.191,12.479706444207904,0.0,0.004254935600000001,78.009995,0.13169637202808496
42,411,7420.612,12.300850935703512,0.0,0.0042418008,78.07,0.12768711759609414
43,421,7423.9375,11.055961376633043,0.0,0.0042418008,78.08,0.11288807909854658
44,431,7429.4873,10.13926530328493,0.0,0.0042418008,78.119995,0.1006762574044143
45,441,7434.1846,10.437161389304945,0.0,0.0042418008,78.15,0.10225458424931345
46,451,7436.186,9.12881539403652,0.0,0.0042418008,78.15,0.08831563850734635
47,461,7440.5493,8.21048375836658,0.0,0.0031937028,78.18,0.0793984382969826
48,471,7445.0566,8.205136788231998,0.0,0.0031937028,78.21,0.07924556772464013
49,481,7448.665,8.038744783857874,0.0,0.0031937028,78.229996,0.0788420801592676
50,491,7451.041,7.8327766863099875,0.0,0.0031937028,78.24,0.07626338573653818
51,501,7455.278,8.60389777638033,0.0,0.0031937028,78.27,0.08639551841710445
52,511,7459.3887,7.721085388881471,0.0,0.0031937028,78.299995,0.07652340298863015
53,521,7460.8486,7.010383421867913,0.0,0.0031937028,78.299995,0.06881774773588828
54,531,7463.1455,8.120065543429948,0.0,0.0031937028,78.31,0.08207313811473078
55,541,7466.2026,8.217293164394333,0.0,0.0031937028,78.33,0.08309176617066148
56,551,7469.319,7.907665703960939,0.0,0.0031937028,78.35,0.07964914064169032
57,561,7471.301,8.371314711561034,0.0,0.0031937028,78.36,0.08518084294018292
58,571,7475.1367,8.113274159154232,0.0,0.0031937028,78.39,0.08163097455010826
59,581,7479.0044,8.134728737603965,0.0,0.0031937028,78.42,0.08089499366462961
60,591,7480.9995,8.27220774850355,0.0,0.0031937028,78.43,0.08352108719359151
61,601,7482.24,7.892944709397245,0.0,0.0031937028,78.43,0.08084553172562914
62,611,7485.0747,7.646974301670076,0.0,0.0031937028,78.45,0.07756357909843552
63,621,7487.0244,7.73561257189093,0.0,0.0031937028,78.46,0.07812809993849999
64,631,7488.874,6.83139920203764,0.0,0.0031937028,78.47,0.06764714335432266
65,641,7491.571,6.634794393920516,0.0,0.0031937028,78.49,0.0660289330824002
66,651,7492.299,7.30210984140867,0.0,0.0031937028,78.49,0.0740265898509465
67,661,7493.901,7.303034627166963,0.0,0.0031937028,78.5,0.07483178472173775
68,671,7497.337,7.738306587361171,0.0,0.0031937028,78.53,0.07914543574964145
69,681,7498.999,7.8649563396117435,0.0,0.0031937028,78.54,0.08114042151726894
