loop,iteration,qd_score,std_qd_score,max_fitness,std_max_fitness,coverage,std_coverage
1,1,0.0,0.0,-0.12,0.0,0.0,0.0
2,11,2268.524,61.47288359394247,-0.043217286,0.006645680188046832,27.4,0.7058218069741404
3,21,2825.832,56.848992841984554,-0.03670635,0.005358713400685617,33.3,0.6065772827925574
4,31,3258.9426,89.19201066819836,-0.030579569,0.0014014180023643194,37.73,1.0190455605130913
5,41,3567.3232,73.8430896453555,-0.028584652,0.0014212822017703026,40.82,0.8332682641262639
6,51,3808.5435,57.01187911259891,-0.027144635,0.001667248993707227,43.069996,0.6263417852923447
7,61,3991.8884,37.63407131323421,-0.027656315,0.0023046238118949124,44.73,0.43134209161638853
8,71,4128.0107,48.61754620459577,-0.022105673,0.003105370084292731,45.909996,0.5634192719481306
9,81,4236.941,28.50857143235347,-0.019852709,0.001524751564295902,46.82,0.3087394241119201
10,91,4341.5493,32.866604256272026,-0.019136623,0.003682118579719583,47.7,0.3416666468952452
11,101,4384.9014,25.181874308526,-0.019051848,0.008403542988784176,48.01,0.2946591250920295
12,111,4421.1367,32.40432799103237,-0.018499315,0.00831774896218832,48.17,0.3402110392116045
13,121,4499.87,45.232913209325794,-0.01853548,0.007865429052405908,48.809998,0.49628143306168465
14,131,4527.754,51.4285398407772,-0.0036754904,0.007365424224495771,49.01,0.5572216794059627
15,141,4564.0815,34.95496946270153,-0.003452188,0.006317436462479744,49.269997,0.37558444909522
16,151,4550.209,23.350164749174866,9.007948e-06,0.0033071736872778285,49.03,0.27918511565167725
17,161,4594.071,30.435211822519193,0.00031374375,0.0031581856161934955,49.429996,0.3010254341426976
18,171,4620.776,37.42859637443013,0.00028535677,0.0034467804149174294,49.53,0.39655512303063184
19,181,4643.7905,41.09043378707999,0.00045328692,0.0031489275747410505,49.719997,0.4397904792078151
20,191,4661.5923,45.50818570362936,0.00066817645,0.0003537202862626779,49.879997,0.4705064896497813
21,201,4656.698,40.938085963044244,0.0009793143,0.0006353396995545064,49.769997,0.42391626909360175
22,211,4663.9316,50.74914409827995,0.0011398155,0.0006197164447662015,49.749996,0.5320756698088724
23,221,4642.321,33.10278142923934,0.00085103203,0.00030572155542696474,49.48,0.34874612542879885
24,231,4653.5493,46.09705886936392,0.0009800149,0.00030022802079186854,49.609997,0.48766239305921605
25,241,4629.8257,60.03871113991023,0.001046108,0.0002620698514283198,49.3,0.637199236661061
26,251,4643.628,56.552342850813936,0.0011855739,0.00038194642752109104,49.42,0.5938486487318462
27,261,4611.836,46.44759804776146,0.001397526,0.00033934383330474355,48.989998,0.4769059781573735
28,271,4615.0566,44.60756770066709,0.0014678218,0.0003516601420636351,48.989998,0.4588251170132708
29,281,4603.5376,50.62648929546682,0.001509877,0.00045399758181550266,48.839996,0.5208214250609907
30,291,4583.403,60.19701884085624,0.0012270184,0.00032484793346351706,48.59,0.6291703279728301
31,301,4586.4165,46.090707888224095,0.0012109936,0.0003774880233900182,48.629997,0.47889077502227945
32,311,4583.673,60.27028952296151,0.0015794069,0.00025917704987809707,48.579998,0.6362822392630499
