loop,iteration,std_fitness,std_std_fitness,std_bd,std_std_bd
1,1,-inf,,-inf,
2,11,-inf,,-inf,
3,21,-inf,,-inf,
4,31,-inf,,-inf,
5,41,-inf,,-inf,
6,51,-inf,,-inf,
7,61,-inf,,-inf,
8,71,-inf,,-inf,
9,81,-inf,,-inf,
10,91,-inf,,-inf,
11,101,-inf,,-inf,
12,111,-inf,,-inf,
13,121,-inf,,-inf,
14,131,-inf,,-inf,
15,141,-inf,,-inf,
16,151,-inf,,-inf,
17,161,-inf,,-inf,
18,171,-inf,,-inf,
19,181,-inf,,-inf,
20,191,-inf,,-inf,
21,201,-inf,,-inf,
22,211,-inf,,-inf,
23,221,-inf,,-inf,
24,231,-inf,,-inf,
25,241,-inf,,-inf,
26,251,-inf,,-inf,
27,261,-inf,,-inf,
28,271,-inf,,-inf,
29,281,-inf,,-inf,
30,291,-inf,,-inf,
31,301,-inf,,-inf,
32,311,-inf,,-inf,
33,321,-inf,,-inf,
34,331,-inf,,-inf,
35,341,-inf,,-inf,
36,351,-inf,,-inf,
37,361,-inf,,-inf,
38,371,-inf,,-inf,
39,381,-inf,,-inf,
40,391,-inf,,-inf,
41,401,-inf,,-inf,
42,411,-inf,,-inf,
43,421,-inf,,-inf,
44,431,-inf,,-inf,
45,441,-inf,,-inf,
46,451,-inf,,-inf,
47,461,-inf,,-inf,
48,471,-inf,,-inf,
49,481,-inf,,-inf,
50,491,-inf,,-inf,
51,501,-17285.188,449.6148396294764,-11812.227,487.404170678504
52,511,-22112.229,613.4415725654728,-15031.207,639.3203282682008
53,521,-24850.52,600.1402667692273,-16913.26,647.7589892116976
54,531,-26958.389,695.0564081872485,-18358.617,715.3094572691182
55,541,-28229.988,668.4422576010588,-19237.883,707.3715352530387
56,551,-29171.55,691.7602976301545,-19962.809,744.8318515658688
57,561,-30030.668,673.254956654193,-20504.025,733.5224808717454
58,571,-30625.174,638.916771272127,-20969.629,715.3776569687933
59,581,-31138.635,605.5683393746401,-21326.6,686.4807903577787
60,591,-31463.207,570.7453584871619,-21622.625,656.4254042270463
61,601,-31817.646,564.1057851077214,-21857.285,645.6731838325023
62,611,-32148.508,559.5273211726486,-22046.637,636.9703548811036
63,621,-32422.129,549.5328610838111,-22222.836,628.4497737452053
64,631,-32652.186,528.0608735649333,-22347.266,613.1478035451481
65,641,-32810.44,510.0823322842696,-22473.125,603.4646912025918
66,651,-32980.844,506.318659644694,-22581.701,591.1864912236754
67,661,-33140.85,509.6541248797657,-22694.715,597.0856283048859
68,671,-33302.883,487.69887850418644,-22805.71,580.4968097136795
69,681,-33467.15,491.63216518124676,-22938.844,583.4390076599268
70,691,-33579.07,466.74819318532025,-23020.836,565.9162403828319
71,701,-33714.117,459.5110579815898,-23115.078,567.6349236676688
72,711,-33825.54,457.5991632136573,-23182.037,566.8855100044807
73,721,-33943.984,470.0861518171311,-23254.117,567.3363930998966
74,731,-34042.066,460.77270459149446,-23293.48,560.8321531861025
75,741,-34113.812,463.69522484856293,-23353.941,567.7599822456666
76,751,-18011.836,485.7430202164927,-13355.52,559.376138601568
77,761,-22264.031,574.3965905962185,-16555.777,658.4349424315207
78,771,-24865.756,615.5195473458181,-18475.252,728.5923799715176
79,781,-26636.451,584.0890123898582,-19884.393,727.5571866982282
80,791,-27785.922,552.4479757281764,-20778.268,716.882338196835
81,801,-28583.75,492.576786916558,-21390.145,695.5772947969472
82,811,-29228.05,455.0288178951305,-21888.145,677.5824410461067
83,821,-29697.766,404.4380787697431,-22224.234,645.9034227834373
84,831,-30108.428,381.0452933914282,-22555.668,633.0947635269144
85,841,-30426.959,370.08785271770245,-22811.242,629.0504371622362
86,851,-30705.395,346.1694383437104,-23015.889,615.1037259554204
87,861,-30930.07,333.20228424571195,-23194.336,597.3338379585067
