loop,iteration,std_fitness,std_std_fitness,std_bd,std_std_bd
1,1,7.151572,0.09522272899190405,35.74861,0.45850606636527735
2,11,20.91755,0.3858552698692085,104.42238,1.994487007885485
3,21,28.33236,0.5995596624032005,141.52777,3.0936503164578872
4,31,34.048065,0.31024827950826794,170.31787,1.5561405216624846
5,41,37.973606,0.5434102325306742,189.94348,2.828116249842636
6,51,40.823692,0.5557047863524665,204.18384,2.7876952698270294
7,61,43.36815,0.44591228472496724,216.9282,2.2870685225589567
8,71,45.09037,0.35083632755574196,225.55534,1.8888751529987362
9,81,46.06135,0.2925848368105218,229.82376,1.572422730698076
10,91,47.077557,0.3526044883529426,235.52231,1.784308358187006
11,101,47.83891,0.34845531429186183,239.1785,1.730626765254717
12,111,48.25773,0.27161040250623564,241.12134,1.341065376398919
13,121,48.577217,0.2521927274055298,242.66525,1.140033314590414
14,131,48.724174,0.2738156754573404,243.52858,1.459252463429131
15,141,49.04834,0.3156420783263237,245.20184,1.7405450831276914
16,151,49.129723,0.20258104648303038,245.5329,0.9929685247297604
17,161,49.56044,0.13129020820853282,247.90071,0.6795701998292702
18,171,49.354454,0.1410673267661943,246.67282,0.815344612997469
19,181,49.719795,0.2520660834849478,248.28304,1.1891446751947392
20,191,49.696,0.20419175495440653,248.62164,0.9647568951191843
21,201,49.72644,0.34234236803375495,248.50992,1.7693758814949387
22,211,49.670982,0.2633405047006641,248.27783,1.3590077548476285
23,221,49.424606,0.3831958022445439,247.34839,1.7909642267337493
24,231,49.51017,0.4592131512485233,247.58446,2.275597313872559
25,241,49.36682,0.2637088804564598,246.99496,1.3348452998216616
26,251,49.41056,0.5772140067109947,247.32858,2.9251423475311404
27,261,49.189198,0.4228764481091856,245.94917,2.1659393520650583
28,271,48.92735,0.41554626354060725,244.42867,2.068285760900559
29,281,49.380714,0.6228984436717101,246.67639,3.0980220218881582
30,291,48.89658,0.5444940881014605,244.38635,2.8072768333885367
31,301,49.052036,0.645828539054136,245.43509,3.067776271558281
32,311,48.62297,0.676146557531842,243.1456,3.3999448051378667
33,321,48.6474,0.5652738102102381,243.38754,2.9372357661760824
34,331,48.985035,0.5807782366423176,244.81836,2.8344109928773533
35,341,48.74975,0.6827438433176534,243.36955,3.3747632555626774
36,351,48.316498,0.5871216289409209,241.4202,2.9910518288695758
37,361,48.33893,0.6426324125091724,241.59686,3.17379833182891
38,371,48.75627,0.6263224679271847,243.69247,3.1924803991291824
39,381,48.729134,0.7819172506731384,243.43878,3.8222517517275083
40,391,48.298462,0.6992798100547739,241.59587,3.362506500157289
41,401,47.876495,0.7264060063717537,239.55734,3.6388896782320814
42,411,48.017235,0.7172606392822626,240.28873,3.51503567415524
43,421,47.95543,0.7930900946606259,239.60403,4.008724767855234
44,431,47.67076,0.9496116055549462,238.36731,4.716956847269216
45,441,47.847565,0.7919516005202848,239.15671,4.060991575576585
46,451,47.54792,0.971492743480793,237.89343,4.743100236943765
47,461,47.524837,0.699191224918218,237.86932,3.528016256672295
