loop,iteration,std_fitness,std_std_fitness,std_bd,std_std_bd
1,1,-inf,,-inf,
2,11,-inf,,-inf,
3,21,-inf,,-inf,
4,31,-inf,,-inf,
5,41,-inf,,-inf,
6,51,-inf,,-inf,
7,61,-inf,,-inf,
8,71,-inf,,-inf,
9,81,-inf,,-inf,
10,91,-inf,,-inf,
11,101,-inf,,-inf,
12,111,-inf,,-inf,
13,121,-inf,,-inf,
14,131,-inf,,-inf,
15,141,-inf,,-inf,
16,151,-inf,,-inf,
17,161,-inf,,-inf,
18,171,-inf,,-inf,
19,181,-inf,,-inf,
20,191,-inf,,-inf,
21,201,-inf,,-inf,
22,211,-inf,,-inf,
23,221,-inf,,-inf,
24,231,-inf,,-inf,
25,241,-inf,,-inf,
26,251,-inf,,-inf,
27,261,-inf,,-inf,
28,271,-inf,,-inf,
29,281,-inf,,-inf,
30,291,-inf,,-inf,
31,301,-inf,,-inf,
32,311,-inf,,-inf,
33,321,-inf,,-inf,
34,331,-inf,,-inf,
35,341,-inf,,-inf,
36,351,-inf,,-inf,
37,361,-inf,,-inf,
38,371,-inf,,-inf,
39,381,-inf,,-inf,
40,391,-inf,,-inf,
41,401,-inf,,-inf,
42,411,-inf,,-inf,
43,421,-inf,,-inf,
44,431,-inf,,-inf,
45,441,-inf,,-inf,
46,451,-inf,,-inf,
47,461,-inf,,-inf,
48,471,-inf,,-inf,
49,481,-inf,,-inf,
50,491,-inf,,-inf,
51,501,-17145.754,476.06253881673996,-11193.145,479.13214210754046
52,511,-35039.547,640.7001203850051,-22755.771,678.9429742213698
53,521,-35862.242,747.5330272067977,-23091.441,862.687416119419
54,531,-36182.184,947.3757515333805,-23103.312,1264.3966262590227
55,541,-36107.36,1251.6811829413427,-23201.512,1827.5670900157957
56,551,-35999.727,1658.9411277875533,-23254.293,2438.702872083222
57,561,-35961.57,2051.380856477314,-23247.066,2959.6100772552195
58,571,-35981.39,2433.9512587450076,-23254.205,3401.251292037058
59,581,-36029.152,2753.6582239491095,-23244.11,3813.658835997767
60,591,-36029.566,3020.8433068278523,-23259.809,4134.014116368323
61,601,-36050.11,3260.5634103445,-23331.406,4403.277763607043
62,611,-36046.93,3442.276736079283,-23428.328,4621.18290650641
63,621,-36060.266,3572.100577424975,-23539.027,4817.955208717159
64,631,-36042.617,3725.1288305508374,-23608.887,4955.795481679646
65,641,-36062.13,3829.9287333299753,-23743.406,5072.717919810972
66,651,-36024.664,3922.70750383847,-23888.059,5161.205890385052
67,661,-36063.18,3991.7533425540005,-23995.648,5251.097949775381
68,671,-36034.492,4072.6043008192673,-24046.621,5341.380370149177
69,681,-36022.297,4136.204472396789,-24150.176,5400.563923786383
70,691,-36008.94,4188.710121363396,-24235.223,5463.109988740589
71,701,-35996.09,4235.222521499904,-24323.332,5529.710977659559
72,711,-35991.805,4272.979368650947,-24374.023,5575.213829051882
73,721,-35967.14,4302.112156998856,-24430.234,5627.210391741236
74,731,-35971.008,4321.1990194673335,-24500.932,5665.799597039682
75,741,-35972.94,4334.263691482851,-24555.117,5696.0381896526305
76,751,-10114.137,3822.8553738396936,-7000.783,2668.6200110973805
77,761,-32983.043,1170.9367487181535,-22397.22,607.8252320925809
78,771,-33881.035,1017.8000244664959,-22914.139,585.8054938296847
79,781,-34154.57,941.0525670417356,-23260.652,590.9285484377956
80,791,-34368.66,877.6007134501659,-23432.623,603.2215747967241
81,801,-34495.945,842.1853585973574,-23582.36,605.2837873754761
82,811,-34699.21,837.2304261613046,-23681.72,612.8925874704646
83,821,-34835.453,839.8926920338332,-23741.385,602.54768854377
84,831,-34907.28,828.9863171786609,-23778.184,590.211601665165
85,841,-34998.754,828.4150256147227,-23814.49,583.3774663274539
86,851,-35098.836,844.3135713199445,-23864.492,577.3868485445084
87,861,-35174.625,840.2308092848278,-23898.305,559.4664995559967
