loop,iteration,std_fitness,std_std_fitness,std_bd,std_std_bd
1,1,-inf,,-inf,
2,11,-inf,,-inf,
3,21,-inf,,-inf,
4,31,-inf,,-inf,
5,41,-inf,,-inf,
6,51,-inf,,-inf,
7,61,-inf,,-inf,
8,71,-inf,,-inf,
9,81,-inf,,-inf,
10,91,-inf,,-inf,
11,101,-inf,,-inf,
12,111,-inf,,-inf,
13,121,-inf,,-inf,
14,131,-inf,,-inf,
15,141,-inf,,-inf,
16,151,-inf,,-inf,
17,161,-inf,,-inf,
18,171,-inf,,-inf,
19,181,-inf,,-inf,
20,191,-inf,,-inf,
21,201,-inf,,-inf,
22,211,-inf,,-inf,
23,221,-inf,,-inf,
24,231,-inf,,-inf,
25,241,-inf,,-inf,
26,251,-inf,,-inf,
27,261,-inf,,-inf,
28,271,-inf,,-inf,
29,281,-inf,,-inf,
30,291,-inf,,-inf,
31,301,-inf,,-inf,
32,311,-inf,,-inf,
33,321,-inf,,-inf,
34,331,-inf,,-inf,
35,341,-inf,,-inf,
36,351,-inf,,-inf,
37,361,-inf,,-inf,
38,371,-inf,,-inf,
39,381,-inf,,-inf,
40,391,-inf,,-inf,
41,401,-inf,,-inf,
42,411,-inf,,-inf,
43,421,-inf,,-inf,
44,431,-inf,,-inf,
45,441,-inf,,-inf,
46,451,-inf,,-inf,
47,461,-inf,,-inf,
48,471,-inf,,-inf,
49,481,-inf,,-inf,
50,491,-inf,,-inf,
51,501,-inf,,-inf,
52,511,-inf,,-inf,
53,521,-inf,,-inf,
54,531,-inf,,-inf,
55,541,-inf,,-inf,
56,551,-inf,,-inf,
57,561,-inf,,-inf,
58,571,-inf,,-inf,
59,581,-inf,,-inf,
60,591,-inf,,-inf,
61,601,-inf,,-inf,
62,611,-inf,,-inf,
63,621,-inf,,-inf,
64,631,-inf,,-inf,
65,641,-inf,,-inf,
66,651,-inf,,-inf,
67,661,-inf,,-inf,
68,671,-inf,,-inf,
69,681,-inf,,-inf,
70,691,-inf,,-inf,
71,701,-inf,,-inf,
72,711,-inf,,-inf,
73,721,-inf,,-inf,
74,731,-inf,,-inf,
75,741,-inf,,-inf,
76,751,-inf,,-inf,
77,761,-inf,,-inf,
78,771,-inf,,-inf,
79,781,-inf,,-inf,
80,791,-inf,,-inf,
81,801,-inf,,-inf,
82,811,-inf,,-inf,
83,821,-inf,,-inf,
84,831,-inf,,-inf,
85,841,-inf,,-inf,
86,851,-inf,,-inf,
87,861,-inf,,-inf,
88,871,-inf,,-inf,
89,881,-inf,,-inf,
90,891,-inf,,-inf,
91,901,-inf,,-inf,
92,911,-inf,,-inf,
93,921,-inf,,-inf,
94,931,-inf,,-inf,
95,941,-inf,,-inf,
96,951,-inf,,-inf,
97,961,-inf,,-inf,
98,971,-inf,,-inf,
99,981,-inf,,-inf,
100,991,-inf,,-inf,
101,1001,-inf,,-inf,
102,1011,-inf,,-inf,
103,1021,-inf,,-inf,
104,1031,-inf,,-inf,
105,1041,-inf,,-inf,
106,1051,-inf,,-inf,
107,1061,-inf,,-inf,
108,1071,-inf,,-inf,
109,1081,-inf,,-inf,
110,1091,-inf,,-inf,
111,1101,-inf,,-inf,
112,1111,-inf,,-inf,
113,1121,-inf,,-inf,
114,1131,-inf,,-inf,
115,1141,-inf,,-inf,
116,1151,-inf,,-inf,
117,1161,-inf,,-inf,
118,1171,-inf,,-inf,
119,1181,-inf,,-inf,
120,1191,-inf,,-inf,
121,1201,-inf,,-inf,
122,1211,-inf,,-inf,
123,1221,-inf,,-inf,
124,1231,-inf,,-inf,
125,1241,-inf,,-inf,
126,1251,-inf,,-inf,
127,1261,-inf,,-inf,
128,1271,-inf,,-inf,
129,1281,-inf,,-inf,
130,1291,-inf,,-inf,
131,1301,-inf,,-inf,
132,1311,-inf,,-inf,
133,1321,-inf,,-inf,
