loop,iteration,qd_score,max_fitness,coverage,time
1,1,2234.4082,-0.020020183,28.119999,2.70881986618042
2,11,3329.7097,-0.020020183,40.48,2.40496563911438
3,21,4173.321,-0.0055539287,49.57,2.3774664402008057
4,31,4812.0757,-0.0055539287,56.129997,2.464733600616455
5,41,5322.0967,-0.0055539287,61.219997,2.3800036907196045
6,51,5704.6353,-0.005237689,64.85,2.3763654232025146
7,61,5984.1406,-0.0029933753,67.369995,2.423413038253784
8,71,6230.769,-0.0029933753,69.56,2.38321590423584
9,81,6408.1177,-0.0029933753,71.04,2.533843517303467
10,91,6548.129,-0.0029933753,72.159996,2.4271066188812256
11,101,6660.1016,-0.0,72.979996,2.3978915214538574
12,111,6753.5645,-0.0,73.64,2.427399158477783
13,121,6834.399,-0.0,74.229996,2.472776412963867
14,131,6896.59,-0.0,74.63,2.375410556793213
15,141,6957.2783,-0.0,75.049995,2.4478893280029297
16,151,7007.0283,-0.0,75.4,2.3812689781188965
17,161,7049.8184,-0.0,75.689995,2.463975429534912
18,171,7086.2446,-0.0,75.909996,2.4221396446228027
19,181,7125.9355,-0.0,76.2,2.4875731468200684
20,191,7155.4175,-0.0,76.39,2.4159276485443115
21,201,7185.0083,-0.0,76.59,2.404876232147217
22,211,7205.882,-0.0,76.71,2.4571802616119385
23,221,7223.4136,-0.0,76.81,2.5004496574401855
24,231,7242.508,-0.0,76.939995,2.4121499061584473
25,241,7268.529,-0.0,77.14,2.4586784839630127
26,251,7288.515,-0.0,77.29,2.394456624984741
27,261,7301.7593,-0.0,77.369995,2.3971705436706543
28,271,7313.855,-0.0,77.439995,2.407820701599121
29,281,7327.0957,-0.0,77.53,2.389564275741577
30,291,7336.697,-0.0,77.58,2.4751250743865967
31,301,7344.424,-0.0,77.61,2.4345216751098633
32,311,7354.7803,-0.0,77.68,2.4013113975524902
33,321,7364.0938,-0.0,77.74,2.4892446994781494
34,331,7372.4756,-0.0,77.79,2.393843173980713
35,341,7379.595,-0.0,77.83,2.3990514278411865
36,351,7385.4473,-0.0,77.86,2.37968111038208
37,361,7392.976,-0.0,77.909996,2.4250433444976807
38,371,7397.808,-0.0,77.93,2.4156007766723633
39,381,7405.0947,-0.0,77.979996,2.464954376220703
40,391,7411.392,-0.0,78.02,2.422229290008545
41,401,7416.5,-0.0,78.049995,2.432988166809082
42,411,7420.612,-0.0,78.07,2.5336945056915283
43,421,7423.9375,-0.0,78.08,2.527735710144043
44,431,7429.4873,-0.0,78.119995,2.645571231842041
45,441,7434.1846,-0.0,78.15,3.1126062870025635
46,451,7436.186,-0.0,78.15,2.964769124984741
47,461,7440.5493,-0.0,78.18,3.048211097717285
48,471,7445.0566,-0.0,78.21,2.6694235801696777
49,481,7448.665,-0.0,78.229996,2.702796697616577
50,491,7451.041,-0.0,78.24,2.547133207321167
51,501,7455.278,-0.0,78.27,2.6645352840423584
52,511,7459.3887,-0.0,78.299995,2.5634684562683105
53,521,7460.8486,-0.0,78.299995,2.6596808433532715
54,531,7463.1455,-0.0,78.31,2.496706485748291
55,541,7466.2026,-0.0,78.33,2.5662972927093506
56,551,7469.319,-0.0,78.35,2.558414936065674
57,561,7471.301,-0.0,78.36,2.5869998931884766
58,571,7475.1367,-0.0,78.39,2.393263816833496
59,581,7479.0044,-0.0,78.42,2.618210554122925
60,591,7480.9995,-0.0,78.43,2.439758539199829
61,601,7482.24,-0.0,78.43,2.388110876083374
62,611,7485.0747,-0.0,78.45,2.398474931716919
63,621,7487.0244,-0.0,78.46,2.384359121322632
64,631,7488.874,-0.0,78.47,2.420586109161377
