loop,iteration,qd_score,max_fitness,coverage,time
1,1,2280.639,-0.04354723,28.849998,3.229400634765625
2,11,3466.3413,-0.034332298,42.39,3.0944671630859375
3,21,4396.2095,-0.034332298,52.46,3.1646409034729004
4,31,5152.7363,-0.02556004,60.44,3.1806318759918213
5,41,5757.088,-0.018930683,66.53,3.0939443111419678
6,51,6231.971,-0.018930683,71.18,3.064321756362915
7,61,6611.6436,-0.018930683,74.79,3.0298943519592285
8,71,6932.998,-0.003093891,77.799995,3.1541178226470947
9,81,7187.955,-0.003093891,80.07,3.1708881855010986
10,91,7362.5645,-0.003093891,81.46,3.097450017929077
11,101,7553.588,-0.003093891,83.119995,3.077296733856201
12,111,7698.48,-0.003093891,84.299995,3.094231605529785
13,121,7804.5093,-0.003093891,85.09,3.209623336791992
14,131,7905.9546,-0.003093891,85.9,3.3463785648345947
15,141,8006.4053,0.0033190688,86.7,3.2604780197143555
16,151,8091.95,0.0033190688,87.38,3.0560858249664307
17,161,8157.457,0.0033190688,87.84,3.047531843185425
18,171,8232.3545,0.0033190688,88.45,3.0740137100219727
19,181,8282.803,0.0033190688,88.79,3.031074047088623
20,191,8329.892,0.018189555,89.11,3.323848247528076
21,201,8380.64,0.018189555,89.5,3.1290643215179443
22,211,8428.657,0.018189555,89.86,3.108142852783203
23,221,8465.351,0.018189555,90.11,3.0613937377929688
24,231,8506.192,0.018189555,90.42,3.0896668434143066
25,241,8535.595,0.018189555,90.63,3.0985138416290283
26,251,8563.059,0.018189555,90.82,3.111640214920044
27,261,8590.891,0.018189555,91.009995,3.1083452701568604
28,271,8613.219,0.018189555,91.15,3.1331119537353516
29,281,8631.655,0.018189555,91.25,3.1092443466186523
30,291,8651.798,0.018189555,91.38,3.2594809532165527
31,301,8669.527,0.018189555,91.479996,3.063133716583252
32,311,8690.2,0.018189555,91.619995,3.2000765800476074
33,321,8708.256,0.018189555,91.729996,3.0465049743652344
34,331,8728.48,0.018189555,91.869995,3.052863597869873
35,341,8746.768,0.018189555,92.0,3.078852653503418
36,351,8762.281,0.018189555,92.1,3.2060656547546387
37,361,8787.124,0.018189555,92.31,3.0639307498931885
38,371,8800.721,0.019237533,92.39,3.099097967147827
39,381,8813.325,0.024780953,92.47,3.064892530441284
40,391,8824.203,0.024780953,92.54,3.2145328521728516
41,401,8838.562,0.030859713,92.64,3.104879379272461
42,411,8848.316,0.030859713,92.689995,3.111236810684204
43,421,8856.443,0.030859713,92.729996,3.100918769836426
44,431,8869.874,0.030859713,92.82,3.1710615158081055
45,441,8880.518,0.030859713,92.89,3.0845770835876465
46,451,8893.553,0.030859713,92.979996,3.096294403076172
47,461,8902.35,0.030859713,93.03,3.0551371574401855
48,471,8914.815,0.030859713,93.119995,3.0852887630462646
49,481,8926.384,0.030859713,93.21,3.066021680831909
50,491,8932.826,0.030859713,93.24,3.1831531524658203
51,501,8944.642,0.030859713,93.329994,3.1615233421325684
52,511,8960.107,0.030859713,93.46,3.104623794555664
53,521,8964.806,0.030859713,93.479996,3.3544704914093018
54,531,8972.343,0.030859713,93.53,3.2810285091400146
55,541,8978.879,0.030859713,93.57,3.1016948223114014
56,551,8988.964,0.030859713,93.65,3.1229970455169678
57,561,8997.906,0.030859713,93.72,3.0616507530212402
58,571,9004.465,0.030859713,93.759995,3.0545334815979004
59,581,9010.0205,0.030859713,93.79,3.079624652862549
60,591,9016.754,0.030859713,93.829994,3.153334856033325
61,601,9025.534,0.030859713,93.9,3.109415054321289
62,611,9033.565,0.030859713,93.96,3.072917938232422
63,621,9039.666,0.030859713,94.0,3.107187509536743
64,631,9045.781,0.030859713,94.04,3.128913164138794
65,641,9052.783,0.030859713,94.09,3.1049206256866455
66,651,9059.399,0.030859713,94.14,3.0724213123321533
67,661,9061.652,0.030859713,94.14,3.0607917308807373
68,671,9066.287,0.030859713,94.17,3.1206259727478027
69,681,9073.059,0.030859713,94.22,3.2679104804992676
70,691,9077.245,0.030859713,94.24,3.2774791717529297
71,701,9082.741,0.030859713,94.28,3.1150004863739014
72,711,9084.634,0.030859713,94.28,3.1799564361572266
73,721,9090.247,0.030859713,94.32,3.0641696453094482
74,731,9097.784,0.030859713,94.38,3.144390344619751
75,741,9102.083,0.03283472,94.409996,3.0483205318450928
76,751,9106.646,0.03283472,94.439995,3.169959545135498
77,761,9112.466,0.03283472,94.479996,3.0469512939453125
78,771,9118.031,0.03283472,94.52,3.0739519596099854
79,781,9120.738,0.03283472,94.53,3.2514841556549072
80,791,9125.194,0.03283472,94.56,3.1166484355926514
81,801,9127.697,0.03283472,94.57,3.2013957500457764
82,811,9134.741,0.03283472,94.63,3.0576834678649902
83,821,9140.091,0.03283472,94.67,3.1444332599639893
84,831,9142.859,0.03283472,94.68,3.061676502227783
85,841,9148.072,0.03283472,94.72,3.07277774810791
86,851,9150.387,0.03283472,94.729996,3.1567955017089844
87,861,9153.797,0.03283472,94.75,3.2373130321502686
88,871,9156.265,0.03283472,94.759995,3.2912344932556152
89,881,9160.275,0.03283472,94.79,3.1348073482513428
90,891,9162.973,0.03283472,94.799995,3.0536742210388184
91,901,9168.005,0.03283472,94.84,3.081667184829712
92,911,9170.264,0.03283472,94.85,3.132241725921631
93,921,9174.375,0.03283472,94.88,3.0694003105163574
94,931,9179.42,0.03283472,94.92,3.0777201652526855
95,941,9182.494,0.03283472,94.939995,3.1614201068878174
96,951,9184.365,0.03283472,94.95,3.1482772827148438
97,961,9185.568,0.03283472,94.95,3.0694305896759033
98,971,9187.073,0.03283472,94.95,3.13596773147583
99,981,9188.396,0.03283472,94.95,3.1510603427886963
100,991,9189.728,0.03283472,94.95,3.0459225177764893
101,1001,9192.737,0.03283472,94.97,3.0931262969970703
102,1011,9198.468,0.03283472,95.02,3.058502674102783
103,1021,9199.598,0.03283472,95.02,3.1139285564422607
104,1031,9200.809,0.03283472,95.02,3.06880259513855
105,1041,9203.799,0.03283472,95.04,3.0903775691986084
106,1051,9207.557,0.03283472,95.07,3.183112859725952
107,1061,9211.3955,0.03283472,95.1,3.114084482192993
108,1071,9215.224,0.03283472,95.13,3.068692922592163
109,1081,9217.923,0.03283472,95.15,3.0648391246795654
110,1091,9219.023,0.03283472,95.15,3.0678086280822754
111,1101,9220.874,0.03283472,95.159996,3.061871290206909
112,1111,9222.695,0.03283472,95.17,3.0341198444366455
113,1121,9223.735,0.03283472,95.17,3.033172130584717
114,1131,9225.773,0.03283472,95.18,3.055850028991699
115,1141,9229.497,0.03283472,95.21,3.0405702590942383
116,1151,9231.312,0.03283472,95.22,3.025223731994629
117,1161,9232.268,0.03283472,95.22,3.0630970001220703
118,1171,9235.077,0.03283472,95.24,3.075190305709839
119,1181,9238.781,0.03283472,95.27,3.0717406272888184
120,1191,9240.395,0.03283472,95.28,3.0707623958587646
121,1201,9243.123,0.034881834,95.299995,3.0834336280822754
122,1211,9245.868,0.034881834,95.32,3.0875048637390137
123,1221,9247.706,0.034881834,95.329994,3.032646894454956
124,1231,9249.601,0.034881834,95.34,3.0883257389068604
125,1241,9252.434,0.034881834,95.36,3.1707818508148193
126,1251,9255.137,0.034881834,95.38,3.039553165435791
127,1261,9256.103,0.034881834,95.38,3.0497546195983887
128,1271,9258.731,0.034881834,95.4,3.059401273727417
129,1281,9261.521,0.034881834,95.42,3.0776829719543457
130,1291,9264.007,0.034881834,95.439995,3.042818784713745
131,1301,9265.573,0.034881834,95.45,3.0649337768554688
132,1311,9266.592,0.034881834,95.45,3.0237979888916016
133,1321,9269.359,0.034881834,95.47,3.0926952362060547
134,1331,9273.112,0.034881834,95.5,3.0679140090942383
135,1341,9275.483,0.034881834,95.52,3.0457661151885986
136,1351,9277.167,0.034881834,95.53,3.029508113861084
137,1361,9278.665,0.034881834,95.54,3.0537092685699463
138,1371,9280.318,0.034881834,95.549995,3.0460927486419678
139,1381,9282.944,0.034881834,95.57,3.0444512367248535
140,1391,9286.267,0.034881834,95.6,3.0586283206939697
141,1401,9286.838,0.034881834,95.6,3.051387071609497
142,1411,9287.775,0.034881834,95.6,3.093867301940918
143,1421,9290.266,0.034881834,95.619995,3.053706407546997
144,1431,9290.854,0.034881834,95.619995,3.2068779468536377
145,1441,9293.27,0.034881834,95.64,3.039661407470703
146,1451,9295.852,0.034881834,95.659996,3.074949264526367
147,1461,9297.333,0.034881834,95.67,3.0537776947021484
148,1471,9299.935,0.034881834,95.689995,3.0327298641204834
149,1481,9301.535,0.034881834,95.7,3.0554213523864746
150,1491,9304.249,0.034881834,95.72,3.046142816543579
151,1501,9304.953,0.034881834,95.72,3.109173059463501
152,1511,9306.651,0.034881834,95.729996,3.0346012115478516
153,1521,9307.412,0.034881834,95.729996,3.0919320583343506
154,1531,9308.016,0.034881834,95.729996,3.050234079360962
155,1541,9309.468,0.034881834,95.74,3.0541484355926514
156,1551,9310.05,0.040184062,95.74,3.041994333267212
157,1561,9311.623,0.040184062,95.75,3.0491373538970947
158,1571,9312.998,0.040184062,95.759995,3.055267810821533
159,1581,9314.609,0.040184062,95.77,3.04524564743042
160,1591,9316.847,0.040184062,95.79,3.055833101272583
161,1601,9317.514,0.040184062,95.79,3.0429534912109375
162,1611,9320.02,0.040184062,95.81,3.0748305320739746
163,1621,9320.632,0.040184062,95.81,3.0338056087493896
164,1631,9322.043,0.040184062,95.82,3.1856324672698975
165,1641,9323.491,0.040184062,95.829994,3.050204277038574
166,1651,9324.913,0.040184062,95.84,3.068852424621582
167,1661,9325.604,0.040184062,95.84,3.0347776412963867
168,1671,9326.308,0.040184062,95.84,3.0593364238739014
169,1681,9326.916,0.040184062,95.84,3.0986034870147705
170,1691,9327.484,0.040184062,95.84,3.074690341949463
171,1701,9328.838,0.040184062,95.85,3.0551791191101074
172,1711,9329.475,0.040184062,95.85,3.077070713043213
173,1721,9329.887,0.040184062,95.85,3.0695416927337646
174,1731,9332.184,0.040184062,95.869995,3.0562729835510254
175,1741,9332.649,0.040184062,95.869995,3.09224534034729
176,1751,9334.032,0.040184062,95.88,3.042999267578125
177,1761,9336.444,0.040184062,95.9,3.1130261421203613
178,1771,9338.887,0.040184062,95.92,3.0352532863616943
179,1781,9340.313,0.040184062,95.93,3.037285089492798
180,1791,9341.738,0.040184062,95.939995,3.0364301204681396
181,1801,9343.1455,0.040184062,95.95,3.0627095699310303
182,1811,9343.636,0.040184062,95.95,3.044342517852783
183,1821,9345.807,0.040184062,95.97,3.049828290939331
184,1831,9346.35,0.040184062,95.97,3.2067482471466064
185,1841,9347.77,0.040184062,95.979996,3.062760591506958
186,1851,9349.04,0.040184062,95.99,3.066143274307251
187,1861,9349.618,0.040184062,95.99,3.060195207595825
188,1871,9350.064,0.040184062,95.99,3.056704521179199
189,1881,9350.536,0.040184062,95.99,3.035903215408325
190,1891,9352.853,0.040184062,96.009995,3.059814214706421
191,1901,9354.265,0.040184062,96.02,3.043138027191162
192,1911,9354.725,0.040184062,96.02,3.0463004112243652
193,1921,9355.201,0.040184062,96.02,3.0496811866760254
194,1931,9357.536,0.040184062,96.04,3.0736782550811768
195,1941,9357.927,0.040184062,96.04,3.0893142223358154
196,1951,9359.239,0.040184062,96.049995,3.0458168983459473
197,1961,9359.626,0.040184062,96.049995,3.047551393508911
198,1971,9360.081,0.040184062,96.049995,3.0638439655303955
199,1981,9361.438,0.040184062,96.06,3.0529091358184814
200,1991,9362.72,0.040184062,96.07,3.041682243347168
201,2001,9363.96,0.040184062,96.079994,3.098625898361206
202,2011,9364.519,0.040184062,96.079994,3.0533225536346436
203,2021,9366.719,0.040184062,96.1,3.0465221405029297
204,2031,9367.999,0.040184062,96.11,3.088630437850952
205,2041,9369.419,0.040184062,96.119995,3.0452394485473633
206,2051,9369.907,0.040184062,96.119995,3.194267511367798
207,2061,9370.242,0.040184062,96.119995,3.055112600326538
208,2071,9370.498,0.040184062,96.119995,3.053722381591797
209,2081,9371.982,0.040184062,96.13,3.060091495513916
210,2091,9374.384,0.040184062,96.15,3.054431438446045
211,2101,9376.734,0.040184062,96.17,3.0477964878082275
212,2111,9378.207,0.040184062,96.18,3.064800977706909
213,2121,9378.581,0.040184062,96.18,3.0241341590881348
214,2131,9381.738,0.040184062,96.21,3.0638163089752197
215,2141,9382.251,0.040184062,96.21,3.0396666526794434
216,2151,9386.265,0.040184062,96.25,3.0563766956329346
217,2161,9387.701,0.040184062,96.259995,3.0671000480651855
218,2171,9389.039,0.040184062,96.27,3.0472209453582764
219,2181,9390.374,0.040184062,96.28,3.0516347885131836
220,2191,9390.792,0.040184062,96.28,3.0723812580108643
221,2201,9392.1045,0.040184062,96.29,3.073050022125244
222,2211,9393.565,0.040184062,96.299995,3.068065643310547
223,2221,9394.885,0.040184062,96.31,3.068695306777954
224,2231,9395.214,0.040184062,96.31,3.0632483959198
225,2241,9396.539,0.040184062,96.32,3.036400079727173
226,2251,9397.803,0.040184062,96.329994,3.0398828983306885
227,2261,9398.152,0.040184062,96.329994,3.069901466369629
228,2271,9398.472,0.040184062,96.329994,3.1675028800964355
229,2281,9398.868,0.040184062,96.329994,3.0505683422088623
230,2291,9400.113,0.040184062,96.34,3.053284168243408
231,2301,9400.445,0.040184062,96.34,3.0449302196502686
232,2311,9401.663,0.040184062,96.35,3.095289707183838
233,2321,9402.115,0.040184062,96.35,3.083503007888794
234,2331,9403.419,0.040184062,96.36,3.0734012126922607
235,2341,9403.776,0.040184062,96.36,3.0359857082366943
236,2351,9404.194,0.040184062,96.36,3.051189422607422
237,2361,9404.446,0.040184062,96.36,3.0644054412841797
238,2371,9404.808,0.040184062,96.36,3.082934856414795
239,2381,9405.201,0.040184062,96.36,3.0549087524414062
240,2391,9406.435,0.040184062,96.369995,3.0551087856292725
241,2401,9408.576,0.040184062,96.39,3.080145835876465
242,2411,9408.895,0.040184062,96.39,3.0379385948181152
243,2421,9409.209,0.040184062,96.39,3.1968185901641846
244,2431,9410.454,0.040184062,96.4,3.0512475967407227
245,2441,9411.706,0.040184062,96.409996,3.0708425045013428
246,2451,9412.061,0.040184062,96.409996,3.403830051422119
247,2461,9414.197,0.040184062,96.43,3.0798470973968506
248,2471,9415.589,0.040184062,96.439995,3.0595011711120605
249,2481,9417.832,0.040184062,96.46,3.0843563079833984
250,2491,9418.303,0.040184062,96.46,3.0888419151306152
251,2501,9419.702,0.040184062,96.47,3.0813567638397217
252,2511,9420.055,0.040184062,96.47,3.2570371627807617
253,2521,9420.401,0.040184062,96.47,3.092064142227173
254,2531,9422.547,0.040184062,96.49,3.112403154373169
255,2541,9422.747,0.040184062,96.49,3.069045305252075
256,2551,9423.899,0.040184062,96.5,3.0750460624694824
257,2561,9424.259,0.040184062,96.5,3.0893948078155518
258,2571,9426.473,0.040184062,96.52,3.109736442565918
259,2581,9428.655,0.040184062,96.54,3.0725955963134766
260,2591,9429.934,0.040184062,96.549995,3.081092119216919
261,2601,9432.086,0.040184062,96.57,3.115114212036133
262,2611,9434.317,0.040184062,96.59,3.018411636352539
263,2621,9434.611,0.040184062,96.59,3.043370485305786
264,2631,9436.754,0.040184062,96.61,3.756284713745117
265,2641,9437.977,0.040184062,96.619995,3.422863721847534
266,2651,9439.02,0.040184062,96.63,3.1161727905273438
267,2661,9439.278,0.040184062,96.63,3.188563823699951
268,2671,9439.528,0.040184062,96.63,3.3060014247894287
269,2681,9439.857,0.040184062,96.63,3.1038506031036377
270,2691,9441.003,0.040184062,96.64,3.0900707244873047
271,2701,9441.239,0.040184062,96.64,3.1296041011810303
272,2711,9442.537,0.040184062,96.65,3.1111199855804443
273,2721,9442.807,0.040184062,96.65,3.107973575592041
274,2731,9443.208,0.040184062,96.65,3.0832741260528564
275,2741,9443.514,0.040184062,96.65,3.0623183250427246
