loop,iteration,qd_score,max_fitness,coverage,time
1,1,2234.4082,-0.020020183,28.119999,1.8035907745361328
2,11,3329.7097,-0.020020183,40.48,0.7943069934844971
3,21,4173.321,-0.0055539287,49.57,0.7562038898468018
4,31,4812.0757,-0.0055539287,56.129997,0.7572841644287109
5,41,5321.21,-0.0055539287,61.21,0.7756376266479492
6,51,5703.749,-0.005237689,64.840004,0.7587952613830566
7,61,5983.255,-0.0029933753,67.35999,0.7827136516571045
8,71,6230.769,-0.0029933753,69.56,0.7626156806945801
9,81,6408.1177,-0.0029933753,71.04,0.7675869464874268
10,91,6547.2026,-0.0029933753,72.15,0.7944896221160889
11,101,6660.1016,0.0,72.979996,0.7598848342895508
12,111,6753.5645,0.0,73.64,0.7689752578735352
13,121,6834.399,0.0,74.229996,0.7791223526000977
14,131,6896.59,0.0,74.63,0.7621192932128906
15,141,6957.2783,0.0,75.049995,0.7590513229370117
16,151,7007.0283,0.0,75.4,0.7583310604095459
17,161,7049.8184,0.0,75.689995,0.7578737735748291
18,171,7086.2446,0.0,75.909996,0.7811272144317627
19,181,7125.9355,0.0,76.2,0.7576112747192383
20,191,7155.4175,0.0,76.39,0.7577323913574219
21,201,7185.0083,0.0,76.59,0.812762975692749
22,211,7205.882,0.0,76.71,0.7645716667175293
23,221,7223.4136,0.0,76.81,0.7698860168457031
24,231,7242.508,0.0,76.94,0.7558197975158691
25,241,7268.529,0.0,77.14,0.7595643997192383
26,251,7288.515,0.0,77.29,0.8146815299987793
27,261,7301.7593,0.0,77.37,0.7745709419250488
28,271,7313.855,0.0,77.44,0.7605252265930176
29,281,7327.0957,0.0,77.53,0.7656919956207275
30,291,7336.697,0.0,77.58,0.7791974544525146
31,301,7344.424,0.0,77.61,0.7702279090881348
32,311,7354.7803,0.0,77.68,0.7606823444366455
33,321,7364.0938,0.0,77.74,0.7740631103515625
34,331,7372.4756,0.0,77.79,0.7868750095367432
35,341,7379.595,0.0,77.83,0.7600619792938232
36,351,7385.4473,0.0,77.86,0.7738642692565918
37,361,7392.976,0.0,77.91,0.7787659168243408
38,371,7397.808,0.0,77.93,0.7642354965209961
39,381,7405.0947,0.0,77.98,0.8342020511627197
40,391,7411.392,0.0,78.020004,0.7642345428466797
41,401,7416.5,0.0,78.05,0.7674417495727539
42,411,7420.612,0.0,78.07,0.8137898445129395
43,421,7423.9375,0.0,78.08,0.7602622509002686
44,431,7429.4873,0.0,78.12,0.8949897289276123
45,441,7434.1846,0.0,78.15,1.1863584518432617
46,451,7436.186,0.0,78.15,0.8045780658721924
47,461,7440.5493,0.0,78.18,0.9244322776794434
48,471,7445.0566,0.0,78.21,0.7800977230072021
49,481,7448.665,0.0,78.229996,0.7970428466796875
50,491,7451.041,0.0,78.24,0.764789342880249
51,501,7455.278,0.0,78.27,0.7847542762756348
52,511,7459.3887,0.0,78.3,0.8843073844909668
53,521,7460.8486,0.0,78.3,0.7804687023162842
54,531,7463.1455,0.0,78.31,0.794588565826416
55,541,7466.2026,0.0,78.33,0.78407883644104
56,551,7469.319,0.0,78.35,0.8273561000823975
57,561,7471.301,0.0,78.36,0.790273904800415
58,571,7475.1367,0.0,78.39,0.7741048336029053
59,581,7479.0044,0.0,78.42,0.7668073177337646
60,591,7480.9995,0.0,78.43,0.7670283317565918
61,601,7482.24,0.0,78.43,0.7648828029632568
62,611,7485.0747,0.0,78.45,0.7603766918182373
63,621,7487.0244,0.0,78.46,0.764796257019043
64,631,7488.874,0.0,78.47,0.7710950374603271
65,641,7491.571,0.0,78.49,0.7680084705352783
66,651,7492.299,0.0,78.49,0.7741022109985352
67,661,7493.901,0.0,78.5,0.7763278484344482
68,671,7497.337,0.0,78.53,0.7808034420013428
69,681,7498.999,0.0,78.54,0.7598905563354492
70,691,7502.474,0.0,78.57,0.7638993263244629
71,701,7503.255,0.0,78.57,0.7589073181152344
72,711,7504.949,0.0,78.58,0.7586266994476318
73,721,7506.596,0.0,78.59,0.7770740985870361
74,731,7508.9697,0.0,78.61,0.7559657096862793
75,741,7512.3984,0.0,78.64,0.7578206062316895
76,751,7513.9517,0.0,78.649994,0.7755031585693359
77,761,7515.4746,0.0,78.659996,0.7669799327850342
78,771,7516.1123,0.0,78.659996,0.7659823894500732
79,781,7519.464,0.0,78.689995,0.7691700458526611
80,791,7520.023,0.0,78.689995,0.7815172672271729
81,801,7520.63,0.0,78.689995,0.763247013092041
82,811,7522.8594,0.0,78.71,0.759951114654541
83,821,7525.3003,0.0,78.729996,0.7663094997406006
84,831,7525.8296,0.0,78.729996,0.7689123153686523
85,841,7528.0244,0.0,78.75,0.7602415084838867
86,851,7530.473,0.0,78.77,0.8064606189727783
87,861,7531.016,0.0,78.77,0.7752997875213623
88,871,7531.5566,0.0,78.77,0.7698578834533691
89,881,7532.9224,0.0,78.78,0.8470878601074219
90,891,7533.472,0.0,78.78,0.770362377166748
91,901,7534.845,0.0,78.78999,0.766735315322876
92,911,7536.1304,0.0,78.799995,0.7614192962646484
93,921,7537.412,0.0,78.81,0.7661325931549072
94,931,7537.857,0.0,78.81,0.7839162349700928
95,941,7538.2563,0.0,78.81,0.7726590633392334
96,951,7539.5776,0.0,78.82,0.770042896270752
97,961,7540.043,0.0,78.82,0.8081190586090088
98,971,7541.355,0.0,78.829994,0.7645182609558105
99,981,7542.615,0.0,78.84,0.7660882472991943
100,991,7543.0186,0.0,78.84,0.7685768604278564
101,1001,7544.3765,0.0,78.85,0.7710714340209961
102,1011,7546.5938,0.0,78.869995,0.7605583667755127
103,1021,7547.0527,0.0,78.869995,0.764411449432373
104,1031,7548.321,0.0,78.88,0.7738919258117676
