loop,iteration,qd_score,max_fitness,coverage,time
1,1,1658.3755,-0.061558288,20.699999,3.51168155670166
2,11,2408.6387,-0.043217286,29.09,1.4642865657806396
3,21,2921.8616,-0.043172125,34.45,1.4700884819030762
4,31,3420.2273,-0.03076507,39.719997,1.4684994220733643
5,41,3701.5918,-0.030957887,42.41,1.4853322505950928
6,51,3890.8813,-0.0280725,44.09,1.463568925857544
7,61,4074.4988,-0.029802205,45.78,1.539991855621338
8,71,4231.362,-0.019174214,47.21,1.4740455150604248
9,81,4273.7446,-0.019852709,47.35,1.615387201309204
10,91,4366.7227,-0.01948619,48.1,1.4872496128082275
11,101,4444.2725,-0.020237094,48.71,1.5051259994506836
12,111,4459.132,-0.018499315,48.66,1.4170093536376953
13,121,4554.4785,-0.01853548,49.539997,1.5015604496002197
14,131,4584.078,-0.015006945,49.71,1.6183626651763916
15,141,4597.41,-0.0074086655,49.71,1.4859504699707031
16,151,4604.493,-0.007664207,49.67,1.498600721359253
17,161,4594.071,-0.007430529,49.429996,1.5105154514312744
18,171,4650.992,-0.008035151,49.949997,1.4678828716278076
19,181,4663.247,-0.0072823125,49.989998,1.4913370609283447
20,191,4678.453,0.0002770665,50.08,1.44688081741333
21,201,4683.9707,0.001535676,50.059998,1.5024452209472656
22,211,4669.928,5.571879e-05,49.85,1.4503788948059082
23,221,4655.3276,0.00060631323,49.62,1.5445880889892578
24,231,4712.9937,0.00050365436,50.189995,1.4993038177490234
25,241,4723.4126,0.0005009403,50.269997,1.4373903274536133
26,251,4705.9873,0.0007462079,50.04,1.4679920673370361
27,261,4677.2646,0.0006823016,49.679996,1.4961521625518799
28,271,4703.362,0.0006020698,49.92,1.5132043361663818
29,281,4665.405,0.0004512134,49.489998,1.4588851928710938
30,291,4664.301,0.000955109,49.449997,1.454843282699585
31,301,4664.2637,0.00096043583,49.42,1.438371181488037
32,311,4693.134,0.0012089093,49.719997,1.5204167366027832
33,321,4643.1133,0.0015275704,49.139996,1.5441930294036865
34,331,4650.743,0.0010773913,49.199997,1.428051471710205
35,341,4631.1914,0.0015409073,48.969997,1.4853174686431885
36,351,4628.5254,0.0010262359,48.929996,1.4550249576568604
37,361,4587.651,0.0021595946,48.48,1.502537727355957
38,371,4620.427,0.0011201218,48.809998,1.448531150817871
39,381,4571.248,0.0017962613,48.27,1.504127025604248
40,391,4564.0566,0.0014797654,48.19,1.4891505241394043
41,401,4543.997,0.001501346,47.95,1.4674875736236572
42,411,4563.8936,0.0014988984,48.15,1.4846806526184082
43,421,4530.876,0.0015024804,47.79,1.4723899364471436
44,431,4532.6396,0.0017361316,47.8,1.426511526107788
45,441,4527.927,0.0015159927,47.75,1.5224206447601318
46,451,4527.516,0.0020776456,47.72,1.457265853881836
47,461,4486.8677,0.0014625303,47.27,1.519155740737915
48,471,4507.227,0.0016349545,47.469997,1.4939422607421875
49,481,4524.5503,0.0016213113,47.64,1.4505703449249268
50,491,4492.989,0.0015182026,47.3,1.4523026943206787
51,501,4483.6597,0.0016218497,47.19,1.4912712574005127
52,511,4504.951,0.0016806391,47.42,1.4727468490600586
53,521,4524.8745,0.0020997322,47.62,1.4765853881835938
54,531,4475.505,0.0014223251,47.09,1.4583258628845215
55,541,4488.0234,0.0016299207,47.2,1.407278299331665
56,551,4466.6914,0.0017799798,46.969997,1.514965534210205
57,561,4493.3315,0.0016397269,47.26,1.4861266613006592
58,571,4463.524,0.0017843753,46.93,1.4733269214630127
59,581,4483.4766,0.0018966187,47.14,1.4229483604431152
60,591,4423.771,0.0016758634,46.48,1.4425885677337646
61,601,4447.1665,0.0019069845,46.73,1.467144250869751
62,611,4489.0337,0.0015923448,47.18,1.4537336826324463
63,621,4480.854,0.0016410729,47.079998,1.422356367111206
64,631,4448.5513,0.0015848338,46.739998,1.4636976718902588
65,641,4437.074,0.0018515068,46.609997,1.4700536727905273
66,651,4441.8467,0.0017868074,46.649998,1.4850268363952637
67,661,4420.963,0.0014481704,46.429996,1.4499268531799316
68,671,4461.8013,0.0014667197,46.85,1.4738037586212158
69,681,4461.4688,0.001560409,46.85,1.4656379222869873
70,691,4435.0254,0.0015170111,46.559998,1.4756546020507812
71,701,4453.531,0.0018418378,46.75,1.4420654773712158
72,711,4405.5664,0.0016153478,46.239998,1.4804165363311768
73,721,4420.071,0.0017138948,46.379997,1.5151281356811523
74,731,4418.9517,0.0016822162,46.37,1.502138376235962
75,741,4420.246,0.001597039,46.379997,1.4984869956970215
76,751,4410.235,0.0015467921,46.28,1.6087875366210938
77,761,4390.192,0.0014507701,46.05,1.4370486736297607
78,771,4418.7954,0.0018666665,46.35,1.45491361618042
79,781,4421.1367,0.0018192772,46.359997,1.4676263332366943
80,791,4398.092,0.0021036216,46.12,1.4602954387664795
81,801,4446.8,0.0018831339,46.629997,1.4595651626586914
82,811,4395.3813,0.0020257828,46.089996,1.5076422691345215
83,821,4398.111,0.0016709561,46.12,1.6123924255371094
